model,ease_lambda,rp3_beta,rp3_topK,gamma,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-GraphReg,200,0.6,200,0.01,0,overall,600,0.32378185774187757,0.22511679295466783,0.8283333333333334,0.3280342063562279,0.3148491684478886,0.88
Hybrid-GraphReg,200,0.6,200,0.01,0,q1,582,0.35642573315839876,0.30146227003104825,0.8505154639175257,0.3777499986761562,0.42160508146222614,0.9003436426116839
Hybrid-GraphReg,200,0.6,200,0.01,0,q2,393,0.004569188484970026,0.01016180596333268,0.020356234096692113,0.009208464468282633,0.025237908825695085,0.04580152671755725
Hybrid-GraphReg,200,0.6,200,0.01,0,q3,288,0.0,0.0,0.0,0.000520856920515062,0.001736111111111111,0.003472222222222222
Hybrid-GraphReg,200,0.6,200,0.01,0,q4,204,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-GraphReg,200,0.6,200,0.01,0,q5,202,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-GraphReg,200,0.6,200,0.1,0,overall,600,0.32275477477945325,0.22467248429138323,0.825,0.3273605742624966,0.31477038069611163,0.8783333333333333
Hybrid-GraphReg,200,0.6,200,0.1,0,q1,582,0.355042385471536,0.300579447238376,0.8470790378006873,0.3760805937878245,0.4191047897811492,0.8986254295532646
Hybrid-GraphReg,200,0.6,200,0.1,0,q2,393,0.004846605910701759,0.010357538983493182,0.020356234096692113,0.010308225061268928,0.028164117477094575,0.05343511450381679
Hybrid-GraphReg,200,0.6,200,0.1,0,q3,288,0.0,0.0,0.0,0.001444223379265827,0.005208333333333333,0.006944444444444444
Hybrid-GraphReg,200,0.6,200,0.1,0,q4,204,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-GraphReg,200,0.6,200,0.1,0,q5,202,0.0,0.0,0.0,0.0011270804390938268,0.0049504950495049506,0.0049504950495049506
Hybrid-GraphReg,200,0.6,200,0.5,0,overall,600,0.3221776348603919,0.22784280900444268,0.8233333333333334,0.3265571302353564,0.31911118138159006,0.8816666666666667
Hybrid-GraphReg,200,0.6,200,0.5,0,q1,582,0.34892553154306033,0.29808286971889536,0.8384879725085911,0.3687376532319894,0.4151062490605355,0.8969072164948454
Hybrid-GraphReg,200,0.6,200,0.5,0,q2,393,0.01321009994341831,0.027241587928610828,0.05343511450381679,0.019169377460955088,0.04545854581229743,0.09669211195928754
Hybrid-GraphReg,200,0.6,200,0.5,0,q3,288,0.005277247480466023,0.012152777777777778,0.013888888888888888,0.0069833303375943755,0.017946105072463768,0.027777777777777776
Hybrid-GraphReg,200,0.6,200,0.5,0,q4,204,0.0003911496988355302,0.0006127450980392157,0.004901960784313725,0.002114323513076826,0.006740196078431373,0.014705882352941176
Hybrid-GraphReg,200,0.6,200,0.5,0,q5,202,0.00165016501650165,0.0049504950495049506,0.0049504950495049506,0.0039378183083253115,0.012995049504950494,0.019801980198019802
Hybrid-GraphReg,200,0.6,200,0.01,1,overall,603,0.3224448737086683,0.21514402548691358,0.7960199004975125,0.32541458652608035,0.30819898838630466,0.857379767827529
Hybrid-GraphReg,200,0.6,200,0.01,1,q1,594,0.3483926636579862,0.2802484003493955,0.8063973063973064,0.3669086907979497,0.4030187390433606,0.8686868686868687
Hybrid-GraphReg,200,0.6,200,0.01,1,q2,398,0.0025993164985789433,0.005473797559224694,0.01256281407035176,0.004819026355345442,0.010716593083256521,0.035175879396984924
Hybrid-GraphReg,200,0.6,200,0.01,1,q3,288,0.00045182876156493247,0.0008680555555555555,0.003472222222222222,0.00045182876156493247,0.0008680555555555555,0.003472222222222222
Hybrid-GraphReg,200,0.6,200,0.01,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-GraphReg,200,0.6,200,0.01,1,q5,201,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-GraphReg,200,0.6,200,0.1,1,overall,603,0.32474992941097003,0.21748530584431278,0.7993366500829188,0.326988996540121,0.31156976089778443,0.857379767827529
Hybrid-GraphReg,200,0.6,200,0.1,1,q1,594,0.3502655469147793,0.2826612397470774,0.8114478114478114,0.36724098370478603,0.4040216926539671,0.8636363636363636
Hybrid-GraphReg,200,0.6,200,0.1,1,q2,398,0.003137743175149261,0.006101938262742282,0.01256281407035176,0.007232277606711169,0.01826835750761923,0.04773869346733668
Hybrid-GraphReg,200,0.6,200,0.1,1,q3,288,0.0005837761676080467,0.0008680555555555555,0.003472222222222222,0.001433257216629665,0.004340277777777778,0.006944444444444444
Hybrid-GraphReg,200,0.6,200,0.1,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-GraphReg,200,0.6,200,0.1,1,q5,201,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-GraphReg,200,0.6,200,0.5,1,overall,603,0.32043146434155323,0.21245398196293366,0.7893864013266998,0.32504585292531224,0.3118357398460047,0.8640132669983416
Hybrid-GraphReg,200,0.6,200,0.5,1,q1,594,0.34209557685744335,0.2738256076280587,0.797979797979798,0.36055329764010324,0.3984656028949385,0.867003367003367
Hybrid-GraphReg,200,0.6,200,0.5,1,q2,398,0.005880674157467728,0.011780326784442189,0.035175879396984924,0.01222675716024721,0.031350122942746306,0.07537688442211055
Hybrid-GraphReg,200,0.6,200,0.5,1,q3,288,0.002592316795486541,0.004340277777777778,0.006944444444444444,0.00437154166919111,0.010243055555555556,0.020833333333333332
