model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,train_time_s,seed,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
Hybrid-Score,0.3,200,0.3,200,3.5362818241119385,0,0.3113959353233754,0.19311749023683547,0.81,0.2180147546033593,0.10164383561643836,0.7411069182389938,2.1685531339408795,0.3179124714684461,0.17731635329126152,0.8733333333333333,0.30780792954071884,0.1482191780821918,0.7443419593345657,2.354807052487562,0.3113959353233754,0.19311749023683547,0.81,0.2180147546033593,0.10164383561643836,0.7411069182389938,2.1685531339408795,28631.0,0.00017455647766527956,600,-1,-0.011635711859219001,0.0
Hybrid-Score,0.5,200,0.3,200,3.441094398498535,0,0.3189548955811343,0.19912823234231966,0.8133333333333334,0.2217211122917604,0.11232876712328767,0.722960162601626,2.244251059181636,0.3231585991640546,0.1816760312647407,0.8783333333333333,0.3099921711951299,0.17013698630136986,0.736568706387547,2.429772163534762,0.3189548955811343,0.19912823234231966,0.8133333333333334,0.2217211122917604,0.11232876712328767,0.722960162601626,2.244251059181636,22184.0,0.07859151655743518,600,-1,-0.004076751601460099,0.0
Hybrid-Score,0.7,200,0.3,200,3.4978225231170654,0,0.323707519142521,0.20243344356261023,0.8183333333333334,0.22329427600203006,0.12164383561643835,0.7101539039039038,2.2997702016912105,0.32751107309404004,0.18447056722959637,0.8783333333333333,0.31481478530358653,0.18191780821917808,0.72197640562249,2.4873092075491785,0.323707519142521,0.20243344356261023,0.8183333333333334,0.22329427600203006,0.12164383561643835,0.7101539039039038,2.2997702016912105,16486.5,0.7727382543798365,600,1,0.0006758719599266081,0.0
Hybrid-Score,0.3,200,0.6,200,3.6085221767425537,0,0.31139144936057295,0.19300035194633408,0.8016666666666666,0.21872174675681066,0.13945205479452055,0.7499954158480682,2.370459735617636,0.31675810138125,0.17580210877059196,0.8783333333333333,0.30924074077730745,0.20986301369863014,0.7615110966057441,2.550719621736295,0.31139144936057295,0.19300035194633408,0.8016666666666666,0.21872174675681066,0.13945205479452055,0.7499954158480682,2.370459735617636,40216.5,0.0008940076863825845,600,-1,-0.011640197822021399,0.0
Hybrid-Score,0.5,200,0.6,200,3.6200034618377686,0,0.3192590905795104,0.199027082808432,0.815,0.22250252866063217,0.1304109589041096,0.7260994397759104,2.341042846047213,0.323854052250187,0.18101970835742287,0.89,0.3139174603730707,0.19972602739726028,0.742855738454504,2.5275617264799966,0.3192590905795104,0.199027082808432,0.815,0.22250252866063217,0.1304109589041096,0.7260994397759104,2.341042846047213,32662.5,0.09920912849575537,600,-1,-0.0037725566030839806,0.0
Hybrid-Score,0.7,200,0.6,200,3.6352288722991943,0,0.3237437277204676,0.20248422382842024,0.8216666666666667,0.2249568113656631,0.1304109589041096,0.7140644257703082,2.341494978516218,0.32870429301884563,0.1850597955118166,0.8866666666666667,0.3174204870060327,0.19452054794520549,0.7259509389671361,2.528841875889344,0.3237437277204676,0.20248422382842024,0.8216666666666667,0.2249568113656631,0.1304109589041096,0.7140644257703082,2.341494978516218,22994.5,0.7512608263288891,600,1,0.0007120805378732057,0.0
Hybrid-Score,0.3,200,0.3,200,3.4649922847747803,1,0.30547749260853096,0.19051140352031729,0.7728026533996684,0.2067101069773671,0.09726027397260274,0.7403611052717634,2.159783782554401,0.3097574904028246,0.1722363569140656,0.8474295190713101,0.29703758793580004,0.14986301369863014,0.7449095170097109,2.3573905318778743,0.30547749260853096,0.19051140352031729,0.7728026533996684,0.2067101069773671,0.09726027397260274,0.7403611052717634,2.159783782554401,22538.5,2.3063047632524157e-08,603,-1,-0.01688426554547645,0.0
Hybrid-Score,0.5,200,0.3,200,3.4542627334594727,1,0.3170336843541507,0.19972115492287448,0.7777777777777778,0.2108104964241717,0.10986301369863014,0.7252589918239227,2.2359273169842475,0.3182406121039843,0.17860063223934106,0.8524046434494196,0.30096980590091366,0.16821917808219178,0.7327048254925157,2.4325174356041006,0.3170336843541507,0.19972115492287448,0.7777777777777778,0.2108104964241717,0.10986301369863014,0.7252589918239227,2.2359273169842475,21644.5,0.007142215863418089,603,-1,-0.00532807379985667,0.0
Hybrid-Score,0.7,200,0.3,200,3.669821262359619,1,0.3229204266837326,0.20463157019763864,0.7893864013266998,0.21481245785621417,0.1232876712328767,0.7173171181131381,2.2955257523470474,0.3240801603153871,0.18309237714269255,0.8557213930348259,0.305787742924771,0.18273972602739727,0.7235834818908953,2.489542648581102,0.3229204266837326,0.20463157019763864,0.7893864013266998,0.21481245785621417,0.1232876712328767,0.7173171181131381,2.2955257523470474,15392.5,0.7149485657006609,603,1,0.0005586685297252002,0.0
Hybrid-Score,0.3,200,0.6,200,3.5375428199768066,1,0.29842822485355736,0.18494663555490373,0.7595356550580431,0.1985649816086296,0.13068493150684932,0.7426835076886706,2.3632246102238166,0.30544762475225196,0.16625060654395005,0.8540630182421227,0.30073870529034546,0.20794520547945206,0.7609862413885775,2.5479319359967403,0.29842822485355736,0.18494663555490373,0.7595356550580431,0.1985649816086296,0.13068493150684932,0.7426835076886706,2.3632246102238166,28373.0,4.4828111102931647e-10,603,-1,-0.02393353330045003,0.0
Hybrid-Score,0.5,200,0.6,200,3.510746717453003,1,0.31523227047657854,0.19925991186045083,0.7844112769485904,0.20896350422006074,0.13123287671232878,0.7306577758389681,2.339917308860539,0.31748079938440815,0.17795756954131267,0.8540630182421227,0.30175037971067276,0.19972602739726028,0.7425258253770017,2.530482833113094,0.31523227047657854,0.19925991186045083,0.7844112769485904,0.20896350422006074,0.13123287671232878,0.7306577758389681,2.339917308860539,29258.0,0.013985443242867199,603,-1,-0.007129487677428885,0.0
Hybrid-Score,0.7,200,0.6,200,3.5435380935668945,1,0.32209523742777346,0.20447541074964473,0.7877280265339967,0.21377753048919787,0.13315068493150686,0.7202874516307354,2.342859845339267,0.32202554931670874,0.18216954149266623,0.8490878938640133,0.30190914812910297,0.19561643835616438,0.7258718080930548,2.5344425282113843,0.32209523742777346,0.20447541074964473,0.7877280265339967,0.21377753048919787,0.13315068493150686,0.7202874516307354,2.342859845339267,22677.5,0.7432119887128964,603,-1,-0.0002665207262339662,0.0
