model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-Score,0.3,200,0.3,200,0,overall,600,0.3113959353233754,0.2180147546033593,0.81,0.3179124714684461,0.30780792954071884,0.8733333333333333
Hybrid-Score,0.3,200,0.3,200,0,q1,582,0.343160356541137,0.29058821279516994,0.8333333333333334,0.36548646196029533,0.40954775027163154,0.8969072164948454
Hybrid-Score,0.3,200,0.3,200,0,q2,393,0.0023094528481198127,0.00551314673452078,0.010178117048346057,0.006143849136239409,0.019508057675996605,0.02544529262086514
Hybrid-Score,0.3,200,0.3,200,0,q3,288,0.0,0.0,0.0,0.0005105567384250352,0.001736111111111111,0.003472222222222222
Hybrid-Score,0.3,200,0.3,200,0,q4,204,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.3,200,0.3,200,0,q5,202,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.5,200,0.3,200,0,overall,600,0.3189548955811343,0.2217211122917604,0.8133333333333334,0.3231585991640546,0.3099921711951299,0.8783333333333333
Hybrid-Score,0.5,200,0.3,200,0,q1,582,0.35160641390951136,0.29671745000995675,0.8367697594501718,0.3722131789622896,0.4147397864453098,0.9020618556701031
Hybrid-Score,0.5,200,0.3,200,0,q2,393,0.002775667939327807,0.006361323155216285,0.010178117048346057,0.006357543244642615,0.018219481959939977,0.030534351145038167
Hybrid-Score,0.5,200,0.3,200,0,q3,288,0.0,0.0,0.0,0.0005011816471622265,0.001736111111111111,0.003472222222222222
Hybrid-Score,0.5,200,0.3,200,0,q4,204,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.5,200,0.3,200,0,q5,202,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.7,200,0.3,200,0,overall,600,0.323707519142521,0.22329427600203006,0.8183333333333334,0.32751107309404004,0.31481478530358653,0.8783333333333333
Hybrid-Score,0.7,200,0.3,200,0,q1,582,0.35641467646053876,0.29960889754844683,0.8419243986254296,0.3770574596669095,0.4210025926097765,0.9003436426116839
Hybrid-Score,0.7,200,0.3,200,0,q2,393,0.0034114462316533712,0.007193188490898414,0.015267175572519083,0.007923543238709233,0.022656097083578,0.035623409669211195
Hybrid-Score,0.7,200,0.3,200,0,q3,288,0.0,0.0,0.0,0.0005105567384250352,0.001736111111111111,0.003472222222222222
Hybrid-Score,0.7,200,0.3,200,0,q4,204,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.7,200,0.3,200,0,q5,202,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.3,200,0.6,200,0,overall,600,0.31139144936057295,0.21872174675681066,0.8016666666666666,0.31675810138125,0.30924074077730745,0.8783333333333333
Hybrid-Score,0.3,200,0.6,200,0,q1,582,0.34050932404483747,0.28845009420770507,0.8213058419243986,0.36193092514371566,0.41039030974346646,0.8969072164948454
Hybrid-Score,0.3,200,0.6,200,0,q2,393,0.0072175154678619236,0.015658641612840085,0.022900763358778626,0.012092717936956807,0.032775494225875904,0.05597964376590331
Hybrid-Score,0.3,200,0.6,200,0,q3,288,0.0031102225265192403,0.008680555555555556,0.010416666666666666,0.005292542589457207,0.017361111111111112,0.020833333333333332
Hybrid-Score,0.3,200,0.6,200,0,q4,204,0.0,0.0,0.0,0.0008861611099837515,0.0024509803921568627,0.004901960784313725
