model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,bucket,NDCG@10_mean,NDCG@10_std,NDCG@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,n_users_mean,n_users_std,n_users_count
Hybrid-Score,0.3,200,0.3,200,overall,0.3084367139659532,0.004184970977730617,2,0.2123624307903632,0.007993592995263492,2,0.7914013266998342,0.02630249602324091,2,0.31383498093563533,0.00576644241194887,2,0.3024227587382594,0.0076157815845336665,2,0.8603814262023217,0.018316762723273372,2,601.5,2.1213203435596424,2
Hybrid-Score,0.3,200,0.3,200,q1,0.3364444421789141,0.00949773717479195,2,0.27853984342368354,0.01703896736963661,2,0.8089225589225589,0.034522048239747305,2,0.3572894644034069,0.01159230511569077,2,0.39806064336015945,0.016245222386633545,2,0.8785882883821028,0.02590687658517824,2,588.0,8.48528137423857,2
Hybrid-Score,0.3,200,0.3,200,q2,0.0018135403915536263,0.0007013261218256592,2,0.004371792319162759,0.0016141188936737282,2,0.007601621338243381,0.0036437151766233037,2,0.004739817393007105,0.001985600733281465,2,0.01473129612682338,0.0067553609670630895,2,0.0215166161596788,0.005555987533585656,2,395.5,3.5355339059327378,2
Hybrid-Score,0.3,200,0.3,200,q3,0.00019591170373079039,0.00027706098844370344,2,0.00043402777777777775,0.0006138079697799891,2,0.001736111111111111,0.0024552318791199565,2,0.000451190072943308,8.39571434771253e-05,2,0.0013020833333333333,0.0006138079697799891,2,0.003472222222222222,0.0,2,288.0,0.0,2
Hybrid-Score,0.3,200,0.3,200,q4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,211.5,10.606601717798213,2
Hybrid-Score,0.3,200,0.3,200,q5,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,201.5,0.7071067811865476,2
Hybrid-Score,0.3,200,0.6,200,overall,0.30490983710706515,0.009166383954954364,2,0.20864336418272011,0.01425298532306349,2,0.7806011608623549,0.029791124006706856,2,0.31110286306675095,0.007997714722816454,2,0.30498972303382643,0.006011846946719474,2,0.866198175787728,0.017161704382529164,2,601.5,2.1213203435596424,2
Hybrid-Score,0.3,200,0.6,200,q1,0.3307542037623029,0.013795823406141288,2,0.2728923702208889,0.022001944261812623,2,0.7953330556423339,0.03673106661271362,2,0.35188924294332113,0.014201083156838507,2,0.39787720594357623,0.017696201101187022,2,0.8777465375403519,0.027097292041721285,2,588.0,8.48528137423857,2
Hybrid-Score,0.3,200,0.6,200,q2,0.005291073685897289,0.0027244000951765785,2,0.011059758710224781,0.00650380257264431,2,0.017731788714565194,0.007310034045409281,2,0.009680021536693392,0.0034120679711412668,2,0.02621939543390788,0.00927172382785904,2,0.04934660580254964,0.009380532247510363,2,395.5,3.5355339059327378,2
Hybrid-Score,0.3,200,0.6,200,q3,0.0022328544056070187,0.0012407858957878607,2,0.004774305555555556,0.005524271728019903,2,0.006944444444444444,0.004910463758239913,2,0.004030903164774226,0.0017842275852112607,2,0.011815200617283951,0.00784310183607764,2,0.017361111111111112,0.004910463758239914,2,288.0,0.0,2
