model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,0,overall,600,0.32216071587630185,0.22263365279809932,0.8233333333333334,0.3268659843996943,0.31240236548634714,0.8766666666666667
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,0,q1,582,0.3548481544387974,0.2989466094560194,0.8470790378006873,0.3766051280027075,0.41939005157479287,0.9003436426116839
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,0,q2,393,0.003574486505350569,0.007193188490898414,0.015267175572519083,0.007837833237738404,0.020572938511869806,0.03816793893129771
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,0,q3,288,0.0,0.0,0.0,0.0005105567384250352,0.001736111111111111,0.003472222222222222
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,0,q4,204,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,0,q5,202,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,0,overall,600,0.3221217842232998,0.22191051369787848,0.8216666666666667,0.32611574513459646,0.30960325208389244,0.875
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,0,q1,582,0.35479635400081994,0.29741554579761786,0.845360824742268,0.3758399191042768,0.41579525788165883,0.8986254295532646
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,0,q2,393,0.0035471729863719003,0.007193188490898414,0.015267175572519083,0.007646732761066945,0.020475072001789555,0.035623409669211195
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,0,q3,288,0.0,0.0,0.0,0.0005011816471622265,0.001736111111111111,0.003472222222222222
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,0,q4,204,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,0,q5,202,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,0,overall,600,0.3198202101455122,0.22072220037056914,0.8166666666666667,0.32465589158590263,0.3117324905489033,0.88
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,0,q1,582,0.3522143208351882,0.29584960960317536,0.8402061855670103,0.37385187854070856,0.4182938109649987,0.9054982817869416
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,0,q2,393,0.003047266502620347,0.00634501207020291,0.015267175572519083,0.006796554972358329,0.017930542739703046,0.03307888040712468
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,0,q3,288,0.0,0.0,0.0,0.0005011816471622265,0.001736111111111111,0.003472222222222222
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,0,q4,204,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,0,q5,202,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,0,overall,600,0.31011472954595215,0.21373483389295264,0.8033333333333333,0.31771784479925297,0.30749653302277336,0.8783333333333333
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,0,q1,582,0.3412885632558183,0.2859385516183373,0.8281786941580757,0.3660155210227416,0.41396894297614684,0.9037800687285223
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,0,q2,393,0.0013618709151965798,0.0021204410517387615,0.007633587786259542,0.004548588088180866,0.011629803614536437,0.022900763358778626
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,0,q3,288,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,0,q4,204,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,0,q5,202,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,0,overall,600,0.2962446349227297,0.20308321627087045,0.7883333333333333,0.29981087270848067,0.28500862754379325,0.8416666666666667
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,0,q1,582,0.32549475093946967,0.2712351624558042,0.8127147766323024,0.3447161758783573,0.3827231263694884,0.8676975945017182
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,0,q2,393,0.0005970467252197919,0.0008481764206955047,0.002544529262086514,0.0005970467252197919,0.0008481764206955047,0.002544529262086514
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,0,q3,288,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,0,q4,204,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,0,q5,202,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,0,overall,600,0.3221540032808239,0.22263365279809932,0.8233333333333334,0.32681203199728714,0.3122824699497849,0.8766666666666667
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,0,q1,582,0.35484251276745143,0.2989466094560194,0.8470790378006873,0.37653922251195693,0.41923928680152955,0.9003436426116839
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,0,q2,393,0.003574486505350569,0.007193188490898414,0.015267175572519083,0.007839424792118225,0.020572938511869806,0.03816793893129771
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,0,q3,288,0.0,0.0,0.0,0.0005105567384250352,0.001736111111111111,0.003472222222222222
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,0,q4,204,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,0,q5,202,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,0,overall,600,0.3220080448684662,0.22164732250441438,0.82,0.32636103925259663,0.31018395114979036,0.8766666666666667
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,0,q1,582,0.35462492236844806,0.29704844797562313,0.8436426116838488,0.37626327061669257,0.41754571175348737,0.9003436426116839
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,0,q2,393,0.0035471729863719003,0.007193188490898414,0.015267175572519083,0.007712505972249102,0.020572938511869806,0.03816793893129771
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,0,q3,288,0.0,0.0,0.0,0.0005011816471622265,0.001736111111111111,0.003472222222222222
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,0,q4,204,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,0,q5,202,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,0,overall,600,0.31993022150306066,0.22079142161267276,0.8183333333333334,0.32450457974854213,0.3114795440188608,0.88
