model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,train_time_s_mean,train_time_s_std,train_time_s_count,NDCG@10_mean,NDCG@10_std,NDCG@10_count,MAP@10_mean,MAP@10_std,MAP@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,Coverage@10_mean,Coverage@10_std,Coverage@10_count,Gini@10_mean,Gini@10_std,Gini@10_count,Novelty@10_mean,Novelty@10_std,Novelty@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,MAP@20_mean,MAP@20_std,MAP@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,Coverage@20_mean,Coverage@20_std,Coverage@20_count,Gini@20_mean,Gini@20_std,Gini@20_count,Novelty@20_mean,Novelty@20_std,Novelty@20_count,NDCG@k_mean,NDCG@k_std,NDCG@k_count,MAP@k_mean,MAP@k_std,MAP@k_count,HitRate@k_mean,HitRate@k_std,HitRate@k_count,Recall@k_mean,Recall@k_std,Recall@k_count,Coverage@k_mean,Coverage@k_std,Coverage@k_count,Gini@k_mean,Gini@k_std,Gini@k_count,Novelty@k_mean,Novelty@k_std,Novelty@k_count,wilcoxon_vs_EASE_stat_mean,wilcoxon_vs_EASE_stat_std,wilcoxon_vs_EASE_stat_count,wilcoxon_vs_EASE_p_mean,wilcoxon_vs_EASE_p_std,wilcoxon_vs_EASE_p_count,wilcoxon_vs_EASE_n_pairs_mean,wilcoxon_vs_EASE_n_pairs_std,wilcoxon_vs_EASE_n_pairs_count,wilcoxon_vs_EASE_sign_mean,wilcoxon_vs_EASE_sign_std,wilcoxon_vs_EASE_sign_count,wilcoxon_vs_EASE_mean_diff_mean,wilcoxon_vs_EASE_mean_diff_std,wilcoxon_vs_EASE_mean_diff_count,wilcoxon_vs_EASE_median_diff_mean,wilcoxon_vs_EASE_median_diff_std,wilcoxon_vs_EASE_median_diff_count
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,4.338584065437317,0.06564877417753877,2,0.32190893079410254,0.00035607787804954377,2,0.20166236078428823,0.0026304885036992558,2,0.805530679933665,0.025176753884038477,2,0.21776981187830863,0.006878509793993261,2,0.13643835616438355,0.00038745577051317316,2,0.7029819943365982,0.0035636603049139658,2,2.362262973973624,0.003440587649871407,2,0.3259951090138413,0.0012316037818102085,2,0.183093414790239,0.00019341206985229602,2,0.8695107794361525,0.010119952772205497,2,0.3103288536351522,0.002932388581701199,2,0.19753424657534246,0.0,2,0.7082890879628672,0.000426158358860923,2,2.5522953103541175,0.0023587347594770528,2,0.32190893079410254,0.00035607787804954377,2,0.20166236078428823,0.0026304885036992558,2,0.805530679933665,0.025176753884038477,2,0.21776981187830863,0.006878509793993261,2,0.13643835616438355,0.00038745577051317316,2,0.7029819943365982,0.0035636603049139658,2,2.362262973973624,0.003440587649871407,2,3199.25,103.59114344382921,2,0.5958696271547033,0.44728676803886847,2,601.5,2.1213203435596424,2,-1.0,0.0,2,-0.0007877718741983594,0.00011760519670678363,2,0.0,0.0,2
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,4.372420430183411,0.007584915445414534,2,0.32141721689466046,0.000996408671766718,2,0.2018655732606598,0.0024460173774338927,2,0.8013805970149254,0.02868883482873778,2,0.21616316044641576,0.008127984915967688,2,0.13438356164383564,0.00019372788525658167,2,0.7056652505583807,0.004631230324802274,2,2.350258598804058,0.005453886257573684,2,0.3253940400969665,0.0010206450522493495,2,0.18333194234316416,0.00024302025005638496,2,0.865360696517413,0.01363203371690488,2,0.3075970086697671,0.0028372566456777914,2,0.19465753424657534,0.0001937278852566013,2,0.7121912352563037,0.0018881617394169974,2,2.5381069069691575,0.0005756995189943111,2,0.32141721689466046,0.000996408671766718,2,0.2018655732606598,0.0024460173774338927,2,0.8013805970149254,0.02868883482873778,2,0.21616316044641576,0.008127984915967688,2,0.13438356164383564,0.00019372788525658167,2,0.7056652505583807,0.004631230324802274,2,2.350258598804058,0.005453886257573684,2,13320.0,915.703281636579,2,0.3058169229271166,0.18328460767811808,2,601.5,2.1213203435596424,2,-1.0,0.0,2,-0.0012794857736404413,0.0005227255970104067,2,0.0,0.0,2
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,4.40206253528595,0.036406616331104306,2,0.31917868054419374,0.0009072598628483247,2,0.20056314547846346,0.002695339611574534,2,0.795563847429519,0.02984389316948191,2,0.2145514240596092,0.008726795549330193,2,0.12424657534246575,0.00019372788525657677,2,0.7097763485138708,0.003959576472554667,2,2.3083246122088923,0.005802012853214054,2,0.3230002175793122,0.0023414766349887516,2,0.18195522006854903,8.950068965874657e-05,2,0.8653731343283582,0.020685511807845225,2,0.30600315651689736,0.00810250189142857,2,0.18273972602739724,0.0019372788525658855,2,0.7170842397034661,0.0011081322610165148,2,2.4982555640989768,0.0006919508900356102,2,0.31917868054419374,0.0009072598628483247,2,0.20056314547846346,0.002695339611574534,2,0.795563847429519,0.02984389316948191,2,0.2145514240596092,0.008726795549330193,2,0.12424657534246575,0.00019372788525657677,2,0.7097763485138708,0.003959576472554667,2,2.3083246122088923,0.005802012853214054,2,29062.0,534.5727265770299,2,0.06418401251703047,0.020382434346861343,2,601.5,2.1213203435596424,2,-1.0,0.0,2,-0.0035180221241071312,0.00043357678809202667,2,0.0,0.0,2
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,4.3914220333099365,0.019168049527966517,2,0.31156074659857214,0.002044976927237953,2,0.19482846085066602,0.0049952134899688945,2,0.7897263681592039,0.019243154691992066,2,0.20883886373882166,0.006923947392945932,2,0.10616438356164383,0.004843197131414709,2,0.7143246572692096,0.004853594236075953,2,2.232351481325107,0.0058089860248359115,2,0.31715514382630483,0.0007957793475037929,2,0.1773383751659356,0.0023026778542854028,2,0.8637106135986733,0.020679648567536887,2,0.3011309579677395,0.009002282575132713,2,0.15794520547945207,0.0029059182788488433,2,0.7228267984170719,0.004315651216555548,2,2.4164289166595445,0.0026291354572782733,2,0.31156074659857214,0.002044976927237953,2,0.19482846085066602,0.0049952134899688945,2,0.7897263681592039,0.019243154691992066,2,0.20883886373882166,0.006923947392945932,2,0.10616438356164383,0.004843197131414709,2,0.7143246572692096,0.004853594236075953,2,2.232351481325107,0.0058089860248359115,2,34534.75,2639.9831675599753,2,0.00017889108633806382,0.00023232098382527203,2,601.5,2.1213203435596424,2,-1.0,0.0,2,-0.01113595606972877,0.0025186600019942553,2,0.0,0.0,2
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,4.408388733863831,0.040232538651529225,2,0.29770663302854816,0.002067577549412277,2,0.18483676545087507,0.004886815659424265,2,0.770617744610282,0.025053625837563192,2,0.1978421582279552,0.007411975365475305,2,0.0826027397260274,0.0013560951967961207,2,0.7141671082917462,0.0030264107067386964,2,2.1323589177454982,0.002409869002272079,2,0.3022167103303095,0.0034023681936577684,2,0.16750409313322673,0.004190168071627554,2,0.8428897180762853,0.001729655890962105,2,0.2842637144353145,0.0010534662208000754,2,0.11972602739726027,0.002712190393592227,2,0.7159763126542023,0.006267929925334494,2,2.303688414992468,0.0024505710814701894,2,0.29770663302854816,0.002067577549412277,2,0.18483676545087507,0.004886815659424265,2,0.770617744610282,0.025053625837563192,2,0.1978421582279552,0.007411975365475305,2,0.0826027397260274,0.0013560951967961207,2,0.7141671082917462,0.0030264107067386964,2,2.1323589177454982,0.002409869002272079,2,33124.5,2176.4746724921933,2,5.711708963552262e-10,2.3730763028296067e-10,2,601.5,2.1213203435596424,2,-1.0,0.0,2,-0.02499006963975276,0.0025412606241685884,2,0.0,0.0,2
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,4.436843395233154,0.08043506874691869,2,0.32172573642151,0.0006056608007566594,2,0.2015617683019249,0.0024672077893508667,2,0.8047014925373135,0.026349401945707743,2,0.21755816762727054,0.007177819964209594,2,0.1363013698630137,0.0005811836557697548,2,0.7027621273246488,0.0033350401069965644,2,2.362255868401885,0.002882434456244037,2,0.32605820021161236,0.00106607913504921,2,0.18316030541465078,0.00011398393371150262,2,0.8695107794361525,0.010119952772205497,2,0.31034901402405396,0.0027343195924193577,2,0.1978082191780822,0.0,2,0.7086428045598415,0.000361593825813898,2,2.552190455954329,0.0021811134290249845,2,0.32172573642151,0.0006056608007566594,2,0.2015617683019249,0.0024672077893508667,2,0.8047014925373135,0.026349401945707743,2,0.21755816762727054,0.007177819964209594,2,0.1363013698630137,0.0005811836557697548,2,0.7027621273246488,0.0033350401069965644,2,2.362255868401885,0.002882434456244037,2,3235.0,294.15642097360376,2,0.4648278031442275,0.16190720516203422,2,601.5,2.1213203435596424,2,-1.0,0.0,2,-0.000970966246790923,0.00013197772600034486,2,0.0,0.0,2
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,4.312184810638428,0.02705962544314632,2,0.32094848051228364,0.0014984502827204071,2,0.20124811842724313,0.0017572507498869662,2,0.7997180762852405,0.028682971588429442,2,0.21578245427719006,0.008294176188471681,2,0.1343835616438356,0.0009686394262829379,2,0.7060971968968931,0.005579861002053943,2,2.3494014893919006,0.005453513970342254,2,0.32521460323353046,0.0016213053665563922,2,0.1828325994165088,0.0004448655391907714,2,0.8670232172470979,0.013637896957213218,2,0.3079749777156755,0.003123960189447044,2,0.19534246575342465,0.0,2,0.7130204883716061,0.0014012050632934926,2,2.538245730627321,0.0009100411318773997,2,0.32094848051228364,0.0014984502827204071,2,0.20124811842724313,0.0017572507498869662,2,0.7997180762852405,0.028682971588429442,2,0.21578245427719006,0.008294176188471681,2,0.1343835616438356,0.0009686394262829379,2,0.7060971968968931,0.005579861002053943,2,2.3494014893919006,0.005453513970342254,2,13504.5,1282.691701072397,2,0.3201098288710288,0.23407412832634755,2,601.5,2.1213203435596424,2,-1.0,0.0,2,-0.0017482221560172705,0.0010247672079641392,2,0.0,0.0,2
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,4.322489380836487,0.03965799281262872,2,0.31896886961845916,0.0013595568734163204,2,0.20039244869912215,0.002365775971910199,2,0.7955679933665009,0.032195052533128786,2,0.21431852351642955,0.009154060275566167,2,0.12452054794520548,0.0009686394262829379,2,0.7100005195166285,0.0033067554714337694,2,2.3091228686898715,0.006349991567894183,2,0.32286727760895717,0.0023154948915035983,2,0.1816773024662241,4.4893267275757914e-05,2,0.8670315091210614,0.018340215684506847,2,0.3061589401309831,0.007524470178251655,2,0.18397260273972602,0.0013560951967961207,2,0.7185849655360369,0.0005090783247250974,2,2.4986856664765993,0.0004614730650538786,2,0.31896886961845916,0.0013595568734163204,2,0.20039244869912215,0.002365775971910199,2,0.7955679933665009,0.032195052533128786,2,0.21431852351642955,0.009154060275566167,2,0.12452054794520548,0.0009686394262829379,2,0.7100005195166285,0.0033067554714337694,2,2.3091228686898715,0.006349991567894183,2,28788.75,1605.4859466840562,2,0.060893522220191905,0.014334383751778748,2,601.5,2.1213203435596424,2,-1.0,0.0,2,-0.0037278330498416896,0.0008858737986600212,2,0.0,0.0,2
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,4.300572156906128,0.04082579769116857,2,0.31194712768186883,0.0017100154047218446,2,0.1952859433620509,0.0046346734203438905,2,0.7888971807628524,0.020415802753661335,2,0.20868671816892878,0.0070123161408310545,2,0.10863013698630138,0.0036808298198751795,2,0.7179542477032402,0.0010806615375333413,2,2.2346288758843196,0.007362689181823598,2,0.3164332107289433,0.0006969017375631975,2,0.1768106064492645,0.002383573176305924,2,0.8637106135986733,0.020679648567536887,2,0.300458723160852,0.009068946108892579,2,0.1595890410958904,0.0029059182788488233,2,0.7245896109907353,0.0038965886579089572,2,2.417187274083165,0.001956000328845124,2,0.31194712768186883,0.0017100154047218446,2,0.1952859433620509,0.0046346734203438905,2,0.7888971807628524,0.020415802753661335,2,0.20868671816892878,0.0070123161408310545,2,0.10863013698630138,0.0036808298198751795,2,0.7179542477032402,0.0010806615375333413,2,2.2346288758843196,0.007362689181823598,2,34519.75,1799.2332047291702,2,0.00027141167569206604,0.0003222549752701657,2,601.5,2.1213203435596424,2,-1.0,0.0,2,-0.010749574986432078,0.0021836984794781668,2,0.0,0.0,2
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,4.4034987688064575,0.0738987668924552,2,0.29784423923463715,0.0023301033785472,2,0.18489077523733372,0.005194994675645939,2,0.772276119402985,0.022708329714224654,2,0.19848162574806688,0.00794511850450417,2,0.08465753424657535,0.0019372788525658905,2,0.7177400180625534,0.0034528174030093823,2,2.135371900870302,0.0009407387485089924,2,0.3021024588964618,0.002147384611794148,2,0.1673099937320306,0.003494385606762343,2,0.8428980099502488,0.002972662836331563,2,0.28484591475835486,0.0022958739084476833,2,0.12273972602739726,0.003487101934618588,2,0.7196162010622978,0.007605073557005436,2,2.3074783703688797,0.0031199443827328423,2,0.29784423923463715,0.0023301033785472,2,0.18489077523733372,0.005194994675645939,2,0.772276119402985,0.022708329714224654,2,0.19848162574806688,0.00794511850450417,2,0.08465753424657535,0.0019372788525658905,2,0.7177400180625534,0.0034528174030093823,2,2.135371900870302,0.0009407387485089924,2,33436.25,1606.1930534652427,2,2.0431945741201003e-09,2.677374782043909e-09,2,601.5,2.1213203435596424,2,-1.0,0.0,2,-0.024852463433663735,0.0028037864533035045,2,0.0,0.0,2
