model,lambda,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
EASE,50,overall,593,0.11646602649317753,0.08438351751979097,0.5008431703204047,0.1335829351239996,0.15610213321406058,0.6593591905564924
EASE,50,q1,562,0.1333207227052354,0.12558546932047027,0.5249110320284698,0.1612585626324058,0.2225791824015761,0.6886120996441281
EASE,50,q2,392,0.0006287756411154912,0.001062925170068027,0.00510204081632653,0.0038886624068442694,0.010916880850084396,0.03316326530612245
EASE,50,q3,303,0.0007893726013524647,0.0015715857300015715,0.006600660066006601,0.0016159395154350643,0.004321860757504322,0.009900990099009901
EASE,50,q4,227,0.0,0.0,0.0,0.0,0.0,0.0
EASE,50,q5,235,0.0,0.0,0.0,0.0,0.0,0.0
EASE,200,overall,593,0.12229157207816574,0.08759222622341274,0.5008431703204047,0.1366038417984496,0.15571253576741598,0.6374367622259697
EASE,200,q1,562,0.14022694830301563,0.1303393074402461,0.5266903914590747,0.16537444020802153,0.22069211163206426,0.6690391459074733
EASE,200,q2,392,0.00031416121012848214,0.0006377551020408163,0.002551020408163265,0.001980400775800854,0.005861273080660835,0.012755102040816327
EASE,200,q3,303,0.0,0.0,0.0,0.0002451553561138861,0.0004714757190004715,0.0033003300330033004
EASE,200,q4,227,0.0,0.0,0.0,0.0,0.0,0.0
EASE,200,q5,235,0.0,0.0,0.0,0.0,0.0,0.0
EASE,500,overall,593,0.12155058792701288,0.08691734024673499,0.49409780775716694,0.13493007480679142,0.15048821463385978,0.6172006745362564
EASE,500,q1,562,0.13945039775744436,0.1286378236068253,0.5195729537366548,0.1633274311920439,0.21449671582471916,0.6494661921708185
EASE,500,q2,392,0.00031416121012848214,0.0006377551020408163,0.002551020408163265,0.0016434629546450096,0.00510204081632653,0.007653061224489796
EASE,500,q3,303,0.0,0.0,0.0,0.0,0.0,0.0
EASE,500,q4,227,0.0,0.0,0.0,0.0,0.0,0.0
EASE,500,q5,235,0.0,0.0,0.0,0.0,0.0,0.0
