model,ease_lambda,rp3_beta,rp3_topK,gamma,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-GraphReg,200,0.6,200,0.01,overall,593,0.1224277439282061,0.08760026993578472,0.5008431703204047,0.1368037280635047,0.15596317912100494,0.6391231028667791
Hybrid-GraphReg,200,0.6,200,0.01,q1,562,0.1403528945178222,0.1303393074402461,0.5266903914590747,0.1656929071039811,0.22154186982168014,0.6708185053380783
Hybrid-GraphReg,200,0.6,200,0.01,q2,392,0.00031416121012848214,0.0006377551020408163,0.002551020408163265,0.001984414819036223,0.005861273080660835,0.012755102040816327
Hybrid-GraphReg,200,0.6,200,0.01,q3,303,0.0,0.0,0.0,0.0002451553561138861,0.0004714757190004715,0.0033003300330033004
Hybrid-GraphReg,200,0.6,200,0.01,q4,227,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-GraphReg,200,0.6,200,0.01,q5,235,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-GraphReg,200,0.6,200,0.1,overall,593,0.12179853036404117,0.08637881444091912,0.4991568296795953,0.13707498038707716,0.15643319980116968,0.642495784148398
Hybrid-GraphReg,200,0.6,200,0.1,q1,562,0.13975999057443106,0.13000367534697327,0.5249110320284698,0.16571234618026445,0.22184338744609913,0.6725978647686833
Hybrid-GraphReg,200,0.6,200,0.1,q2,392,0.0003319558248232157,0.0006377551020408163,0.002551020408163265,0.0023445282660437745,0.006584062196307095,0.015306122448979591
Hybrid-GraphReg,200,0.6,200,0.1,q3,303,0.0003509461420139599,0.0004714757190004715,0.0033003300330033004,0.0003509461420139599,0.0004714757190004715,0.0033003300330033004
Hybrid-GraphReg,200,0.6,200,0.1,q4,227,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-GraphReg,200,0.6,200,0.1,q5,235,0.0,0.0,0.0,0.0003339331160472614,0.0008510638297872341,0.00425531914893617
Hybrid-GraphReg,200,0.6,200,0.5,overall,593,0.12032227094368579,0.08490602703785417,0.49409780775716694,0.1364583358547767,0.15625751735825066,0.6306913996627319
Hybrid-GraphReg,200,0.6,200,0.5,q1,562,0.1365565850653124,0.12682823778880056,0.5124555160142349,0.16234779085078546,0.21801195785485764,0.6565836298932385
Hybrid-GraphReg,200,0.6,200,0.5,q2,392,0.0008049033394353639,0.0013605442176870747,0.007653061224489796,0.0045277570963487695,0.01220275234153812,0.03826530612244898
Hybrid-GraphReg,200,0.6,200,0.5,q3,303,0.0019608889364204256,0.003143171460003143,0.006600660066006601,0.0027523492221238296,0.006443501493006443,0.009900990099009901
Hybrid-GraphReg,200,0.6,200,0.5,q4,227,0.00029186882579026004,0.0004405286343612335,0.004405286343612335,0.0007715770243287278,0.001541850220264317,0.00881057268722467
Hybrid-GraphReg,200,0.6,200,0.5,q5,235,0.001345893237648856,0.0019148936170212767,0.00851063829787234,0.002628974064666148,0.0054255319148936165,0.02127659574468085
