model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,overall,593,0.12236418510699636,0.08753221981432811,0.5008431703204047,0.1364743578971155,0.15506791627024166,0.6391231028667791
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,q1,562,0.14023047219791104,0.12992684677815178,0.5266903914590747,0.16540892334449547,0.22073199797821222,0.6708185053380783
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,q2,392,0.00031416121012848214,0.0006377551020408163,0.002551020408163265,0.0019728435165740975,0.005861273080660835,0.012755102040816327
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,q3,303,0.0,0.0,0.0,0.0002451553561138861,0.0004714757190004715,0.0033003300330033004
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,q4,227,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,q5,235,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,overall,593,0.12202804640721186,0.08709816786169958,0.4991568296795953,0.1362745364074691,0.15651470028964448,0.6441821247892074
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,q1,562,0.13986031493376827,0.12930935815706304,0.5249110320284698,0.16529548815104197,0.22278642784128,0.6761565836298933
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,q2,392,0.00031416121012848214,0.0006377551020408163,0.002551020408163265,0.0018795452129251608,0.005739795918367347,0.01020408163265306
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,q3,303,0.0,0.0,0.0,0.00023827109251705386,0.0004714757190004715,0.0033003300330033004
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,q4,227,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,q5,235,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,overall,593,0.12239393736793382,0.08694668248449623,0.4991568296795953,0.13531735916789642,0.15330521890686652,0.6290050590219224
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,q1,562,0.13999248469329226,0.12896572858628422,0.5249110320284698,0.1634671187859082,0.217461719261365,0.6601423487544484
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,q2,392,0.00031416121012848214,0.0006377551020408163,0.002551020408163265,0.0021006143870134298,0.006377551020408163,0.01020408163265306
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,q3,303,0.0,0.0,0.0,0.00023827109251705386,0.0004714757190004715,0.0033003300330033004
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,q4,227,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,q5,235,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,overall,593,0.11941033389692689,0.08432506757029924,0.49072512647554806,0.13210424433328335,0.1445157037675312,0.6037099494097807
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,q1,562,0.13638115660530153,0.1260049969094756,0.5177935943060499,0.15920780726469724,0.2071502177539825,0.6352313167259787
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,q2,392,0.0,0.0,0.0,0.0009997179242915866,0.002551020408163265,0.00510204081632653
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,q3,303,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,q4,227,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,q5,235,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,overall,593,0.11519772798468161,0.07897376374403182,0.4772344013490725,0.12813217041230407,0.14099098482066666,0.5919055649241147
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,q1,562,0.1302827329218048,0.11702480604138621,0.50355871886121,0.1535192756060337,0.20160842243394472,0.6227758007117438
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,q2,392,0.0,0.0,0.0,0.00025490027173759024,0.0006377551020408163,0.002551020408163265
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,q3,303,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,q4,227,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,q5,235,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,overall,593,0.12235929404786486,0.08753221981432811,0.5008431703204047,0.13633016667552977,0.1546240301879717,0.6391231028667791
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,q1,562,0.1402230815711657,0.12992684677815178,0.5266903914590747,0.1651721739877251,0.21995585834086265,0.6708185053380783
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,q2,392,0.00031416121012848214,0.0006377551020408163,0.002551020408163265,0.0019728435165740975,0.005861273080660835,0.012755102040816327
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,q3,303,0.0,0.0,0.0,0.0002451553561138861,0.0004714757190004715,0.0033003300330033004
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,q4,227,0.0,0.0,0.0,0.0,0.0,0.0
