model,rp3_beta,rp3_topK,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
RP3beta,0.3,200,overall,593,0.10634911703083033,0.070192240003455,0.42158516020236086,0.11863272723015358,0.13233826317933503,0.5682967959527825
RP3beta,0.3,200,q1,562,0.11907791752500688,0.10081603796953618,0.44483985765124556,0.14072717890011713,0.1850776813870655,0.597864768683274
RP3beta,0.3,200,q2,392,0.0,0.0,0.0,0.0005127609058617812,0.0012755102040816326,0.002551020408163265
RP3beta,0.3,200,q3,303,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.3,200,q4,227,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.3,200,q5,235,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.6,200,overall,593,0.11088514017068643,0.07347629116903275,0.43676222596964587,0.1230513787283471,0.13511374693760347,0.581787521079258
RP3beta,0.6,200,q1,562,0.12236519281642945,0.10525608852532228,0.44661921708185054,0.14392470728355392,0.18746471299944759,0.597864768683274
RP3beta,0.6,200,q2,392,0.0017368235753542239,0.0026360544217687073,0.01020408163265306,0.0037972344234599594,0.009554818167868651,0.025510204081632654
RP3beta,0.6,200,q3,303,0.003360828528272235,0.006364922206506365,0.009900990099009901,0.003757249834536431,0.007465032217507465,0.013201320132013201
RP3beta,0.6,200,q4,227,0.0013949550317271524,0.002831969792322215,0.00881057268722467,0.0026683616145540233,0.007677784770295784,0.01762114537444934
RP3beta,0.6,200,q5,235,0.0037061019058461492,0.002978723404255319,0.01276595744680851,0.005349801137270921,0.008085106382978723,0.02553191489361702
