model,lambda,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
EASE,100,0,overall,6008,0.331620734275992,0.21040311540422393,0.8723368841544608,0.33533892120502146,0.3082617779144239,0.9305925432756325
EASE,100,0,q1,5945,0.3454788696232143,0.2639517932188633,0.8711522287636669,0.3620265832930544,0.38145987036060625,0.927838519764508
EASE,100,0,q2,4408,0.020127010598507456,0.035561723658326626,0.09142468239564429,0.03305083965075194,0.07449846817365757,0.1882940108892922
EASE,100,0,q3,2895,0.003247035007811163,0.00689642539383472,0.011053540587219343,0.006068255736506767,0.01616817072775622,0.028324697754749568
EASE,100,0,q4,1659,0.000822745987787138,0.0010046212577858149,0.0018083182640144665,0.0013053876332271895,0.002933494072734579,0.004219409282700422
EASE,100,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
EASE,200,0,overall,6008,0.34810180775223165,0.21817316491701216,0.8799933422103862,0.3515466985052042,0.321762796278737,0.9369174434087882
EASE,200,0,q1,5945,0.36434053181136394,0.27614116170619224,0.8798990748528175,0.38159115494369944,0.40121430555003607,0.9355761143818335
EASE,200,0,q2,4408,0.017262071257381287,0.030417119728627744,0.07849364791288566,0.03011078474085787,0.06960901010238166,0.169464609800363
EASE,200,0,q3,2895,0.0022667805200939266,0.0043518082378186,0.007253886010362694,0.005034113593251419,0.013774732272141599,0.023488773747841106
EASE,200,0,q4,1659,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777,0.0007816129891218861,0.0017279485633916012,0.0030138637733574444
EASE,200,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
EASE,500,0,overall,6008,0.36335613906888853,0.22513923250602305,0.8856524633821571,0.365349054583525,0.3316665455941842,0.9375832223701731
EASE,500,0,q1,5945,0.38252110455244315,0.2876387189881096,0.888309503784693,0.39968237328814027,0.41903344037096796,0.9384356602186712
EASE,500,0,q2,4408,0.012626192907159342,0.022839371364254565,0.05603448275862069,0.02414023651256659,0.05792954937917536,0.1338475499092559
EASE,500,0,q3,2895,0.0013700256733331871,0.0024179620034542313,0.0037996545768566492,0.003034474686236767,0.008136235286494355,0.014162348877374784
EASE,500,0,q4,1659,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777
EASE,500,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
EASE,1000,0,overall,6008,0.36953203202368406,0.22709500743503613,0.8849866844207723,0.37018608917227425,0.3335743960519802,0.9369174434087882
EASE,1000,0,q1,5945,0.3902891077917354,0.2914014362246184,0.888309503784693,0.40762221750216376,0.42583765783926864,0.9404541631623213
EASE,1000,0,q2,4408,0.009444731310487162,0.018200630569291547,0.04128856624319419,0.01791780548905551,0.04442207550374464,0.09754990925589836
EASE,1000,0,q3,2895,0.0011500408107796428,0.0021301093839953943,0.002763385146804836,0.0018325038228237138,0.004351235024810155,0.007944732297063902
EASE,1000,0,q4,1659,0.0004126435785289742,0.0009041591320072332,0.0012055455093429777,0.0004126435785289742,0.0009041591320072332,0.0012055455093429777
EASE,1000,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
EASE,100,1,overall,6006,0.3308875297557838,0.2076305398916838,0.8631368631368631,0.33398208363199183,0.30577486440410717,0.9254079254079254
EASE,100,1,q1,5944,0.3464139637700285,0.26369284557005496,0.8605316285329744,0.361731236663829,0.38194688139848354,0.922442799461642
EASE,100,1,q2,4502,0.018120088493754894,0.0317241426436317,0.08063083074189249,0.03182360498489385,0.07153786715472735,0.18702798756108396
EASE,100,1,q3,2861,0.004204119301949647,0.009174848802601337,0.014330653617616217,0.007160020840187409,0.018951308262069616,0.03250611674239776
EASE,100,1,q4,1641,0.00018682120437704398,0.0003046922608165753,0.0006093845216331506,0.0007236154452141818,0.0022851919561243145,0.0030469226081657527
EASE,100,1,q5,685,0.0,0.0,0.0,0.0004072159790527443,0.00145985401459854,0.00145985401459854
EASE,200,1,overall,6006,0.3464574654790864,0.21581319616255512,0.8726273726273727,0.3490140432316668,0.31723745167797024,0.9302364302364302
EASE,200,1,q1,5944,0.36444443861299886,0.27619717427647167,0.8729811574697174,0.380310721301903,0.3998862589081933,0.9296769851951547
EASE,200,1,q2,4502,0.015534665147758265,0.027370320961057997,0.06908040870724122,0.028608937946231264,0.06545090202585203,0.16637050199911152
EASE,200,1,q3,2861,0.002790258118368443,0.00604657197631682,0.010136315973435861,0.006019962230079939,0.017124219276644384,0.028311779098217405
EASE,200,1,q4,1641,0.00018682120437704398,0.0003046922608165753,0.0006093845216331506,0.0006203605669191536,0.001980499695307739,0.0030469226081657527
EASE,200,1,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
EASE,500,1,overall,6006,0.3623488874914095,0.22293921857668994,0.8771228771228772,0.36349761852879936,0.3275426777323132,0.9347319347319347
EASE,500,1,q1,5944,0.38319038326108074,0.2877949233136622,0.8787012113055181,0.3991817514077507,0.41757261600288986,0.9348923283983849
EASE,500,1,q2,4502,0.01205887595139317,0.02235818320977583,0.051754775655264325,0.02297310124182566,0.05498483172293008,0.13194135939582408
EASE,500,1,q3,2861,0.0014036252069079909,0.002933123616451124,0.004543865781195386,0.004180845676298599,0.012439538693470885,0.020272631946871723
EASE,500,1,q4,1641,0.000124547469584696,0.0003046922608165753,0.0006093845216331506,0.0002736337231607021,0.0009140767824497258,0.001218769043266301
EASE,500,1,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
EASE,1000,1,overall,6006,0.36658958653317847,0.22304199081779236,0.8771228771228772,0.3676280045952539,0.3298503888548991,0.9352314352314353
EASE,1000,1,q1,5944,0.3892090945722136,0.2900120218529884,0.8805518169582772,0.4062115020844199,0.42395225690237887,0.9370794078061911
EASE,1000,1,q2,4502,0.00859953389294811,0.016609644599586807,0.035761883607285654,0.01750083723483349,0.04402424401696653,0.09662372278987116
EASE,1000,1,q3,2861,0.0009322614057433196,0.0020389141325876732,0.0027962250961202375,0.002643017008215943,0.007978950638859762,0.01258301293254107
EASE,1000,1,q4,1641,0.0,0.0,0.0,9.563677292987808e-05,0.0003046922608165753,0.0006093845216331506
EASE,1000,1,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
EASE,100,2,overall,6004,0.3284519963034982,0.20714893313526758,0.8692538307794804,0.3320974077901847,0.30629276283973744,0.9287141905396402
EASE,100,2,q1,5935,0.34290439365583386,0.2626684814166374,0.8694187026116259,0.35867578375772446,0.38178991647424987,0.9277169334456613
EASE,100,2,q2,4474,0.018756948347603594,0.031973656095205895,0.08337058560572196,0.032195777493447535,0.07174582216046492,0.18685739830129638
EASE,100,2,q3,2899,0.00450670743264516,0.00850621725061187,0.013452914798206279,0.007521433478608547,0.017916270769635385,0.03276992066229734
EASE,100,2,q4,1585,0.0004616445133989743,0.0012618296529968455,0.0012618296529968455,0.0011432055446767475,0.0037854889589905363,0.0037854889589905363
EASE,100,2,q5,666,0.0,0.0,0.0,0.00041883325172842323,0.0015015015015015015,0.0015015015015015015
EASE,200,2,overall,6004,0.3437133639741499,0.21547545229595133,0.8769153897401732,0.3468451830460685,0.31803906482073957,0.9362091938707529
EASE,200,2,q1,5935,0.3604901214659754,0.2749035803878194,0.8786857624262847,0.3772701195101941,0.40080075146588345,0.9369839932603201
EASE,200,2,q2,4474,0.016872254348095306,0.02917367854535699,0.07308895842646401,0.028798613831039505,0.0644637207417356,0.1665176575771122
EASE,200,2,q3,2899,0.0032587830822817976,0.007277824318183064,0.011038289065194894,0.005926035089580695,0.0157707960728272,0.027595722662987238
EASE,200,2,q4,1585,0.0003814067527467613,0.0012618296529968455,0.0012618296529968455,0.0006406153020438273,0.0022082018927444794,0.002523659305993691
EASE,200,2,q5,666,0.0,0.0,0.0,0.0,0.0,0.0
EASE,500,2,overall,6004,0.35886470515172914,0.2220393416816548,0.8794137241838774,0.3618476700911453,0.32899075921234416,0.9390406395736176
EASE,500,2,q1,5935,0.37902812893179005,0.28612547104598174,0.8828980623420387,0.39712320949052954,0.41959639568701584,0.9415332771693344
EASE,500,2,q2,4474,0.012509034903147354,0.02314072548323651,0.05364327223960662,0.022497243045295677,0.05310831455626426,0.13008493518104605
EASE,500,2,q3,2899,0.0018512851773931534,0.004285002491280518,0.006553984132459468,0.0037454383948627677,0.010479288875490406,0.017592273197654364
EASE,500,2,q4,1585,0.00018992428748516163,0.0006309148264984228,0.0006309148264984228,0.0004371601877160728,0.0015772870662460567,0.0018927444794952682
EASE,500,2,q5,666,0.0,0.0,0.0,0.0,0.0,0.0
EASE,1000,2,overall,6004,0.36513036376381425,0.22297418064416133,0.8807461692205196,0.3666832628938368,0.3304187779192649,0.9370419720186542
EASE,1000,2,q1,5935,0.3872700472083466,0.2894159777447358,0.8859309182813816,0.4050957666453208,0.42549298813435477,0.9413647851727043
EASE,1000,2,q2,4474,0.00916236084269466,0.017187287108028252,0.03755029056772463,0.016950504283676827,0.04098687379834569,0.0932051855163165
EASE,1000,2,q3,2899,0.0013137293316537913,0.0032386646736422523,0.004829251466022766,0.002151108147033854,0.006030815223640336,0.009313556398758192
EASE,1000,2,q4,1585,0.0,0.0,0.0,0.00016148771281376372,0.0006309148264984228,0.0006309148264984228
EASE,1000,2,q5,666,0.0,0.0,0.0,0.0,0.0,0.0
EASE,100,3,overall,6013,0.32635768289235206,0.2043886249146247,0.8599700648594711,0.32875517652563585,0.3015193709911561,0.9161816065192084
EASE,100,3,q1,5943,0.34112042734748266,0.25935797092299734,0.8594985697459195,0.3561539042038023,0.3761757177197843,0.9167087329631499
EASE,100,3,q2,4400,0.0209697064369889,0.03479591197036209,0.09409090909090909,0.03355208013607032,0.07201070545949692,0.18681818181818183
EASE,100,3,q3,2896,0.0029507241231427283,0.005991844251512759,0.011049723756906077,0.005929677096947816,0.01631879909927495,0.027624309392265192
EASE,100,3,q4,1678,0.000752642820145314,0.0013408820023837903,0.0023837902264600714,0.0011703923962701403,0.0029797377830750892,0.003575685339690107
EASE,100,3,q5,698,0.0,0.0,0.0,0.0,0.0,0.0
EASE,200,3,overall,6013,0.34252813129279563,0.21282541102051006,0.8671212373191418,0.34388066951929747,0.3131068249419881,0.9195077332446366
EASE,200,3,q1,5943,0.3598853471366965,0.27221879697899876,0.8694262157159683,0.37473928317246946,0.39423961517807465,0.9207470974255426
EASE,200,3,q2,4400,0.018013116654925495,0.030616722447607016,0.08022727272727273,0.030151410642396743,0.0664266647086123,0.1690909090909091
EASE,200,3,q3,2896,0.002428886515375798,0.005223132070507761,0.009668508287292817,0.004496952298377427,0.012199092344119967,0.020718232044198894
EASE,200,3,q4,1678,0.0005861936749833988,0.0010429082240762813,0.0017878426698450535,0.0007460440351642399,0.0014898688915375446,0.0023837902264600714
EASE,200,3,q5,698,0.0,0.0,0.0,0.0,0.0,0.0
EASE,500,3,overall,6013,0.35706225986659396,0.21893095713123753,0.8726093464160984,0.35794709456288604,0.3234195007622611,0.9248295360053218
EASE,500,3,q1,5943,0.3775981492066603,0.28245090118293675,0.8768298838970217,0.3934147537746468,0.4121176630744462,0.9276459700487969
EASE,500,3,q2,4400,0.013381095261004788,0.02393561338061657,0.060454545454545455,0.023523328930981996,0.054508267336010253,0.13045454545454546
EASE,500,3,q3,2896,0.0012368417580338948,0.0028117600631412786,0.004834254143646409,0.002928341513667897,0.008437746645619573,0.014157458563535912
EASE,500,3,q4,1678,0.0005550180183110073,0.0010429082240762813,0.0017878426698450535,0.0005550180183110073,0.0010429082240762813,0.0017878426698450535
EASE,500,3,q5,698,0.0,0.0,0.0,0.0,0.0,0.0
EASE,1000,3,overall,6013,0.3619899285183083,0.21938687454057174,0.8702810577082987,0.3621577277880084,0.3244628455110661,0.9261599866954932
EASE,1000,3,q1,5943,0.38450669316375785,0.28523484644543334,0.8761568231532896,0.40028997272862044,0.41722846947208875,0.9308430085815245
EASE,1000,3,q2,4400,0.009473979791142475,0.0170803377150251,0.04022727272727273,0.018186161635826814,0.04350809761897126,0.1009090909090909
EASE,1000,3,q3,2896,0.0006751081194993962,0.0014305445935280188,0.0027624309392265192,0.0016836109536856176,0.0047027098132070505,0.007941988950276244
EASE,1000,3,q4,1678,0.00037600104503662546,0.0005959475566150178,0.0005959475566150178,0.0005330784965905171,0.0010429082240762813,0.0017878426698450535
EASE,1000,3,q5,698,0.0,0.0,0.0,0.0,0.0,0.0
EASE,100,4,overall,6006,0.3293552204646274,0.20820732932365604,0.8621378621378621,0.3322068932061471,0.3042345915644798,0.9205794205794205
EASE,100,4,q1,5939,0.3441549132738474,0.261898185118128,0.8619296177807712,0.3592211580647593,0.37758549211833237,0.9176629062131672
EASE,100,4,q2,4417,0.01953049067352837,0.035520152173428174,0.09101199909440796,0.0325530452473293,0.07384754025522487,0.19583427665836542
EASE,100,4,q3,2931,0.0041770038850124395,0.008556873014396043,0.015353121801432957,0.006827225808041504,0.017370580201725966,0.032412146025247356
EASE,100,4,q4,1676,0.0010948979884634797,0.0019888623707239456,0.002386634844868735,0.0013805112907684925,0.0029832935560859188,0.003579952267303103
EASE,100,4,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
EASE,200,4,overall,6006,0.34452822166781283,0.21627662498147285,0.8679653679653679,0.348214795253041,0.3179215892544372,0.9282384282384283
EASE,200,4,q1,5939,0.36170488139788415,0.2739564395293119,0.8690015154066341,0.37884206720812375,0.3982215809177553,0.9270921030476511
EASE,200,4,q2,4417,0.01676811324577494,0.030875106316476296,0.07878650667874122,0.02942115776649166,0.06824958503357181,0.17704324201947022
EASE,200,4,q3,2931,0.003579590631805057,0.007992845722389945,0.012964858410098942,0.0055684828471216944,0.014261899201540359,0.02661207778915046
EASE,200,4,q4,1676,0.0008077933056703521,0.001392203659506762,0.0017899761336515514,0.0011927896357335772,0.002784407319013524,0.0029832935560859188
EASE,200,4,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
EASE,500,4,overall,6006,0.3602199710712781,0.22263170160415102,0.8736263736263736,0.36241559929929296,0.32716994336340544,0.9302364302364302
EASE,500,4,q1,5939,0.3802698067910618,0.28410241730312774,0.875736656002694,0.3974861059261437,0.4145021664985619,0.931133187405287
EASE,500,4,q2,4417,0.01313044221384553,0.025298925136798156,0.056146705908988,0.023172501832056325,0.05490141373994923,0.1353860086031243
EASE,500,4,q3,2931,0.002115727750993652,0.004821491885734164,0.007505970658478335,0.0038145550024703584,0.010397909667883778,0.018082565677243263
EASE,500,4,q4,1676,0.0006985399835327961,0.001392203659506762,0.0017899761336515514,0.0010587690582970083,0.002784407319013524,0.0029832935560859188
EASE,500,4,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
EASE,1000,4,overall,6006,0.36708242233220123,0.2243147335401804,0.8751248751248751,0.367134653706792,0.3290767962637339,0.9302364302364302
EASE,1000,4,q1,5939,0.38928570197258305,0.2889957463356868,0.8782623337262165,0.4049272474085133,0.419816887745413,0.932143458494696
EASE,1000,4,q2,4417,0.009379003176760494,0.019561842171495,0.03871405931627802,0.017722797789708235,0.04514140019599781,0.10097351143309939
EASE,1000,4,q3,2931,0.0012696508170053822,0.003151045474484574,0.004776526782668032,0.002780710555858425,0.008430287843557758,0.01330603889457523
EASE,1000,4,q4,1676,0.00036204672922243014,0.0005966587112171838,0.0005966587112171838,0.0006001485200632303,0.001392203659506762,0.0017899761336515514
EASE,1000,4,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
