model,ease_lambda,rp3_beta,rp3_topK,gamma,train_time_s,seed,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
Hybrid-GraphReg,200,0.6,200,0.01,10.462810516357422,0,0.34829527256440396,0.21460448424419576,0.8809920106524634,0.21866722795106602,0.35802107728337235,0.7511243389843796,2.478796984348833,0.35149969747338583,0.19200374335340484,0.9372503328894807,0.3216853790467957,0.4490632318501171,0.7440155195072369,2.638301901156304,0.34829527256440396,0.21460448424419576,0.8809920106524634,0.21866722795106602,0.35802107728337235,0.7511243389843796,2.478796984348833,4188005.5,1.2993869284602802e-68,6008,-1,-0.02123675945928016,0.0
Hybrid-GraphReg,200,0.6,200,0.05,8.943697452545166,0,0.34761966816585105,0.2141434552210809,0.8804926764314248,0.21844721728041902,0.3831967213114754,0.7589204717112603,2.4990623580493856,0.3510207289981908,0.19170333565923356,0.9370838881491345,0.32162758107229394,0.4833138173302108,0.7544879288749666,2.658563679699779,0.34761966816585105,0.2141434552210809,0.8804926764314248,0.21844721728041902,0.3831967213114754,0.7589204717112603,2.4990623580493856,4224979.5,3.4637256884865246e-70,6008,-1,-0.021912363857833093,0.0
Hybrid-GraphReg,200,0.6,200,0.1,9.458565950393677,0,0.3460788584652587,0.2129006992524287,0.8806591211717709,0.21760949087391723,0.4218384074941452,0.7676779099068465,2.538683793093843,0.35014733888912536,0.19098562059505492,0.9365845539280959,0.32156113287714766,0.5392271662763466,0.7681079136612639,2.695716421347432,0.3460788584652587,0.2129006992524287,0.8806591211717709,0.21760949087391723,0.4218384074941452,0.7676779099068465,2.538683793093843,4237770.0,2.685141775658608e-74,6008,-1,-0.023453173558425473,0.0
Hybrid-GraphReg,200,0.6,200,0.3,9.370954513549805,0,0.33201165647407443,0.20146001992828746,0.8695073235685752,0.21146707563503317,0.5963114754098361,0.7773721439651402,2.798324526084132,0.33592744077414477,0.18052307677831464,0.9289280958721704,0.3098763018738261,0.7388758782201406,0.7776714842439347,2.9332585347672797,0.33201165647407443,0.20146001992828746,0.8695073235685752,0.21146707563503317,0.5963114754098361,0.7773721439651402,2.798324526084132,3913084.0,8.833157537742097e-127,6008,-1,-0.03752037554960968,-0.013787415233834303
Hybrid-GraphReg,200,0.6,200,0.5,9.610533475875854,0,0.30768552084111395,0.18233559899369076,0.8457057256990679,0.1983330626815209,0.7131147540983607,0.752431897043679,3.137484170458691,0.3146780544327085,0.16480425734121443,0.9157789613848203,0.2938492452542014,0.8468969555035128,0.7507015763749498,3.223570108871275,0.30768552084111395,0.18233559899369076,0.8457057256990679,0.1983330626815209,0.7131147540983607,0.752431897043679,3.137484170458691,3296746.0,2.1408680926001568e-220,6008,-1,-0.061846511182570126,-0.037232784408046254
Hybrid-GraphReg,200,0.6,200,1.0,9.100225448608398,0,0.24126016429954264,0.13299032278893952,0.7711384820239681,0.16067261672583624,0.8594847775175644,0.6730192282224972,3.948168261031606,0.25392437608809837,0.12261174789783011,0.8748335552596538,0.248674598203463,0.9417447306791569,0.6613694692435783,3.9117016207784694,0.24126016429954264,0.13299032278893952,0.7711384820239681,0.16067261672583624,0.8594847775175644,0.6730192282224972,3.948168261031606,1981438.0,0.0,6008,-1,-0.12827186772414145,-0.10699313236726381
Hybrid-GraphReg,500,0.6,200,0.01,9.01469898223877,0,0.3635688235305321,0.2293181855566979,0.8856524633821571,0.22541514131915863,0.31059718969555034,0.757189251905408,2.3902030743118967,0.365490920466741,0.20423723556743384,0.9374167776298269,0.3319237913546891,0.40134660421545665,0.7503416305611481,2.556806953329293,0.3635688235305321,0.2293181855566979,0.8856524633821571,0.22541514131915863,0.31059718969555034,0.757189251905408,2.3902030743118967,3736702.5,1.1579382332441497e-17,6008,-1,-0.005963208493151997,0.0
Hybrid-GraphReg,500,0.6,200,0.05,9.01531982421875,0,0.36304676995066815,0.2289321839954974,0.8851531291611185,0.22508945219452547,0.3252341920374707,0.7619258330626673,2.404102674379237,0.3655629871724357,0.2041753448983418,0.9385818908122503,0.33264901673756486,0.4177400468384075,0.7547070502586133,2.570317596052429,0.36304676995066815,0.2289321839954974,0.8851531291611185,0.22508945219452547,0.3252341920374707,0.7619258330626673,2.404102674379237,3859877.0,4.843424408029121e-19,6008,-1,-0.006485262073016004,0.0
Hybrid-GraphReg,500,0.6,200,0.1,9.069252729415894,0,0.3630375050626925,0.22879210071148098,0.8864846870838882,0.2256927853521332,0.3436768149882904,0.7669666736231306,2.422400622762694,0.3657058164603674,0.20428131758203183,0.9387483355525965,0.332943989591891,0.4487704918032787,0.7640380775187334,2.5903453015392404,0.3630375050626925,0.22879210071148098,0.8864846870838882,0.2256927853521332,0.3436768149882904,0.7669666736231306,2.422400622762694,4037310.5,5.1648450242111156e-17,6008,-1,-0.006494526960991654,0.0
Hybrid-GraphReg,500,0.6,200,0.3,9.068378925323486,0,0.3603091695950875,0.22626898189245612,0.887982689747004,0.22530102577800828,0.43559718969555034,0.7829730833798663,2.531446305883249,0.36300625407334053,0.2021190234015997,0.9375832223701731,0.3313573441084979,0.5579625292740047,0.780330458304632,2.692018045139106,0.3603091695950875,0.22626898189245612,0.887982689747004,0.22530102577800828,0.43559718969555034,0.7829730833798663,2.531446305883249,4602293.5,5.814487166025819e-21,6008,-1,-0.009222862428596641,0.0
