model,ease_lambda,rp3_beta,rp3_topK,gamma,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-GraphReg,200,0.6,200,0.01,0,overall,6008,0.34829527256440396,0.21866722795106602,0.8809920106524634,0.35149969747338583,0.3216853790467957,0.9372503328894807
Hybrid-GraphReg,200,0.6,200,0.01,0,q1,5945,0.36403304324847846,0.2762134406016213,0.880067283431455,0.38104286800482273,0.40053754491602317,0.935407905803196
Hybrid-GraphReg,200,0.6,200,0.01,0,q2,4408,0.018030033886280574,0.03183020994049291,0.08212341197822141,0.030866335252729506,0.07112770255800697,0.17445553539019965
Hybrid-GraphReg,200,0.6,200,0.01,0,q3,2895,0.00242751528354488,0.004726016643115088,0.007944732297063902,0.005294703908109369,0.01433316635389174,0.024870466321243522
Hybrid-GraphReg,200,0.6,200,0.01,0,q4,1659,0.0008993879423239869,0.0011251758087201125,0.0024110910186859553,0.0011785194444720226,0.0023307213180630898,0.003616636528028933
Hybrid-GraphReg,200,0.6,200,0.01,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-GraphReg,200,0.6,200,0.05,0,overall,6008,0.34761966816585105,0.21844721728041902,0.8804926764314248,0.3510207289981908,0.32162758107229394,0.9370838881491345
Hybrid-GraphReg,200,0.6,200,0.05,0,q1,5945,0.36184173343615034,0.27449835642431264,0.8787216148023549,0.3789440361720036,0.39896353436035037,0.9345668629100085
Hybrid-GraphReg,200,0.6,200,0.05,0,q2,4408,0.020127862921940038,0.03504818631668176,0.09006352087114337,0.03287224294935731,0.07374292140995568,0.18352994555353902
Hybrid-GraphReg,200,0.6,200,0.05,0,q3,2895,0.0033264000712036864,0.00677552729366201,0.011398963730569948,0.00675114489850869,0.017761551327537307,0.03316062176165803
Hybrid-GraphReg,200,0.6,200,0.05,0,q4,1659,0.0013487727658996326,0.0023307213180630906,0.003616636528028933,0.001998455659685912,0.004842274462527627,0.006027727546714889
Hybrid-GraphReg,200,0.6,200,0.05,0,q5,693,0.000514007485004361,0.001443001443001443,0.001443001443001443,0.000514007485004361,0.001443001443001443,0.001443001443001443
Hybrid-GraphReg,200,0.6,200,0.1,0,overall,6008,0.3460788584652587,0.21760949087391723,0.8806591211717709,0.35014733888912536,0.32156113287714766,0.9365845539280959
Hybrid-GraphReg,200,0.6,200,0.1,0,q1,5945,0.358559818679197,0.27198171678316485,0.8772077375946173,0.3759489398378044,0.3965836366300818,0.9338940285954583
Hybrid-GraphReg,200,0.6,200,0.1,0,q2,4408,0.022212350091907012,0.037904907734012235,0.09891107078039928,0.035582656610465814,0.07837526042305774,0.19668784029038114
Hybrid-GraphReg,200,0.6,200,0.1,0,q3,2895,0.004520423757886553,0.009019285111177828,0.017271157167530225,0.008816893055848556,0.022701482659574706,0.044905008635578586
Hybrid-GraphReg,200,0.6,200,0.1,0,q4,1659,0.001841013790889412,0.0032511716056019854,0.0054249547920434,0.0028395178770308656,0.00674725358269662,0.0108499095840868
Hybrid-GraphReg,200,0.6,200,0.1,0,q5,693,0.000910432544836158,0.001443001443001443,0.001443001443001443,0.000910432544836158,0.001443001443001443,0.001443001443001443
Hybrid-GraphReg,200,0.6,200,0.3,0,overall,6008,0.33201165647407443,0.21146707563503317,0.8695073235685752,0.33592744077414477,0.3098763018738261,0.9289280958721704
Hybrid-GraphReg,200,0.6,200,0.3,0,q1,5945,0.3372238388240007,0.25792857385710466,0.8592094196804037,0.35364891543972254,0.37506691276049914,0.9217830109335576
Hybrid-GraphReg,200,0.6,200,0.3,0,q2,4408,0.028836799326191376,0.04615224101842556,0.12522686025408347,0.04285123432511936,0.08774620321967024,0.23049001814882034
Hybrid-GraphReg,200,0.6,200,0.3,0,q3,2895,0.010246779757431691,0.018556382381545267,0.04145077720207254,0.015249873186939584,0.03455397042684823,0.07115716753022452
Hybrid-GraphReg,200,0.6,200,0.3,0,q4,1659,0.0067188404684575855,0.012339645251037657,0.022905364677516575,0.009927259422250673,0.023677087058642212,0.04038577456298975
Hybrid-GraphReg,200,0.6,200,0.3,0,q5,693,0.00362145305331092,0.005582380582380582,0.012987012987012988,0.004488120979111706,0.00870888370888371,0.017316017316017316
Hybrid-GraphReg,200,0.6,200,0.5,0,overall,6008,0.30768552084111395,0.1983330626815209,0.8457057256990679,0.3146780544327085,0.2938492452542014,0.9157789613848203
Hybrid-GraphReg,200,0.6,200,0.5,0,q1,5945,0.3068961694293711,0.2374308958039712,0.8272497897392767,0.32517601619984743,0.3495955155547451,0.9039529015979815
Hybrid-GraphReg,200,0.6,200,0.5,0,q2,4408,0.03231363489870522,0.05045461474523301,0.14292196007259528,0.04714393380434646,0.09457826668336272,0.24977313974591653
Hybrid-GraphReg,200,0.6,200,0.5,0,q3,2895,0.014764413679843302,0.025155401286263653,0.05561312607944732,0.02152200652740169,0.046558479246543896,0.09948186528497409
Hybrid-GraphReg,200,0.6,200,0.5,0,q4,1659,0.012216684125923756,0.023564135046956022,0.039783001808318265,0.01639615695684287,0.03821755128265074,0.0644966847498493
Hybrid-GraphReg,200,0.6,200,0.5,0,q5,693,0.005784241640460961,0.00834813334813335,0.017316017316017316,0.009560964426351699,0.02216368287796859,0.03751803751803752
Hybrid-GraphReg,200,0.6,200,1.0,0,overall,6008,0.24126016429954264,0.16067261672583624,0.7711384820239681,0.25392437608809837,0.248674598203463,0.8748335552596538
Hybrid-GraphReg,200,0.6,200,1.0,0,q1,5945,0.23118967686682484,0.18411942937619521,0.7315391084945332,0.252706502276927,0.28520452964015086,0.8459209419680404
Hybrid-GraphReg,200,0.6,200,1.0,0,q2,4408,0.03552119253868386,0.05465345500173946,0.1569872958257713,0.05117385086405491,0.10216391853584385,0.2690562613430127
Hybrid-GraphReg,200,0.6,200,1.0,0,q3,2895,0.020931414703202415,0.034276833073642925,0.07841105354058722,0.029207768739056575,0.06079867555943579,0.1316062176165803
Hybrid-GraphReg,200,0.6,200,1.0,0,q4,1659,0.02261231077272492,0.03830095706225905,0.06570223025919228,0.027818049028155545,0.05620218536131737,0.09342977697408077
Hybrid-GraphReg,200,0.6,200,1.0,0,q5,693,0.012973734178010753,0.0223830402401831,0.03607503607503607,0.01680972809851006,0.03563169634598206,0.05627705627705628
Hybrid-GraphReg,500,0.6,200,0.01,0,overall,6008,0.3635688235305321,0.22541514131915863,0.8856524633821571,0.365490920466741,0.3319237913546891,0.9374167776298269
Hybrid-GraphReg,500,0.6,200,0.01,0,q1,5945,0.38259391160777534,0.28779169547994177,0.8881412952060556,0.3995983303271942,0.41886300275380334,0.9382674516400337
Hybrid-GraphReg,500,0.6,200,0.01,0,q2,4408,0.012954766009039807,0.023440010894113697,0.05694192377495463,0.02455013350959619,0.05882593452281753,0.13566243194192376
Hybrid-GraphReg,500,0.6,200,0.01,0,q3,2895,0.0013654746279018397,0.0024179620034542313,0.0037996545768566492,0.003201162373352171,0.008711940525412028,0.015198618307426597
Hybrid-GraphReg,500,0.6,200,0.01,0,q4,1659,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777
Hybrid-GraphReg,500,0.6,200,0.01,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-GraphReg,500,0.6,200,0.05,0,overall,6008,0.36304676995066815,0.22508945219452547,0.8851531291611185,0.3655629871724357,0.33264901673756486,0.9385818908122503
Hybrid-GraphReg,500,0.6,200,0.05,0,q1,5945,0.38138202714928643,0.28688854621794213,0.8873002523128679,0.3986470705655549,0.4184144752298374,0.9387720773759461
Hybrid-GraphReg,500,0.6,200,0.05,0,q2,4408,0.01400137783462952,0.02499339631573334,0.06102540834845735,0.02604329402095051,0.06151427697154402,0.14496370235934664
Hybrid-GraphReg,500,0.6,200,0.05,0,q3,2895,0.0015798876590610962,0.0028785261945883708,0.004490500863557859,0.0039750224560925855,0.010758310965564852,0.01865284974093264
Hybrid-GraphReg,500,0.6,200,0.05,0,q4,1659,0.0007875669658726517,0.0009041591320072332,0.0012055455093429777,0.0010634523881095956,0.0018284106891701829,0.0030138637733574444
Hybrid-GraphReg,500,0.6,200,0.05,0,q5,693,0.0,0.0,0.0,0.00034604973530754903,0.001443001443001443,0.001443001443001443
Hybrid-GraphReg,500,0.6,200,0.1,0,overall,6008,0.3630375050626925,0.2256927853521332,0.8864846870838882,0.3657058164603674,0.332943989591891,0.9387483355525965
Hybrid-GraphReg,500,0.6,200,0.1,0,q1,5945,0.38031624693136223,0.2865137717268213,0.887636669470143,0.3975950078722581,0.41740281071538476,0.9382674516400337
Hybrid-GraphReg,500,0.6,200,0.1,0,q2,4408,0.015686535959949545,0.027443825967260194,0.06715063520871144,0.027750866204831536,0.06332054693504664,0.15335753176043557
Hybrid-GraphReg,500,0.6,200,0.1,0,q3,2895,0.0023266493634981748,0.004780970325011775,0.007253886010362694,0.004732582754022411,0.0122865906712295,0.02383419689119171
Hybrid-GraphReg,500,0.6,200,0.1,0,q4,1659,0.0010810187385435373,0.0016073940124573037,0.0024110910186859553,0.0016349643611387142,0.0036367289531846494,0.004822182037371911
Hybrid-GraphReg,500,0.6,200,0.1,0,q5,693,0.000514007485004361,0.001443001443001443,0.001443001443001443,0.000514007485004361,0.001443001443001443,0.001443001443001443
