model,ease_lambda,rp3_beta,rp3_topK,gamma,train_time_s_mean,train_time_s_std,train_time_s_count,NDCG@10_mean,NDCG@10_std,NDCG@10_count,MAP@10_mean,MAP@10_std,MAP@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,Coverage@10_mean,Coverage@10_std,Coverage@10_count,Gini@10_mean,Gini@10_std,Gini@10_count,Novelty@10_mean,Novelty@10_std,Novelty@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,MAP@20_mean,MAP@20_std,MAP@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,Coverage@20_mean,Coverage@20_std,Coverage@20_count,Gini@20_mean,Gini@20_std,Gini@20_count,Novelty@20_mean,Novelty@20_std,Novelty@20_count,NDCG@k_mean,NDCG@k_std,NDCG@k_count,MAP@k_mean,MAP@k_std,MAP@k_count,HitRate@k_mean,HitRate@k_std,HitRate@k_count,Recall@k_mean,Recall@k_std,Recall@k_count,Coverage@k_mean,Coverage@k_std,Coverage@k_count,Gini@k_mean,Gini@k_std,Gini@k_count,Novelty@k_mean,Novelty@k_std,Novelty@k_count,wilcoxon_vs_EASE_stat_mean,wilcoxon_vs_EASE_stat_std,wilcoxon_vs_EASE_stat_count,wilcoxon_vs_EASE_p_mean,wilcoxon_vs_EASE_p_std,wilcoxon_vs_EASE_p_count,wilcoxon_vs_EASE_n_pairs_mean,wilcoxon_vs_EASE_n_pairs_std,wilcoxon_vs_EASE_n_pairs_count,wilcoxon_vs_EASE_sign_mean,wilcoxon_vs_EASE_sign_std,wilcoxon_vs_EASE_sign_count,wilcoxon_vs_EASE_mean_diff_mean,wilcoxon_vs_EASE_mean_diff_std,wilcoxon_vs_EASE_mean_diff_count,wilcoxon_vs_EASE_median_diff_mean,wilcoxon_vs_EASE_median_diff_std,wilcoxon_vs_EASE_median_diff_count
Hybrid-GraphReg,200,0.6,200,0.01,9.147536087036134,0.7500959026107958,5,0.34513322072294744,0.0022527393012333947,5,0.21216164047392622,0.0017603223419924582,5,0.8732240206966209,0.005651962546740521,5,0.21577966309403837,0.0020985810062254077,5,0.35749414519906325,0.001425136000543109,5,0.7518271229525093,0.0009374906892957895,5,2.4741248726102603,0.0028376036334477545,5,0.34801078198374485,0.0027414981572562633,5,0.18953904794798998,0.0019682150206469127,5,0.9304214410915332,0.006944963185155484,5,0.31784181591233285,0.002833926521072223,5,0.4504683840749415,0.0031077358377260386,5,0.7455202403177188,0.0017308417506973618,5,2.6358047144815204,0.0024443118475915146,5,0.34513322072294744,0.0022527393012333947,5,0.21216164047392622,0.0017603223419924582,5,0.8732240206966209,0.005651962546740521,5,0.21577966309403837,0.0020985810062254077,5,0.35749414519906325,0.001425136000543109,5,0.7518271229525093,0.0009374906892957895,5,2.4741248726102603,0.0028376036334477545,5,4133594.0,64900.78143404747,5,3.95428339293743e-58,8.842046467439728e-58,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.020931645911289865,0.0011460181245251493,5,0.0,0.0,5
Hybrid-GraphReg,200,0.6,200,0.05,9.233559083938598,0.7935473553269466,5,0.3447725038214977,0.0023124743252192857,5,0.21191046818269962,0.001919537986629342,5,0.8734238155022883,0.005623015534558808,5,0.21566527485004022,0.0021460922877687017,5,0.3809718969555035,0.0022826216264189825,5,0.7584527178302751,0.0014745365893451706,5,2.4952369642319594,0.0025941591683322873,5,0.3479237322190625,0.002584382671288118,5,0.18947929746677528,0.0019333375640722937,5,0.9304880025009229,0.006953400332159466,5,0.3179803485432703,0.0029826828806212642,5,0.48770491803278687,0.002784879623893497,5,0.7567912055711974,0.0013418439577193716,5,2.6573817454505404,0.0026482683551224363,5,0.3447725038214977,0.0023124743252192857,5,0.21191046818269962,0.001919537986629342,5,0.8734238155022883,0.005623015534558808,5,0.21566527485004022,0.0021460922877687017,5,0.3809718969555035,0.0022826216264189825,5,0.7584527178302751,0.0014745365893451706,5,2.4952369642319594,0.0025941591683322873,5,4173218.7,54643.61902431981,5,3.650834664747015e-60,8.163514276345514e-60,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.021292362812739545,0.0010921271622748125,5,-9.600759995313512e-05,0.00021467951985181576,5
Hybrid-GraphReg,200,0.6,200,0.1,9.21083836555481,0.6227240244236826,5,0.34349523304931046,0.002446124449661308,5,0.21085427953292663,0.002008494695848173,5,0.8730581354001054,0.00623375551690127,5,0.21494717534032542,0.0023516007969556036,5,0.42248243559718973,0.0010224970255604633,5,0.7688829765395246,0.0013121698583461855,5,2.534320028475671,0.0031074434965377056,5,0.3469321607026723,0.0026561777321554513,5,0.18867562454370426,0.0019393942892369943,5,0.9304879582245238,0.006766390754460112,5,0.3175121874356839,0.003322799739746489,5,0.5422131147540984,0.005118348551683121,5,0.7693037147129671,0.001610823576207351,5,2.6949293584979963,0.002338991447791002,5,0.34349523304931046,0.002446124449661308,5,0.21085427953292663,0.002008494695848173,5,0.8730581354001054,0.00623375551690127,5,0.21494717534032542,0.0023516007969556036,5,0.42248243559718973,0.0010224970255604633,5,0.7688829765395246,0.0013121698583461855,5,2.534320028475671,0.0031074434965377056,5,4197631.8,24663.716879760814,5,1.1126117364536594e-67,2.4844359600433255e-67,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.02256963358492683,0.000854475460249471,5,-0.0005111866522548969,0.0008184251991644862,5
Hybrid-GraphReg,200,0.6,200,0.3,9.024178504943848,0.36782249602468436,5,0.32791307198509834,0.002762493197907855,5,0.1980722523577463,0.00240254358839418,5,0.8624372573793504,0.005708382433971731,5,0.20681712416416692,0.003174102735176239,5,0.590807962529274,0.004259342531936028,5,0.7759465115388415,0.0015547053197766851,5,2.7997105584212916,0.003242955477070986,5,0.33291762885546666,0.0023882458542386943,5,0.17782116174905177,0.0019492126898751024,5,0.9235294970429786,0.00609807932413553,5,0.307737410903154,0.0025104652165613846,5,0.7287470725995316,0.00632142290478996,5,0.7756318455371599,0.0013565687613859552,5,2.9323956905328012,0.0028320555439092393,5,0.32791307198509834,0.002762493197907855,5,0.1980722523577463,0.00240254358839418,5,0.8624372573793504,0.005708382433971731,5,0.20681712416416692,0.003174102735176239,5,0.590807962529274,0.004259342531936028,5,0.7759465115388415,0.0015547053197766851,5,2.7997105584212916,0.003242955477070986,5,3833235.4,51829.57670384739,5,1.8400773321011516e-119,4.1145379490553844e-119,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.03815179464913894,0.0007846851792309106,5,-0.01350695491447238,0.001913562778577048,5
Hybrid-GraphReg,200,0.6,200,0.5,8.958902883529664,0.3808062819588722,5,0.3032258315234002,0.0029460150873524362,5,0.1788539985890325,0.0024224717436429994,5,0.8396985947851666,0.0050636017898776624,5,0.19349625726786016,0.0029617867863856004,5,0.7086065573770493,0.005994384121419364,5,0.7512364334889352,0.001761703990152121,5,3.1424588903460147,0.0069732777888087995,5,0.3108426527501903,0.0027215172535148403,5,0.16164098718928713,0.002172179071892722,5,0.911577343412515,0.0065665890540337725,5,0.2917558193654424,0.00292021964055034,5,0.8386416861826698,0.006127993903967115,5,0.7494651201601652,0.001014328584877573,5,3.226043222694912,0.006736480908100556,5,0.3032258315234002,0.0029460150873524362,5,0.1788539985890325,0.0024224717436429994,5,0.8396985947851666,0.0050636017898776624,5,0.19349625726786016,0.0029617867863856004,5,0.7086065573770493,0.005994384121419364,5,0.7512364334889352,0.001761703990152121,5,3.1424588903460147,0.0069732777888087995,5,3212161.7,59508.928665789346,5,2.4896306047792485e-215,0.0,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.06283903511083702,0.000830437947913844,5,-0.03720733011288976,0.0016615871743963857,5
Hybrid-GraphReg,200,0.6,200,1.0,9.068119764328003,0.5009140196141505,5,0.23702619970933392,0.002539282904660833,5,0.1301921815724761,0.0015843300268610272,5,0.7629266077865885,0.0063191318874650775,5,0.1567232127565458,0.0024821941768212825,5,0.8486533957845432,0.007068323458811231,5,0.6708587577230738,0.0023330103648949406,5,3.9512914684482574,0.013076121206991375,5,0.24989632471295495,0.002525043916311094,5,0.11984714775543506,0.001601443851875757,5,0.8654996640713983,0.006870242867846201,5,0.24466623950122343,0.0028453625890216537,5,0.9402224824355973,0.002223668502907825,5,0.6618260953949308,0.000998052010991597,5,3.916641723824525,0.010362919541325843,5,0.23702619970933392,0.002539282904660833,5,0.1301921815724761,0.0015843300268610272,5,0.7629266077865885,0.0063191318874650775,5,0.1567232127565458,0.0024821941768212825,5,0.8486533957845432,0.007068323458811231,5,0.6708587577230738,0.0023330103648949406,5,3.9512914684482574,0.013076121206991375,5,1882010.0,78675.91429719771,5,0.0,0.0,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.12903866692490337,0.0019358577243746562,5,-0.1045933647620905,0.0036579194745565763,5
Hybrid-GraphReg,500,0.6,200,0.01,8.894280672073364,0.2018332702261878,5,0.3604037104803885,0.0026301105705055818,5,0.22667376908844766,0.002090971862397768,5,0.8778514349275449,0.005037666813794303,5,0.2224141586362684,0.002350058672666125,5,0.31247072599531617,0.002002650044085143,5,0.7589776055729003,0.0016473208373814436,5,2.3885443492264096,0.0013288363155022648,5,0.36228137713547004,0.002716937787778448,5,0.2018630018460541,0.0019466998944432784,5,0.9333842970464744,0.005976404512678573,5,0.3278538891130256,0.003049928850982182,5,0.4044496487119438,0.0029536295680630954,5,0.7526905876083895,0.00219919348827853,5,2.555213659225977,0.002196209420113383,5,0.3604037104803885,0.0026301105705055818,5,0.22667376908844766,0.002090971862397768,5,0.8778514349275449,0.005037666813794303,5,0.2224141586362684,0.002350058672666125,5,0.31247072599531617,0.002002650044085143,5,0.7589776055729003,0.0016473208373814436,5,2.3885443492264096,0.0013288363155022648,5,3694906.3,94794.4582244922,5,4.2429329661286096e-12,7.708409019384665e-12,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.005661156153848804,0.0010380067642057648,5,0.0,0.0,5
Hybrid-GraphReg,500,0.6,200,0.05,8.868050289154052,0.1965612902136814,5,0.36040495730318184,0.0023089738274056013,5,0.2267656693996062,0.001795769535926777,5,0.8776847021426146,0.004569447465963645,5,0.22237004158133575,0.0022170975502765456,5,0.32640515222482436,0.0024579706709231108,5,0.7630360049917234,0.0016925875026974403,5,2.402584977236736,0.002141437438028087,5,0.36263301013519933,0.002686898902293027,5,0.20209727654896437,0.0019244637337916116,5,0.933783869708121,0.006315643864434382,5,0.3284729208889599,0.0030782852724800373,5,0.4210187353629976,0.0024086653900145328,5,0.7568813991829855,0.0014977069690200468,5,2.56877726820976,0.0025300623368873644,5,0.36040495730318184,0.0023089738274056013,5,0.2267656693996062,0.001795769535926777,5,0.8776847021426146,0.004569447465963645,5,0.22237004158133575,0.0022170975502765456,5,0.32640515222482436,0.0024579706709231108,5,0.7630360049917234,0.0016925875026974403,5,2.402584977236736,0.002141437438028087,5,3853157.8,50009.11548232982,5,3.127241825227938e-10,6.99087565984813e-10,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.005659909331055463,0.0009129825096785442,5,0.0,0.0,5
Hybrid-GraphReg,500,0.6,200,0.1,8.904500389099121,0.19447230681962513,5,0.3603826949462611,0.0022688204623819703,5,0.2266893282580636,0.0016854716286499962,5,0.8780509692901486,0.005200488137035917,5,0.22263086293449982,0.0023522776811152513,5,0.3443793911007026,0.003150187600073696,5,0.767669010106788,0.001966568921164623,5,2.42116517985935,0.0017276299586408991,5,0.36276534917806436,0.002610046749903214,5,0.20213856659501156,0.001848029027855118,5,0.9345827494099457,0.0059707242417929495,5,0.32887108447126207,0.003183117704200828,5,0.4507611241217798,0.0024086653900145163,5,0.7655975604367307,0.0018021786430619893,5,2.5880609075288765,0.002407629348393077,5,0.3603826949462611,0.0022688204623819703,5,0.2266893282580636,0.0016854716286499962,5,0.8780509692901486,0.005200488137035917,5,0.22263086293449982,0.0023522776811152513,5,0.3443793911007026,0.003150187600073696,5,0.767669010106788,0.001966568921164623,5,2.42116517985935,0.0017276299586408991,5,4015177.3,63753.05275298583,5,1.4646422556786182e-10,3.2726642119028806e-10,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.005682171687976218,0.0007841016023653497,5,0.0,0.0,5
Hybrid-GraphReg,500,0.6,200,0.3,8.863491201400757,0.16214234125319557,5,0.35684171733928255,0.0027697206841212473,5,0.22358316343592657,0.0020420656767789155,5,0.878051102119346,0.006318752312102953,5,0.2214753689338353,0.002915587575113412,5,0.43542154566744734,0.0027430226639631374,5,0.7830939216532957,0.000981500267632431,5,2.529389260858989,0.0023916830798261885,5,0.3598454101284923,0.0028426217909618477,5,0.19964626719012105,0.0020340635840622305,5,0.9342500759668699,0.006250669107851091,5,0.32772817446896657,0.003245326524557954,5,0.5620023419203747,0.004579300280623322,5,0.7822303525451477,0.0017887287789935605,5,2.6908644464877005,0.003110417940534782,5,0.35684171733928255,0.0027697206841212473,5,0.22358316343592657,0.0020420656767789155,5,0.878051102119346,0.006318752312102953,5,0.2214753689338353,0.002915587575113412,5,0.43542154566744734,0.0027430226639631374,5,0.7830939216532957,0.000981500267632431,5,2.529389260858989,0.0023916830798261885,5,4452741.7,117564.48484055467,5,2.07741618022092e-19,2.8242906768536314e-19,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.009223149294954736,0.00072540195355809,5,0.0,0.0,5
