model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-Matrix,0.3,200,0.3,200,0,overall,6008,0.2765489525458555,0.16135921015237398,0.7934420772303595,0.2726706451513953,0.2353190107749251,0.8726697736351531
Hybrid-Matrix,0.3,200,0.3,200,0,q1,5945,0.29371119578216554,0.20748300330819772,0.8013456686291001,0.3024628032076852,0.30393787544519474,0.8810765349032801
Hybrid-Matrix,0.3,200,0.3,200,0,q2,4408,0.0005558387586054746,0.0010154697087546452,0.001588021778584392,0.001144695178345047,0.0031652406879267136,0.004537205081669692
Hybrid-Matrix,0.3,200,0.3,200,0,q3,2895,0.00026437327702543063,0.00023028209556706964,0.0003454231433506045,0.00039534713433047973,0.0006332757628094416,0.0010362694300518134
Hybrid-Matrix,0.3,200,0.3,200,0,q4,1659,0.0003803072655644711,0.0006027727546714888,0.0006027727546714888,0.0003803072655644711,0.0006027727546714888,0.0006027727546714888
Hybrid-Matrix,0.3,200,0.3,200,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.5,200,0.3,200,0,overall,6008,0.29217299876098207,0.17570799352034125,0.8164114513981359,0.2882650510505966,0.25188098922328184,0.8874833555259654
Hybrid-Matrix,0.5,200,0.3,200,0,q1,5945,0.31066589796689337,0.2247767056972303,0.8238856181665265,0.3202897312846661,0.32516673094658044,0.895542472666106
Hybrid-Matrix,0.5,200,0.3,200,0,q2,4408,0.0013889302624829423,0.0026413015296862844,0.004083484573502722,0.0020874665523137673,0.005016042260824475,0.007713248638838476
Hybrid-Matrix,0.5,200,0.3,200,0,q3,2895,0.0004450327421852083,0.0006332757628094416,0.0010362694300518134,0.000540654092769226,0.0009211283822682786,0.001381692573402418
Hybrid-Matrix,0.5,200,0.3,200,0,q4,1659,0.0006027727546714888,0.0006027727546714888,0.0006027727546714888,0.0006027727546714888,0.0006027727546714888,0.0006027727546714888
Hybrid-Matrix,0.5,200,0.3,200,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.7,200,0.3,200,0,overall,6008,0.31271958299219105,0.19254534402931722,0.8398801597869507,0.3108174829099952,0.27766242491425336,0.9102862849533955
