model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,bucket,NDCG@10_mean,NDCG@10_std,NDCG@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,n_users_mean,n_users_std,n_users_count
Hybrid-Score,0.3,200,0.3,200,overall,0.3503587413666367,0.0030078758370780476,5,0.21691225641368264,0.0030269503821574416,5,0.8722591059543781,0.005488149701277478,5,0.34910540078777696,0.0027858166563734465,5,0.31577831535841266,0.0027706066209333864,5,0.9293893282978699,0.006299251930437382,5,6007.4,3.4351128074635104,5
Hybrid-Score,0.3,200,0.3,200,q1,0.3720595554436132,0.0026522686205786533,5,0.27942625519405945,0.002807406630697523,5,0.8758838593748441,0.004861506699444352,5,0.38652104010263616,0.002471655892415228,5,0.4041663091200083,0.002293643556939667,5,0.9321021553660438,0.005829520053505123,5,5941.2,4.147288270665454,5
Hybrid-Score,0.3,200,0.3,200,q2,0.008665264878499394,0.0002970551156205493,5,0.017031478800142504,0.001140179020212842,5,0.029834392981574687,0.002311215475667373,5,0.014399946426200124,0.00046585869564034414,5,0.03568784540393608,0.002165238431527448,5,0.061238285638473,0.0038004973578233884,5,4440.2,45.146428430164846,5
Hybrid-Score,0.3,200,0.3,200,q3,0.001784278221462584,0.0003073479078022811,5,0.0037159792074746996,0.0008892779693630944,5,0.005243849210599667,0.000924211309797988,5,0.0030453246564049277,0.0003817280554373613,5,0.008032774480958451,0.0011860882469771378,5,0.011595341134088678,0.0014116933710195674,5,2896.4,24.795160818191906,5
Hybrid-Score,0.3,200,0.3,200,q4,0.0004718112347005435,0.00026963717751790395,5,0.000854975620581055,0.0004121185092116367,5,0.001204732732194231,0.0005844301026766541,5,0.0005683523033717969,0.0003302862208453808,5,0.001199862331200157,0.000687098178763767,5,0.001569436951060356,0.0007873569002087396,5,1647.8,38.15363678602605,5
Hybrid-Score,0.3,200,0.3,200,q5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,7.473227001746438e-05,0.00016710643587191973,5,0.000291970802919708,0.0006528665627736611,5,0.000291970802919708,0.0006528665627736611,5,690.4,16.379865689315046,5
Hybrid-Score,0.3,200,0.6,200,overall,0.3556699367933359,0.0029644143184635436,5,0.2194702536307712,0.0030907845932844954,5,0.8750888113988406,0.006605205165187541,5,0.35496185409406006,0.002960851709367563,5,0.3202286220573864,0.0034435262954565097,5,0.931753032869368,0.0074643409376129845,5,6007.4,3.4351128074635104,5
Hybrid-Score,0.3,200,0.6,200,q1,0.37616323241614147,0.0024067354083211067,5,0.2814209030359205,0.0028685662761359578,5,0.8774659098711985,0.006480240735016651,5,0.39092772847604906,0.002517806928115556,5,0.40761314979916213,0.003091859697045534,5,0.9333816572144441,0.007035943807698704,5,5941.2,4.147288270665454,5
Hybrid-Score,0.3,200,0.6,200,q2,0.01082106575715943,0.0003099680493015796,5,0.020135425970270848,0.0013039330053344473,5,0.03677351920151846,0.0023691743991590144,5,0.017748456220790992,0.0005717798488009694,5,0.04225551260825347,0.0019801082601024335,5,0.07664356514209184,0.004863043371002538,5,4440.2,45.146428430164846,5
Hybrid-Score,0.3,200,0.6,200,q3,0.00307037763069049,0.00040825802129523776,5,0.0063144356221358335,0.0011956485950131805,5,0.009460570529427163,0.0012390026042096041,5,0.004879843298518034,0.0004813496240001225,5,0.012440848527363657,0.001699475648790403,5,0.019270022440422536,0.0021491938983299653,5,2896.4,24.795160818191906,5
Hybrid-Score,0.3,200,0.6,200,q4,0.0006753896765916546,0.00034986890888911033,5,0.0010840273159450607,0.0005342808515677018,5,0.0014570986627936004,0.0005458673237493823,5,0.0011682829716267997,0.00044415499147018253,5,0.0029393103060909387,0.001285682604124507,5,0.0036474045675762372,0.0009768800501288512,5,1647.8,38.15363678602605,5
Hybrid-Score,0.3,200,0.6,200,q5,0.000432888628592442,0.0004739559662172007,5,0.0011542320352847751,0.0012175203869039385,5,0.0011542320352847751,0.0012175203869039385,5,0.0005804765366396023,0.0003256924923935244,5,0.0017410652868744734,0.0006597679372467167,5,0.0017410652868744734,0.0006597679372467167,5,690.4,16.379865689315046,5
Hybrid-Score,0.3,500,0.3,200,overall,0.35669988946215814,0.0033214527842420115,5,0.21951386968676045,0.0033429248345789877,5,0.8741565156921733,0.005841754097063989,5,0.3547228082304018,0.0026413257683695723,5,0.3193783794384206,0.0030742906959883485,5,0.930720571114826,0.005233354522668748,5,6007.4,3.4351128074635104,5
Hybrid-Score,0.3,500,0.3,200,q1,0.37980140548124885,0.0028057437646778873,5,0.2843444046040009,0.002919133308483211,5,0.8792504392573468,0.005437530883004724,5,0.39413013767611726,0.0023321270026586387,5,0.411174682985379,0.0029534099008060536,5,0.9350981207065072,0.005005542149350304,5,5941.2,4.147288270665454,5
Hybrid-Score,0.3,500,0.3,200,q2,0.0067091635748774275,0.00034482540104240327,5,0.013364394758646198,0.0007506243430293017,5,0.023970060064656424,0.0017028794103281825,5,0.011828274785625016,0.0006351877168284247,5,0.030114235380716576,0.0015595463599865265,5,0.05164329363699373,0.0033599796867937403,5,4440.2,45.146428430164846,5
Hybrid-Score,0.3,500,0.3,200,q3,0.0011813621309856638,0.000302839948260702,5,0.002622225947619248,0.0009039005780147027,5,0.0036538953050763885,0.0010793229783929849,5,0.002101203684155984,0.0003999416958421514,5,0.0057715164045051125,0.0015824556994707643,5,0.00835572439040817,0.0016479691531584271,5,2896.4,24.795160818191906,5
Hybrid-Score,0.3,500,0.3,200,q4,0.0003571404834918252,0.00020002245302395665,5,0.0006958666309231393,0.000287620396288587,5,0.0009660692477073577,0.0005264686746520058,5,0.0004459291938692369,0.00029736153700554165,5,0.0010140846102389706,0.0007142230357584857,5,0.001324064474437668,0.0007663903413273536,5,1647.8,38.15363678602605,5
Hybrid-Score,0.3,500,0.3,200,q5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,690.4,16.379865689315046,5
Hybrid-Score,0.3,500,0.6,200,overall,0.35907580330107836,0.0032858084790161547,5,0.22039537801531814,0.003439123642610334,5,0.8755214904497454,0.00498038919328935,5,0.35795817952285114,0.002885988788694286,5,0.3215762299665059,0.0032341673277717837,5,0.9322849915531553,0.005154686952082583,5,6007.4,3.4351128074635104,5
Hybrid-Score,0.3,500,0.6,200,q1,0.38072859444665447,0.0028786633385709253,5,0.28383276419226283,0.003185089438143663,5,0.8788128928537369,0.004855364949840317,5,0.3956202320569089,0.002497809164790492,5,0.4118257987708186,0.002626171543886304,5,0.9350307523308539,0.005084759246028415,5,5941.2,4.147288270665454,5
Hybrid-Score,0.3,500,0.6,200,q2,0.009193717253470693,0.0002608364139550513,5,0.017419512006497058,0.0009611305064292262,5,0.03136261881139476,0.0022229604964522556,5,0.015327148942425036,0.0006359305822509928,5,0.03705211066714892,0.0019728568972747413,5,0.06682799410916726,0.004592437052777766,5,4440.2,45.146428430164846,5
Hybrid-Score,0.3,500,0.6,200,q3,0.002174347767438817,0.0002897017264721614,5,0.004490223202667022,0.0007260544732681673,5,0.006970048087811981,0.001041775814258171,5,0.003840113620435183,0.0003344343756204722,5,0.010029968643772818,0.0012533079723855815,5,0.015951243451759786,0.00178267547187356,5,2896.4,24.795160818191906,5
Hybrid-Score,0.3,500,0.6,200,q4,0.0006313127614373304,0.0003716354920347322,5,0.0009578443506453761,0.000457672685574649,5,0.0013309156974939157,0.0004900552380771702,5,0.0009737604851283697,0.000462152213303601,5,0.0022706970433542723,0.001226726123771421,5,0.0027935313772152024,0.0009120941126960282,5,1647.8,38.15363678602605,5
Hybrid-Score,0.3,500,0.6,200,q5,0.00040833513035581296,0.00044775536151518664,5,0.0011542320352847751,0.0012175203869039385,5,0.0011542320352847751,0.0012175203869039385,5,0.00047578754106258615,0.00039290715190673406,5,0.0014407649865741732,0.0010324958956540653,5,0.0014407649865741732,0.0010324958956540653,5,690.4,16.379865689315046,5
