model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,train_time_s_mean,train_time_s_std,train_time_s_count,NDCG@10_mean,NDCG@10_std,NDCG@10_count,MAP@10_mean,MAP@10_std,MAP@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,Coverage@10_mean,Coverage@10_std,Coverage@10_count,Gini@10_mean,Gini@10_std,Gini@10_count,Novelty@10_mean,Novelty@10_std,Novelty@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,MAP@20_mean,MAP@20_std,MAP@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,Coverage@20_mean,Coverage@20_std,Coverage@20_count,Gini@20_mean,Gini@20_std,Gini@20_count,Novelty@20_mean,Novelty@20_std,Novelty@20_count,NDCG@k_mean,NDCG@k_std,NDCG@k_count,MAP@k_mean,MAP@k_std,MAP@k_count,HitRate@k_mean,HitRate@k_std,HitRate@k_count,Recall@k_mean,Recall@k_std,Recall@k_count,Coverage@k_mean,Coverage@k_std,Coverage@k_count,Gini@k_mean,Gini@k_std,Gini@k_count,Novelty@k_mean,Novelty@k_std,Novelty@k_count,wilcoxon_vs_EASE_stat_mean,wilcoxon_vs_EASE_stat_std,wilcoxon_vs_EASE_stat_count,wilcoxon_vs_EASE_p_mean,wilcoxon_vs_EASE_p_std,wilcoxon_vs_EASE_p_count,wilcoxon_vs_EASE_n_pairs_mean,wilcoxon_vs_EASE_n_pairs_std,wilcoxon_vs_EASE_n_pairs_count,wilcoxon_vs_EASE_sign_mean,wilcoxon_vs_EASE_sign_std,wilcoxon_vs_EASE_sign_count,wilcoxon_vs_EASE_mean_diff_mean,wilcoxon_vs_EASE_mean_diff_std,wilcoxon_vs_EASE_mean_diff_count,wilcoxon_vs_EASE_median_diff_mean,wilcoxon_vs_EASE_median_diff_std,wilcoxon_vs_EASE_median_diff_count
Hybrid-Score,0.3,200,0.3,200,11.577243041992187,3.5120431386364652,5,0.3503587413666367,0.0030078758370780476,5,0.218149337435722,0.0019693705737455413,5,0.8722591059543781,0.005488149701277478,5,0.21691225641368264,0.0030269503821574416,5,0.2666861826697892,0.004160617799634639,5,0.8257864446877352,0.002535847154612683,5,2.126025791827269,0.012211136968784122,5,0.34910540078777696,0.0027858166563734465,5,0.19174698140324406,0.00205170045356159,5,0.9293893282978699,0.006299251930437382,5,0.31577831535841266,0.0027706066209333864,5,0.3532201405152225,0.004163706221041936,5,0.8221165388496722,0.0023657570637185678,5,2.2776286896591698,0.010755538526652543,5,0.3503587413666367,0.0030078758370780476,5,0.218149337435722,0.0019693705737455413,5,0.8722591059543781,0.005488149701277478,5,0.21691225641368264,0.0030269503821574416,5,0.2666861826697892,0.004160617799634639,5,0.8257864446877352,0.002535847154612683,5,2.126025791827269,0.012211136968784122,5,4225815.4,113255.77748585284,5,6.469839121864879e-38,1.3705763715059414e-37,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.01570612526760056,0.000461767996375785,5,0.0,0.0,5
Hybrid-Score,0.3,200,0.6,200,9.00110158920288,3.942423673602866,5,0.3556699367933359,0.0029644143184635436,5,0.22302627738439237,0.0017814214865079093,5,0.8750888113988406,0.006605205165187541,5,0.2194702536307712,0.0030907845932844954,5,0.2922131147540984,0.0021351970174250945,5,0.8268298196894752,0.002891365550685138,5,2.169100624355445,0.010206598530060932,5,0.35496185409406006,0.002960851709367563,5,0.19655888650449552,0.0020456201757367474,5,0.931753032869368,0.0074643409376129845,5,0.3202286220573864,0.0034435262954565097,5,0.3860655737704918,0.002478801303280638,5,0.8212255183611064,0.0022792084610721627,5,2.32961238117477,0.009762708375619687,5,0.3556699367933359,0.0029644143184635436,5,0.22302627738439237,0.0017814214865079093,5,0.8750888113988406,0.006605205165187541,5,0.2194702536307712,0.0030907845932844954,5,0.2922131147540984,0.0021351970174250945,5,0.8268298196894752,0.002891365550685138,5,2.169100624355445,0.010206598530060932,5,4421168.2,130817.0247376082,5,3.4306171471798596e-19,7.668389372493161e-19,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.010394929840901328,0.0003901393169853929,5,0.0,0.0,5
Hybrid-Score,0.3,500,0.3,200,7.935995149612427,2.104901880965951,5,0.35669988946215814,0.0033214527842420115,5,0.22399453934161456,0.0020639386822050238,5,0.8741565156921733,0.005841754097063989,5,0.21951386968676045,0.0033429248345789877,5,0.24057377049180326,0.002021814595999061,5,0.8254377665994733,0.00321882315870408,5,2.0915559166821547,0.010926957393017321,5,0.3547228082304018,0.0026413257683695723,5,0.19640258586355702,0.0017267714362623348,5,0.930720571114826,0.005233354522668748,5,0.3193783794384206,0.0030742906959883485,5,0.3193208430913349,0.004494298659959096,5,0.8183851161809501,0.0024648632270859233,5,2.2461147377304522,0.010615282582985946,5,0.35669988946215814,0.0033214527842420115,5,0.22399453934161456,0.0020639386822050238,5,0.8741565156921733,0.005841754097063989,5,0.21951386968676045,0.0033429248345789877,5,0.24057377049180326,0.002021814595999061,5,0.8254377665994733,0.00321882315870408,5,2.0915559166821547,0.010926957393017321,5,3782944.5,147858.157399668,5,2.218232583265477e-17,3.551368446252501e-17,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.009364977172079167,0.0005850816611610226,5,0.0,0.0,5
Hybrid-Score,0.3,500,0.6,200,9.881834363937378,3.969751011567903,5,0.35907580330107836,0.0032858084790161547,5,0.2264008073324057,0.0021454360239547225,5,0.8755214904497454,0.00498038919328935,5,0.22039537801531814,0.003439123642610334,5,0.27002341920374706,0.005043291678538183,5,0.8286405100412633,0.002449019165381441,5,2.1366421292840068,0.009421482934187013,5,0.35795817952285114,0.002885988788694286,5,0.19922111931563113,0.0020646547031736924,5,0.9322849915531553,0.005154686952082583,5,0.3215762299665059,0.0032341673277717837,5,0.3567330210772834,0.0027894916275343295,5,0.819658380499589,0.0014867734067751503,5,2.3001165325094126,0.00856161071361051,5,0.35907580330107836,0.0032858084790161547,5,0.2264008073324057,0.0021454360239547225,5,0.8755214904497454,0.00498038919328935,5,0.22039537801531814,0.003439123642610334,5,0.27002341920374706,0.005043291678538183,5,0.8286405100412633,0.002449019165381441,5,2.1366421292840068,0.009421482934187013,5,4050512.6,165100.7874842667,5,1.9722525693364132e-11,2.920708174504343e-11,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.006989063333158896,0.0006167356065368638,5,0.0,0.0,5
Hybrid-Score,0.5,200,0.3,200,8.614893817901612,3.346489772590175,5,0.3546486604889384,0.0021432856991206806,5,0.22212800199402394,0.001244704549349695,5,0.8738567268027488,0.0049890686333066685,5,0.2183446668074381,0.002148333723256811,5,0.30134660421545667,0.003263756143365035,5,0.796494068287384,0.0026583367429776723,5,2.2645920304313067,0.009201424790203173,5,0.3555479676631892,0.002704111376926515,5,0.19687858286574283,0.0017420795383057527,5,0.9299551964060724,0.006398874146690749,5,0.32129618868550275,0.0029518639088084463,5,0.3958430913348946,0.003484713381722016,5,0.7919249721271718,0.002568503317357774,5,2.4266563537341437,0.008895961975149348,5,0.3546486604889384,0.0021432856991206806,5,0.22212800199402394,0.001244704549349695,5,0.8738567268027488,0.0049890686333066685,5,0.2183446668074381,0.002148333723256811,5,0.30134660421545667,0.003263756143365035,5,0.796494068287384,0.0026583367429776723,5,2.2645920304313067,0.009201424790203173,5,4424563.7,82494.1072331837,5,7.717979051182329e-25,1.7229726475642966e-24,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.011416206145298901,0.0008668192782901195,5,0.0,0.0,5
Hybrid-Score,0.5,200,0.6,200,8.07168402671814,1.3073619698008363,5,0.35848846966590964,0.0025923442210292755,5,0.22584041048315923,0.0014954021808666177,5,0.8753217345263442,0.0053421701186194825,5,0.22006337397130551,0.0025304285326677146,5,0.31188524590163935,0.0032440035543782513,5,0.7986998528129476,0.0032810329256711002,5,2.27744407987079,0.008861203677779324,5,0.3588718704431602,0.0028275768972090497,5,0.19982599662941244,0.0018948154376653894,5,0.9315864827777391,0.006369391070221777,5,0.32356572942908635,0.002951652113586271,5,0.40907494145199064,0.0008433758952510364,5,0.7934827598146297,0.0029992515696207725,5,2.4429853034581215,0.008770439380388373,5,0.35848846966590964,0.0025923442210292755,5,0.22584041048315923,0.0014954021808666177,5,0.8753217345263442,0.0053421701186194825,5,0.22006337397130551,0.0025304285326677146,5,0.31188524590163935,0.0032440035543782513,5,0.7986998528129476,0.0032810329256711002,5,2.27744407987079,0.008861203677779324,5,4562743.5,117667.64605925028,5,8.735773222458521e-14,1.9374958148369901e-13,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.007576396968327649,0.0011858669387953573,5,0.0,0.0,5
Hybrid-Score,0.5,500,0.3,200,9.52656536102295,4.156896068538135,5,0.3645746588731186,0.0025181923568931164,5,0.23126550893887304,0.0014814745392398303,5,0.8779186499508093,0.0052328266220632354,5,0.22341255244047029,0.002572496886137469,5,0.26990632318501173,0.0028078638895273566,5,0.7991036076349086,0.0020299211033111804,5,2.2136934589040154,0.008550963306294665,5,0.36391391854568883,0.0028458844596143066,5,0.20398797752060355,0.0019587168100037755,5,0.932984735420305,0.006001744003437478,5,0.3273920168597887,0.003127707246203614,5,0.3581967213114754,0.0017392799505284468,5,0.7918247471968807,0.001953097541955648,5,2.3793945210605734,0.007405540328043885,5,0.3645746588731186,0.0025181923568931164,5,0.23126550893887304,0.0014814745392398303,5,0.8779186499508093,0.0052328266220632354,5,0.22341255244047029,0.002572496886137469,5,0.26990632318501173,0.0028078638895273566,5,0.7991036076349086,0.0020299211033111804,5,2.2136934589040154,0.008550963306294665,5,3642098.2,133629.89143928466,5,0.022106524740315374,0.044622013967716076,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.0014902077611186548,0.0008380927187676505,5,0.0,0.0,5
Hybrid-Score,0.5,500,0.6,200,8.550485944747924,1.5000762746976375,5,0.3655928898267227,0.002675394642252049,5,0.23240167770906356,0.001514504784626825,5,0.8783183444135613,0.005926388855094115,5,0.223784764135838,0.0031926612061130215,5,0.28272833723653396,0.0020218145959991123,5,0.8019514825663551,0.003364576668997181,5,2.229439835882862,0.008219334577540276,5,0.36502459934005843,0.0026296247239151246,5,0.2050360015204907,0.0017984700715163182,5,0.9337833712800924,0.004666733848005411,5,0.32803046314083273,0.003025035214749404,5,0.37306791569086656,0.0015154776470193015,5,0.7933520494392347,0.0020081625347669607,5,2.3987375395886317,0.007329979231683756,5,0.3655928898267227,0.002675394642252049,5,0.23240167770906356,0.001514504784626825,5,0.8783183444135613,0.005926388855094115,5,0.223784764135838,0.0031926612061130215,5,0.28272833723653396,0.0020218145959991123,5,0.8019514825663551,0.003364576668997181,5,2.229439835882862,0.008219334577540276,5,3653486.1,154219.29068026802,5,0.20216166315037887,0.32602602453172974,5,6007.4,3.4351128074635104,5,-0.6,0.894427190999916,5,-0.00047197680751458193,0.0007455065419796378,5,0.0,0.0,5
Hybrid-Score,0.7,200,0.3,200,9.455883598327636,3.962173056880653,5,0.35271493674306365,0.002146416770277675,5,0.2202289838796913,0.0014423603894403092,5,0.8742562773879987,0.005405264098846136,5,0.21764112959088386,0.0020593284840414805,5,0.32259953161592503,0.0026750097895926594,5,0.773329923894927,0.0027734996527601506,5,2.3618096114497833,0.0058461563092156495,5,0.35457188825591845,0.002809904105373257,5,0.19593471528328693,0.001911979390558851,5,0.9308875032403385,0.0061306305795425994,5,0.32072404654813536,0.0027317622880404587,5,0.41809133489461364,0.0012659103226252788,5,0.7684699739645202,0.0022662651295342054,5,2.5256157097030263,0.006249069264762097,5,0.35271493674306365,0.002146416770277675,5,0.2202289838796913,0.0014423603894403092,5,0.8742562773879987,0.005405264098846136,5,0.21764112959088386,0.0020593284840414805,5,0.32259953161592503,0.0026750097895926594,5,0.773329923894927,0.0027734996527601506,5,2.3618096114497833,0.0058461563092156495,5,4399710.3,79060.44139185533,5,6.634723522512326e-34,1.4835298738866434e-33,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.013349929891173642,0.0011240313007189837,5,0.0,0.0,5
Hybrid-Score,0.7,200,0.6,200,9.243796920776367,3.678259096541467,5,0.3553637909766708,0.0023228218306024116,5,0.2227766435422105,0.001632655693773403,5,0.8755883675697638,0.0052492240911690274,5,0.21886350935852858,0.002214600448454979,5,0.3268149882903981,0.0025903772606122692,5,0.7757185448428695,0.003364021246590599,5,2.3630371543507387,0.006257141991373071,5,0.3568458571416263,0.0026877197749373195,5,0.19793212557438813,0.0018566353529374654,5,0.9311871094123632,0.005914057154309841,5,0.3224639967626932,0.002503520668074906,5,0.4242388758782202,0.0015953661116438636,5,0.7708824193797809,0.0026417377531919245,5,2.528945151715291,0.006801180445756169,5,0.3553637909766708,0.0023228218306024116,5,0.2227766435422105,0.001632655693773403,5,0.8755883675697638,0.0052492240911690274,5,0.21886350935852858,0.002214600448454979,5,0.3268149882903981,0.0025903772606122692,5,0.7757185448428695,0.003364021246590599,5,2.3630371543507387,0.006257141991373071,5,4514744.6,83706.11989529194,5,1.0711265209168011e-24,1.5404741110495894e-24,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.010701075657566488,0.001432591352523712,5,0.0,0.0,5
