model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-Score,0.3,200,0.3,200,0,overall,6008,0.35362542344299797,0.22040928212058972,0.8793275632490013,0.35307869647767753,0.31995794340569716,0.9349201065246339
Hybrid-Score,0.3,200,0.3,200,0,q1,5945,0.37432775081107883,0.2814439762430027,0.8824222035323801,0.3899374307028187,0.4067062300685668,0.9370899915895711
Hybrid-Score,0.3,200,0.3,200,0,q2,4408,0.008935950468268715,0.01823018809180334,0.03312159709618875,0.01506689074420931,0.03814176345936782,0.06647005444646098
Hybrid-Score,0.3,200,0.3,200,0,q3,2895,0.0015568971130156,0.002763385146804836,0.004145077720207254,0.0025980818608669497,0.006439674315321983,0.009671848013816925
Hybrid-Score,0.3,200,0.3,200,0,q4,1659,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777
Hybrid-Score,0.3,200,0.3,200,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.5,200,0.3,200,0,overall,6008,0.3569888424068651,0.22058873324601638,0.8806591211717709,0.3592639692546502,0.32550783639936126,0.9354194407456724
Hybrid-Score,0.5,200,0.3,200,0,q1,5945,0.3765256242575238,0.2814113629294673,0.8827586206896552,0.3943331340356862,0.41126849931915344,0.9362489486963835
Hybrid-Score,0.5,200,0.3,200,0,q2,4408,0.011539782177880466,0.021818164065214883,0.044237749546279494,0.020683864406668567,0.05095932486715604,0.09777676950998185
Hybrid-Score,0.5,200,0.3,200,0,q3,2895,0.0018037755308567879,0.0033390903857225106,0.0051813471502590676,0.0036385593300244027,0.009776995217409722,0.014853195164075994
Hybrid-Score,0.5,200,0.3,200,0,q4,1659,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777,0.0005867824945239028,0.001024713682941531,0.0018083182640144665
Hybrid-Score,0.5,200,0.3,200,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.7,200,0.3,200,0,overall,6008,0.355073239070859,0.21999269911764657,0.8816577896138482,0.35788507381278956,0.3239538131405643,0.9357523302263648
Hybrid-Score,0.7,200,0.3,200,0,q1,5945,0.37345139955127654,0.2796226512633841,0.8824222035323801,0.3908889348119096,0.40710153548716504,0.9357443229604709
Hybrid-Score,0.7,200,0.3,200,0,q2,4408,0.013732805151572675,0.025952987287814304,0.05648820326678766,0.024753394936579305,0.06001561261931037,0.1279491833030853
Hybrid-Score,0.7,200,0.3,200,0,q3,2895,0.002061557837801264,0.004029936672423719,0.0058721934369602765,0.004164788985852655,0.011132519370861337,0.017962003454231434
Hybrid-Score,0.7,200,0.3,200,0,q4,1659,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777,0.0007670434393941261,0.0017279485633916012,0.0030138637733574444
Hybrid-Score,0.7,200,0.3,200,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.3,200,0.6,200,0,overall,6008,0.3590755688035744,0.22376977032234247,0.8846537949400799,0.35884502954490016,0.3252191751675159,0.9385818908122503
Hybrid-Score,0.3,200,0.6,200,0,q1,5945,0.37854113034291625,0.2849182923263683,0.886963835155593,0.39391067450689815,0.41079232040770536,0.9392767031118587
Hybrid-Score,0.3,200,0.6,200,0,q2,4408,0.011005231722614783,0.021034773479192716,0.039473684210526314,0.01853967144279422,0.04497357245231923,0.08393829401088929
Hybrid-Score,0.3,200,0.6,200,0,q3,2895,0.0026563936498233535,0.005386133728102639,0.007944732297063902,0.004349708783616693,0.010840405037296228,0.018307426597582038
Hybrid-Score,0.3,200,0.6,200,0,q4,1659,0.0007875669658726517,0.0009041591320072332,0.0012055455093429777,0.0012576872557891541,0.0026321076953988347,0.003616636528028933
Hybrid-Score,0.3,200,0.6,200,0,q5,693,0.000514007485004361,0.001443001443001443,0.001443001443001443,0.000514007485004361,0.001443001443001443,0.001443001443001443
Hybrid-Score,0.5,200,0.6,200,0,overall,6008,0.3607237440962524,0.22277188950557655,0.8826564580559254,0.3625522945129319,0.3279121107061633,0.9370838881491345
Hybrid-Score,0.5,200,0.6,200,0,q1,5945,0.3795701635396614,0.2837350631054083,0.8842724978973928,0.39679971019327576,0.41363654914467235,0.9374264087468461
Hybrid-Score,0.5,200,0.6,200,0,q2,4408,0.012738138688724556,0.023847809782474028,0.04900181488203267,0.022219141523432268,0.05370075527475305,0.10549001814882032
Hybrid-Score,0.5,200,0.6,200,0,q3,2895,0.0023551326342811647,0.004637716917509664,0.0075993091537132984,0.004280406179056122,0.011219548058926295,0.017616580310880828
Hybrid-Score,0.5,200,0.6,200,0,q4,1659,0.0007875669658726517,0.0009041591320072332,0.0012055455093429777,0.0010715948100956318,0.0018284106891701829,0.0030138637733574444
Hybrid-Score,0.5,200,0.6,200,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.7,200,0.6,200,0,overall,6008,0.3572777736153289,0.22099467420305755,0.881491344873502,0.3596389108154703,0.3253349871778805,0.9354194407456724
Hybrid-Score,0.7,200,0.6,200,0,q1,5945,0.3753796346039429,0.28106548107595475,0.8824222035323801,0.39236184954398506,0.40874263341333594,0.9349032800672834
Hybrid-Score,0.7,200,0.6,200,0,q2,4408,0.014240651628780633,0.02640930463954908,0.058303085299455534,0.02527221990294695,0.06039753498370601,0.12931034482758622
Hybrid-Score,0.7,200,0.6,200,0,q3,2895,0.0021039511974596183,0.004029936672423719,0.0058721934369602765,0.004497503977202834,0.012063242840444912,0.018998272884283247
Hybrid-Score,0.7,200,0.6,200,0,q4,1659,0.0007619458243354978,0.0009041591320072332,0.0012055455093429777,0.0009004245389119099,0.0012256379344986938,0.0024110910186859553
Hybrid-Score,0.7,200,0.6,200,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.3,500,0.3,200,0,overall,6008,0.36097192872470996,0.22427317945272013,0.8824900133155792,0.35874812865704847,0.3242895055012771,0.9347536617842876
Hybrid-Score,0.3,500,0.3,200,0,q1,5945,0.38285239998272175,0.2879854892429547,0.8864592094196804,0.39749010010082686,0.41507435594059783,0.9392767031118587
Hybrid-Score,0.3,500,0.3,200,0,q2,4408,0.0071103774816716715,0.014096650224145687,0.02631578947368421,0.012478034524905993,0.03160073819102857,0.05603448275862069
Hybrid-Score,0.3,500,0.3,200,0,q3,2895,0.0011960277488419083,0.002216465169833045,0.0031088082901554403,0.001703320864676906,0.003992927049921869,0.0062176165803108805
Hybrid-Score,0.3,500,0.3,200,0,q4,1659,0.0005232835842921964,0.0009041591320072332,0.0012055455093429777,0.0005232835842921964,0.0009041591320072332,0.0012055455093429777
Hybrid-Score,0.3,500,0.3,200,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.5,500,0.3,200,0,overall,6008,0.36692876057979706,0.22622221907301052,0.8846537949400799,0.3674936509565033,0.3315893770692406,0.9375832223701731
Hybrid-Score,0.5,500,0.3,200,0,q1,5945,0.3880699590310109,0.2901556416600848,0.8881412952060556,0.40538811153000365,0.4230483482276656,0.9401177460050463
Hybrid-Score,0.5,500,0.3,200,0,q2,4408,0.009390337829996874,0.01890941282955802,0.036978221415607984,0.01664908536782576,0.041915097780757776,0.0794010889292196
Hybrid-Score,0.5,500,0.3,200,0,q3,2895,0.0012804198526672208,0.0023028209556706964,0.0034542314335060447,0.0021463893512041867,0.0054149189900485235,0.008635578583765112
Hybrid-Score,0.5,500,0.3,200,0,q4,1659,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777
Hybrid-Score,0.5,500,0.3,200,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.7,500,0.3,200,0,overall,6008,0.36734396763965277,0.22654058644071384,0.8849866844207723,0.3685385350648437,0.33242315099617736,0.936750998668442
Hybrid-Score,0.7,500,0.3,200,0,q1,5945,0.38771332568826095,0.28984945172617493,0.8881412952060556,0.4052082116467129,0.42276366133752885,0.9384356602186712
Hybrid-Score,0.7,500,0.3,200,0,q2,4408,0.010940795344671043,0.021283649792500397,0.04514519056261343,0.019836969486709415,0.04903198818213427,0.10095281306715063
Hybrid-Score,0.7,500,0.3,200,0,q3,2895,0.0012885239077133775,0.0023028209556706964,0.0034542314335060447,0.002476781699594014,0.00634003494107121,0.011398963730569948
Hybrid-Score,0.7,500,0.3,200,0,q4,1659,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777
Hybrid-Score,0.7,500,0.3,200,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.3,500,0.6,200,0,overall,6008,0.36267767651839183,0.2247442283550358,0.8821571238348869,0.3619082240217901,0.3266510868483954,0.9365845539280959
Hybrid-Score,0.3,500,0.6,200,0,q1,5945,0.3831744936637375,0.2871717171306774,0.8849453322119428,0.3985939338147993,0.41495557490266033,0.9386038687973086
Hybrid-Score,0.3,500,0.6,200,0,q2,4408,0.009240907770545247,0.017981986505126252,0.034482758620689655,0.01604323436566984,0.03988884761373777,0.07327586206896551
Hybrid-Score,0.3,500,0.6,200,0,q3,2895,0.0019021859747074498,0.0035899333826794966,0.0058721934369602765,0.0035900534022183747,0.009225140624104355,0.015544041450777202
Hybrid-Score,0.3,500,0.6,200,0,q4,1659,0.0007875669658726517,0.0009041591320072332,0.0012055455093429777,0.0009765628120786787,0.0016073940124573037,0.0024110910186859553
Hybrid-Score,0.3,500,0.6,200,0,q5,693,0.000455216272418079,0.001443001443001443,0.001443001443001443,0.000455216272418079,0.001443001443001443,0.001443001443001443
Hybrid-Score,0.5,500,0.6,200,0,overall,6008,0.36808007383242897,0.22780670472838263,0.8861517976031957,0.36813653830656384,0.332136543710437,0.9369174434087882
Hybrid-Score,0.5,500,0.6,200,0,q1,5945,0.38845043423000164,0.2912809475928103,0.889318755256518,0.4047972667042252,0.42181846792680655,0.9389402859545837
Hybrid-Score,0.5,500,0.6,200,0,q2,4408,0.01054306824868525,0.020651252105426333,0.04128856624319419,0.018248411092779443,0.044909269931276675,0.08756805807622504
Hybrid-Score,0.5,500,0.6,200,0,q3,2895,0.0014846510468099414,0.002582449214573567,0.004490500863557859,0.0033952668784482634,0.009213626519326001,0.014853195164075994
Hybrid-Score,0.5,500,0.6,200,0,q4,1659,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777
Hybrid-Score,0.5,500,0.6,200,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.7,500,0.6,200,0,overall,6008,0.36833330711149853,0.22737804356058972,0.8859853528628495,0.36920498566488924,0.33350232862429896,0.9374167776298269
Hybrid-Score,0.7,500,0.6,200,0,q1,5945,0.38836720314830875,0.2905076091435863,0.8889823380992431,0.40513200564872853,0.42261430514044357,0.9386038687973086
Hybrid-Score,0.7,500,0.6,200,0,q2,4408,0.01142963470043942,0.021971173296792455,0.04741379310344827,0.021104245172214375,0.0521302612142388,0.1088929219600726
Hybrid-Score,0.7,500,0.6,200,0,q3,2895,0.001448608759659854,0.002582449214573567,0.004490500863557859,0.003072435970621456,0.00807044040204662,0.014162348877374784
Hybrid-Score,0.7,500,0.6,200,0,q4,1659,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777
Hybrid-Score,0.7,500,0.6,200,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.3,200,0.3,200,1,overall,6006,0.3515368213982886,0.2171648471945643,0.8717948717948718,0.3497563555817985,0.31474286486391273,0.9307359307359307
Hybrid-Score,0.3,200,0.3,200,1,q1,5944,0.37361051834085085,0.28102841843218124,0.8739905787348586,0.3875153660416338,0.40391688806477194,0.9320323014804845
Hybrid-Score,0.3,200,0.3,200,1,q2,4502,0.008358494567747413,0.015470637388673816,0.027765437583296314,0.014317903023813368,0.03517066994410397,0.058418480675255444
Hybrid-Score,0.3,200,0.3,200,1,q3,2861,0.0017532222476087094,0.0037865548176628213,0.004893393918210416,0.0032140621381175002,0.00894209483863451,0.011534428521495981
Hybrid-Score,0.3,200,0.3,200,1,q4,1641,0.00018682120437704398,0.0003046922608165753,0.0006093845216331506,0.00018682120437704398,0.0003046922608165753,0.0006093845216331506
Hybrid-Score,0.3,200,0.3,200,1,q5,685,0.0,0.0,0.0,0.0003736613500873219,0.00145985401459854,0.00145985401459854
Hybrid-Score,0.5,200,0.3,200,1,overall,6006,0.3555609481385173,0.21836378215075336,0.8741258741258742,0.3562850836900951,0.32050916882842073,0.9309024309024309
Hybrid-Score,0.5,200,0.3,200,1,q1,5944,0.3765879060162199,0.281717508441018,0.8751682368775235,0.39244228117631874,0.4089907516130127,0.9310228802153432
Hybrid-Score,0.5,200,0.3,200,1,q2,4502,0.010829481850181285,0.020683829596535058,0.038871612616614835,0.0195066961694228,0.048137415677951496,0.09195912927587739
Hybrid-Score,0.5,200,0.3,200,1,q3,2861,0.002067826077046524,0.004380752650588371,0.005592450192240475,0.00467350761850249,0.013553924424249486,0.019224047535826634
Hybrid-Score,0.5,200,0.3,200,1,q4,1641,0.00018682120437704398,0.0003046922608165753,0.0006093845216331506,0.0003391673347853316,0.0009140767824497258,0.001218769043266301
Hybrid-Score,0.5,200,0.3,200,1,q5,685,0.0,0.0,0.0,0.0003571540760850015,0.00145985401459854,0.00145985401459854
Hybrid-Score,0.7,200,0.3,200,1,overall,6006,0.35436176399262925,0.21805830637046672,0.8742923742923743,0.35585955171582523,0.3201124155212589,0.9310689310689311
Hybrid-Score,0.7,200,0.3,200,1,q1,5944,0.37438401614490036,0.28057359313095304,0.8751682368775235,0.39005684941982555,0.40632989263618924,0.9308546433378196
Hybrid-Score,0.7,200,0.3,200,1,q2,4502,0.012657529475032011,0.023266348760573548,0.0482007996446024,0.02369862586325187,0.05674760480948271,0.12438916037316748
Hybrid-Score,0.7,200,0.3,200,1,q3,2861,0.00221246616965282,0.0046720260981008965,0.006291506466270535,0.005373708392012497,0.015601992865187554,0.023418385180006992
Hybrid-Score,0.7,200,0.3,200,1,q4,1641,0.00018682120437704398,0.0003046922608165753,0.0006093845216331506,0.0003391673347853316,0.0009140767824497258,0.001218769043266301
Hybrid-Score,0.7,200,0.3,200,1,q5,685,0.0,0.0,0.0,0.00033236532656489486,0.00145985401459854,0.00145985401459854
Hybrid-Score,0.3,200,0.6,200,1,overall,6006,0.3564734957463608,0.21895970787712118,0.872960372960373,0.35561839534284273,0.3193392229725241,0.9315684315684316
Hybrid-Score,0.3,200,0.6,200,1,q1,5944,0.3772300059082313,0.2817971663455642,0.8738223418573351,0.3919175355044359,0.40770520319470116,0.9322005383580081
Hybrid-Score,0.3,200,0.6,200,1,q2,4502,0.010295672544085121,0.018164504309550952,0.033762772101288314,0.01768725491177755,0.04189637847208167,0.07507774322523322
Hybrid-Score,0.3,200,0.6,200,1,q3,2861,0.0033394057294455397,0.007576022369800769,0.01083537224746592,0.005476242438063562,0.015257874092197752,0.0223698007689619
Hybrid-Score,0.3,200,0.6,200,1,q4,1641,0.00018682120437704398,0.0003046922608165753,0.0006093845216331506,0.0006627041113820357,0.002031281738777168,0.0030469226081657527
Hybrid-Score,0.3,200,0.6,200,1,q5,685,0.0011487353944254236,0.00291970802919708,0.00291970802919708,0.0011487353944254236,0.00291970802919708,0.00291970802919708
Hybrid-Score,0.5,200,0.6,200,1,overall,6006,0.3602974746517652,0.22037089002414414,0.8741258741258742,0.3599080184298071,0.32287007838056053,0.932067932067932
Hybrid-Score,0.5,200,0.6,200,1,q1,5944,0.38059575639963067,0.28314250018666803,0.8739905787348586,0.39537286691781887,0.41076445956316765,0.9315275908479138
Hybrid-Score,0.5,200,0.6,200,1,q2,4502,0.012114962566855953,0.022465081502731438,0.04331408262994225,0.021176122430225493,0.050978656057375796,0.09884495779653488
