model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,train_time_s,seed,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,7.030754327774048,0,0.3678858137897412,0.23373198741016848,0.8859853528628495,0.22714813300143397,0.2918618266978923,0.761771232472384,2.350506050985163,0.3690314659321415,0.20760672994240484,0.9374167776298269,0.33383009266580116,0.3793911007025761,0.7526331789096021,2.5197223860887727,0.3678858137897412,0.23373198741016848,0.8859853528628495,0.22714813300143397,0.2918618266978923,0.761771232472384,2.350506050985163,2305395.5,0.00016430880522513378,6008,-1,-0.0016462182339429402,0.0
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,6.520459890365601,0,0.36954177023992063,0.2358354495121395,0.8828229027962716,0.2266729208446408,0.2701990632318501,0.7680501476543375,2.3005530180474585,0.3699741957639239,0.20882044841777228,0.9362516644474035,0.3335084549940732,0.3521662763466042,0.7570113359521746,2.468898173338784,0.36954177023992063,0.2358354495121395,0.8828229027962716,0.2266729208446408,0.2701990632318501,0.7680501476543375,2.3005530180474585,1320167.5,0.3085777763776555,6008,1,9.738216236434661e-06,0.0
Laplacian-EASE,500,0.3,200,10,sym,rp3beta,6.480648994445801,0,0.36612685364328,0.23401378010641052,0.8783288948069241,0.22183578225938635,0.22804449648711944,0.7793345287156705,2.2008435842218077,0.36527112652750077,0.20592998901708345,0.931757656458056,0.3260730261156269,0.29771662763466045,0.7626002269016599,2.369348750263587,0.36612685364328,0.23401378010641052,0.8783288948069241,0.22183578225938635,0.22804449648711944,0.7793345287156705,2.2008435842218077,4586981.5,6.739078488416849e-05,6008,-1,-0.003405178380404143,0.0
Laplacian-EASE,500,0.3,200,30,sym,rp3beta,14.363932847976685,0,0.3523819195374106,0.22297789046451544,0.8630159786950732,0.20970148153358825,0.17740046838407494,0.7915203820648375,2.0729474540530095,0.34940322310368804,0.19434793553569632,0.9241011984021305,0.3076428457899577,0.24385245901639344,0.7813502964434775,2.233921694564296,0.3523819195374106,0.22297789046451544,0.8630159786950732,0.20970148153358825,0.17740046838407494,0.7915203820648375,2.0729474540530095,4783320.5,2.043801601610522e-37,6008,-1,-0.017150112486273454,0.0
Laplacian-EASE,500,0.3,200,50,sym,rp3beta,6.407489538192749,0,0.3422455334571454,0.21475794310240245,0.8545272969374168,0.20144877011657691,0.15310304449648712,0.8004574525234678,1.9987893880932779,0.3376932052801153,0.18597539547951056,0.914780292942743,0.2942046346124426,0.21106557377049182,0.788883430506897,2.153969807668735,0.3422455334571454,0.21475794310240245,0.8545272969374168,0.20144877011657691,0.15310304449648712,0.8004574525234678,1.9987893880932779,4562526.5,1.1794305212508172e-68,6008,-1,-0.027286498566538683,-0.0032157494794696484
Laplacian-EASE,500,0.3,200,75,sym,rp3beta,6.618135213851929,0,0.3307443570417546,0.2056871335510828,0.8428761651131824,0.19338652824852082,0.13319672131147542,0.8078623373962921,1.9326803986748091,0.3256557092936036,0.17695514505324272,0.9081225033288948,0.2820497467751921,0.1791569086651054,0.7902176999295059,2.0825015825649644,0.3307443570417546,0.2056871335510828,0.8428761651131824,0.19338652824852082,0.13319672131147542,0.8078623373962921,1.9326803986748091,4182987.0,1.2671659731356718e-108,6008,-1,-0.03878767498192955,-0.012144045524286273
Laplacian-EASE,500,0.3,200,100,sym,rp3beta,6.51704740524292,0,0.3212014800254626,0.1981257032174955,0.8307256990679095,0.18636849242834858,0.11533957845433256,0.8078520517482612,1.8816995912671353,0.31556001198475425,0.1697232799071387,0.8991344873501997,0.27156557356071437,0.16364168618266978,0.8001165708691333,2.027158577064442,0.3212014800254626,0.1981257032174955,0.8307256990679095,0.18636849242834858,0.11533957845433256,0.8078520517482612,1.8816995912671353,3911200.0,1.1538975047934522e-142,6008,-1,-0.048330551998221456,-0.021424442270190747
Laplacian-EASE,500,0.6,200,1,sym,rp3beta,6.59878396987915,0,0.3680365762494111,0.2338993872734649,0.8859853528628495,0.2271523194487268,0.29361826697892274,0.7624052609149912,2.352023164884505,0.3691230156677118,0.20771914879933534,0.9374167776298269,0.33374923721535316,0.38085480093676816,0.7529868834891933,2.5209230465853265,0.3680365762494111,0.2338993872734649,0.8859853528628495,0.2271523194487268,0.29361826697892274,0.7624052609149912,2.352023164884505,2308487.0,0.0002935604555785843,6008,-1,-0.0014954557742729948,0.0
Laplacian-EASE,500,0.6,200,3,sym,rp3beta,9.87339472770691,0,0.36942735862780124,0.2356839493099232,0.8831557922769641,0.22664020263107287,0.272248243559719,0.7682282046876567,2.303980844096284,0.3700783452858833,0.2088773041546951,0.9357523302263648,0.3335787262332323,0.3556791569086651,0.7580716246650556,2.4716837421691307,0.36942735862780124,0.2356839493099232,0.8831557922769641,0.22664020263107287,0.272248243559719,0.7682282046876567,2.303980844096284,1454543.0,0.6887503227549465,6008,-1,-0.00010467339588283097,0.0
Laplacian-EASE,500,0.6,200,10,sym,rp3beta,6.671268939971924,0,0.36585268365298707,0.2336679555649996,0.878994673768309,0.2215880039791899,0.23477751756440282,0.7820284923510132,2.2077527199909914,0.3650218603274392,0.20560033073592165,0.9320905459387483,0.3258685639182625,0.3044496487119438,0.7642692755812763,2.3768459078857913,0.36585268365298707,0.2336679555649996,0.878994673768309,0.2215880039791899,0.23477751756440282,0.7820284923510132,2.2077527199909914,4610208.0,3.226410964878062e-05,6008,-1,-0.0036793483706971048,0.0
