model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,0,overall,6008,0.3678858137897412,0.22714813300143397,0.8859853528628495,0.3690314659321415,0.33383009266580116,0.9374167776298269
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,0,q1,5945,0.38793605386391683,0.2909611181036661,0.8888141295206056,0.4049230617946048,0.42389381432039475,0.9401177460050463
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,0,q2,4408,0.011239389160256623,0.02100546279941255,0.04945553539019964,0.02143343681644878,0.05227477431968259,0.11796733212341198
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,0,q3,2895,0.0012355650093576619,0.002216465169833045,0.0031088082901554403,0.0023853550435634315,0.005948555378607192,0.011053540587219343
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,0,q4,1659,0.00043303642966736845,0.0009041591320072332,0.0012055455093429777,0.00043303642966736845,0.0009041591320072332,0.0012055455093429777
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,0,overall,6008,0.36954177023992063,0.2266729208446408,0.8828229027962716,0.3699741957639239,0.3335084549940732,0.9362516644474035
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,0,q1,5945,0.39022733826681616,0.2909406264204269,0.8862910008410428,0.40721356780153584,0.4253233362976965,0.9397813288477712
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,0,q2,4408,0.00923862386699651,0.017381765308484072,0.04038112522686026,0.017945917770320268,0.0448949438961116,0.09573502722323049
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,0,q3,2895,0.0011223105134215037,0.0021301093839953943,0.002763385146804836,0.0019117407296622112,0.004650601749047344,0.008635578583765112
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,0,q4,1659,0.0003761922614169162,0.0009041591320072332,0.0012055455093429777,0.0003761922614169162,0.0009041591320072332,0.0012055455093429777
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.3,200,10,sym,rp3beta,0,overall,6008,0.36612685364328,0.22183578225938635,0.8783288948069241,0.36527112652750077,0.3260730261156269,0.931757656458056
Laplacian-EASE,500,0.3,200,10,sym,rp3beta,0,q1,5945,0.3879238977322464,0.28663521770599015,0.8846089150546678,0.4043621147516203,0.42023118414138794,0.9370899915895711
Laplacian-EASE,500,0.3,200,10,sym,rp3beta,0,q2,4408,0.0060925094908140555,0.011374392310349132,0.025635208711433755,0.012016530207388043,0.0301049560469496,0.06147912885662432
Laplacian-EASE,500,0.3,200,10,sym,rp3beta,0,q3,2895,0.0006975961827630282,0.0011514104778353482,0.0017271157167530224,0.0010223659624342323,0.0021506702853853112,0.0037996545768566492
Laplacian-EASE,500,0.3,200,10,sym,rp3beta,0,q4,1659,0.00023318433226916313,0.0006027727546714888,0.0006027727546714888,0.00023318433226916313,0.0006027727546714888,0.0006027727546714888
Laplacian-EASE,500,0.3,200,10,sym,rp3beta,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.3,200,30,sym,rp3beta,0,overall,6008,0.3523819195374106,0.20970148153358825,0.8630159786950732,0.34940322310368804,0.3076428457899577,0.9241011984021305
Laplacian-EASE,500,0.3,200,30,sym,rp3beta,0,q1,5945,0.3743718348985961,0.2725582662424037,0.8708158116063919,0.38847488909646083,0.39970778959727743,0.9312026913372582
Laplacian-EASE,500,0.3,200,30,sym,rp3beta,0,q2,4408,0.0030297690232889995,0.0059217728228617515,0.013157894736842105,0.006363676774915105,0.016266591595538966,0.031987295825771325
Laplacian-EASE,500,0.3,200,30,sym,rp3beta,0,q3,2895,0.0003611003275075434,0.0005181347150259067,0.0010362694300518134,0.00045926571208770286,0.0008059873344847437,0.001381692573402418
Laplacian-EASE,500,0.3,200,30,sym,rp3beta,0,q4,1659,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.3,200,30,sym,rp3beta,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.3,200,50,sym,rp3beta,0,overall,6008,0.3422455334571454,0.20144877011657691,0.8545272969374168,0.3376932052801153,0.2942046346124426,0.914780292942743
Laplacian-EASE,500,0.3,200,50,sym,rp3beta,0,q1,5945,0.36382769948064775,0.26255448815659016,0.8624053826745164,0.37604061271791517,0.3837678435096506,0.9231286795626577
Laplacian-EASE,500,0.3,200,50,sym,rp3beta,0,q2,4408,0.0020367565952556935,0.003841950422032092,0.008847549909255898,0.0038757291944235164,0.009432991766249479,0.01928312159709619
Laplacian-EASE,500,0.3,200,50,sym,rp3beta,0,q3,2895,0.00023212029251712345,0.0003454231433506045,0.000690846286701209,0.000270993829234038,0.0004605641911341393,0.000690846286701209
Laplacian-EASE,500,0.3,200,50,sym,rp3beta,0,q4,1659,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.3,200,50,sym,rp3beta,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.3,200,75,sym,rp3beta,0,overall,6008,0.3307443570417546,0.19338652824852082,0.8428761651131824,0.3256557092936036,0.2820497467751921,0.9081225033288948
Laplacian-EASE,500,0.3,200,75,sym,rp3beta,0,q1,5945,0.35145207406606166,0.2513862618314711,0.8516400336417157,0.3627722122244385,0.3685384788048293,0.9169049621530698
Laplacian-EASE,500,0.3,200,75,sym,rp3beta,0,q2,4408,0.001221879618966615,0.0022643714170483683,0.0054446460980036296,0.0024411696628897184,0.00585408302626996,0.01247731397459165
Laplacian-EASE,500,0.3,200,75,sym,rp3beta,0,q3,2895,6.981255492246894e-05,0.00011514104778353482,0.0003454231433506045,0.0001546869193073446,0.0003454231433506045,0.000690846286701209
Laplacian-EASE,500,0.3,200,75,sym,rp3beta,0,q4,1659,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.3,200,75,sym,rp3beta,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.3,200,100,sym,rp3beta,0,overall,6008,0.3212014800254626,0.18636849242834858,0.8307256990679095,0.31556001198475425,0.27156557356071437,0.8991344873501997
Laplacian-EASE,500,0.3,200,100,sym,rp3beta,0,q1,5945,0.3409539037679521,0.24172796884979025,0.8393608074011775,0.3513217068878839,0.3549149783348405,0.9083263246425568
Laplacian-EASE,500,0.3,200,100,sym,rp3beta,0,q2,4408,0.0009038928475329757,0.001673904589058854,0.003629764065335753,0.0016378059154440302,0.003734461873073488,0.00839382940108893
