model,rp3_beta,rp3_topK,bucket,NDCG@10_mean,NDCG@10_std,NDCG@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,n_users_mean,n_users_std,n_users_count
RP3beta,0.3,200,overall,0.2589541751745106,0.0012761179190198242,5,0.14671793105281639,0.0017277322014339212,5,0.7601308552313387,0.007997933583198084,5,0.2532684572181709,0.0014889769144745212,5,0.21472286490341252,0.0018378247131517705,5,0.8480895665331882,0.006091554962871189,5,6007.4,3.4351128074635104,5
RP3beta,0.3,200,q1,0.2748670073555225,0.0014205370855888452,5,0.1895732047611945,0.0021631048174885746,5,0.7680602121385853,0.007949831100077576,5,0.2808240798365307,0.0014895287438505586,5,0.2790376610800692,0.0018898745404743417,5,0.8568649071164174,0.006015060288599895,5,5941.2,4.147288270665454,5
RP3beta,0.3,200,q2,0.0004350602247948559,0.00019643174385588932,5,0.0007740679171516874,0.0003448099986681786,5,0.000988908176894725,0.00040207366539334044,5,0.00067466621035845,0.00025771042102617483,5,0.001604933284253244,0.0005563186661186087,5,0.0023388473738311156,0.000923285745118921,5,4440.2,45.146428430164846,5
RP3beta,0.3,200,q3,0.00019637322325713317,0.00015505491669107977,5,0.00042694355367099007,0.00038943418201624965,5,0.0004849245769292,0.00039445067941361767,5,0.00022223418477534422,0.00012792690733314326,5,0.0005297100373065791,0.0003084330861475972,5,0.0006222214473051206,0.0002900152317531849,5,2896.4,24.795160818191906,5
RP3beta,0.3,200,q4,7.606145311289423e-05,0.00017007857962784447,5,0.00012055455093429776,0.00026956817088605057,5,0.00012055455093429776,0.00026956817088605057,5,9.867409701106605e-05,0.00016487421018614233,5,0.00018022042205601615,0.0002692296396953025,5,0.00023988629317773453,0.00032848494759000585,5,1647.8,38.15363678602605,5
RP3beta,0.3,200,q5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,690.4,16.379865689315046,5
RP3beta,0.3,500,overall,0.2618944468664702,0.0014123912799003386,5,0.14974426765256993,0.001658145047676181,5,0.7655236996340965,0.006813644613306547,5,0.25727884636367293,0.001736468120062993,5,0.21963498677077378,0.0018961393654462787,5,0.8535497530697118,0.006992438590620484,5,6007.4,3.4351128074635104,5
RP3beta,0.3,500,q1,0.27812762852432904,0.0014089066629539458,5,0.1934142211140589,0.0018461387414577212,5,0.7734458380854645,0.006782489224810699,5,0.285522141396061,0.001776528444423523,5,0.2858210590922695,0.00185871428177698,5,0.8624525765207374,0.006892186709695939,5,5941.2,4.147288270665454,5
RP3beta,0.3,500,q2,0.0005161295246508803,0.00026664522426126183,5,0.0009138719808806862,0.0003766670588597034,5,0.0011689446948034287,0.0005072848585768648,5,0.0007350581869658972,0.0002919857324722624,5,0.0016533961814594778,0.000613981181223361,5,0.0023407321205586194,0.0009278838633711475,5,4440.2,45.146428430164846,5
RP3beta,0.3,500,q3,0.0002167234473502375,0.0001823051414992107,5,0.00042694355367099007,0.00038943418201624965,5,0.0004849245769292,0.00039445067941361767,5,0.0002334174454476941,0.0001599489307094265,5,0.0004951796505662477,0.00031954248931466395,5,0.0005531606738244576,0.0003100786384802696,5,2896.4,24.795160818191906,5
RP3beta,0.3,500,q4,0.00012430697768674512,0.00017717453172522545,5,0.00021005335761687532,0.0002928198415765977,5,0.00023988629317773453,0.00032848494759000585,5,0.00012430697768674512,0.00017717453172522545,5,0.00021005335761687532,0.0002928198415765977,5,0.00023988629317773453,0.00032848494759000585,5,1647.8,38.15363678602605,5
RP3beta,0.3,500,q5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,690.4,16.379865689315046,5
RP3beta,0.6,200,overall,0.3054871661533587,0.002162847374479927,5,0.18228957729651457,0.001960798113221833,5,0.8237524022987159,0.006259309841747327,5,0.3035713263376957,0.0027462610958730775,5,0.2678902276490952,0.003333392274592782,5,0.8987596426039606,0.006348756248441963,5,6007.4,3.4351128074635104,5
RP3beta,0.6,200,q1,0.3233268501186076,0.0020181327345166994,5,0.23377795590975312,0.001581610748102603,5,0.8272739519125383,0.006151380264858523,5,0.33514060722875416,0.0028098758843658838,5,0.3439719461192826,0.0034966892620882347,5,0.9021409310205254,0.005592854188963619,5,5941.2,4.147288270665454,5
RP3beta,0.6,200,q2,0.005190250551629286,0.0005026805681223364,5,0.009406127109261387,0.0010020781855990786,5,0.015901584890824293,0.0006089293115724803,5,0.008045057737881696,0.0004894725843397599,5,0.018712435498406642,0.0008572962848188278,5,0.030405354145304632,0.0007503848583088514,5,4440.2,45.146428430164846,5
RP3beta,0.6,200,q3,0.003104410123518988,0.0005051794362456986,5,0.0055473204678326725,0.0013625787950208715,5,0.00836017041619451,0.001839163063296202,5,0.004322777991785835,0.00043654975791846816,5,0.009633520700956072,0.0010398526293192876,5,0.013881963560864255,0.0012674707352748685,5,2896.4,24.795160818191906,5
RP3beta,0.6,200,q4,0.0014503856701780116,0.0007731161468230864,5,0.0025954623902362923,0.0016995830429920266,5,0.0031675751227382585,0.001416771728070464,5,0.0018483465816060743,0.0006044703717363235,5,0.004087352157913649,0.0009737622534381035,5,0.004982088235844207,0.0007073243327813539,5,1647.8,38.15363678602605,5
RP3beta,0.6,200,q5,0.0012801396918906511,0.0010066960842790092,5,0.0018774480880137216,0.0009670011398360942,5,0.0020275982381638717,0.0007904948491200591,5,0.0015516762169406507,0.0010389069906906545,5,0.002908469629984169,0.0010518402980621907,5,0.003208769930284469,0.0012760252212220184,5,690.4,16.379865689315046,5
RP3beta,0.6,500,overall,0.30808114970540956,0.0016930884834210958,5,0.18446774340014507,0.0018479894336454296,5,0.8275485844208248,0.007715179607206403,5,0.3045628555655057,0.0022812427832483045,5,0.2683403247688919,0.0026914687247000094,5,0.9000580116535879,0.005045349593817459,5,6007.4,3.4351128074635104,5
RP3beta,0.6,500,q1,0.32640369114971957,0.0015615920225188378,5,0.2367218859659986,0.0015471524381522922,5,0.8312810390943397,0.007467093815896227,5,0.33681713114940937,0.0023547130207327532,5,0.3450798469448006,0.002818376213590838,5,0.9041269080709128,0.004814902344786086,5,5941.2,4.147288270665454,5
RP3beta,0.6,500,q2,0.004784561946525333,0.0004033921041599092,5,0.008833735715426495,0.0008058677007178926,5,0.014499001725216839,0.0009660714881229571,5,0.0071548881874341054,0.0004856758854628184,5,0.016649675103322555,0.0012707766571422292,5,0.02625740794342496,0.0007254256229515229,5,4440.2,45.146428430164846,5
RP3beta,0.6,500,q3,0.0030817754985583653,0.0006238722076732666,5,0.005290473770725947,0.001059057991090008,5,0.007946240020065951,0.0011966020534822997,5,0.004065428623249863,0.0005666158334488333,5,0.008601868962022089,0.0009134879195907353,5,0.012364576278672984,0.0012880846756850443,5,2896.4,24.795160818191906,5
RP3beta,0.6,500,q4,0.0014340805290038023,0.0008132887894145656,5,0.0024448058586416356,0.0014509670435899529,5,0.0031701202848214522,0.0013549675378960757,5,0.0019354547106893668,0.0007771422457434759,5,0.004297441073260633,0.00120848123140576,5,0.005221974529021942,0.0009259525506689623,5,1647.8,38.15363678602605,5
RP3beta,0.6,500,q5,0.0013189510353943759,0.0012110261364036375,5,0.002033036089794182,0.0013121934496808114,5,0.002033036089794182,0.0013121934496808114,5,0.0015108842804034664,0.0011279185662107774,5,0.002758319479834019,0.0010879374293568892,5,0.002908469629984169,0.0010518402980621907,5,690.4,16.379865689315046,5
