model,rp3_beta,rp3_topK,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
RP3beta,0.3,200,0,overall,6008,0.2602724270741662,0.14894699745700465,0.7714713715046605,0.2555148417306484,0.2170018101252847,0.8526964047936085
RP3beta,0.3,200,0,q1,5945,0.27559764149979227,0.19167155816961623,0.7793103448275862,0.2827774293161487,0.2810598266440315,0.8615643397813288
RP3beta,0.3,200,0,q2,4408,0.00033978761664631754,0.0005995592429349235,0.0009074410163339383,0.0005106893750028395,0.0011991184858698473,0.0018148820326678765
RP3beta,0.3,200,0,q3,2895,0.0002161329768671302,0.00023028209556706964,0.0003454231433506045,0.0002161329768671302,0.00023028209556706964,0.0003454231433506045
RP3beta,0.3,200,0,q4,1659,0.0003803072655644711,0.0006027727546714888,0.0006027727546714888,0.0003803072655644711,0.0006027727546714888,0.0006027727546714888
RP3beta,0.3,200,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.3,500,0,overall,6008,0.26386209680231587,0.15198648434576895,0.7754660452729694,0.259917517427818,0.2221643383586659,0.8598535286284953
RP3beta,0.3,500,0,q1,5945,0.27953464073597156,0.19546461549491134,0.7833473507148865,0.28791536487927005,0.2881745938793042,0.8687973086627419
RP3beta,0.3,500,0,q2,4408,0.0003497294838965107,0.0005995592429349235,0.0009074410163339383,0.00046425921546537575,0.0009549736409990494,0.0018148820326678765
RP3beta,0.3,500,0,q3,2895,0.00024314959897552148,0.00023028209556706964,0.0003454231433506045,0.00024314959897552148,0.00023028209556706964,0.0003454231433506045
RP3beta,0.3,500,0,q4,1659,0.0003803072655644711,0.0006027727546714888,0.0006027727546714888,0.0003803072655644711,0.0006027727546714888,0.0006027727546714888
RP3beta,0.3,500,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.6,200,0,overall,6008,0.30775841121769276,0.18519580745497763,0.8320572569906791,0.30709641960999084,0.27242834648226194,0.9067909454061251
RP3beta,0.6,200,0,q1,5945,0.3249546714031418,0.23612548713065667,0.8354920100925147,0.3383359718785873,0.3481923975216014,0.9095037846930193
RP3beta,0.6,200,0,q2,4408,0.004637773316991766,0.008400581194365223,0.015426497277676952,0.007632572864105956,0.017966890187852077,0.030852994555353903
RP3beta,0.6,200,0,q3,2895,0.0024364627131597174,0.004293116210214657,0.0069084628670120895,0.003680027653590028,0.008163500287852619,0.013126079447322971
RP3beta,0.6,200,0,q4,1659,0.0021441897522809453,0.004219409282700422,0.004822182037371911,0.0022887421733587825,0.004822182037371911,0.0054249547920434
RP3beta,0.6,200,0,q5,693,0.001443001443001443,0.001443001443001443,0.001443001443001443,0.001789051178308992,0.002886002886002886,0.002886002886002886
RP3beta,0.6,500,0,overall,6008,0.30955476046465896,0.1867771019626972,0.8357190412782957,0.3074282202068989,0.27216249570074635,0.9056258322237017
RP3beta,0.6,500,0,q1,5945,0.32719051264181775,0.23863571952844412,0.8390243902439024,0.3392903333961476,0.3484928801715907,0.9101766190075694
RP3beta,0.6,500,0,q2,4408,0.0042621254110965495,0.007470184080891886,0.013838475499092558,0.006725767760418628,0.015241768213637541,0.02631578947368421
RP3beta,0.6,500,0,q3,2895,0.0021901460009769932,0.003803766757134633,0.0065630397236614854,0.00342463355050184,0.008078789374126162,0.012435233160621761
RP3beta,0.6,500,0,q4,1659,0.002104675286967641,0.0039180229053646775,0.004822182037371911,0.0025148822985091033,0.0054249547920434,0.006027727546714889
RP3beta,0.6,500,0,q5,693,0.001443001443001443,0.001443001443001443,0.001443001443001443,0.0018220051010637713,0.002886002886002886,0.002886002886002886
RP3beta,0.3,200,1,overall,6006,0.25833844616675905,0.14446431626067083,0.7560772560772561,0.2526009212771924,0.21270750764057586,0.8468198468198468
RP3beta,0.3,200,1,q1,5944,0.2740009422209099,0.1869555673065866,0.7634589502018843,0.28006013056897994,0.2766980151166585,0.8549798115746972
RP3beta,0.3,200,1,q2,4502,0.0006017753457268064,0.0008329631274988894,0.0011106175033318525,0.0008293569745196674,0.0017214571301643715,0.002221235006663705
RP3beta,0.3,200,1,q3,2861,0.00018645455221673188,0.0005242922055225446,0.0006990562740300594,0.00018645455221673188,0.0005242922055225446,0.0006990562740300594
RP3beta,0.3,200,1,q4,1641,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.3,200,1,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.3,500,1,overall,6006,0.2610368425674925,0.14743873750321848,0.7627372627372627,0.25646610770797207,0.21809302531285804,0.853979353979354
RP3beta,0.3,500,1,q1,5944,0.2769243091412094,0.19065882050194366,0.7700201884253028,0.28457584294995353,0.2840959157767568,0.8622139973082099
RP3beta,0.3,500,1,q2,4502,0.0006850467002111351,0.0010550866281652598,0.0013327410039982231,0.0007763489714437447,0.0013882718791648156,0.001776988005330964
RP3beta,0.3,500,1,q3,2861,0.00019211240500709295,0.0005242922055225446,0.0006990562740300594,0.00019211240500709295,0.0005242922055225446,0.0006990562740300594
RP3beta,0.3,500,1,q4,1641,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.3,500,1,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.6,200,1,overall,6006,0.30491944272467986,0.18097184834620614,0.8235098235098235,0.3037204709214425,0.26847916172923736,0.8992673992673993
RP3beta,0.6,200,1,q1,5944,0.322826293886447,0.23299094367184986,0.8263795423956931,0.3356052106106815,0.34546080651345445,0.9015814266487214
RP3beta,0.6,200,1,q2,4502,0.004978978596525632,0.008235853810043058,0.015104398045313194,0.008125539006461019,0.018687723008025098,0.029764549089293647
RP3beta,0.6,200,1,q3,2861,0.0037695086742113295,0.007436211114994757,0.01118490038448095,0.004814465022492141,0.011021787253873936,0.015728766165676335
RP3beta,0.6,200,1,q4,1641,0.0005540701424322508,0.0008125126955108673,0.0018281535648994515,0.0011578652072710262,0.0030977046516351817,0.0042656916514320535
RP3beta,0.6,200,1,q5,685,0.00291970802919708,0.00291970802919708,0.00291970802919708,0.0032768621052820814,0.004379562043795621,0.004379562043795621
RP3beta,0.6,500,1,overall,6006,0.30807172470120003,0.18413626467488153,0.8255078255078255,0.3050731689530529,0.2687523753313123,0.9024309024309024
RP3beta,0.6,500,1,q1,5944,0.3263388843460124,0.2364214878251443,0.8282301480484522,0.3374840266437873,0.345752561538681,0.905114401076716
RP3beta,0.6,500,1,q2,4502,0.004976788127855154,0.009129187733141532,0.015326521545979565,0.007466191386855006,0.017666922026095728,0.027099067081297203
RP3beta,0.6,500,1,q3,2861,0.00391875253898631,0.006754631247815449,0.009786787836420832,0.004939650733590573,0.010229523476639869,0.014330653617616217
RP3beta,0.6,500,1,q4,1641,0.0006192155924928662,0.0014218972171440177,0.002437538086532602,0.0010773755128966327,0.0030977046516351817,0.0042656916514320535
RP3beta,0.6,500,1,q5,685,0.0033591678768817245,0.004379562043795621,0.004379562043795621,0.0033591678768817245,0.004379562043795621,0.004379562043795621
RP3beta,0.3,200,2,overall,6004,0.2602190037767814,0.14755249133349016,0.7608261159227182,0.2534753184623577,0.21465234249372098,0.850599600266489
RP3beta,0.3,200,2,q1,5935,0.27660052517654204,0.19127220798297512,0.7684919966301601,0.28119584510614387,0.27869492581088434,0.8591406908171861
RP3beta,0.3,200,2,q2,4474,0.0006291069180816282,0.0013410818059901655,0.0015645954403218597,0.0009255859046447947,0.0022761138429444197,0.003799731783638802
RP3beta,0.3,200,2,q3,2899,0.0004305643060991127,0.0010348395998620215,0.0010348395998620215,0.0004305643060991127,0.0010348395998620215,0.0010348395998620215
RP3beta,0.3,200,2,q4,1585,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.3,200,2,q5,666,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.3,500,2,overall,6004,0.262718252047694,0.14954475565157893,0.7639906728847435,0.25747932430757353,0.21948851607358774,0.8552631578947368
RP3beta,0.3,500,2,q1,5935,0.27927511566611607,0.1937466546071227,0.7716933445661331,0.2859265352013294,0.2858385562884325,0.8641954507160909
RP3beta,0.3,500,2,q2,4474,0.0008140763095950417,0.0013634331694233348,0.001788109074653554,0.001130497818940469,0.0024251229324988824,0.003799731783638802
RP3beta,0.3,500,2,q3,2899,0.0004996409516658821,0.0010348395998620215,0.0010348395998620215,0.0004996409516658821,0.0010348395998620215,0.0010348395998620215
RP3beta,0.3,500,2,q4,1585,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.3,500,2,q5,666,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.6,200,2,overall,6004,0.3067779460063049,0.181923576632837,0.8259493670886076,0.3043031383528816,0.26846886895126487,0.9027315123251166
RP3beta,0.6,200,2,q1,5935,0.32443813612272376,0.233688875565175,0.8298230834035384,0.33560416361945467,0.34470616242623886,0.9058129738837405
RP3beta,0.6,200,2,q2,4474,0.00599107533859535,0.010310098558869232,0.016540008940545373,0.008760688644642186,0.01967793636602309,0.0310683951721055
RP3beta,0.6,200,2,q3,2899,0.0028169755792018607,0.0044793771251170345,0.006898930665746809,0.004221607490753577,0.009313282631668281,0.013107968264918937
RP3beta,0.6,200,2,q4,1585,0.002055057463038922,0.004416403785488959,0.004416403785488959,0.002266401859895569,0.005126182965299685,0.0056782334384858045
RP3beta,0.6,200,2,q5,666,0.0002661250552313029,0.0007507507507507507,0.0015015015015015015,0.0009206038690887501,0.003003003003003003,0.0045045045045045045
RP3beta,0.6,500,2,overall,6004,0.3088752519003553,0.18491221422855592,0.832778147901399,0.3047045882092262,0.2687012934852372,0.902398401065956
RP3beta,0.6,500,2,q1,5935,0.32692026619937037,0.2372360738254659,0.8365627632687447,0.3367680953405354,0.3459160992152974,0.9061499578770008
RP3beta,0.6,500,2,q2,4474,0.005294706316427354,0.009516359069331801,0.015198927134555208,0.007663467117648694,0.017606488281499456,0.026151095216808227
RP3beta,0.6,500,2,q3,2899,0.003225613973883769,0.005426611256207668,0.008278716798896172,0.004019952339143437,0.008164829689493367,0.011038289065194894
RP3beta,0.6,500,2,q4,1585,0.00234297916617796,0.004100946372239748,0.004416403785488959,0.002643034854017907,0.005126182965299685,0.0056782334384858045
RP3beta,0.6,500,2,q5,666,0.00045199699048645823,0.0015015015015015015,0.0015015015015015015,0.0006821573481311499,0.0022522522522522522,0.003003003003003003
RP3beta,0.3,200,3,overall,6013,0.25731400489313394,0.14565407494193688,0.7498752702477964,0.25144308151975797,0.2131717648527985,0.8380176284716447
RP3beta,0.3,200,3,q1,5943,0.2729486376738558,0.18759077626646403,0.7582029278142353,0.27879474519963043,0.2778865537910065,0.8472152111728083
RP3beta,0.3,200,3,q2,4400,0.0004516048379156263,0.0006439393939393939,0.0009090909090909091,0.0008015255103845299,0.001931818181818182,0.0025
RP3beta,0.3,200,3,q3,2896,0.00014871428110269097,0.0003453038674033149,0.0003453038674033149,0.0001977021615812801,0.0005179558011049724,0.0006906077348066298
RP3beta,0.3,200,3,q4,1678,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.3,200,3,q5,698,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.3,500,3,overall,6013,0.26028575801324605,0.14933696367511592,0.7571927490437386,0.255182867860179,0.2175972628569523,0.8416763678696159
RP3beta,0.3,500,3,q1,5943,0.2763836657948775,0.19269038493354407,0.7656065959952886,0.28316051735346326,0.28390200426179923,0.850917045263335
RP3beta,0.3,500,3,q2,4400,0.0005829979407873934,0.0010984848484848484,0.0013636363636363637,0.0008710063005908452,0.002159090909090909,0.0027272727272727275
RP3beta,0.3,500,3,q3,2896,0.00014871428110269097,0.0003453038674033149,0.0003453038674033149,0.00014871428110269097,0.0003453038674033149,0.0003453038674033149
RP3beta,0.3,500,3,q4,1678,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.3,500,3,q5,698,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.6,200,3,overall,6013,0.30210829575720305,0.18020946294506715,0.8147347413936471,0.2994347700754492,0.26318099274058343,0.891401962414768
RP3beta,0.6,200,3,q1,5943,0.32001092165221184,0.23186215650910325,0.8186101295641932,0.3305849738264247,0.33880341204077247,0.8958438499074541
RP3beta,0.6,200,3,q2,4400,0.0052688632576246485,0.010112824675324676,0.016136363636363636,0.008166293675528987,0.019461019409883044,0.03090909090909091
RP3beta,0.6,200,3,q3,2896,0.003188052307210879,0.005038970007892659,0.007596685082872928,0.004629687890627906,0.009998191265456457,0.012776243093922652
RP3beta,0.6,200,3,q4,1678,0.0006750258491956124,0.0010429082240762813,0.0017878426698450535,0.0012157509405688145,0.003029400079459674,0.004171632896305125
RP3beta,0.6,200,3,q5,698,0.0008832304762889827,0.0028653295128939827,0.0028653295128939827,0.0008832304762889827,0.0028653295128939827,0.0028653295128939827
RP3beta,0.6,500,3,overall,6013,0.3052035712275329,0.1816619209306833,0.8157325794112755,0.3010520995449108,0.264718144004634,0.8930650257774821
RP3beta,0.6,500,3,q1,5943,0.3237722968118068,0.23437473003186063,0.8201245162375904,0.3329437816507013,0.3407669185954334,0.8973582365808515
RP3beta,0.6,500,3,q2,4400,0.004874281495286405,0.009261904761904763,0.015,0.007364149374012699,0.01745442751692752,0.026590909090909092
RP3beta,0.6,500,3,q3,2896,0.0031725815643678648,0.005001973164956591,0.007596685082872928,0.004183114003508119,0.008292225730071033,0.011395027624309393
RP3beta,0.6,500,3,q4,1678,0.0005969985824664958,0.0010429082240762813,0.0017878426698450535,0.0011081672481918195,0.0028804131903059195,0.004171632896305125
