model,ease_lambda,rp3_beta,rp3_topK,gamma,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
Hybrid-GraphReg,200,0.6,200,0.01,8.805570125579834,0.10954912258759357,0.05166050737220509,0.5026019808628505,0.08789124610073953,0.39297218155197655,0.7318042343701645,2.5197854625552765,0.1257741688123598,0.05000413860439415,0.677522242739634,0.14942911471593748,0.4828696925329429,0.7245929566176357,2.6866370333606744,0.10954912258759357,0.05166050737220509,0.5026019808628505,0.08789124610073953,0.39297218155197655,0.7318042343701645,2.5197854625552765,1669800.0,1.1757235675119264e-16,5957,-1,-0.0063864631556548495,0.0
Hybrid-GraphReg,200,0.6,200,0.05,8.678454399108887,0.1090386367231156,0.051412795178877695,0.5002518045996307,0.08750393124388683,0.4196193265007321,0.7401881663904177,2.5425798513499633,0.1253452067342175,0.049807300776586204,0.677522242739634,0.14904458863777448,0.5183016105417276,0.7352630006572527,2.7097825675359624,0.1090386367231156,0.051412795178877695,0.5002518045996307,0.08750393124388683,0.4196193265007321,0.7401881663904177,2.5425798513499633,1636317.5,8.542401893034916e-19,5957,-1,-0.006896949020132811,0.0
Hybrid-GraphReg,200,0.6,200,0.1,8.694818019866943,0.10815302599780158,0.050994662189759794,0.49639080073862685,0.08672670174872084,0.4658857979502196,0.7520565519472415,2.588762719213463,0.12451142799404434,0.04946822180605132,0.6723182810139332,0.14817574554706503,0.578623718887262,0.7508356531525868,2.7513290682249107,0.10815302599780158,0.050994662189759794,0.49639080073862685,0.08672670174872084,0.4658857979502196,0.7520565519472415,2.588762719213463,1626448.0,4.670150424615542e-22,5957,-1,-0.007782559745446833,0.0
Hybrid-GraphReg,200,0.6,200,0.3,8.770151376724243,0.10181091402343097,0.047585658634719565,0.47473560517038776,0.08235424859371145,0.6354319180087847,0.7589763968966534,2.888317870706979,0.11790018863138785,0.04646343309441208,0.6464663421185161,0.14134453305489192,0.7745241581259151,0.7605965944340236,3.0158676043183497,0.10181091402343097,0.047585658634719565,0.47473560517038776,0.08235424859371145,0.6354319180087847,0.7589763968966534,2.888317870706979,1574366.5,9.53332012354419e-45,5957,-1,-0.014124671719817457,0.0
Hybrid-GraphReg,200,0.6,200,0.5,8.694520235061646,0.09352991299087113,0.04309412028540984,0.45022662413966763,0.0767326535729616,0.742606149341142,0.7316635546336547,3.2691422047551644,0.10953390936775556,0.04236813613166331,0.6238039281517542,0.13389210706469556,0.8612005856515373,0.7262689990037978,3.3436295870558905,0.09352991299087113,0.04309412028540984,0.45022662413966763,0.0767326535729616,0.742606149341142,0.7316635546336547,3.2691422047551644,1504689.0,2.9114358337851064e-74,5957,-1,-0.022405672752377308,0.0
Hybrid-GraphReg,200,0.6,200,1.0,8.835518836975098,0.0733468533222871,0.03249821144083197,0.38509316770186336,0.06186793288597044,0.8661786237188872,0.649340115315951,4.157795011209118,0.08716974675527617,0.03245466300681881,0.5450730233338928,0.10898704927696189,0.950805270863836,0.6370497445014391,4.106391968163675,0.0733468533222871,0.03249821144083197,0.38509316770186336,0.06186793288597044,0.8661786237188872,0.649340115315951,4.157795011209118,1213501.0,2.489887282493063e-156,5957,-1,-0.04258873242096131,0.0
Hybrid-GraphReg,500,0.6,200,0.01,8.775545120239258,0.11331096020326287,0.054293893256293434,0.5066308544569414,0.08906629691500306,0.35226939970717425,0.740642881074411,2.4293983561250276,0.12997078265413997,0.05236813052233911,0.6818868557998993,0.15371808916344185,0.44363103953147875,0.734607248537511,2.6026322096633705,0.11331096020326287,0.054293893256293434,0.5066308544569414,0.08906629691500306,0.35226939970717425,0.740642881074411,2.4293983561250276,1094275.0,1.667927066096457e-10,5957,-1,-0.002624625539985565,0.0
Hybrid-GraphReg,500,0.6,200,0.05,8.710768222808838,0.1130465938874842,0.05408059504554625,0.5064629847238543,0.08893759420645277,0.3616398243045388,0.7420349209822894,2.4416613959480085,0.12991212985365455,0.05232473179452629,0.6807117676682894,0.15371774708878647,0.4585651537335286,0.7382576193670645,2.6154398243906294,0.1130465938874842,0.05408059504554625,0.5064629847238543,0.08893759420645277,0.3616398243045388,0.7420349209822894,2.4416613959480085,1115423.5,1.2589735559602361e-11,5957,-1,-0.002888991855764227,0.0
Hybrid-GraphReg,500,0.6,200,0.1,8.704652786254883,0.11255472960071938,0.053874305179392436,0.5029377203290247,0.08880019044011217,0.3850658857979502,0.74944422352589,2.4641007425649937,0.1295068270475683,0.05220927259599454,0.6771865032734598,0.1534553574746314,0.4849194729136164,0.7448207625665093,2.6365768257771687,0.11255472960071938,0.053874305179392436,0.5029377203290247,0.08880019044011217,0.3850658857979502,0.74944422352589,2.4641007425649937,1143033.0,1.7773814345560652e-13,5957,-1,-0.0033808561425290318,0.0
Hybrid-GraphReg,500,0.6,200,0.3,8.833519220352173,0.11056216086245584,0.05285488857471999,0.49672654020480106,0.08767368855548807,0.4743777452415813,0.7639570833773732,2.582376906101532,0.12698531388168482,0.05113874923873068,0.6671143192882323,0.15057688570155664,0.6002928257686676,0.7636931423166842,2.74942970444258,0.11056216086245584,0.05285488857471999,0.49672654020480106,0.08767368855548807,0.4743777452415813,0.7639570833773732,2.582376906101532,1360960.5,5.5628066138300194e-18,5957,-1,-0.005373424880792579,0.0
