model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
Hybrid-Score,0.3,200,0.3,200,6.429997444152832,0.12161351705219622,0.058742897469235826,0.5314755749538358,0.09070474124086712,0.2957540263543192,0.8039475315669891,2.1432534425315097,0.13653983148854698,0.05544808066721824,0.6969951317777405,0.1540021045742934,0.3806734992679356,0.8004652832478918,2.3008481397110145,0.12161351705219622,0.058742897469235826,0.5314755749538358,0.09070474124086712,0.2957540263543192,0.8039475315669891,2.1432534425315097,1801667.5,7.617315266216476e-08,5957,1,0.005677931308947809,0.0
Hybrid-Score,0.5,200,0.3,200,6.449450254440308,0.11737492860901418,0.05625118334098665,0.5224106093671311,0.08987667013432327,0.3300146412884334,0.7705591045199855,2.30374906950649,0.1323908635153629,0.05335155174100376,0.6874265569917744,0.15246701982361413,0.4330893118594436,0.7704538714063363,2.4748354155288013,0.11737492860901418,0.05625118334098665,0.5224106093671311,0.08987667013432327,0.3300146412884334,0.7705591045199855,2.30374906950649,1830401.5,0.07979615408990741,5957,1,0.0014393428657657554,0.0
Hybrid-Score,0.7,200,0.3,200,6.468268394470215,0.11371058162829979,0.054110713551892196,0.5135135135135135,0.08907713123941495,0.35871156661786235,0.7501742898938994,2.4107355660150858,0.12967086812807224,0.0520119994408444,0.6845727715292933,0.15126543255427183,0.46002928257686676,0.7480357157549751,2.583431081562834,0.11371058162829979,0.054110713551892196,0.5135135135135135,0.08907713123941495,0.35871156661786235,0.7501742898938994,2.4107355660150858,1809933.0,0.0007527568717444712,5957,-1,-0.002225004114948632,0.0
Hybrid-Score,0.3,200,0.6,200,6.708221435546875,0.11996815879254712,0.057998220788075865,0.5225784791002183,0.08993545961647471,0.3259150805270864,0.7975645465156775,2.220791698369728,0.13413182906895152,0.05450386082171121,0.6849085109954676,0.15218020404560226,0.4196193265007321,0.7931698573435277,2.3876846853967404,0.11996815879254712,0.057998220788075865,0.5225784791002183,0.08993545961647471,0.3259150805270864,0.7975645465156775,2.220791698369728,1774541.0,9.903124520605825e-05,5957,1,0.004032573049298707,0.0
Hybrid-Score,0.5,200,0.6,200,6.583393573760986,0.11668984001149488,0.05609585657297133,0.518213866039953,0.08956881663259746,0.3440702781844802,0.7678654184778144,2.3381953866921994,0.13181839706942136,0.053255773965880944,0.6825583347322478,0.15244057036438785,0.4480234260614934,0.7671493524946211,2.510320722028303,0.11668984001149488,0.05609585657297133,0.518213866039953,0.08956881663259746,0.3440702781844802,0.7678654184778144,2.3381953866921994,1801838.5,0.46877503228128437,5957,1,0.000754254268246458,0.0
Hybrid-Score,0.7,200,0.6,200,6.8839499950408936,0.113546145571816,0.0542945050037996,0.5118348161826423,0.08883031191760168,0.3625183016105417,0.7484098342916914,2.422820578052641,0.12944015948294793,0.052095666550661376,0.6812153768675507,0.15111220007538842,0.4635431918008785,0.746139075672982,2.595469376621801,0.113546145571816,0.0542945050037996,0.5118348161826423,0.08883031191760168,0.3625183016105417,0.7484098342916914,2.422820578052641,1736203.5,0.0001727378447615252,5957,-1,-0.0023894401714324126,0.0
Hybrid-Score,0.3,500,0.3,200,6.4467339515686035,0.12252416601031475,0.059169957525658505,0.5336578814839684,0.09151263085046249,0.2664714494875549,0.8040422662782911,2.097599185243931,0.13788853980396407,0.05580967704279892,0.7010240053718314,0.15638858407498776,0.34904831625183014,0.8008518684802608,2.256452671580264,0.12252416601031475,0.059169957525658505,0.5336578814839684,0.09151263085046249,0.2664714494875549,0.8040422662782911,2.097599185243931,1392382.5,1.2976477394236603e-13,5957,1,0.006588580267066321,0.0
Hybrid-Score,0.5,500,0.3,200,6.475264072418213,0.11910143085561431,0.05740255574901389,0.524928655363438,0.0910364854652495,0.29751098096632506,0.7716100888387776,2.2463855965333126,0.13496138367110555,0.05447281367990281,0.6929662581836495,0.15593006349364125,0.3923865300146413,0.7707595353766672,2.416207074814873,0.11910143085561431,0.05740255574901389,0.524928655363438,0.0910364854652495,0.29751098096632506,0.7716100888387776,2.2463855965333126,1096720.5,1.6496323611258254e-07,5957,1,0.003165845112365891,0.0
Hybrid-Score,0.7,500,0.3,200,6.9344916343688965,0.11654599621978469,0.05613163005613465,0.515527950310559,0.09000161567000158,0.32005856515373354,0.7533015583932485,2.336674669760011,0.1327415507394086,0.0535870055337358,0.6877622964579486,0.1547472359980602,0.41551976573938504,0.7500312256631771,2.5133255265639245,0.11654599621978469,0.05613163005613465,0.515527950310559,0.09000161567000158,0.32005856515373354,0.7533015583932485,2.336674669760011,1125122.5,0.2649358240463583,5957,1,0.0006104104765362749,0.0
Hybrid-Score,0.3,500,0.6,200,6.613610744476318,0.12058272569341337,0.0583554602104957,0.525096525096525,0.09039754093598107,0.29546120058565156,0.7953973413360669,2.1802326391234574,0.13555536723937922,0.05510131332000178,0.6891052543226456,0.15447301977689895,0.39326500732064423,0.7951051035773753,2.34734492674756,0.12058272569341337,0.0583554602104957,0.525096525096525,0.09039754093598107,0.29546120058565156,0.7953973413360669,2.1802326391234574,1475848.5,1.8920483448739068e-07,5957,1,0.004647139950164942,0.0
