model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-Score,0.3,200,0.3,200,overall,5957,0.12161351705219622,0.09070474124086712,0.5314755749538358,0.13653983148854698,0.1540021045742934,0.6969951317777405
Hybrid-Score,0.3,200,0.3,200,q1,5787,0.13422743139024432,0.12503080222140958,0.5401762571280456,0.15705836000178294,0.20862787862144286,0.7046829099706238
Hybrid-Score,0.3,200,0.3,200,q2,4520,0.004900206882085003,0.00980423706087423,0.015265486725663717,0.008689059918486982,0.023015667118964467,0.036283185840707964
Hybrid-Score,0.3,200,0.3,200,q3,3059,0.001551450984097533,0.0035687043696197014,0.005557371690094802,0.0026452661884898503,0.007546039010569903,0.010134030728996404
Hybrid-Score,0.3,200,0.3,200,q4,1767,0.0,0.0,0.0,0.00014485456978484182,0.0005659309564233164,0.0005659309564233164
Hybrid-Score,0.3,200,0.3,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.5,200,0.3,200,overall,5957,0.11737492860901418,0.08987667013432327,0.5224106093671311,0.1323908635153629,0.15246701982361413,0.6874265569917744
Hybrid-Score,0.5,200,0.3,200,q1,5787,0.12942121457514388,0.1233950851826441,0.5291169863487126,0.15167183756122365,0.20469999408954279,0.6908588214964576
Hybrid-Score,0.5,200,0.3,200,q2,4520,0.005934886542949066,0.011735519250160063,0.019690265486725665,0.011126248260125088,0.029037840241537598,0.05221238938053097
Hybrid-Score,0.5,200,0.3,200,q3,3059,0.0017462514259833186,0.003704914460063201,0.006211180124223602,0.003282508699209721,0.009126076059714503,0.013076168682576005
Hybrid-Score,0.5,200,0.3,200,q4,1767,0.0,0.0,0.0,0.0001486415025677383,0.0005659309564233164,0.0005659309564233164
Hybrid-Score,0.5,200,0.3,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.7,200,0.3,200,overall,5957,0.11371058162829979,0.08907713123941495,0.5135135135135135,0.12967086812807224,0.15126543255427183,0.6845727715292933
Hybrid-Score,0.7,200,0.3,200,q1,5787,0.12512623065828252,0.12215069256270049,0.5182305166753067,0.14772848164469385,0.20152063136049972,0.6856747883186453
Hybrid-Score,0.7,200,0.3,200,q2,4520,0.007000087799954541,0.013353006521466619,0.02566371681415929,0.013403154843108183,0.03424045331146599,0.07101769911504424
Hybrid-Score,0.7,200,0.3,200,q3,3059,0.001949189897648882,0.004249754821837201,0.006864988558352402,0.0034182447092700806,0.009382151029748284,0.013729977116704805
Hybrid-Score,0.7,200,0.3,200,q4,1767,0.0,0.0,0.0,0.00023815045133962877,0.0008488964346349745,0.0011318619128466328
Hybrid-Score,0.7,200,0.3,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.3,200,0.6,200,overall,5957,0.11996815879254712,0.08993545961647471,0.5225784791002183,0.13413182906895152,0.15218020404560226,0.6849085109954676
Hybrid-Score,0.3,200,0.6,200,q1,5787,0.13171780818449635,0.12378502439606265,0.5296353896664938,0.15329342915138539,0.20450865898708673,0.6899948159668222
Hybrid-Score,0.3,200,0.6,200,q2,4520,0.006010755184402605,0.011591134178944805,0.01924778761061947,0.010153328125947055,0.025805580051021702,0.04513274336283186
Hybrid-Score,0.3,200,0.6,200,q3,3059,0.0022959714091499456,0.004304238858014601,0.006538084341288003,0.004034076423760184,0.010499073771384985,0.015364498202026806
Hybrid-Score,0.3,200,0.6,200,q4,1767,0.0,0.0,0.0,0.0003065039505876194,0.0011318619128466328,0.0011318619128466328
Hybrid-Score,0.3,200,0.6,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.5,200,0.6,200,overall,5957,0.11668984001149488,0.08956881663259746,0.518213866039953,0.13181839706942136,0.15244057036438785,0.6825583347322478
Hybrid-Score,0.5,200,0.6,200,q1,5787,0.12826429372144607,0.1230168914295213,0.523241748747192,0.15036489161423447,0.20355746431724817,0.684983583894937
Hybrid-Score,0.5,200,0.6,200,q2,4520,0.006701068317128522,0.01304889794826163,0.023008849557522124,0.011858167918600776,0.030096317409210812,0.05707964601769912
Hybrid-Score,0.5,200,0.6,200,q3,3059,0.0021006734291988596,0.004304238858014601,0.006538084341288003,0.003956953353414276,0.010853220006538085,0.016018306636155607
