model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,6.911085367202759,0.11449942083355186,0.0550653704629969,0.5067987241900286,0.08909630114316339,0.32913616398243045,0.7410984833776109,2.387732669844941,0.13128728869337974,0.052969174942183075,0.6822225952660735,0.15457997399628723,0.41815519765739384,0.7352456728872512,2.5612254593913835,0.11449942083355186,0.0550653704629969,0.5067987241900286,0.08909630114316339,0.32913616398243045,0.7410984833776109,2.387732669844941,575371.0,3.8707381575581926e-08,5957,-1,-0.0014361649096965611,0.0
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,7.953182935714722,0.11650521173005894,0.05605303414180225,0.5133456437804264,0.09046726992996175,0.30805270863836015,0.7476392600710671,2.334089411594658,0.13246559141359446,0.053588951862927205,0.6823904649991607,0.15496283708385739,0.39414348462664717,0.7407881671044667,2.5093491743779865,0.11650521173005894,0.05605303414180225,0.5133456437804264,0.09046726992996175,0.30805270863836015,0.7476392600710671,2.334089411594658,324890.5,0.011432886725811223,5957,1,0.0005696259868105234,0.0
Laplacian-EASE,500,0.3,200,10,sym,rp3beta,7.021358489990234,0.11856521536932627,0.05766775220524111,0.511499076716468,0.08949306569806363,0.2629575402635432,0.7574230014435301,2.223311617486914,0.1337298019790517,0.05461987119105892,0.6785294611381568,0.15341116939781668,0.3423133235724744,0.7504950864715807,2.3973042376474973,0.11856521536932627,0.05766775220524111,0.511499076716468,0.08949306569806363,0.2629575402635432,0.7574230014435301,2.223311617486914,1457955.5,1.2540480929744064e-05,5957,1,0.002629629626077831,0.0
Laplacian-EASE,500,0.3,200,30,sym,rp3beta,7.304503917694092,0.12095267818016919,0.05907324548425554,0.5135135135135135,0.08844369806657888,0.20673499267935577,0.7708532490402178,2.071826928737127,0.13397610015589853,0.0548418518807438,0.6745005875440658,0.14799836611797287,0.2767203513909224,0.7645970904355999,2.2409506470464446,0.12095267818016919,0.05907324548425554,0.5135135135135135,0.08844369806657888,0.20673499267935577,0.7708532490402178,2.071826928737127,2080969.0,2.654806531727354e-08,5957,1,0.0050170924369207694,0.0
Laplacian-EASE,500,0.3,200,50,sym,rp3beta,7.070596694946289,0.12126617371923075,0.059312499003418846,0.5123384253819037,0.08653979055754445,0.17920937042459736,0.7810978131949999,1.983144642198871,0.13406770019037131,0.05488386729080964,0.6711431928823233,0.14576056841158075,0.2404099560761347,0.7723984740825285,2.149238670095888,0.12126617371923075,0.059312499003418846,0.5123384253819037,0.08653979055754445,0.17920937042459736,0.7810978131949999,1.983144642198871,2267390.5,6.051584213994287e-08,5957,1,0.005330587975982317,0.0
Laplacian-EASE,500,0.3,200,75,sym,rp3beta,7.078809976577759,0.12103154031012961,0.05913627810533311,0.5104918583179453,0.08397678777972711,0.15724743777452416,0.7911758040006764,1.9044583492036942,0.13338036931065328,0.05469102967564721,0.6645962732919255,0.14216936176749062,0.208199121522694,0.7773857747990933,2.0666274575641146,0.12103154031012961,0.05913627810533311,0.5104918583179453,0.08397678777972711,0.15724743777452416,0.7911758040006764,1.9044583492036942,2476527.0,3.81689563337337e-06,5957,1,0.005095954566881179,0.0
Laplacian-EASE,500,0.3,200,100,sym,rp3beta,7.649963140487671,0.12091121739883458,0.059206146691543025,0.5098203793855968,0.08243914412270326,0.13938506588579794,0.7963063016040728,1.8430629692771787,0.13284753510696876,0.05453023367949637,0.6635890548934027,0.13933215606504837,0.18975109809663251,0.7867208564672334,2.0027613952818193,0.12091121739883458,0.059206146691543025,0.5098203793855968,0.08243914412270326,0.13938506588579794,0.7963063016040728,1.8430629692771787,2608118.0,1.9200039254564317e-05,5957,1,0.004975631655586143,0.0
Laplacian-EASE,500,0.6,200,1,sym,rp3beta,7.271264553070068,0.11444280684004342,0.055028429684596494,0.5066308544569414,0.08905060548607943,0.33118594436310395,0.7418997955729592,2.3894676210911756,0.13126003208535056,0.05295026367774053,0.6823904649991607,0.15464490919404505,0.4196193265007321,0.7355341215440128,2.562725861905266,0.11444280684004342,0.055028429684596494,0.5066308544569414,0.08905060548607943,0.33118594436310395,0.7418997955729592,2.3894676210911756,577848.5,2.213349432614211e-08,5957,-1,-0.001492778903204997,0.0
Laplacian-EASE,500,0.6,200,3,sym,rp3beta,6.902132749557495,0.11642659878031784,0.05606230216145921,0.5125062951149908,0.09020785609133787,0.3101024890190337,0.7479676428315423,2.33700850789732,0.13234361326605343,0.053593886034837945,0.681551116333725,0.1546805905558233,0.39795021961932653,0.7420224263587352,2.512123849498349,0.11642659878031784,0.05606230216145921,0.5125062951149908,0.09020785609133787,0.3101024890190337,0.7479676428315423,2.33700850789732,357818.0,0.03701774341949504,5957,1,0.0004910130370694292,0.0
Laplacian-EASE,500,0.6,200,10,sym,rp3beta,7.08514928817749,0.11843408553821233,0.05774312881880909,0.5104918583179453,0.08938239769503824,0.2685212298682284,0.7593208616678344,2.230489883933381,0.1333616928809986,0.054604485513989824,0.6770186335403726,0.15261492840036875,0.34816983894582726,0.7515414013494242,2.40443749570355,0.11843408553821233,0.05774312881880909,0.5104918583179453,0.08938239769503824,0.2685212298682284,0.7593208616678344,2.230489883933381,1456452.0,3.756927487024119e-05,5957,1,0.0024984997949638915,0.0
