dataset,seed,family,prior,mu,rho,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,0,EASE,-,0.0,0.0,133.78846526145935,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,0.365349054583525,0.20414787720272656,0.9375832223701731,0.3316665455941842,0.39637002341920374,0.7487248661066388,2.5533754562781135,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,,,0,0,,
ml-1m,0,CAR-SAR-EASE,car,1.0,0.1,130.6075940132141,0.3667158017904937,0.23263201843036865,0.8851531291611185,0.22647479642571666,0.29361826697892274,0.7607552840811784,2.354947517092405,0.3678130757300403,0.2064558798801115,0.9379161118508655,0.3332957471906415,0.38026932084309134,0.7512873520448486,2.523548089929145,0.3667158017904937,0.23263201843036865,0.8851531291611185,0.22647479642571666,0.29361826697892274,0.7607552840811784,2.354947517092405,2048768.0,4.667896094260665e-17,6008,1,0.0033596627216051166,0.0
ml-1m,0,CAR-SAR-EASE,car,3.0,0.1,130.4383668899536,0.36885777132015013,0.23490661578318014,0.8838215712383488,0.22626196426753117,0.2725409836065574,0.7658782561311019,2.3073762159185134,0.36960780315686004,0.2085058647676292,0.9364181091877497,0.33278065589275946,0.35450819672131145,0.7548927606571365,2.476472410816292,0.36885777132015013,0.23490661578318014,0.8838215712383488,0.22626196426753117,0.2725409836065574,0.7658782561311019,2.3073762159185134,3755817.0,2.5098429130684887e-16,6008,1,0.0055016322512615136,0.0
ml-1m,0,CAR-SAR-EASE,car,10.0,0.1,130.36131811141968,0.3671212230117273,0.234867852537215,0.8771637816245007,0.22194763254135771,0.23507025761124123,0.7801588334690317,2.2078713146655393,0.36702076990906735,0.20701499601123308,0.9337549933422103,0.32866912423392347,0.3047423887587822,0.7631807126201249,2.3761440728960554,0.3671212230117273,0.234867852537215,0.8771637816245007,0.22194763254135771,0.23507025761124123,0.7801588334690317,2.2078713146655393,5334612.5,0.0004817874113089606,6008,1,0.0037650839428387053,0.0
ml-1m,0,CAR-SAR-EASE,car,30.0,0.1,130.25171327590942,0.3555441297503373,0.22530701042160467,0.8683422103861518,0.21276339527768054,0.186768149882904,0.7978900650751977,2.0704226283617637,0.3528232047198421,0.19664935900477665,0.9254327563249002,0.31180780617533194,0.2505854800936768,0.7838702602137959,2.2333992902849356,0.3555441297503373,0.22530701042160467,0.8683422103861518,0.21276339527768054,0.186768149882904,0.7978900650751977,2.0704226283617637,5832983.0,4.0490697916568985e-07,6008,-1,-0.007812009318551323,0.0
ml-1m,0,CAR-SAR-EASE,car,1.0,0.5,130.72953581809998,0.36672149689058764,0.23265215765684388,0.8853195739014648,0.2264647347156609,0.29449648711943793,0.7605878709103568,2.356943391136818,0.3681008586274811,0.20674490708963486,0.9374167776298269,0.3333814197351491,0.3799765807962529,0.7503031012579016,2.5257166194531133,0.36672149689058764,0.23265215765684388,0.8853195739014648,0.2264647347156609,0.29449648711943793,0.7605878709103568,2.356943391136818,2055051.5,1.3227530618157357e-16,6008,1,0.0033653578216990615,0.0
ml-1m,0,CAR-SAR-EASE,car,3.0,0.5,132.08246731758118,0.3691793176737599,0.235174119430161,0.8844873501997337,0.2266368030648353,0.2742974238875878,0.7648584882199045,2.3135500846972654,0.3699579659417822,0.20867202460269138,0.9369174434087882,0.3335992469862485,0.3562646370023419,0.7539582665457287,2.482169778454737,0.3691793176737599,0.235174119430161,0.8844873501997337,0.2266368030648353,0.2742974238875878,0.7648584882199045,2.3135500846972654,3697450.5,9.110582841106186e-18,6008,1,0.00582317860487125,0.0
ml-1m,0,CAR-SAR-EASE,car,10.0,0.5,130.50378727912903,0.3675740588783717,0.23514720976298004,0.8781624500665779,0.22237240384191526,0.23624121779859486,0.7769139701381222,2.21896387957969,0.3670694220772318,0.20706908009523853,0.934254327563249,0.3286746064461492,0.30562060889929743,0.7589810967241635,2.3888507516089916,0.3675740588783717,0.23514720976298004,0.8781624500665779,0.22237240384191526,0.23624121779859486,0.7769139701381222,2.21896387957969,5320912.0,0.0001179262760621405,6008,1,0.004217919809483104,0.0
ml-1m,0,CAR-SAR-EASE,car,30.0,0.5,131.25020694732666,0.35656942683196974,0.2260675854865051,0.8691744340878829,0.21370301167941622,0.188231850117096,0.7913775411944259,2.0916842905864708,0.35395672577946147,0.19755456013890677,0.9254327563249002,0.3127732381665008,0.2535128805620609,0.7774514465700852,2.25612555549581,0.35656942683196974,0.2260675854865051,0.8691744340878829,0.21370301167941622,0.188231850117096,0.7913775411944259,2.0916842905864708,5860618.5,1.1626645302488294e-05,6008,-1,-0.006786712236918915,0.0
ml-1m,0,CAR-SAR-EASE,car,1.0,0.9,131.7585699558258,0.3668682924508284,0.23272710979087596,0.8858189081225033,0.22676537457188023,0.29596018735363,0.7606799901483152,2.3593580138365158,0.3680486665778531,0.2067235165953412,0.9372503328894807,0.3333187799012262,0.38026932084309134,0.7495782759246332,2.527923403661873,0.3668682924508284,0.23272710979087596,0.8858189081225033,0.22676537457188023,0.29596018735363,0.7606799901483152,2.3593580138365158,2067079.5,1.9610153618895429e-16,6008,1,0.0035121533819398305,0.0
