dataset,seed,family,config,lambda,alpha_T,alpha,lambda_T,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,0,EASE,baseline,500,0.0,0.0,0.0,136.17835307121277,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,0.365349054583525,0.20414787720272656,0.9375832223701731,0.3316665455941842,0.39637002341920374,0.7487248661066388,2.5533754562781135,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,,,0,0,,
ml-1m,0,CEASE,alpha_T=0.1,500,0.1,0.0,0.0,133.18690037727356,0.3634057295145194,0.22917964198612817,0.8853195739014648,0.22518029492158106,0.3085480093676815,0.7572255335706723,2.3869002793674032,0.36541944340348376,0.204190534258077,0.9374167776298269,0.3317503441845931,0.39695550351288056,0.7489870315488885,2.553577405354459,0.3634057295145194,0.22917964198612817,0.8853195739014648,0.22518029492158106,0.3085480093676815,0.7572255335706723,2.3869002793674032,3950.0,0.6720018916409167,6008,1,4.959044563083168e-05,0.0
ml-1m,0,CEASE,alpha_T=1.0,500,1.0,0.0,0.0,131.9937162399292,0.3635646016130675,0.22928282063614516,0.8849866844207723,0.22528509409065892,0.31030444964871196,0.7580821169258598,2.3878767115073707,0.36584610273700285,0.20448207093987125,0.9374167776298269,0.3322086289670104,0.4036885245901639,0.7521094185272912,2.5555699117309265,0.3635646016130675,0.22928282063614516,0.8849866844207723,0.22528509409065892,0.31030444964871196,0.7580821169258598,2.3878767115073707,154544.5,0.22244566048615788,6008,1,0.00020846254417886202,0.0
ml-1m,0,CEASE,alpha_T=5.0,500,5.0,0.0,0.0,131.1249978542328,0.3635295125082646,0.2291966672407731,0.8854860186418109,0.2251977211967977,0.3161592505854801,0.7602627669280464,2.3920162118114296,0.3658979488712676,0.20441639833529296,0.9377496671105193,0.33245227454604004,0.4133489461358314,0.7552768287231755,2.5615144460448005,0.3635295125082646,0.2291966672407731,0.8854860186418109,0.2251977211967977,0.3161592505854801,0.7602627669280464,2.3920162118114296,692151.0,0.8459649940744873,6008,1,0.00017337343937600796,0.0
ml-1m,0,AddEASE,"alpha=0.3,lambdaT=1.0",500,0.0,0.3,1.0,132.8927047252655,0.30298614424098314,0.17455870533565054,0.8588548601864181,0.20101715476976942,0.35655737704918034,0.7315320131450349,2.686338056580435,0.30501829837785166,0.15582027826782624,0.9211051930758988,0.28785586604257374,0.46633489461358313,0.7235088933524918,2.9132788190706798,0.30298614424098314,0.17455870533565054,0.8588548601864181,0.20101715476976942,0.35655737704918034,0.7315320131450349,2.686338056580435,3068760.5,7.178061623199641e-197,6008,-1,-0.060369994827905456,-0.01619111940245773
ml-1m,0,AddEASE,"alpha=0.5,lambdaT=1.0",500,0.0,0.5,1.0,134.31096935272217,0.34624463779588605,0.2116783698517874,0.8791611185086551,0.2194457174171617,0.3337236533957845,0.7392170673020768,2.5043726049887765,0.34779497833787804,0.18818337980121222,0.9354194407456724,0.3191018670022812,0.43940281030444966,0.7345001689951927,2.694578528271585,0.34624463779588605,0.2116783698517874,0.8791611185086551,0.2194457174171617,0.3337236533957845,0.7392170673020768,2.5043726049887765,3729870.0,5.402185910789867e-43,6008,-1,-0.017111501273002545,0.0
ml-1m,0,AddEASE,"alpha=0.7,lambdaT=1.0",500,0.0,0.7,1.0,131.9049415588379,0.3592541923387385,0.22456292574144862,0.8844873501997337,0.2241028507720141,0.32201405152224827,0.7494697070572569,2.4334297590494542,0.36185131064545983,0.20049256419307707,0.9384154460719041,0.32949528968018416,0.41920374707259955,0.7428129928252087,2.6087927139428597,0.3592541923387385,0.22456292574144862,0.8844873501997337,0.2241028507720141,0.32201405152224827,0.7494697070572569,2.4334297590494542,2984345.5,4.2681301060944494e-08,6008,-1,-0.004101946730150069,0.0
ml-1m,0,AddEASE,"alpha=0.3,lambdaT=10.0",500,0.0,0.3,10.0,131.93451714515686,0.3080233319614808,0.17851991761467617,0.8633488681757656,0.203605654385708,0.35509367681498827,0.7324914678203178,2.656513916681893,0.3098992837685155,0.15918152876951525,0.9237683089214381,0.2917240339261528,0.46545667447306793,0.725616777211098,2.8769565631174063,0.3080233319614808,0.17851991761467617,0.8633488681757656,0.203605654385708,0.35509367681498827,0.7324914678203178,2.656513916681893,3168873.5,1.9263301767404048e-177,6008,-1,-0.055332807107407796,-0.011871317129645259
ml-1m,0,AddEASE,"alpha=0.5,lambdaT=10.0",500,0.0,0.5,10.0,132.6344599723816,0.3476015183567987,0.21294609546702487,0.87982689747004,0.21997124633518944,0.3351873536299766,0.7433004320294918,2.4905456389578973,0.34933784563014847,0.1894975377322299,0.935918774966711,0.32024026928701294,0.43911007025761123,0.7369025854416336,2.6793908550055527,0.3476015183567987,0.21294609546702487,0.87982689747004,0.21997124633518944,0.3351873536299766,0.7433004320294918,2.4905456389578973,3687882.0,1.3449904400546727e-39,6008,-1,-0.015754620712089846,0.0
ml-1m,0,AddEASE,"alpha=0.7,lambdaT=10.0",500,0.0,0.7,10.0,132.77114391326904,0.35979013765710854,0.22510905359579347,0.8848202396804261,0.22444816399243783,0.3199648711943794,0.7497852817164792,2.427610867315309,0.36224404981053326,0.20082882750924314,0.9387483355525965,0.3298600267640106,0.41861826697892274,0.7438793962362538,2.603378414451683,0.35979013765710854,0.22510905359579347,0.8848202396804261,0.22444816399243783,0.3199648711943794,0.7497852817164792,2.427610867315309,2933522.0,2.1317535334069074e-06,6008,-1,-0.003566001411780098,0.0
ml-1m,1,EASE,baseline,500,0.0,0.0,0.0,136.1150987148285,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,0.36349761852879936,0.20270640009375476,0.9347319347319347,0.3275426777323132,0.40105386416861827,0.7512512548278971,2.5551994360475203,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,,,0,0,,
ml-1m,1,CEASE,alpha_T=0.1,500,0.1,0.0,0.0,131.76202201843262,0.3623360029372093,0.22826837556287666,0.8772893772893773,0.22293252452091425,0.31323185011709603,0.7613436407828931,2.3856160877094528,0.36344021410786065,0.20268899739487203,0.9347319347319347,0.32744210887246555,0.4016393442622951,0.7515288768568651,2.55533758098086,0.3623360029372093,0.22826837556287666,0.8772893772893773,0.22293252452091425,0.31323185011709603,0.7613436407828931,2.3856160877094528,6549.5,0.9306943146393742,6006,-1,-1.2884554200202525e-05,0.0
ml-1m,1,CEASE,alpha_T=1.0,500,1.0,0.0,0.0,132.66326117515564,0.3626320760214013,0.2284981651421561,0.8767898767898767,0.22307566519568905,0.3170374707259953,0.7630488624948459,2.387120561418059,0.3639120489858832,0.20295061400887937,0.9352314352314353,0.3281015947148691,0.40485948477751754,0.7526741154723802,2.5570798704754703,0.3626320760214013,0.2284981651421561,0.8767898767898767,0.22307566519568905,0.3170374707259953,0.7630488624948459,2.387120561418059,183922.0,0.17115032981904654,6006,1,0.0002831885299917388,0.0
ml-1m,1,CEASE,alpha_T=5.0,500,5.0,0.0,0.0,132.03788423538208,0.3632938120546929,0.22892566134629624,0.8771228771228772,0.223611935756752,0.3199648711943794,0.7636105279289176,2.3900361969442177,0.3643035422852347,0.20313353862154643,0.9358974358974359,0.3286579647341163,0.4148126463700234,0.7558488794198039,2.562782498270965,0.3632938120546929,0.22892566134629624,0.8771228771228772,0.223611935756752,0.3199648711943794,0.7636105279289176,2.3900361969442177,664457.5,0.004963992871943965,6006,1,0.0009449245632835073,0.0
ml-1m,1,AddEASE,"alpha=0.3,lambdaT=1.0",500,0.0,0.3,1.0,132.77582097053528,0.30196859122607933,0.17443269478275145,0.8518148518148518,0.19622719086108434,0.3644613583138173,0.7363044987141372,2.6875040533006205,0.3039081478110942,0.15461189633023892,0.9215784215784216,0.2852382823928196,0.4692622950819672,0.7245118886104538,2.9155521057093483,0.30196859122607933,0.17443269478275145,0.8518148518148518,0.19622719086108434,0.3644613583138173,0.7363044987141372,2.6875040533006205,3010470.5,1.890091864236491e-198,6006,-1,-0.0603802962653301,-0.015257682031328157
ml-1m,1,AddEASE,"alpha=0.5,lambdaT=1.0",500,0.0,0.5,1.0,132.43009209632874,0.3447444189592678,0.21100162996279775,0.8724608724608724,0.2149318123643403,0.34045667447306793,0.7449642074749556,2.501882896635974,0.3458556428176397,0.1865516703674551,0.9319014319014319,0.316162134342208,0.43676814988290397,0.7322863352018847,2.697082999129241,0.3447444189592678,0.21100162996279775,0.8724608724608724,0.2149318123643403,0.34045667447306793,0.7449642074749556,2.501882896635974,3656308.0,7.96970973591816e-43,6006,-1,-0.017604468532141686,0.0
ml-1m,1,AddEASE,"alpha=0.7,lambdaT=1.0",500,0.0,0.7,1.0,133.3840651512146,0.35877302668080413,0.2245162148414699,0.8749583749583749,0.2209678381214698,0.3234777517564403,0.7518961581405019,2.4295521235211806,0.36051395417189713,0.19948141195979008,0.9345654345654346,0.32637423684747857,0.4212529274004684,0.7440266011496033,2.6098378798492647,0.35877302668080413,0.2245162148414699,0.8749583749583749,0.2209678381214698,0.3234777517564403,0.7518961581405019,2.4295521235211806,3081104.5,0.00034310369056600606,6006,-1,-0.003575860810605385,0.0
