dataset,seed,family,config,gamma,rho,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,0,EASE,baseline,0.0,0.0,135.17241764068604,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,0.365349054583525,0.20414787720272656,0.9375832223701731,0.3316665455941842,0.39637002341920374,0.7487248661066388,2.5533754562781135,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,,,0,0,,
ml-1m,0,GramShrink,rho=0.05,0.0,0.05,133.31118988990784,0.36383121071044516,0.22971292198082074,0.8856524633821571,0.22543539090582498,0.3047423887587822,0.7569921500759156,2.3813323568678952,0.3660735473609509,0.20485218284589404,0.936750998668442,0.3322053033938846,0.3943208430913349,0.7493415609180336,2.548712737122294,0.36383121071044516,0.22971292198082074,0.8856524633821571,0.22543539090582498,0.3047423887587822,0.7569921500759156,2.3813323568678952,198549.5,0.000598130875297197,6008,1,0.0004750716415565329,0.0
ml-1m,0,GramShrink,rho=0.1,0.0,0.1,131.2445421218872,0.3648010617572775,0.23063485642012885,0.8856524633821571,0.2258626824867578,0.3015222482435597,0.7572848499734981,2.375522711534518,0.3664920850069507,0.2052799867039866,0.9370838881491345,0.3321953389075375,0.39197892271662765,0.7500534263998513,2.5435330386040595,0.3648010617572775,0.23063485642012885,0.8856524633821571,0.2258626824867578,0.3015222482435597,0.7572848499734981,2.375522711534518,579133.5,4.5430626152118436e-10,6008,1,0.0014449226883889578,0.0
ml-1m,0,GramShrink,rho=0.2,0.0,0.2,133.7485387325287,0.3667036930415387,0.23243752705408494,0.8854860186418109,0.2268800447567323,0.2980093676814988,0.7607351952472015,2.3626774304639393,0.36792580248310014,0.20640918593031907,0.938249001331558,0.33366544047332736,0.3867096018735363,0.7519470128650065,2.531598148167122,0.3667036930415387,0.23243752705408494,0.8854860186418109,0.2268800447567323,0.2980093676814988,0.7607351952472015,2.3626774304639393,1472264.5,1.2448520910269908e-20,6008,1,0.0033475539726501025,0.0
ml-1m,0,MultiLap,w=[1.0]_g=1.0,1.0,0.0,132.623393535614,0.3680365762494111,0.2338993872734649,0.8859853528628495,0.2271523194487268,0.29361826697892274,0.7624052609149912,2.352023164884505,0.3691230156677118,0.20771914879933534,0.9374167776298269,0.33374923721535316,0.38085480093676816,0.7529868834891933,2.5209230465853265,0.3680365762494111,0.2338993872734649,0.8859853528628495,0.2271523194487268,0.29361826697892274,0.7624052609149912,2.352023164884505,2456458.5,9.038611218096042e-24,6008,1,0.004680437180522533,0.0
ml-1m,0,MultiLap,w=[1.0]_g=3.0,3.0,0.0,131.16630578041077,0.36942735862780124,0.2356839493099232,0.8831557922769641,0.22664020263107287,0.272248243559719,0.7682282046876567,2.303980844096284,0.3700783452858833,0.2088773041546951,0.9357523302263648,0.3335787262332323,0.3556791569086651,0.7580716246650556,2.4716837421691307,0.36942735862780124,0.2356839493099232,0.8831557922769641,0.22664020263107287,0.272248243559719,0.7682282046876567,2.303980844096284,4157262.5,5.687193907716398e-15,6008,1,0.006071219558912697,0.0
ml-1m,0,MultiLap,w=[1.0]_g=10.0,10.0,0.0,133.4589216709137,0.36585268365298707,0.2336679555649996,0.878994673768309,0.2215880039791899,0.23477751756440282,0.7820284923510132,2.2077527199909914,0.3650218603274392,0.20560033073592165,0.9320905459387483,0.3258685639182625,0.3044496487119438,0.7642692755812763,2.3768459078857913,0.36585268365298707,0.2336679555649996,0.878994673768309,0.2215880039791899,0.23477751756440282,0.7820284923510132,2.2077527199909914,5688620.5,0.029625280958271223,6008,1,0.0024965445840984236,0.0
ml-1m,0,MultiLap,"w=[0.5, 0.5]_g=1.0",1.0,0.0,133.11240077018738,0.36782105826278766,0.23366040249013748,0.8859853528628495,0.2271463905820662,0.29156908665105385,0.7616487253942534,2.3502155426377866,0.36891873969768774,0.20754403763707324,0.9374167776298269,0.3336609956344695,0.3788056206088993,0.7524121110029491,2.5194423597490703,0.36782105826278766,0.23366040249013748,0.8859853528628495,0.2271463905820662,0.29156908665105385,0.7616487253942534,2.3502155426377866,2461319.0,5.221189824294058e-22,6008,1,0.004464919193899124,0.0
ml-1m,0,MultiLap,"w=[0.5, 0.5]_g=3.0",3.0,0.0,131.13708901405334,0.36948419106684544,0.2358038906940322,0.8831557922769641,0.22663418031919585,0.2696135831381733,0.7678171775309359,2.3002568260189697,0.37002234329807276,0.2089115500878578,0.935918774966711,0.3333384672765706,0.3521662763466042,0.7571156025825363,2.4686625449084705,0.36948419106684544,0.2358038906940322,0.8831557922769641,0.22663418031919585,0.2696135831381733,0.7678171775309359,2.3002568260189697,4140912.0,7.789768049479988e-15,6008,1,0.006128051997956743,0.0
ml-1m,0,MultiLap,"w=[0.5, 0.5]_g=10.0",10.0,0.0,132.9368691444397,0.36599936450921716,0.23391581826607943,0.8779960053262317,0.22161673242677335,0.22716627634660422,0.7789223475228904,2.2000770954716287,0.36513607401154263,0.2058394246874297,0.9315912117177098,0.32591860570152764,0.29771662763466045,0.7631733401678784,2.3682624159436263,0.36599936450921716,0.23391581826607943,0.8779960053262317,0.22161673242677335,0.22716627634660422,0.7789223475228904,2.2000770954716287,5683265.0,0.025757634514464417,6008,1,0.0026432254403285335,0.0
