family,config,gamma,rho,train_time_s_mean,train_time_s_std,NDCG@10_mean,NDCG@10_std,MAP@10_mean,MAP@10_std,HitRate@10_mean,HitRate@10_std,Recall@10_mean,Recall@10_std,Coverage@10_mean,Coverage@10_std,Gini@10_mean,Gini@10_std,Novelty@10_mean,Novelty@10_std,NDCG@20_mean,NDCG@20_std,MAP@20_mean,MAP@20_std,HitRate@20_mean,HitRate@20_std,Recall@20_mean,Recall@20_std,Coverage@20_mean,Coverage@20_std,Gini@20_mean,Gini@20_std,Novelty@20_mean,Novelty@20_std,NDCG@k_mean,NDCG@k_std,MAP@k_mean,MAP@k_std,HitRate@k_mean,HitRate@k_std,Recall@k_mean,Recall@k_std,Coverage@k_mean,Coverage@k_std,Gini@k_mean,Gini@k_std,Novelty@k_mean,Novelty@k_std,wilcoxon_vs_EASE_stat_mean,wilcoxon_vs_EASE_stat_std,wilcoxon_vs_EASE_p_mean,wilcoxon_vs_EASE_p_std,wilcoxon_vs_EASE_n_pairs_mean,wilcoxon_vs_EASE_n_pairs_std,wilcoxon_vs_EASE_sign_mean,wilcoxon_vs_EASE_sign_std,wilcoxon_vs_EASE_mean_diff_mean,wilcoxon_vs_EASE_mean_diff_std,wilcoxon_vs_EASE_median_diff_mean,wilcoxon_vs_EASE_median_diff_std
EASE,baseline,0.0,0.0,134.25011878013612,0.6542871853108385,0.3603703925299798,0.0025525765180416013,0.22665307731728462,0.0020495652277835842,0.8776849569462767,0.005220623753779892,0.22233609029995124,0.0022356066082815547,0.3100702576112412,0.0018790171587682928,0.7587277347955784,0.0016148456014131228,2.385208158669514,0.0016143006190546159,0.36221140741312974,0.0027321023063977146,0.20180867291377852,0.0019402606325770399,0.9332843525834955,0.005798369801854602,0.3277578853329016,0.0030004655386439115,0.3997072599531616,0.0022447645799392024,0.7512481236122811,0.001710510656808872,2.5519102378522995,0.002321282090163353,0.3603703925299798,0.0025525765180416013,0.22665307731728462,0.0020495652277835842,0.8776849569462767,0.005220623753779892,0.22233609029995124,0.0022356066082815547,0.3100702576112412,0.0018790171587682928,0.7587277347955784,0.0016148456014131228,2.385208158669514,0.0016143006190546159,,,,,0.0,0.0,0.0,0.0,,,,
GramShrink,rho=0.05,0.0,0.05,130.3970293521881,1.6410655134037389,0.36109468695486674,0.002597947430970682,0.22740361058321007,0.0020105106020301346,0.8778183841875536,0.005383385995802985,0.2226130332625602,0.0023963224383680357,0.3072599531615925,0.0021069150135183574,0.7591262648853986,0.001680905270932991,2.379750128722866,0.00181233689788261,0.36296748592259576,0.0027394818109287627,0.20248420363967923,0.0019426034177309024,0.9332843692436038,0.00568733609687662,0.32830972354921445,0.003006504630025998,0.3974824355971897,0.0020218145959990694,0.7520043211998801,0.0016393115343753786,2.546940783137901,0.002203906070278324,0.36109468695486674,0.002597947430970682,0.22740361058321007,0.0020105106020301346,0.8778183841875536,0.005383385995802985,0.2226130332625602,0.0023963224383680357,0.3072599531615925,0.0021069150135183574,0.7591262648853986,0.001680905270932991,2.379750128722866,0.00181233689788261,171593.7,15368.341654192885,0.00012035791068688631,0.00026708790369782854,6007.4,3.4351128074635104,1.0,0.0,0.0007242944248868591,0.0002427776024291311,0.0,0.0
GramShrink,rho=0.1,0.0,0.1,131.0522991657257,0.6470803841752183,0.36180083065241725,0.002600411377430146,0.22806467260978208,0.001975147514684693,0.8779182067553624,0.005262222983456827,0.22276628072720425,0.0025031074530010677,0.3042740046838407,0.0026232513837493965,0.7594105021512835,0.0019700555599079742,2.374248348224703,0.0018256771539588777,0.36354910151519965,0.0026808786187080863,0.20301278529115002,0.0018609499667042756,0.9336504536092137,0.00530679924914014,0.32854861349162445,0.002970234570815873,0.39414519906323187,0.0017515544849709165,0.7523894107038501,0.0016805477298726561,2.5413462840508116,0.0020653135305364447,0.36180083065241725,0.002600411377430146,0.22806467260978208,0.001975147514684693,0.8779182067553624,0.005262222983456827,0.22276628072720425,0.0025031074530010677,0.3042740046838407,0.0026232513837493965,0.7594105021512835,0.0019700555599079742,2.374248348224703,0.0018256771539588777,544276.6,30948.87987149131,1.9524224904915259e-10,2.4043808016541935e-10,6007.4,3.4351128074635104,1.0,0.0,0.0014304381224373628,0.0002863567000643171,0.0,0.0
GramShrink,rho=0.2,0.0,0.2,131.50927329063416,1.366441491300732,0.3632697273225676,0.0027753892011296846,0.22955410096774434,0.00203945414123436,0.878018167799155,0.005234336085456567,0.2233369903874201,0.002740971540995173,0.298887587822014,0.0018744508891782284,0.7611895446171711,0.0013713167577006757,2.3614883732685508,0.0023642384748401545,0.36472969414118345,0.002875765287842453,0.2040742795048061,0.0018942412657395992,0.9336504812181194,0.005729064391754833,0.3293621028379957,0.0034844064754783457,0.38823185011709604,0.0011963007460013097,0.7539672549349714,0.0012608132954224926,2.529042880952409,0.0022715312412380675,0.3632697273225676,0.0027753892011296846,0.22955410096774434,0.00203945414123436,0.878018167799155,0.005234336085456567,0.2233369903874201,0.002740971540995173,0.298887587822014,0.0018744508891782284,0.7611895446171711,0.0013713167577006757,2.3614883732685508,0.0023642384748401545,1412843.5,45498.75456399881,1.4179341239938456e-13,3.1683529298249983e-13,6007.4,3.4351128074635104,1.0,0.0,0.002899334792587747,0.0004836778104415047,0.0,0.0
Mahal,W2_g=1.0,1.0,0.0,131.06201176643373,0.8607519902655048,0.3645565796315921,0.0028151809263337615,0.23096459722738177,0.0020218115689976703,0.8784179565629421,0.005569856193432353,0.22358694111958463,0.0028442519952884184,0.2948477751756441,0.0014695433721324432,0.7634062684947371,0.0009856790012715048,2.3505847473761605,0.0029525552233409125,0.3659762059176951,0.0027580537325929393,0.20532101561665242,0.0019223010895601375,0.9333175252186571,0.005551611519569879,0.3299373203651932,0.0030508221861344663,0.3822599531615925,0.0023180132195350384,0.754685969282155,0.0013354400720622438,2.5187922484300542,0.0020412908807389486,0.3645565796315921,0.0028151809263337615,0.23096459722738177,0.0020218115689976703,0.8784179565629421,0.005569856193432353,0.22358694111958463,0.0028442519952884184,0.2948477751756441,0.0014695433721324432,0.7634062684947371,0.0009856790012715048,2.3505847473761605,0.0029525552233409125,2361750.8,84743.37600411609,9.807414938675103e-14,2.1381577496854323e-13,6007.4,3.4351128074635104,1.0,0.0,0.004186187101612251,0.0007645789564000817,0.0,0.0
Mahal,W2_g=10.0,10.0,0.0,131.96346702575684,1.2642451030421666,0.36255849452416966,0.0032149960471856923,0.23136382788917506,0.001886869185935299,0.8712268492777706,0.005790349168260802,0.21818897296567555,0.0029558862814039024,0.23495316159250587,0.0011450589704688485,0.7823782597877906,0.0015061228058865714,2.206530833374741,0.002586869162585047,0.3611116746502434,0.003292484362542958,0.2032067672519185,0.0020194489879480936,0.9280234785941814,0.004253438760660251,0.32094958858248107,0.0035335496189261733,0.30521077283372366,0.0024281547252140104,0.7651013187033822,0.0014275004398761604,2.376180149565885,0.0016383940922354463,0.36255849452416966,0.0032149960471856923,0.23136382788917506,0.001886869185935299,0.8712268492777706,0.005790349168260802,0.21818897296567555,0.0029558862814039024,0.23495316159250587,0.0011450589704688485,0.7823782597877906,0.0015061228058865714,2.206530833374741,0.002586869162585047,5700949.7,95792.22232950343,0.32385411996518687,0.439093157012007,6007.4,3.4351128074635104,1.0,0.0,0.002188101994189717,0.0020296114216144323,0.0,0.0
Mahal,W2_g=3.0,3.0,0.0,132.69146728515625,1.0693967236147919,0.3664997320483158,0.0027404002555765365,0.23334808380928,0.001767777169660008,0.8771866971981238,0.005604968911442402,0.22334727180775493,0.002730880086816702,0.27230679156908666,0.0004342036584950705,0.768848743809551,0.0005936100667389635,2.3011996583773957,0.003216798493869459,0.3668947051413962,0.0027600607542304155,0.20668402299003724,0.0018954932212073173,0.9327179085299433,0.004515849228331258,0.32921748832043746,0.0031841753739771895,0.35743559718969553,0.0025936834231073424,0.7592994224454224,0.001465150834567708,2.4714336615800976,0.001597171232997729,0.3664997320483158,0.0027404002555765365,0.23334808380928,0.001767777169660008,0.8771866971981238,0.005604968911442402,0.22334727180775493,0.002730880086816702,0.27230679156908666,0.0004342036584950705,0.768848743809551,0.0005936100667389635,2.3011996583773957,0.003216798493869459,4097889.9,78721.59638117101,2.4598042653497165e-11,5.319537155504789e-11,6007.4,3.4351128074635104,1.0,0.0,0.006129339518335992,0.0011490399424210183,0.0,0.0
Mahal,lowpass_g=1.0,1.0,0.0,132.07457041740417,1.40633830361882,0.36510073771844903,0.0027261878458269026,0.23134502095804468,0.0019185334030103057,0.8790841069359192,0.005972338264372229,0.22438514506370638,0.0026201876113599847,0.32862997658079623,0.001557311016190928,0.773944918442606,0.001193008354934866,2.3808392081736107,0.002604214133996341,0.3670229804205044,0.00285978826856256,0.20595145257427813,0.0020052406202926156,0.9346826495024606,0.005775159828700753,0.33176218905306326,0.0031717513122806813,0.43571428571428567,0.0016114003447918934,0.7716574043867546,0.0006724689226855176,2.5505717279702553,0.002121798737618612,0.36510073771844903,0.0027261878458269026,0.23134502095804468,0.0019185334030103057,0.8790841069359192,0.005972338264372229,0.22438514506370638,0.0026201876113599847,0.32862997658079623,0.001557311016190928,0.773944918442606,0.001193008354934866,2.3808392081736107,0.002604214133996341,2387479.4,43641.47940234158,2.374198213135813e-16,4.860101497881243e-16,6007.4,3.4351128074635104,1.0,0.0,0.004730345188469142,0.0007115976628900999,0.0,0.0
Mahal,lowpass_g=10.0,10.0,0.0,130.9263384819031,1.624033646738006,0.36153085992246464,0.0031039421685130275,0.23010852412230332,0.0018636773800574913,0.8719933929707308,0.006102997352716743,0.21914896207485457,0.0030067899965832935,0.4861241217798595,0.004442517087844027,0.8237375687645316,0.0008807166870739402,2.488711606618252,0.00345577817936074,0.36202596524943137,0.0033516583894381132,0.20306810752156718,0.002218561256674479,0.9307209534530602,0.00561662066142271,0.32543777630581916,0.00349118552619771,0.6553864168618266,0.005812198632707673,0.8236930107272592,0.0013554116540201951,2.6583015378118064,0.0035025782665710835,0.36153085992246464,0.0031039421685130275,0.23010852412230332,0.0018636773800574913,0.8719933929707308,0.006102997352716743,0.21914896207485457,0.0030067899965832935,0.4861241217798595,0.004442517087844027,0.8237375687645316,0.0008807166870739402,2.488711606618252,0.00345577817936074,5718851.8,72969.34237027216,0.19898927070175548,0.33788298892583274,6007.4,3.4351128074635104,0.6,0.8944271909999159,0.0011604673924847848,0.0014604127275628864,0.0,0.0
Mahal,lowpass_g=3.0,3.0,0.0,131.55847072601318,1.3824447081085294,0.3671592560493761,0.003130222656945417,0.2337203032570802,0.0020417469065373618,0.8793844056833795,0.006234549891044214,0.22457551827737024,0.0030895885203953287,0.3820257611241218,0.004454076128425921,0.8015433030045791,0.0014954981584125843,2.395732375067431,0.0036993762289634674,0.3685968426329332,0.002896019382346331,0.2076133180861401,0.0019887417053514895,0.9352817676616955,0.00540962379611282,0.3323109177577514,0.003100053810796238,0.5189110070257612,0.0036363451725656836,0.802365741171652,0.0017224233966420654,2.570129378220046,0.002281464084003005,0.3671592560493761,0.003130222656945417,0.2337203032570802,0.0020417469065373618,0.8793844056833795,0.006234549891044214,0.22457551827737024,0.0030895885203953287,0.3820257611241218,0.004454076128425921,0.8015433030045791,0.0014954981584125843,2.395732375067431,0.0036993762289634674,4047613.1,72508.52251494303,5.774370049651817e-10,1.2911816000396662e-09,6007.4,3.4351128074635104,1.0,0.0,0.006788863519396224,0.001318737548082421,0.0,0.0
