dataset,seed,family,config,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,0,EASE,baseline,131.89635396003723,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,0.365349054583525,0.20414787720272656,0.9375832223701731,0.3316665455941842,0.39637002341920374,0.7487248661066388,2.5533754562781135,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,,,0,0,,
ml-1m,0,DAN,alpha=0.0,130.5235731601715,0.0021458370279516547,0.0005799475573259338,0.021804260985352864,0.002046210899187812,0.3114754098360656,0.805715280628335,9.184225407810706,0.0042545583053592295,0.0007951739262701232,0.06424766977363515,0.0065293978594032675,0.46750585480093676,0.7829991236898077,8.557487579693229,0.0021458370279516547,0.0005799475573259338,0.021804260985352864,0.002046210899187812,0.3114754098360656,0.805715280628335,9.184225407810706,6069.0,0.0,6008,-1,-0.3612103020409369,-0.3436966913921454
ml-1m,0,DAN,alpha=0.25,128.63349437713623,0.17738486218980148,0.08799640314341942,0.6939081225033289,0.11732559428901723,0.42564402810304447,0.7253722684288899,3.2745874213977926,0.18933908095906601,0.08043356778848818,0.8229027962716379,0.1882451485493355,0.5266393442622951,0.7323148531252381,3.299630457748319,0.17738486218980148,0.08799640314341942,0.6939081225033289,0.11732559428901723,0.42564402810304447,0.7253722684288899,3.2745874213977926,1322352.0,0.0,6008,-1,-0.1859712768790871,-0.17250545200565726
ml-1m,0,DAN,alpha=0.5,128.37269139289856,0.30304822639253476,0.1826071906591581,0.8272303595206392,0.1800732354467879,0.19233021077283372,0.8322243097483415,2.080824205943837,0.2980985952258764,0.15692626097196838,0.8906458055925432,0.2602007003636389,0.2538056206088993,0.8374266068924634,2.170882915273076,0.30304822639253476,0.1826071906591581,0.8272303595206392,0.1800732354467879,0.19233021077283372,0.8322243097483415,2.080824205943837,3827884.0,5.710046957445831e-169,6008,-1,-0.06030791267635381,-0.03668196104968002
ml-1m,0,DAN,alpha=0.75,128.3558008670807,0.2743955547913888,0.16334874291760645,0.7786284953395473,0.15294567659750063,0.08723653395784543,0.8638073173129339,1.6969869462518674,0.2666988148921086,0.13709882519415398,0.854693741677763,0.222302605583331,0.11592505854800937,0.8470656969158965,1.8264101496263463,0.2743955547913888,0.16334874291760645,0.7786284953395473,0.15294567659750063,0.08723653395784543,0.8638073173129339,1.6969869462518674,3141730.0,6.470049054595968e-267,6008,-1,-0.08896058427749984,-0.07336392209936005
ml-1m,0,DAN,alpha=1.0,128.1118884086609,0.24533131675267017,0.14235374279137852,0.7366844207723036,0.132396523608014,0.04537470725995316,0.8243090932520081,1.5975719285628858,0.23864765378705147,0.11867947969923544,0.8197403462050599,0.19591226609811344,0.06791569086651054,0.8085693213646172,1.7337144235267914,0.24533131675267017,0.14235374279137852,0.7366844207723036,0.132396523608014,0.04537470725995316,0.8243090932520081,1.5975719285628858,2467267.5,0.0,6008,-1,-0.11802482231621843,-0.10035169283487105
ml-1m,0,SVD-AE,"filt=identity,k=64",156.5093493461609,0.31563939133392266,0.1882592829060287,0.8503661784287616,0.19661327301603304,0.2725409836065574,0.6854913463037466,2.5425284992486565,0.3202046130282749,0.16811983911660164,0.9189414114513982,0.29464918407366925,0.3430913348946136,0.677910993533082,2.6885173300430902,0.31563939133392266,0.1882592829060287,0.8503661784287616,0.19661327301603304,0.2725409836065574,0.6854913463037466,2.5425284992486565,4025697.0,4.8844264119546684e-139,6008,-1,-0.04771674773496594,-0.025347689960029784
ml-1m,0,SVD-AE,"filt=identity,k=128",155.171484708786,0.2672282080131255,0.15011369726880494,0.8114181091877497,0.16965928930191412,0.3310889929742389,0.6250287562354233,2.8772284597504467,0.27225786783050815,0.1335687030604899,0.8941411451398136,0.25473985321818776,0.405152224824356,0.6324376625963068,2.9734722126440825,0.2672282080131255,0.15011369726880494,0.8114181091877497,0.16965928930191412,0.3310889929742389,0.6250287562354233,2.8772284597504467,2741638.0,0.0,6008,-1,-0.0961279310557631,-0.07617607059972292
ml-1m,0,SVD-AE,"filt=identity,k=256",159.59210228919983,0.20527836826390022,0.1063040644776059,0.7405126498002663,0.13334487122420963,0.4168618266978923,0.5715109722617036,3.2730632173605527,0.21295179222100744,0.09573260811248095,0.8468708388814914,0.20463508025943422,0.48916861826697894,0.5825574677609187,3.330052148944568,0.20527836826390022,0.1063040644776059,0.7405126498002663,0.13334487122420963,0.4168618266978923,0.5715109722617036,3.2730632173605527,1824304.5,0.0,6008,-1,-0.15807777080498842,-0.1374381664571454
ml-1m,0,SVD-AE,"filt=turbo_cf,k=64",272.6784384250641,0.3183645961864058,0.19062340131378533,0.8520306258322237,0.198439178852163,0.275175644028103,0.692347756183245,2.5315922587412336,0.3231171960231699,0.17038173206415297,0.9197736351531292,0.2973267022491976,0.34601873536299765,0.682903618638206,2.6815836382974187,0.3183645961864058,0.19062340131378533,0.8520306258322237,0.198439178852163,0.275175644028103,0.692347756183245,2.5315922587412336,4150544.5,2.4144014344007368e-126,6008,-1,-0.044991542882482846,-0.021500699805532847
ml-1m,0,SVD-AE,"filt=turbo_cf,k=128",271.7771770954132,0.2712333057992626,0.15319963963078204,0.8135818908122503,0.1720928413671617,0.3316744730679157,0.6296139128411309,2.864423914716534,0.27619951392430653,0.13624985833531686,0.8968042609853528,0.2584964725051194,0.4092505854800937,0.6383230204267463,2.9631760875458832,0.2712333057992626,0.15319963963078204,0.8135818908122503,0.1720928413671617,0.3316744730679157,0.6296139128411309,2.864423914716534,2865356.0,2.0518745962203531e-305,6008,-1,-0.09212283326962602,-0.07330478592396288
ml-1m,0,SVD-AE,"filt=turbo_cf,k=256",273.53119921684265,0.2106503469116697,0.10963282912507853,0.7496671105193076,0.13725452403599936,0.4180327868852459,0.5763118130074933,3.2553170706211096,0.21927429587486993,0.09915854189543125,0.8553595206391478,0.21190084148976435,0.49473067915690866,0.5893692729220998,3.3151645186121796,0.2106503469116697,0.10963282912507853,0.7496671105193076,0.13725452403599936,0.4180327868852459,0.5763118130074933,3.2553170706211096,1881253.0,0.0,6008,-1,-0.1527057921572189,-0.13154380934073523
ml-1m,0,L3AE,alpha_S=0.1,127.74778962135315,0.36359574319877935,0.22930993846409206,0.8849866844207723,0.22521482795004572,0.3126463700234192,0.7594230165023415,2.3890838614949286,0.3661717658063349,0.204676835060876,0.9377496671105193,0.3325786306423927,0.4092505854800937,0.75464998742735,2.5576472175183156,0.36359574319877935,0.22930993846409206,0.8849866844207723,0.22521482795004572,0.3126463700234192,0.7594230165023415,2.3890838614949286,364807.0,0.47473685401044396,6008,1,0.00023960412989074877,0.0
ml-1m,0,L3AE,alpha_S=1.0,127.7365894317627,0.363784334635987,0.22944355476816164,0.8864846870838882,0.22534743735411375,0.321135831381733,0.7622354939691471,2.396819989481663,0.3662918159759989,0.20470746821974467,0.9379161118508655,0.33256608964023593,0.43179156908665106,0.7636110948114379,2.5672797846811144,0.363784334635987,0.22944355476816164,0.8864846870838882,0.22534743735411375,0.321135831381733,0.7622354939691471,2.396819989481663,902322.0,0.20159079161279825,6008,1,0.00042819556709834206,0.0
