family,config,train_time_s_mean,train_time_s_std,NDCG@10_mean,NDCG@10_std,MAP@10_mean,MAP@10_std,HitRate@10_mean,HitRate@10_std,Recall@10_mean,Recall@10_std,Coverage@10_mean,Coverage@10_std,Gini@10_mean,Gini@10_std,Novelty@10_mean,Novelty@10_std,NDCG@20_mean,NDCG@20_std,MAP@20_mean,MAP@20_std,HitRate@20_mean,HitRate@20_std,Recall@20_mean,Recall@20_std,Coverage@20_mean,Coverage@20_std,Gini@20_mean,Gini@20_std,Novelty@20_mean,Novelty@20_std,NDCG@k_mean,NDCG@k_std,MAP@k_mean,MAP@k_std,HitRate@k_mean,HitRate@k_std,Recall@k_mean,Recall@k_std,Coverage@k_mean,Coverage@k_std,Gini@k_mean,Gini@k_std,Novelty@k_mean,Novelty@k_std,wilcoxon_vs_EASE_stat_mean,wilcoxon_vs_EASE_stat_std,wilcoxon_vs_EASE_p_mean,wilcoxon_vs_EASE_p_std,wilcoxon_vs_EASE_n_pairs_mean,wilcoxon_vs_EASE_n_pairs_std,wilcoxon_vs_EASE_sign_mean,wilcoxon_vs_EASE_sign_std,wilcoxon_vs_EASE_mean_diff_mean,wilcoxon_vs_EASE_mean_diff_std,wilcoxon_vs_EASE_median_diff_mean,wilcoxon_vs_EASE_median_diff_std
DAN,alpha=0.0,128.06955523490905,1.847909551817691,0.0024096249004841347,0.00022669105300465563,0.0006840947626511613,7.322892956769198e-05,0.023370671186297935,0.002096564949159288,0.002279751990284258,0.0001569205869148377,0.3059133489461358,0.00719449984042418,0.8072707699409797,0.009132319462496475,9.08401346830817,0.07785747737556968,0.004349032970101699,0.00030641834359803846,0.0008705942392413518,8.00796725715048e-05,0.06262113851460235,0.003904737018969916,0.006573961760138057,0.0004374757288144026,0.4624121779859485,0.005392300269206841,0.7879279145409291,0.006959548462936108,8.558411671413143,0.030480187203456726,0.0024096249004841347,0.00022669105300465563,0.0006840947626511613,7.322892956769198e-05,0.023370671186297935,0.002096564949159288,0.002279751990284258,0.0001569205869148377,0.3059133489461358,0.00719449984042418,0.8072707699409797,0.009132319462496475,9.08401346830817,0.07785747737556968,8075.4,1809.15330334386,0.0,0.0,6007.4,3.4351128074635104,-1.0,0.0,-0.3579607676294957,0.002707801381593353,-0.3444740777156615,0.004249793590070629
DAN,alpha=0.25,127.02542891502381,1.2633948630881107,0.1778965875022649,0.002319957353860136,0.08833694565331815,0.0015809581190711114,0.6985061318222349,0.006222888727951433,0.11773911747870702,0.0021334078492422264,0.42909836065573764,0.004193443695426219,0.7291664696276785,0.002392752172068796,3.2690097276005923,0.004593293428052991,0.1891275838589555,0.0020550005584030946,0.0807821317812569,0.0013094048838374385,0.8233523869725852,0.007270943293386794,0.18681722138103293,0.0022322125879734225,0.5290983606557378,0.0018116801459913188,0.7343275251943318,0.0019051989998734688,3.2981952014252527,0.0029779981662839956,0.1778965875022649,0.002319957353860136,0.08833694565331815,0.0015809581190711114,0.6985061318222349,0.006222888727951433,0.11773911747870702,0.0021334078492422264,0.42909836065573764,0.004193443695426219,0.7291664696276785,0.002392752172068796,3.2690097276005923,0.004593293428052991,1362792.1,53228.289198977654,0.0,0.0,6007.4,3.4351128074635104,-1.0,0.0,-0.18247380502771496,0.0025075309933344286,-0.16810037675500353,0.0028658806534942647
DAN,alpha=0.5,133.3346197605133,13.92720772445847,0.298665481912456,0.004139748124711467,0.1791479091850563,0.003008203154766487,0.818026263746038,0.006902498346857534,0.17658975639921567,0.0023168821482971408,0.19531615925058549,0.0033785803387010563,0.8352288151923446,0.003407980743898239,2.0774553800080398,0.006828203232047983,0.2936441756626173,0.003875281437727221,0.15367493494572942,0.0027385924983003886,0.8854764565434845,0.0058294842790406615,0.2559537876492081,0.0028070958506003756,0.2548009367681499,0.002750822004879056,0.8384164653846342,0.003371884332148999,2.1700070386486776,0.006742869781706172,0.298665481912456,0.004139748124711467,0.1791479091850563,0.003008203154766487,0.818026263746038,0.006902498346857534,0.17658975639921567,0.0023168821482971408,0.19531615925058549,0.0033785803387010563,0.8352288151923446,0.003407980743898239,2.0774553800080398,0.006828203232047983,3651235.5,157069.73146981566,1.1420098430849104e-169,0.0,6007.4,3.4351128074635104,-1.0,0.0,-0.061704910617523825,0.0025756461054415314,-0.0402449046056142,0.0027936458184781607
DAN,alpha=0.75,128.45727276802063,1.1980901138300735,0.2710764278884385,0.0021521153743350257,0.16133770023553656,0.0013717292092441564,0.7704844580026504,0.006325734897740508,0.15019483600105552,0.0017241627906918622,0.08524590163934426,0.0015818801037595191,0.8616862770886726,0.0021126897730173516,1.691665407669395,0.005082302669514589,0.26263809652669956,0.0025387268045992998,0.1345816520818591,0.001627413278237265,0.8487215692332469,0.005430098292787434,0.2186632063180327,0.0022162925431325523,0.11721311475409837,0.0012860587023705333,0.8492978771295366,0.0023702584856542985,1.8230941463352046,0.003488462137560121,0.2710764278884385,0.0021521153743350257,0.16133770023553656,0.0013717292092441564,0.7704844580026504,0.006325734897740508,0.15019483600105552,0.0017241627906918622,0.08524590163934426,0.0015818801037595191,0.8616862770886726,0.0021126897730173516,1.691665407669395,0.005082302669514589,3087786.5,69674.12034069753,1.4568640867779195e-261,0.0,6007.4,3.4351128074635104,-1.0,0.0,-0.08929396464154135,0.001535941363801558,-0.07220284400779817,0.002014902791347558
DAN,alpha=1.0,129.48015103340148,2.01170115598789,0.24298899952093764,0.0014256629487857666,0.1414370718978146,0.000699677965343386,0.7260060947172324,0.008046782879467373,0.1301207365357436,0.001352956263457998,0.04385245901639344,0.0012827226171081192,0.8201118371603912,0.004900834926315556,1.5917364134137482,0.004081021596399124,0.23557514120481252,0.0017639643399791534,0.11702956070258064,0.000957174636529656,0.8157615679504101,0.004369766600020858,0.19298855728406678,0.0021245747717427875,0.06533957845433255,0.0015682781306766847,0.8024884800451157,0.003931636705208528,1.7293758934707941,0.002874041108389985,0.24298899952093764,0.0014256629487857666,0.1414370718978146,0.000699677965343386,0.7260060947172324,0.008046782879467373,0.1301207365357436,0.001352956263457998,0.04385245901639344,0.0012827226171081192,0.8201118371603912,0.004900834926315556,1.5917364134137482,0.004081021596399124,2448006.3,77185.6208934021,0.0,0.0,6007.4,3.4351128074635104,-1.0,0.0,-0.11738139300904223,0.001745206692451867,-0.09926309045190466,0.0029483295123845137
EASE,baseline,130.49082179069518,1.7750766835099814,0.3603703925299798,0.0025525765180416013,0.22665307731728462,0.0020495652277835842,0.8776849569462767,0.005220623753779892,0.22233609029995124,0.0022356066082815547,0.3100702576112412,0.0018790171587682928,0.7587277347955784,0.0016148456014131228,2.385208158669514,0.0016143006190546159,0.36221140741312974,0.0027321023063977146,0.20180867291377852,0.0019402606325770399,0.9332843525834955,0.005798369801854602,0.3277578853329016,0.0030004655386439115,0.3997072599531616,0.0022447645799392024,0.7512481236122811,0.001710510656808872,2.5519102378522995,0.002321282090163353,0.3603703925299798,0.0025525765180416013,0.22665307731728462,0.0020495652277835842,0.8776849569462767,0.005220623753779892,0.22233609029995124,0.0022356066082815547,0.3100702576112412,0.0018790171587682928,0.7587277347955784,0.0016148456014131228,2.385208158669514,0.0016143006190546159,,,,,0.0,0.0,0.0,0.0,,,,
L3AE,alpha_S=0.1,127.72026958465577,1.7691406931110394,0.36075747149100745,0.002646128727845133,0.22703848505180937,0.0020130960853007736,0.8773189057275237,0.0050445229836531685,0.2224983067784605,0.002505837337474783,0.3152224824355972,0.0023364250514326616,0.7613366446798037,0.0015083831477615674,2.3876627330989506,0.0016263496273831281,0.3627159161421082,0.002900034850831187,0.20218689898477354,0.0019940327784278844,0.9336507748597367,0.006245407005780728,0.32830124067006805,0.003345791303012921,0.41024590163934427,0.002235200136864304,0.7557749381305422,0.0014764882155906083,2.55578542214669,0.002183736816095282,0.36075747149100745,0.002646128727845133,0.22703848505180937,0.0020130960853007736,0.8773189057275237,0.0050445229836531685,0.2224983067784605,0.002505837337474783,0.3152224824355972,0.0023364250514326616,0.7613366446798037,0.0015083831477615674,2.3876627330989506,0.0016263496273831281,354727.0,17624.656368990574,0.239545126080306,0.3030548789570493,6007.4,3.4351128074635104,1.0,0.0,0.0003870789610275334,0.0002336025766155681,0.0,0.0
L3AE,alpha_S=1.0,128.15378880500793,2.9371870209871265,0.3613277730713949,0.0025037267046860035,0.22744928762693872,0.0018354367510954798,0.877951379202394,0.005407899796946996,0.22293963865162442,0.0023589704753230537,0.3252341920374707,0.003021043243640257,0.7652662559758726,0.0021077877443107934,2.3947284651432694,0.0018074725090412743,0.3632149988628296,0.0027697031692243195,0.20249877482314202,0.0018162196184740873,0.9340170309791789,0.00626723157259472,0.3288582851294181,0.0032731188288713173,0.42909836065573775,0.0030869850881648877,0.762552074206857,0.0017053988751471584,2.5653914830577227,0.002624040450629795,0.3613277730713949,0.0025037267046860035,0.22744928762693872,0.0018354367510954798,0.877951379202394,0.005407899796946996,0.22293963865162442,0.0023589704753230537,0.3252341920374707,0.003021043243640257,0.7652662559758726,0.0021077877443107934,2.3947284651432694,0.0018074725090412743,839488.2,48481.034805633004,0.04490049335517274,0.08792340306498454,6007.4,3.4351128074635104,1.0,0.0,0.0009573805414149851,0.000354450480631535,0.0,0.0
L3AE,alpha_S=5.0,128.97993865013123,1.380195361771022,0.36144639479979135,0.002370712700822622,0.2275034719147762,0.0016648960816576966,0.8782179179890897,0.005879835115492674,0.22314450137283118,0.0023969785615327284,0.3329625292740047,0.003908929246557498,0.7678646384121525,0.002659489784698423,2.401742839467957,0.0015871427934871826,0.36329608027864346,0.002873715956077106,0.20251341373158693,0.0017776454155106968,0.9343167811523114,0.006474324876611927,0.3290505457396016,0.0035435097179733477,0.4431498829039812,0.002613432566822686,0.7664318514983606,0.0011332296797458795,2.5765391930668615,0.002893175555502097,0.36144639479979135,0.002370712700822622,0.2275034719147762,0.0016648960816576966,0.8782179179890897,0.005879835115492674,0.22314450137283118,0.0023969785615327284,0.3329625292740047,0.003908929246557498,0.7678646384121525,0.002659489784698423,2.401742839467957,0.0015871427934871826,1146766.1,45743.623431851156,0.04885415084359541,0.09899201565991353,6007.4,3.4351128074635104,1.0,0.0,0.0010760022698114448,0.00036796456055792964,0.0,0.0
SVD-AE,"filt=identity,k=128",155.32643947601318,2.5572296868791944,0.26341091956932716,0.002414566901523475,0.14666861913766419,0.0020312579156131585,0.809202840482758,0.004503985834941319,0.16575070102644793,0.0025308237040329424,0.32868852459016396,0.0022043150581986864,0.6234741883679252,0.0013728182382166413,2.8779383281216186,0.003908387477396387,0.26974286678965714,0.0018244226226426675,0.13106487426618893,0.0015864103316658557,0.8917003786217312,0.003162293524870515,0.2523192228884713,0.0022329322158072163,0.4053864168618267,0.0008879245250645888,0.6330585892774547,0.0012271443691880364,2.9741542038529736,0.00443494758843577,0.26341091956932716,0.002414566901523475,0.14666861913766419,0.0020312579156131585,0.809202840482758,0.004503985834941319,0.16575070102644793,0.0025308237040329424,0.32868852459016396,0.0022043150581986864,0.6234741883679252,0.0013728182382166413,2.8779383281216186,0.003908387477396387,2758820.2,44391.44161688144,8.020532019575763e-308,0.0,6007.4,3.4351128074635104,-1.0,0.0,-0.09695947296065274,0.0009754321929362551,-0.07517127381985189,0.0033991578826218696
