dataset,model,dropout,gamma,graph_source,normalise,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff,wilcoxon_vs_EDLAE_stat,wilcoxon_vs_EDLAE_p,wilcoxon_vs_EDLAE_n_pairs,wilcoxon_vs_EDLAE_sign,wilcoxon_vs_EDLAE_mean_diff,wilcoxon_vs_EDLAE_median_diff
ml-1m,EASE,0.0,0.0,,,266.9086537361145,0.11328379740943686,0.054285270741016085,0.5066308544569414,0.08900295108885321,0.34904831625183014,0.7395399130006659,2.4266168673941815,0.12998526618389683,0.052330845697061174,0.6822225952660735,0.1536942111527436,0.4401171303074671,0.7336875574574091,2.59966741197274,0.11328379740943686,0.054285270741016085,0.5066308544569414,0.08900295108885321,0.34904831625183014,0.7395399130006659,2.4266168673941815,,,0,0,,,,,0,0,,
ml-1m,EDLAE,0.25,0.0,,,5.281713485717773,0.11549840730447554,0.055771519792704345,0.5069665939231157,0.0898600007917909,0.3279648609077599,0.7432193517830163,2.379500246138044,0.13210584631018213,0.05363716616885162,0.6798724190028538,0.15472399598783496,0.4190336749633968,0.739777220088951,2.5487883325553353,0.11549840730447554,0.055771519792704345,0.5069665939231157,0.0898600007917909,0.3279648609077599,0.7432193517830163,2.379500246138044,960431.5,4.479626500091039e-08,5957,1,0.0022146098950386497,0.0,,,0,0,,
ml-1m,EDLAE,0.5,0.0,,,5.266356706619263,0.11809646044263353,0.057555934901394816,0.5111633372502937,0.09043697788980211,0.3033674963396779,0.7536910600617166,2.306492373770511,0.1342511252403593,0.055055270649008364,0.6807117676682894,0.15539873456840655,0.3903367496339678,0.7491624332975975,2.4756337469275134,0.11809646044263353,0.057555934901394816,0.5111633372502937,0.09043697788980211,0.3033674963396779,0.7536910600617166,2.306492373770511,1483476.0,9.989664088071696e-12,5957,1,0.004812663033196653,0.0,,,0,0,,
ml-1m,EDLAE,0.75,0.0,,,5.088554382324219,0.12071511666523221,0.05935050546278733,0.5108275977841196,0.0895158127836249,0.26500732064421667,0.7759920312886923,2.174832797154062,0.1358735941125423,0.05610409256357398,0.6830619439315091,0.15320319449003028,0.3376281112737921,0.7665058097050255,2.337605516747408,0.12071511666523221,0.05935050546278733,0.5108275977841196,0.0895158127836249,0.26500732064421667,0.7759920312886923,2.174832797154062,1973013.0,1.6235862844062806e-13,5957,1,0.007431319255795331,0.0,,,0,0,,
ml-1m,EDLAE-Laplacian,0.75,0.3,rp3beta,none,5.078595161437988,0.12135201986042603,0.05968289728863524,0.5138492529796878,0.09025404312135989,0.2591508052708638,0.7759904930722912,2.1631444125922474,0.13589202090478575,0.056167321624044614,0.6832298136645962,0.15279899476321845,0.334407027818448,0.768017199738817,2.3281210235618346,0.12135201986042603,0.05968289728863524,0.5138492529796878,0.09025404312135989,0.2591508052708638,0.7759904930722912,2.1631444125922474,1995301.5,9.217525490940259e-15,5957,1,0.008068222450989164,0.0,79458.0,0.0001307267866559087,5957,1,0.0006369031951938319,0.0
ml-1m,EDLAE-Laplacian,0.75,1.0,rp3beta,none,4.739983797073364,0.12132542290782262,0.059742574444770546,0.5116669464495551,0.0893113920886534,0.2486090775988287,0.7761483011444603,2.141779765499635,0.1357200251951643,0.056156929638882816,0.6790330703374181,0.1516246647190621,0.32005856515373354,0.7666886550931262,2.3065665440027203,0.12132542290782262,0.059742574444770546,0.5116669464495551,0.0893113920886534,0.2486090775988287,0.7761483011444603,2.141779765499635,2062823.5,8.258681795863688e-14,5957,1,0.008041625498385746,0.0,418795.0,0.006395605927950998,5957,1,0.0006103062425904141,0.0
ml-1m,EDLAE-Laplacian,0.75,3.0,rp3beta,none,5.333974599838257,0.12128694342393385,0.05954453283405516,0.5118348161826423,0.08852236061365748,0.2281112737920937,0.7797829674929637,2.0912352087183694,0.13499379442599221,0.05563165054077879,0.674668457277153,0.14997197642977816,0.2966325036603221,0.7708708727121534,2.25358528150068,0.12128694342393385,0.05954453283405516,0.5118348161826423,0.08852236061365748,0.2281112737920937,0.7797829674929637,2.0912352087183694,2216815.5,6.825128817007275e-13,5957,1,0.008003146014496983,0.0,1045905.0,0.0015492477332022248,5957,1,0.0005718267587016525,0.0
ml-1m,EDLAE-Laplacian,0.75,10.0,rp3beta,none,5.306097984313965,0.12073960042604402,0.05912857691214685,0.5099882491186839,0.08532239399564318,0.18623718887262078,0.7881651310281335,1.9783850999304595,0.13365902221111695,0.054812016952994626,0.6661071008897096,0.14472239729116143,0.2480234260614934,0.7803440001633113,2.1380556093966856,0.12073960042604402,0.05912857691214685,0.5099882491186839,0.08532239399564318,0.18623718887262078,0.7881651310281335,1.9783850999304595,2457397.0,4.079618982486687e-09,5957,1,0.007455803016607131,0.0,1813381.0,0.13734255392468792,5957,1,2.4483760811799367e-05,0.0
ml-1m,EDLAE-Laplacian,0.75,30.0,rp3beta,none,5.191803932189941,0.11979637226122847,0.05856354310325029,0.5059593755245929,0.08097842946394437,0.1314787701317716,0.7990320384432905,1.8096245979278205,0.13117916757270268,0.053586352112017774,0.6590565721000503,0.13688874533289247,0.17950219619326502,0.7908237967532954,1.965015148551251,0.11979637226122847,0.05856354310325029,0.5059593755245929,0.08097842946394437,0.1314787701317716,0.7990320384432905,1.8096245979278205,2822651.0,7.038295798747749e-06,5957,1,0.006512574851791592,0.0,2398939.0,0.691627788975223,5957,-1,-0.0009187444040037382,0.0
ml-1m,EDLAE-Laplacian,0.75,75.0,rp3beta,none,4.997450590133667,0.11674868835284243,0.05753260721003253,0.4913547087460131,0.07358737161904957,0.08286969253294289,0.8104730545351224,1.6252645615298535,0.12546857747956902,0.05156346158453333,0.6300151082759778,0.12297303181265204,0.11098096632503661,0.7909432285823246,1.775766926176166,0.11674868835284243,0.05753260721003253,0.4913547087460131,0.07358737161904957,0.08286969253294289,0.8104730545351224,1.6252645615298535,3191019.0,0.025434831259375224,5957,1,0.0034648909434055607,0.0,2732022.5,0.05578090191959385,5957,-1,-0.00396642831238977,0.0
