dataset,model,dropout,gamma,graph_source,NDCG@k,MAP@k,HitRate@k,Recall@k,train_time_s,normalise
ml-1m,EASE,0.0,0.0,,0.11328379740943686,0.054285270741016085,0.5066308544569414,0.08900295108885321,166.42963767051697,
ml-1m,EDLAE,0.25,0.0,,0.11549840730447554,0.055771519792704345,0.5069665939231157,0.0898600007917909,4.254887819290161,
ml-1m,EDLAE,0.5,0.0,,0.11809646044263353,0.057555934901394816,0.5111633372502937,0.09043697788980211,3.7899699211120605,
ml-1m,EDLAE,0.75,0.0,,0.12071511666523221,0.05935050546278733,0.5108275977841196,0.0895158127836249,4.488122940063477,
ml-1m,EDLAE-Laplacian,0.75,0.3,rp3beta,0.12115032831548808,0.05957542650606833,0.5125062951149908,0.08977286469327408,5.024449586868286,sym
ml-1m,EDLAE-Laplacian,0.75,1.0,rp3beta,0.12160583069528731,0.05981224408483355,0.5138492529796878,0.08974030790319,4.748446941375732,sym
ml-1m,EDLAE-Laplacian,0.75,3.0,rp3beta,0.12179815845410899,0.05975027492422493,0.5136813832466006,0.08911104214232307,4.78283166885376,sym
ml-1m,EDLAE-Laplacian,0.75,10.0,rp3beta,0.12192017883719423,0.05970071996617397,0.5140171227127749,0.08703609555952178,4.5534138679504395,sym
ml-1m,EDLAE-Laplacian,0.75,30.0,rp3beta,0.12032660628717852,0.05894374811706962,0.5069665939231157,0.0814146468060435,4.5548717975616455,sym
ml-1m,EDLAE-Laplacian,0.75,75.0,rp3beta,0.11744616333429939,0.05799020991456662,0.49236192714453586,0.07391960551316519,4.628797292709351,sym
ml-1m,EDLAE-Laplacian,0.75,100.0,rp3beta,0.11471907345048107,0.056739591294087,0.4819540036931341,0.06996569137394433,4.506205797195435,sym
ml-1m,EDLAE-Laplacian,0.75,200.0,rp3beta,0.10996741507286731,0.054534299082324815,0.45794863186167534,0.0648598263235773,4.448273420333862,sym
