dataset,model,dropout,gamma,graph_source,NDCG@k,MAP@k,HitRate@k,Recall@k,train_time_s
ml-small,EASE,0.0,0.0,,0.12229157207816574,0.06012979517270652,0.5008431703204047,0.08759222622341274,15.895328283309937
ml-small,EDLAE,0.25,0.0,,0.12260162410324822,0.06056896815624632,0.4991568296795953,0.086761975638049,1.9353411197662354
ml-small,EDLAE,0.5,0.0,,0.12150136101930932,0.05992166020427283,0.4974704890387858,0.08595343154055385,1.9201419353485107
ml-small,EDLAE,0.75,0.0,,0.11697499537789094,0.057682729656099524,0.47892074198988194,0.08044003107662556,1.9891643524169922
ml-small,EDLAE-Laplacian,0.25,0.1,rp3beta,0.12246983458331022,0.060493685091924466,0.4991568296795953,0.08648174550214978,1.9831268787384033
ml-small,EDLAE-Laplacian,0.25,0.3,rp3beta,0.12243996140640781,0.06044485705405765,0.4991568296795953,0.08661422994502485,1.9049882888793945
ml-small,EDLAE-Laplacian,0.25,1.0,rp3beta,0.12251683195148608,0.06055662412363609,0.5008431703204047,0.08669906552611663,1.9120709896087646
ml-small,EDLAE-Laplacian,0.25,3.0,rp3beta,0.12263673585044173,0.06082976223404232,0.4991568296795953,0.08671139549587678,1.965348243713379
ml-small,EDLAE-Laplacian,0.25,10.0,rp3beta,0.12147531329001347,0.060315851092170046,0.4924114671163575,0.08610022862498426,1.9068984985351562
ml-small,EDLAE-Laplacian,0.25,30.0,rp3beta,0.11866124122338968,0.058662415125315635,0.4856661045531197,0.08299249752085609,1.9751965999603271
