dataset,seed,model,dropout,gamma,graph_source,normalise,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,0,EASE,0.0,0.0,,,overall,6008,0.36335613906888853,0.22513923250602305,0.8856524633821571,0.365349054583525,0.3316665455941842,0.9375832223701731
ml-1m,0,EASE,0.0,0.0,,,q1,5945,0.38252110455244315,0.2876387189881096,0.888309503784693,0.39968237328814027,0.41903344037096796,0.9384356602186712
ml-1m,0,EASE,0.0,0.0,,,q2,4408,0.012626192907159342,0.022839371364254565,0.05603448275862069,0.02414023651256659,0.05792954937917536,0.1338475499092559
ml-1m,0,EASE,0.0,0.0,,,q3,2895,0.0013700256733331871,0.0024179620034542313,0.0037996545768566492,0.003034474686236767,0.008136235286494355,0.014162348877374784
ml-1m,0,EASE,0.0,0.0,,,q4,1659,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777
ml-1m,0,EASE,0.0,0.0,,,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,EDLAE,0.5,0.0,,,overall,6008,0.3715230757141289,0.2281588309551492,0.8856524633821571,0.37147555991432196,0.3340838846165259,0.9369174434087882
ml-1m,0,EDLAE,0.5,0.0,,,q1,5945,0.3923485229963969,0.29272491871331824,0.8889823380992431,0.40892245922968884,0.4258821121550124,0.9399495374264087
ml-1m,0,EDLAE,0.5,0.0,,,q2,4408,0.00949505565165748,0.017640415135800915,0.039927404718693285,0.017682707105981074,0.04385407965173646,0.09051724137931035
ml-1m,0,EDLAE,0.5,0.0,,,q3,2895,0.0012466914829706017,0.00233160621761658,0.0034542314335060447,0.0019285878652488461,0.004420319653480276,0.008981001727115717
ml-1m,0,EDLAE,0.5,0.0,,,q4,1659,0.0003708572964755643,0.0009041591320072332,0.0012055455093429777,0.0003708572964755643,0.0009041591320072332,0.0012055455093429777
ml-1m,0,EDLAE,0.5,0.0,,,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,EDLAE-Laplacian,0.5,0.01,rp3beta,none,overall,6008,0.3715246510679535,0.2281372555340567,0.8856524633821571,0.37144763241906004,0.3340257332520254,0.9369174434087882
ml-1m,0,EDLAE-Laplacian,0.5,0.01,rp3beta,none,q1,5945,0.39234613925406064,0.29267564381755645,0.8888141295206056,0.40890877963059796,0.42584710215228955,0.9399495374264087
ml-1m,0,EDLAE-Laplacian,0.5,0.01,rp3beta,none,q2,4408,0.009468337283410143,0.017640415135800915,0.039927404718693285,0.017635014237538608,0.043797364588215586,0.09051724137931035
ml-1m,0,EDLAE-Laplacian,0.5,0.01,rp3beta,none,q3,2895,0.0012466914829706017,0.00233160621761658,0.0034542314335060447,0.0019285878652488461,0.004420319653480276,0.008981001727115717
ml-1m,0,EDLAE-Laplacian,0.5,0.01,rp3beta,none,q4,1659,0.0003708572964755643,0.0009041591320072332,0.0012055455093429777,0.0003708572964755643,0.0009041591320072332,0.0012055455093429777
ml-1m,0,EDLAE-Laplacian,0.5,0.01,rp3beta,none,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,EDLAE-Laplacian,0.5,0.03,rp3beta,none,overall,6008,0.37156883753630127,0.22817849754053007,0.8859853528628495,0.37138569876224203,0.3340230104492211,0.9369174434087882
ml-1m,0,EDLAE-Laplacian,0.5,0.03,rp3beta,none,q1,5945,0.392405722291213,0.29275894233041544,0.8891505466778806,0.40887686107023696,0.4258900823432311,0.9399495374264087
ml-1m,0,EDLAE-Laplacian,0.5,0.03,rp3beta,none,q2,4408,0.009463497027549858,0.017640415135800915,0.039927404718693285,0.017571968423208864,0.043634953269951274,0.08983666061705989
ml-1m,0,EDLAE-Laplacian,0.5,0.03,rp3beta,none,q3,2895,0.0012466914829706017,0.00233160621761658,0.0034542314335060447,0.0019285878652488461,0.004420319653480276,0.008981001727115717
ml-1m,0,EDLAE-Laplacian,0.5,0.03,rp3beta,none,q4,1659,0.0003708572964755643,0.0009041591320072332,0.0012055455093429777,0.0003708572964755643,0.0009041591320072332,0.0012055455093429777
ml-1m,0,EDLAE-Laplacian,0.5,0.03,rp3beta,none,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,EDLAE-Laplacian,0.5,0.1,rp3beta,none,overall,6008,0.37122653572132946,0.22786644031055095,0.8854860186418109,0.37122852566294295,0.3340235236175796,0.936750998668442
ml-1m,0,EDLAE-Laplacian,0.5,0.1,rp3beta,none,q1,5945,0.39202400027423767,0.29229569962824953,0.888645920941968,0.4087184720581167,0.42590395264758474,0.9397813288477712
ml-1m,0,EDLAE-Laplacian,0.5,0.1,rp3beta,none,q2,4408,0.009421921326311958,0.017640415135800915,0.039927404718693285,0.017477487322879532,0.043571936532705864,0.08915607985480943
ml-1m,0,EDLAE-Laplacian,0.5,0.1,rp3beta,none,q3,2895,0.0011191115046736415,0.0019861830742659756,0.0031088082901554403,0.0018611697644046353,0.004305178605696741,0.008635578583765112
ml-1m,0,EDLAE-Laplacian,0.5,0.1,rp3beta,none,q4,1659,0.0003708572964755643,0.0009041591320072332,0.0012055455093429777,0.0003708572964755643,0.0009041591320072332,0.0012055455093429777
ml-1m,0,EDLAE-Laplacian,0.5,0.1,rp3beta,none,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,EDLAE-Laplacian,0.5,0.3,rp3beta,none,overall,6008,0.37113231672083913,0.22791158252523713,0.8856524633821571,0.3709664035628858,0.3336722199370712,0.9362516644474035
ml-1m,0,EDLAE-Laplacian,0.5,0.3,rp3beta,none,q1,5945,0.392028453865614,0.2924025742907952,0.888645920941968,0.408568739261295,0.4258052732617106,0.9394449116904963
ml-1m,0,EDLAE-Laplacian,0.5,0.3,rp3beta,none,q2,4408,0.00918567293818948,0.01717008112417834,0.03901996370235935,0.01725784977405156,0.04320342694924342,0.08802177858439202
ml-1m,0,EDLAE-Laplacian,0.5,0.3,rp3beta,none,q3,2895,0.0010657116318795563,0.0018710420264824409,0.002763385146804836,0.0018602413994477345,0.004370973490144475,0.008635578583765112
ml-1m,0,EDLAE-Laplacian,0.5,0.3,rp3beta,none,q4,1659,0.0003708572964755643,0.0009041591320072332,0.0012055455093429777,0.0003708572964755643,0.0009041591320072332,0.0012055455093429777
ml-1m,0,EDLAE-Laplacian,0.5,0.3,rp3beta,none,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,EDLAE-Laplacian,0.5,1.0,rp3beta,none,overall,6008,0.3699074903891435,0.22627547449563878,0.882323568575233,0.3693406999613528,0.330707637561853,0.9345872170439414
ml-1m,0,EDLAE-Laplacian,0.5,1.0,rp3beta,none,q1,5945,0.3909055520953753,0.29081144461930647,0.8866274179983179,0.407172458144417,0.4232791677503186,0.9391084945332212
ml-1m,0,EDLAE-Laplacian,0.5,1.0,rp3beta,none,q2,4408,0.00890997755280381,0.01638893835854214,0.03607078039927405,0.016104019060280375,0.03904579439889796,0.08008166969147006
ml-1m,0,EDLAE-Laplacian,0.5,1.0,rp3beta,none,q3,2895,0.000982586398297063,0.0017846862406447896,0.0024179620034542313,0.001637161911418172,0.003860514844970804,0.007253886010362694
ml-1m,0,EDLAE-Laplacian,0.5,1.0,rp3beta,none,q4,1659,0.00025960009528233456,0.0006027727546714888,0.0006027727546714888,0.0003594769884500438,0.0009041591320072332,0.0012055455093429777
ml-1m,0,EDLAE-Laplacian,0.5,1.0,rp3beta,none,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,EDLAE-Laplacian,0.5,3.0,rp3beta,none,overall,6008,0.3658731884260676,0.22254694670157102,0.8788282290279628,0.3643395011698065,0.32416802526713495,0.9320905459387483
ml-1m,0,EDLAE-Laplacian,0.5,3.0,rp3beta,none,q1,5945,0.38744115326326506,0.2869390568287947,0.8841042893187553,0.4025830905550525,0.4161270560074963,0.9372582001682086
ml-1m,0,EDLAE-Laplacian,0.5,3.0,rp3beta,none,q2,4408,0.007136439069302186,0.01270859513615813,0.028584392014519056,0.013568223700104458,0.03298784838651163,0.06578947368421052
ml-1m,0,EDLAE-Laplacian,0.5,3.0,rp3beta,none,q3,2895,0.0007832163582623484,0.0013241220495106504,0.002072538860103627,0.0013851483046236244,0.003330866025166543,0.0058721934369602765
ml-1m,0,EDLAE-Laplacian,0.5,3.0,rp3beta,none,q4,1659,0.00025960009528233456,0.0006027727546714888,0.0006027727546714888,0.00025960009528233456,0.0006027727546714888,0.0006027727546714888
ml-1m,0,EDLAE-Laplacian,0.5,3.0,rp3beta,none,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,EDLAE-Laplacian,0.5,10.0,rp3beta,none,overall,6008,0.35321809145660954,0.211683363866984,0.8691744340878829,0.34946375216229286,0.30746549809597146,0.9219374167776299
ml-1m,0,EDLAE-Laplacian,0.5,10.0,rp3beta,none,q1,5945,0.37494956613276964,0.2752275585036737,0.8763666947014298,0.38787155568359155,0.39876611389874445,0.9290159798149705
ml-1m,0,EDLAE-Laplacian,0.5,10.0,rp3beta,none,q2,4408,0.004268036193817426,0.007951964349423515,0.01678765880217786,0.007911734225656742,0.019391836485756632,0.03833938294010889
ml-1m,0,EDLAE-Laplacian,0.5,10.0,rp3beta,none,q3,2895,0.000552442771032428,0.0008059873344847437,0.001381692573402418,0.0007309809633447294,0.0014392630972941852,0.002072538860103627
ml-1m,0,EDLAE-Laplacian,0.5,10.0,rp3beta,none,q4,1659,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,EDLAE-Laplacian,0.5,10.0,rp3beta,none,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,1,EASE,0.0,0.0,,,overall,6006,0.3623488874914095,0.22293921857668994,0.8771228771228772,0.36349761852879936,0.3275426777323132,0.9347319347319347
