dataset,seed,model,dropout,gamma,graph_source,normalise,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k
ml-1m,0,EASE,0.0,0.0,,,134.7747564315796,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,0.365349054583525,0.20414787720272656,0.9375832223701731,0.3316665455941842,0.39637002341920374,0.7487248661066388,2.5533754562781135,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389
ml-1m,0,EDLAE,0.75,0.0,,,3.1866538524627686,0.36582877243443424,0.2333903946235371,0.8779960053262317,0.2222228437639116,0.2268735362997658,0.7932961642541128,2.160629909113767,0.3639703789488052,0.20531075447048389,0.9312583222370173,0.3231457029426086,0.3003512880562061,0.7828467988101635,2.3186702441304035,0.36582877243443424,0.2333903946235371,0.8779960053262317,0.2222228437639116,0.2268735362997658,0.7932961642541128,2.160629909113767
ml-1m,0,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,3.163477897644043,0.3658046521037066,0.23337401324667806,0.8776631158455392,0.2221985625994258,0.2268735362997658,0.7934680211331129,2.160332862392391,0.3639130934794254,0.20527110987908448,0.9312583222370173,0.32307877646088695,0.3003512880562061,0.7830090580979745,2.318245931565288,0.3658046521037066,0.23337401324667806,0.8776631158455392,0.2221985625994258,0.2268735362997658,0.7934680211331129,2.160332862392391
ml-1m,0,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,3.2469418048858643,0.3653939352380077,0.23305827165777784,0.8773302263648469,0.22184351696772933,0.22453161592505855,0.7928467388983311,2.157562428227461,0.3636372682582446,0.2050350220131052,0.9315912117177098,0.32295429899293265,0.29859484777517564,0.7831957716508708,2.315188433852414,0.3653939352380077,0.23305827165777784,0.8773302263648469,0.22184351696772933,0.22453161592505855,0.7928467388983311,2.157562428227461
ml-1m,0,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,3.2387855052948,0.36474687079976886,0.23250157339344968,0.8771637816245007,0.2212321860846994,0.22160421545667447,0.7934405820860606,2.1509587880704086,0.36270770492962834,0.204316982891214,0.9310918774966711,0.32192177196258887,0.29361826697892274,0.7824167643540749,2.308839473290067,0.36474687079976886,0.23250157339344968,0.8771637816245007,0.2212321860846994,0.22160421545667447,0.7934405820860606,2.1509587880704086
ml-1m,0,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,3.1804614067077637,0.3626418094224172,0.23076262925677496,0.8763315579227696,0.21976493232650232,0.21282201405152223,0.7956902030671622,2.1303484794964263,0.3598952181578005,0.20225636836860142,0.9289280958721704,0.31904074170289964,0.280152224824356,0.7822936189573777,2.2875025142350696,0.3626418094224172,0.23076262925677496,0.8763315579227696,0.21976493232650232,0.21282201405152223,0.7956902030671622,2.1303484794964263
ml-1m,0,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,3.2047135829925537,0.3569352112165382,0.2263091548496772,0.8691744340878829,0.2138473502573716,0.19350117096018735,0.8012506270006103,2.081806575953249,0.35348113768347655,0.19741676331264071,0.9264314247669774,0.3116142391763234,0.25966042154566743,0.7891157712302423,2.238996633987068,0.3569352112165382,0.2263091548496772,0.8691744340878829,0.2138473502573716,0.19350117096018735,0.8012506270006103,2.081806575953249
ml-1m,0,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,3.1588451862335205,0.3404569929821597,0.21325006299864227,0.8536950732356857,0.2009712763128771,0.1525175644028103,0.8085718082863282,1.9770826916472561,0.3355404055418918,0.18445004498583006,0.9137816245006658,0.29177022945499975,0.20843091334894615,0.7967063110609076,2.1280798739404143,0.3404569929821597,0.21325006299864227,0.8536950732356857,0.2009712763128771,0.1525175644028103,0.8085718082863282,1.9770826916472561
ml-1m,1,EASE,0.0,0.0,,,133.13601064682007,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,0.36349761852879936,0.20270640009375476,0.9347319347319347,0.3275426777323132,0.40105386416861827,0.7512512548278971,2.5551994360475203,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466
ml-1m,1,EDLAE,0.75,0.0,,,3.206321954727173,0.36238666794004887,0.2310683198027302,0.8687978687978688,0.2179782975881695,0.22833723653395785,0.7960772987696065,2.155747508356931,0.3596933270849375,0.2024809299775899,0.9287379287379287,0.31772502894290205,0.30562060889929743,0.7861514283928077,2.3175066983648187,0.36238666794004887,0.2310683198027302,0.8687978687978688,0.2179782975881695,0.22833723653395785,0.7960772987696065,2.155747508356931
ml-1m,1,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,3.1421473026275635,0.36234140615905697,0.23101720138851659,0.8687978687978688,0.21797110140658846,0.22804449648711944,0.795986042199136,2.1554230793623192,0.35963893248028367,0.20244057358326303,0.9287379287379287,0.3176747972695498,0.305327868852459,0.7861424289995718,2.317090878849669,0.36234140615905697,0.23101720138851659,0.8687978687978688,0.21797110140658846,0.22804449648711944,0.795986042199136,2.1554230793623192
ml-1m,1,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,3.142103672027588,0.3620243023767558,0.23078600579734362,0.8684648684648685,0.21754868964164922,0.22745901639344263,0.7969504112361256,2.152132676375278,0.35947561022961644,0.20229708131659185,0.9289044289044289,0.31746342453309573,0.30415690866510536,0.7867197768545218,2.3141155045058084,0.3620243023767558,0.23078600579734362,0.8684648684648685,0.21754868964164922,0.22745901639344263,0.7969504112361256,2.152132676375278
ml-1m,1,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,3.2032649517059326,0.3612612598756217,0.23020286675615473,0.8679653679653679,0.21689023175285857,0.22423887587822014,0.7972734402238317,2.1455836595282305,0.35867445690831307,0.20175995687538195,0.927905427905428,0.31628386455769264,0.30005854800936765,0.7868807127831519,2.3073721090269594,0.3612612598756217,0.23020286675615473,0.8679653679653679,0.21689023175285857,0.22423887587822014,0.7972734402238317,2.1455836595282305
ml-1m,1,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,3.097174882888794,0.35908870688513134,0.22881487531218256,0.8651348651348651,0.21459720156216308,0.21370023419203746,0.7983788357760959,2.1243333929460397,0.3562879737002685,0.20010136377732943,0.9262404262404262,0.313341530120037,0.2883489461358314,0.7883422499666153,2.2856648461883298,0.35908870688513134,0.22881487531218256,0.8651348651348651,0.21459720156216308,0.21370023419203746,0.7983788357760959,2.1243333929460397
ml-1m,1,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,3.1084349155426025,0.3526313072655341,0.22354731874218833,0.8606393606393606,0.20968918590630575,0.19291569086651053,0.8021258963595839,2.0762135307175087,0.3495253432639541,0.19486951231093144,0.9215784215784216,0.3068945013513182,0.2581967213114754,0.7883643756092735,2.2355886572819386,0.3526313072655341,0.22354731874218833,0.8606393606393606,0.20968918590630575,0.19291569086651053,0.8021258963595839,2.0762135307175087
ml-1m,1,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,3.193840980529785,0.33579714110421144,0.2102565370507547,0.8431568431568431,0.1968928339687608,0.15134660421545668,0.8086346277835641,1.9708877777639917,0.33117172998051797,0.18157075869860378,0.9085914085914086,0.2869621528768791,0.20960187353629978,0.7987537834604874,2.1242143756472553,0.33579714110421144,0.2102565370507547,0.8431568431568431,0.1968928339687608,0.15134660421545668,0.8086346277835641,1.9708877777639917
ml-1m,2,EASE,0.0,0.0,,,134.07553386688232,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414,0.3618476700911453,0.2003476739707504,0.9390406395736176,0.32899075921234416,0.40105386416861827,0.7530828109727334,2.5498226663708405,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414
ml-1m,2,EDLAE,0.75,0.0,,,3.0936217308044434,0.3637566046181413,0.23192222073983934,0.8722518321119254,0.21864115355353694,0.22862997658079626,0.7960548708031607,2.156938924145393,0.36136053376473565,0.20250589652420672,0.9333777481678881,0.32073122754819666,0.297423887587822,0.7806056624979671,2.3177078744641273,0.3637566046181413,0.23192222073983934,0.8722518321119254,0.21864115355353694,0.22862997658079626,0.7960548708031607,2.156938924145393
ml-1m,2,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,3.170583486557007,0.36375783558220215,0.23191851656613738,0.8722518321119254,0.21860623694383505,0.22833723653395785,0.7959350603870923,2.156701165291776,0.36135288379416763,0.20252058047089147,0.9332111925383078,0.32063951249120265,0.297423887587822,0.7807643165711049,2.3174390242981646,0.36375783558220215,0.23191851656613738,0.8722518321119254,0.21860623694383505,0.22833723653395785,0.7959350603870923,2.156701165291776
ml-1m,2,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,3.232161521911621,0.36350419814686324,0.2317673684338517,0.8724183877415057,0.21849931946007817,0.226288056206089,0.7955368693402329,2.1538063070384594,0.36082289229437875,0.2021978507322838,0.9327115256495669,0.319823370642061,0.29596018735363,0.7810896263684415,2.3144126217385494,0.36350419814686324,0.2317673684338517,0.8724183877415057,0.21849931946007817,0.226288056206089,0.7955368693402329,2.1538063070384594
ml-1m,2,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,3.2165117263793945,0.36289000814976946,0.23133901132133458,0.8719187208527648,0.21775111414562515,0.22218969555035128,0.7952278630232457,2.1469837730326002,0.35991566978173867,0.2016175974037804,0.9318787475016655,0.31860866820408007,0.29361826697892274,0.7825536880364901,2.3077705353430487,0.36289000814976946,0.23133901132133458,0.8719187208527648,0.21775111414562515,0.22218969555035128,0.7952278630232457,2.1469837730326002
