dataset,seed,model,dropout,gamma,graph_source,normalise,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,0,EASE,0.0,0.0,,,overall,6008,0.36335613906888853,0.22513923250602305,0.8856524633821571,0.365349054583525,0.3316665455941842,0.9375832223701731
ml-1m,0,EASE,0.0,0.0,,,q1,5945,0.38252110455244315,0.2876387189881096,0.888309503784693,0.39968237328814027,0.41903344037096796,0.9384356602186712
ml-1m,0,EASE,0.0,0.0,,,q2,4408,0.012626192907159342,0.022839371364254565,0.05603448275862069,0.02414023651256659,0.05792954937917536,0.1338475499092559
ml-1m,0,EASE,0.0,0.0,,,q3,2895,0.0013700256733331871,0.0024179620034542313,0.0037996545768566492,0.003034474686236767,0.008136235286494355,0.014162348877374784
ml-1m,0,EASE,0.0,0.0,,,q4,1659,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777
ml-1m,0,EASE,0.0,0.0,,,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,EDLAE,0.75,0.0,,,overall,6008,0.36582877243443424,0.2222228437639116,0.8779960053262317,0.3639703789488052,0.3231457029426086,0.9312583222370173
ml-1m,0,EDLAE,0.75,0.0,,,q1,5945,0.3876778932477052,0.28651690246975037,0.8835996635828427,0.40306566962251694,0.4165508140257735,0.936753574432296
ml-1m,0,EDLAE,0.75,0.0,,,q2,4408,0.0063452390419932985,0.01207717876064012,0.025181488203266787,0.011554574811011149,0.028275220439390247,0.05694192377495463
ml-1m,0,EDLAE,0.75,0.0,,,q3,2895,0.0007819660701878425,0.0013241220495106504,0.002072538860103627,0.0011645340732752785,0.002553663952627683,0.004145077720207254
ml-1m,0,EDLAE,0.75,0.0,,,q4,1659,0.00025960009528233456,0.0006027727546714888,0.0006027727546714888,0.00034374438332618654,0.0009041591320072332,0.0012055455093429777
ml-1m,0,EDLAE,0.75,0.0,,,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,overall,6008,0.3658046521037066,0.2221985625994258,0.8776631158455392,0.3639130934794254,0.32307877646088695,0.9312583222370173
ml-1m,0,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,q1,5945,0.38766481012328635,0.2865205612132395,0.8834314550042052,0.4030000099202499,0.41646244912265923,0.936753574432296
ml-1m,0,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,q2,4408,0.006303810801450707,0.011963748633598378,0.0249546279491833,0.011549871124184007,0.028275220439390247,0.05694192377495463
ml-1m,0,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,q3,2895,0.0007819660701878425,0.0013241220495106504,0.002072538860103627,0.0011645340732752785,0.002553663952627683,0.004145077720207254
ml-1m,0,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,q4,1659,0.00025960009528233456,0.0006027727546714888,0.0006027727546714888,0.00034374438332618654,0.0009041591320072332,0.0012055455093429777
ml-1m,0,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,overall,6008,0.3653939352380077,0.22184351696772933,0.8773302263648469,0.3636372682582446,0.32295429899293265,0.9315912117177098
ml-1m,0,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,q1,5945,0.38724770814658677,0.28612151723368984,0.8830950378469302,0.4027327411283437,0.41641030735646606,0.9370899915895711
ml-1m,0,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,q2,4408,0.006179717225830649,0.011680173315994021,0.02472776769509982,0.011412175402149626,0.028002988134490068,0.05648820326678766
ml-1m,0,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,q3,2895,0.0007819660701878425,0.0013241220495106504,0.002072538860103627,0.0011635682790464832,0.002553663952627683,0.004145077720207254
ml-1m,0,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,q4,1659,0.00025960009528233456,0.0006027727546714888,0.0006027727546714888,0.00034374438332618654,0.0009041591320072332,0.0012055455093429777
ml-1m,0,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,overall,6008,0.36474687079976886,0.2212321860846994,0.8771637816245007,0.36270770492962834,0.32192177196258887,0.9310918774966711
ml-1m,0,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,q1,5945,0.3866897195814908,0.2856401653508318,0.8830950378469302,0.40186402847055136,0.41527110514596977,0.9365853658536586
ml-1m,0,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,q2,4408,0.005970089730531427,0.011176669585403176,0.024047186932849365,0.011087329692429341,0.02722793425879031,0.0544464609800363
ml-1m,0,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,q3,2895,0.0007763746654095271,0.0013241220495106504,0.002072538860103627,0.001127846706402227,0.0025043177892918825,0.0037996545768566492
ml-1m,0,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,q4,1659,0.00025960009528233456,0.0006027727546714888,0.0006027727546714888,0.00025960009528233456,0.0006027727546714888,0.0006027727546714888
ml-1m,0,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,overall,6008,0.3626418094224172,0.21976493232650232,0.8763315579227696,0.3598952181578005,0.31904074170289964,0.9289280958721704
ml-1m,0,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,q1,5945,0.3847271664576245,0.2842584833598334,0.8827586206896552,0.3992201980353903,0.4126734526940495,0.9352396972245585
ml-1m,0,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,q2,4408,0.005243247066988467,0.009607242173031647,0.020644283121597096,0.00969363496536261,0.023372616859915738,0.047186932849364795
ml-1m,0,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,q3,2895,0.0005647151017160518,0.0008059873344847437,0.001381692573402418,0.0009710885391297367,0.002072538860103627,0.0031088082901554403
ml-1m,0,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,q4,1659,0.00023318433226916313,0.0006027727546714888,0.0006027727546714888,0.00023318433226916313,0.0006027727546714888,0.0006027727546714888
ml-1m,0,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,overall,6008,0.3569352112165382,0.2138473502573716,0.8691744340878829,0.35348113768347655,0.3116142391763234,0.9264314247669774
ml-1m,0,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,q1,5945,0.37905976427638716,0.2774918797355779,0.8763666947014298,0.39283112940547316,0.40445619167660507,0.9333894028595459
ml-1m,0,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,q2,4408,0.003981309785239946,0.007794270158154005,0.01588021778584392,0.0072951665852520895,0.0179170761180743,0.034936479128856626
ml-1m,0,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,q3,2895,0.0005580341758107434,0.0008059873344847437,0.001381692573402418,0.0007668046944492329,0.0015256188831318364,0.0024179620034542313
ml-1m,0,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,q4,1659,0.0,0.0,0.0,0.00016813920774631094,0.0006027727546714888,0.0006027727546714888
ml-1m,0,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,overall,6008,0.3404569929821597,0.2009712763128771,0.8536950732356857,0.3355404055418918,0.29177022945499975,0.9137816245006658
ml-1m,0,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,q1,5945,0.36199607247554494,0.2614866420532397,0.8615643397813288,0.373779993841578,0.38084548409442887,0.9221194280908326
ml-1m,0,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,q2,4408,0.0019018939497543101,0.0036718052314694783,0.008166969147005444,0.0036592312672245396,0.008941002912191659,0.01837568058076225
ml-1m,0,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,q3,2895,0.00023212029251712345,0.0003454231433506045,0.000690846286701209,0.0002736110199085056,0.0004605641911341393,0.000690846286701209
ml-1m,0,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,q4,1659,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,1,EASE,0.0,0.0,,,overall,6006,0.3623488874914095,0.22293921857668994,0.8771228771228772,0.36349761852879936,0.3275426777323132,0.9347319347319347
ml-1m,1,EASE,0.0,0.0,,,q1,5944,0.38319038326108074,0.2877949233136622,0.8787012113055181,0.3991817514077507,0.41757261600288986,0.9348923283983849
ml-1m,1,EASE,0.0,0.0,,,q2,4502,0.01205887595139317,0.02235818320977583,0.051754775655264325,0.02297310124182566,0.05498483172293008,0.13194135939582408
ml-1m,1,EASE,0.0,0.0,,,q3,2861,0.0014036252069079909,0.002933123616451124,0.004543865781195386,0.004180845676298599,0.012439538693470885,0.020272631946871723
ml-1m,1,EASE,0.0,0.0,,,q4,1641,0.000124547469584696,0.0003046922608165753,0.0006093845216331506,0.0002736337231607021,0.0009140767824497258,0.001218769043266301
ml-1m,1,EASE,0.0,0.0,,,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,1,EDLAE,0.75,0.0,,,overall,6006,0.36238666794004887,0.2179782975881695,0.8687978687978688,0.3596933270849375,0.31772502894290205,0.9287379287379287
ml-1m,1,EDLAE,0.75,0.0,,,q1,5944,0.3859228883900447,0.28522425613808355,0.8739905787348586,0.3999733653311888,0.41326649487223205,0.9330417227456258
