dataset,seed,method,fwls_lambda,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,0,EASE,0.0,0.3510466520134869,0.2185991103887183,0.8751664447403462,0.21738028615981625,0.3027818448023426,0.7579616604037944,2.3741597093181186,0.35227939893704313,0.1941517685029326,0.9279294274300932,0.3183264979631298,0.3897510980966325,0.7510887436836036,2.5367296620705644,0.3510466520134869,0.2185991103887183,0.8751664447403462,0.21738028615981625,0.3027818448023426,0.7579616604037944,2.3741597093181186,,,0,0,,
ml-1m,0,RP3beta,0.0,0.3069084030211717,0.18405621145854403,0.8322237017310253,0.1860029591426041,0.21142020497803807,0.8888084585280567,1.8914736806679324,0.3047580331597224,0.16015164839731783,0.9036284953395473,0.26985347150755845,0.3007320644216691,0.8852484904904463,2.0366582795931047,0.3069084030211717,0.18405621145854403,0.8322237017310253,0.1860029591426041,0.21142020497803807,0.8888084585280567,1.8914736806679324,,,0,0,,
ml-1m,0,EDLAE,0.0,0.3626201974406329,0.23047700969967314,0.878994673768309,0.22152558646117138,0.26412884333821374,0.7810930584793077,2.2566090824847964,0.36119540688595103,0.20274104169228907,0.9320905459387483,0.32261272783617323,0.34143484626647147,0.7682908352042901,2.4197909137299014,0.3626201974406329,0.23047700969967314,0.878994673768309,0.22152558646117138,0.26412884333821374,0.7810930584793077,2.2566090824847964,,,0,0,,
ml-1m,0,FWLS,0.1,0.34883045792466755,0.21697906090883604,0.8745006657789614,0.21602126504072777,0.24568081991215227,0.7638165005261159,2.272062833728633,0.34844174188274807,0.19122747679359764,0.9295938748335553,0.3149387848631183,0.3136163982430454,0.746481240077034,2.4353081012450932,0.34883045792466755,0.21697906090883604,0.8745006657789614,0.21602126504072777,0.24568081991215227,0.7638165005261159,2.272062833728633,6026434.5,0.19710111445177902,6008,-1,-0.0022161940888193025,0.0
ml-1m,0,FWLS,1.0,0.35015188560829347,0.21793356703009412,0.8756657789613849,0.2174849046869939,0.24978038067349928,0.7677915573295786,2.2691041919563566,0.34935012421834344,0.1919834710131861,0.9295938748335553,0.31572062882605834,0.3235724743777452,0.7547466876743527,2.431562188812161,0.35015188560829347,0.21793356703009412,0.8756657789613849,0.2174849046869939,0.24978038067349928,0.7677915573295786,2.2691041919563566,5961469.5,0.6167365101887481,6008,-1,-0.0008947664051934825,0.0
ml-1m,0,FWLS,10.0,0.3502565999997025,0.21792249139385494,0.8764980026631158,0.21810104265283667,0.2571010248901903,0.7805236146792887,2.248873001935838,0.3498135074055302,0.1922762952193178,0.9320905459387483,0.31633394541570453,0.3329428989751098,0.7684670658998205,2.409215289227138,0.3502565999997025,0.21792249139385494,0.8764980026631158,0.21810104265283667,0.2571010248901903,0.7805236146792887,2.248873001935838,5775898.0,0.8247441211791803,6008,-1,-0.0007900520137843827,0.0
ml-1m,1,EASE,0.0,0.34664422927515204,0.21490097254198728,0.8676323676323676,0.2128583786356277,0.3050351288056206,0.760882719328017,2.371769082815289,0.35024930839898566,0.192228450289982,0.9312354312354313,0.3167165383227274,0.39607728337236536,0.7546615862580386,2.5381129677234173,0.34664422927515204,0.21490097254198728,0.8676323676323676,0.2128583786356277,0.3050351288056206,0.760882719328017,2.371769082815289,,,0,0,,
ml-1m,1,RP3beta,0.0,0.3033968859853046,0.18295702213927836,0.8201798201798202,0.18053684764322375,0.21721311475409835,0.8916559182057833,1.8854205874254346,0.3018520200480761,0.15850615760736642,0.8964368964368964,0.26741263959905587,0.30620608899297425,0.8879464066844565,2.031519719315688,0.3033968859853046,0.18295702213927836,0.8201798201798202,0.18053684764322375,0.21721311475409835,0.8916559182057833,1.8854205874254346,,,0,0,,
ml-1m,1,EDLAE,0.0,0.3572383370822141,0.22585904959133418,0.8672993672993673,0.21621864929008153,0.26434426229508196,0.780824417369268,2.257075005528082,0.3575568611146273,0.19992338040242286,0.9304029304029304,0.318917543606035,0.34104215456674475,0.7682800890097026,2.4205637384287844,0.3572383370822141,0.22585904959133418,0.8672993672993673,0.21621864929008153,0.26434426229508196,0.780824417369268,2.257075005528082,,,0,0,,
ml-1m,1,FWLS,0.1,0.3438426755836231,0.2132442670707977,0.8634698634698634,0.21152022047251098,0.24941451990632318,0.7606476856476856,2.287432081751724,0.3443125942502525,0.18798224109108821,0.9274059274059274,0.3101876298135454,0.31791569086651056,0.7438528782451435,2.4503847854662926,0.3438426755836231,0.2132442670707977,0.8634698634698634,0.21152022047251098,0.24941451990632318,0.7606476856476856,2.287432081751724,5828720.0,0.19169825799064033,6006,-1,-0.0028015536915289192,0.0
