dataset,lambda,rp3_beta,rp3_topK,gamma,NDCG@k,MAP@k,HitRate@k,Recall@k,train_time_s
ml-1m,100,0.3,200,0.1,0.10777440271605744,0.050592279888161285,0.49991606513345643,0.08632622614142245,114.75558233261108
ml-1m,100,0.3,200,0.3,0.10906252056511342,0.051599711718944195,0.4985731072687594,0.08737742690298583,113.81488037109375
ml-1m,100,0.3,200,1.0,0.11171874743046058,0.053655023886649146,0.49790162833641094,0.0879203769000969,112.54609036445618
ml-1m,100,0.3,200,3.0,0.11482312578842045,0.055810130545046244,0.5009232835319792,0.08873507904193409,112.49971342086792
ml-1m,100,0.3,200,10.0,0.11861447873839188,0.05836644737228884,0.5041128084606346,0.08842558595938782,112.52839374542236
ml-1m,100,0.3,200,30.0,0.12047120469606451,0.05934910937683786,0.5059593755245929,0.08592758921268903,113.19224429130554
ml-1m,100,0.3,200,50.0,0.12035994126198032,0.05903971708430448,0.5057915057915058,0.0837258558104128,113.93573141098022
ml-1m,100,0.3,200,75.0,0.12011419207329471,0.058980693865158515,0.504616417659896,0.08106429887302012,113.03990435600281
ml-1m,100,0.3,200,100.0,0.11929410438082351,0.05848061763859604,0.5041128084606346,0.0795560703013897,112.49776697158813
ml-1m,100,0.3,200,200.0,0.11625201141901167,0.05734599974229521,0.4886687930166191,0.07200645248864557,114.16112184524536
ml-1m,100,0.3,200,500.0,0.10844296538630657,0.05352828763080907,0.4529125398690616,0.06329080614003005,119.32842421531677
ml-1m,100,0.3,200,1000.0,0.0996293489158849,0.04856285258089458,0.4268927312405573,0.05602547172753148,125.21682214736938
ml-1m,100,0.6,200,0.1,0.10746592331975417,0.05028913845924345,0.5012590229981534,0.08652708224581294,124.51871585845947
ml-1m,100,0.6,200,0.3,0.10825262561183467,0.05097330490058233,0.4994124559341951,0.08651846328141205,125.08546328544617
ml-1m,100,0.6,200,1.0,0.11066153150000933,0.052735304572963555,0.5010911532650663,0.08801297870187216,125.2186906337738
ml-1m,100,0.6,200,3.0,0.1140692967268219,0.05507703485058557,0.5029377203290247,0.08934111473551372,124.69897270202637
ml-1m,100,0.6,200,10.0,0.11702345889691013,0.057115778631972064,0.5067987241900286,0.08894105792650144,124.85284805297852
ml-1m,100,0.6,200,30.0,0.11967829871196696,0.058651884603156415,0.5062951149907672,0.08782868133298055,125.55565452575684
ml-1m,100,0.6,200,50.0,0.11980791792814999,0.058708335030429076,0.5047842873929831,0.08569670094809761,125.29452848434448
ml-1m,100,0.6,200,75.0,0.11988138361464036,0.05878319630316081,0.5029377203290247,0.08329468271061077,125.25415635108948
ml-1m,100,0.6,200,100.0,0.12033686033218684,0.058795487241583066,0.5062951149907672,0.08297204040483788,125.2457823753357
ml-1m,100,0.6,200,200.0,0.1186454783946251,0.058046648869260524,0.5029377203290247,0.07885487437737017,125.02508473396301
ml-1m,100,0.6,200,500.0,0.11326204582870704,0.05613471676138047,0.47255329864025514,0.06807265777387984,125.01969599723816
ml-1m,100,0.6,200,1000.0,0.10761220234735283,0.05313011769533508,0.4487157965418835,0.06303609621613346,124.64358258247375
ml-1m,500,0.3,200,0.1,0.11358550741182454,0.05456709445322281,0.5059593755245929,0.08902975562387798,124.83882546424866
ml-1m,500,0.3,200,0.3,0.11412472570107775,0.05500179635734944,0.5057915057915058,0.08911745724719775,125.28416562080383
ml-1m,500,0.3,200,1.0,0.1155714117094535,0.055991363559021054,0.5059593755245929,0.0897606856021024,124.3243556022644
ml-1m,500,0.3,200,3.0,0.11711215968807095,0.05711028413908479,0.5056236360584186,0.08981980895346384,124.61688685417175
ml-1m,500,0.3,200,10.0,0.11930834949084915,0.05870892129506444,0.507470203122377,0.08888887384371658,124.58442687988281
ml-1m,500,0.3,200,30.0,0.1202739433367663,0.059206793544082814,0.5052878965922444,0.08534718947932976,123.76622200012207
ml-1m,500,0.3,200,50.0,0.12079196579237561,0.059267314489881776,0.5076380728554641,0.08397151620251435,123.89036393165588
ml-1m,500,0.3,200,75.0,0.12012590876561874,0.058920854189635614,0.5056236360584186,0.08132147140296232,124.11881494522095
ml-1m,500,0.3,200,100.0,0.11923283671999695,0.05842798435503996,0.5039449387275474,0.0794960550863112,124.3708324432373
ml-1m,500,0.3,200,200.0,0.1162569197475233,0.057338362970017806,0.4888366627497062,0.0718985347030966,124.01073861122131
ml-1m,500,0.3,200,500.0,0.10843250660047933,0.05354073796934638,0.45257680040288734,0.06324267216742252,123.79765558242798
ml-1m,500,0.3,200,1000.0,0.09963636974442017,0.04856928536683047,0.4267248615074702,0.05602530250401023,124.74894618988037
ml-1m,500,0.6,200,0.1,0.11344274675267411,0.054480132702736966,0.5056236360584186,0.08906488268022195,124.02969336509705
ml-1m,500,0.6,200,0.3,0.11387418289146055,0.054768508605576034,0.5054557663253315,0.0890270744537893,124.1352276802063
ml-1m,500,0.6,200,1.0,0.11422301228010484,0.05506286365166873,0.5042806781937217,0.08903094375795108,124.57127785682678
ml-1m,500,0.6,200,3.0,0.11604331218028531,0.05617963896524233,0.5081416820547255,0.08987155233976893,124.10653376579285
ml-1m,500,0.6,200,10.0,0.11807601673510405,0.05779050123770621,0.5084774215208998,0.08897883568777827,124.13920855522156
ml-1m,500,0.6,200,30.0,0.1197324498519474,0.05867291576974363,0.5064629847238543,0.087591719136477,123.90558004379272
ml-1m,500,0.6,200,50.0,0.11988798998493065,0.058688630189110816,0.5051200268591572,0.08561564918090485,124.0195803642273
ml-1m,500,0.6,200,75.0,0.12003670189921256,0.058812293855735144,0.5044485479268088,0.08340394158194533,124.12823486328125
ml-1m,500,0.6,200,100.0,0.12030558308609482,0.0587859025100226,0.5057915057915058,0.08296421124639361,123.57800769805908
ml-1m,500,0.6,200,200.0,0.11850262107571329,0.05802944552593325,0.5024341111297633,0.07834390243594537,123.4681510925293
ml-1m,500,0.6,200,500.0,0.11327362647345206,0.056144669038413496,0.47255329864025514,0.06803769928200361,124.14444494247437
ml-1m,500,0.6,200,1000.0,0.10758643164843315,0.05312071657790379,0.4487157965418835,0.06299988916129286,124.61270666122437
