dataset,model,lambda,rp3_beta,graph_source,normalise,gamma,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,EASE,100,0.3,,,0.0,overall,5957,0.10692106992139593,0.08641180715099708,0.5019305019305019,0.12256389134469238,0.14512138342310452,0.6750041967433271
ml-1m,EASE,100,0.3,,,0.0,q1,5787,0.11612663786366764,0.11618284296277995,0.5009504060825989,0.13769168990871153,0.19011255956117817,0.6706410921029895
ml-1m,EASE,100,0.3,,,0.0,q2,4520,0.009755115005013802,0.018229681208522506,0.0413716814159292,0.016359766204214008,0.038871936695157115,0.09424778761061947
ml-1m,EASE,100,0.3,,,0.0,q3,3059,0.002633425252488418,0.005339435545385201,0.008172605426610004,0.004572662887245167,0.011888792445882321,0.01896044458973521
ml-1m,EASE,100,0.3,,,0.0,q4,1767,0.00016359073362642211,0.0005659309564233164,0.0005659309564233164,0.00016359073362642211,0.0005659309564233164,0.0005659309564233164
ml-1m,EASE,100,0.3,,,0.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EASE,500,0.3,,,0.0,overall,5957,0.11328379740943686,0.08900295108885321,0.5066308544569414,0.12998526618389683,0.1536942111527436,0.6822225952660735
ml-1m,EASE,500,0.3,,,0.0,q1,5787,0.12504748984501393,0.12342798033846346,0.5114912735441507,0.14918215057341186,0.2074152043009652,0.6860203905304993
ml-1m,EASE,500,0.3,,,0.0,q2,4520,0.006831619305343441,0.012777773380240713,0.028982300884955754,0.012396876454437745,0.030764446374546176,0.07079646017699115
ml-1m,EASE,500,0.3,,,0.0,q3,3059,0.0015441454207016118,0.003623188405797101,0.005884275907159202,0.0027273065340833384,0.0076659038901601825,0.011114743380189604
ml-1m,EASE,500,0.3,,,0.0,q4,1767,0.0,0.0,0.0,0.00022177074242557679,0.0008488964346349745,0.0011318619128466328
ml-1m,EASE,500,0.3,,,0.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
