dataset,source,normalise,ease_lambda,gamma,rp3_beta,topK,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,rp3beta,none,500,0.3,0.6,200,130.40443181991577,0.11387418289146055,0.054768508605576034,0.5054557663253315,0.0890270744537893,0.34348462664714496,0.7399198947959096,2.4158330967624555,0.13077821517515217,0.052795887746061976,0.6823904649991607,0.154654245080982,0.43455344070278185,0.73443074966279,2.5889421829721257,0.11387418289146055,0.054768508605576034,0.5054557663253315,0.0890270744537893,0.34348462664714496,0.7399198947959096,2.4158330967624555,196848.5,0.00416840449896227,5957,1,0.0005903854820236763,0.0
ml-1m,rp3beta,none,500,1.0,0.6,200,267.88232040405273,0.11422301228010484,0.05506286365166873,0.5042806781937217,0.08903094375795108,0.3323572474377745,0.7402295008500714,2.39553578178667,0.13094972733149177,0.05296453782814518,0.6810475071344636,0.15426456424054966,0.4222547584187408,0.7354245532651129,2.5667356990308265,0.11422301228010484,0.05506286365166873,0.5042806781937217,0.08903094375795108,0.3323572474377745,0.7402295008500714,2.39553578178667,744602.5,0.0005759218918453355,5957,1,0.0009392148706679603,0.0
ml-1m,rp3beta,none,500,3.0,0.6,200,127.69375205039978,0.11604331218028531,0.05617963896524233,0.5081416820547255,0.08987155233976893,0.31332357247437775,0.7458740286696401,2.3472866305268862,0.13216075797170493,0.05380028291999185,0.6778579822058083,0.1548411354970218,0.39970717423133234,0.7396649738264645,2.5189649173154183,0.11604331218028531,0.05617963896524233,0.5081416820547255,0.08987155233976893,0.31332357247437775,0.7458740286696401,2.3472866305268862,1314993.5,9.396328764835641e-07,5957,1,0.002759514770848425,0.0
ml-1m,rp3beta,none,500,10.0,0.6,200,128.13657593727112,0.11807601673510405,0.05779050123770621,0.5084774215208998,0.08897883568777827,0.2746705710102489,0.7560862442386498,2.2478216566824263,0.1335632821667772,0.0549884797511441,0.6731576296793688,0.15326589831537338,0.3531478770131772,0.7494500943884461,2.414700002937827,0.11807601673510405,0.05779050123770621,0.5084774215208998,0.08897883568777827,0.2746705710102489,0.7560862442386498,2.2478216566824263,1843114.5,2.2342658558412612e-08,5957,1,0.0047922193256671785,0.0
ml-1m,rp3beta,none,500,30.0,0.6,200,129.34116864204407,0.1197324498519474,0.05867291576974363,0.5064629847238543,0.087591719136477,0.22284040995607612,0.7725866740549938,2.103066014393544,0.1333084803849124,0.05480032148668058,0.669464495551452,0.14789885196966793,0.289311859443631,0.7616608127477693,2.268370911581186,0.1197324498519474,0.05867291576974363,0.5064629847238543,0.087591719136477,0.22284040995607612,0.7725866740549938,2.103066014393544,2288102.5,1.4628187599720691e-08,5957,1,0.006448652442510517,0.0
ml-1m,rp3beta,none,500,100.0,0.6,200,127.83060050010681,0.12030558308609482,0.0587859025100226,0.5057915057915058,0.08296421124639361,0.1513909224011713,0.7900525006907986,1.8890775779865918,0.131778917744384,0.053912067326208735,0.6590565721000503,0.13934820429105108,0.20673499267935577,0.7839541501630427,2.046317806211232,0.12030558308609482,0.0587859025100226,0.5057915057915058,0.08296421124639361,0.1513909224011713,0.7900525006907986,1.8890775779865918,2653708.5,1.0003901240394086e-07,5957,1,0.007021785676657937,0.0
ml-1m,p3alpha,none,500,0.3,0.6,200,196.23416566848755,0.1142227748519948,0.0550979557059489,0.5044485479268088,0.08930705349383615,0.34553440702781846,0.7383340778403416,2.424385124483551,0.13077745551457237,0.05302376291672493,0.6755078059425885,0.15392643655664145,0.43894582723279646,0.7354861385403486,2.591759627284572,0.1142227748519948,0.0550979557059489,0.5044485479268088,0.08930705349383615,0.34553440702781846,0.7383340778403416,2.424385124483551,768564.5,0.0013326194853003777,5957,1,0.0009389774425579257,0.0
ml-1m,p3alpha,none,500,1.0,0.6,200,213.89261841773987,0.11557306579234788,0.055908155853068596,0.5057915057915058,0.09021779541791922,0.3390922401171303,0.7399284103722041,2.4078547424028103,0.1322598580223557,0.05402486942335707,0.6738291086117173,0.15468384264107693,0.4307467057101025,0.7380837881089115,2.5695056171084736,0.11557306579234788,0.055908155853068596,0.5057915057915058,0.09021779541791922,0.3390922401171303,0.7399284103722041,2.4078547424028103,1342534.0,3.418394816052193e-05,5957,1,0.002289268382911025,0.0
ml-1m,p3alpha,none,500,3.0,0.6,200,189.29328894615173,0.1170449810356899,0.05734971286620207,0.5012590229981534,0.08922694062943198,0.3209370424597365,0.7469224392820075,2.3556805086663366,0.1330014137246003,0.054845853192272434,0.6719825415477589,0.1531032847035503,0.4058565153733529,0.7428146303922702,2.5144214452742393,0.1170449810356899,0.05734971286620207,0.5012590229981534,0.08922694062943198,0.3209370424597365,0.7469224392820075,2.3556805086663366,1801940.0,4.359378438860838e-06,5957,1,0.003761183626253021,0.0
ml-1m,p3alpha,none,500,10.0,0.6,200,128.50607132911682,0.1192691321312777,0.05887592215213481,0.5047842873929831,0.0875971473152581,0.27701317715959006,0.7620321607177019,2.2339826491651675,0.13358971220123714,0.05558032220902971,0.6652677522242739,0.14936605501356556,0.35168374816983894,0.7550585887732468,2.389552678710128,0.1192691321312777,0.05887592215213481,0.5047842873929831,0.0875971473152581,0.27701317715959006,0.7620321607177019,2.2339826491651675,2095254.0,5.2247675379913307e-08,5957,1,0.005985334721840838,0.0
ml-1m,p3alpha,none,500,30.0,0.6,200,135.16377639770508,0.12094040233437721,0.059589317842793144,0.5057915057915058,0.08543909588095942,0.21200585651537335,0.7844336993388157,2.0427224317982153,0.133489260362551,0.05526491006714524,0.6617424878294443,0.14434873713847465,0.2752562225475842,0.7767056100636118,2.1936422811525853,0.12094040233437721,0.059589317842793144,0.5057915057915058,0.08543909588095942,0.21200585651537335,0.7844336993388157,2.0427224317982153,2472674.0,2.0650254412182916e-08,5957,1,0.0076566049249403335,0.0
ml-1m,p3alpha,none,500,100.0,0.6,200,130.39681363105774,0.11928285035937371,0.05861356626940035,0.5032734597951989,0.07809967819387716,0.12269399707174232,0.8126584195485307,1.746395832627607,0.1294674060682498,0.05316620854806679,0.6468020815846903,0.13133071121591258,0.16954612005856515,0.8075185345291225,1.8937580839071382,0.11928285035937371,0.05861356626940035,0.5032734597951989,0.07809967819387716,0.12269399707174232,0.8126584195485307,1.746395832627607,2979452.5,0.00013840945306700612,5957,1,0.00599905294993683,0.0
ml-1m,itemknn,none,500,0.3,0.6,200,126.35440301895142,0.11452543397569634,0.05510067407268679,0.5079738123216384,0.08933114523447257,0.34348462664714496,0.7415114944971499,2.4121247975109115,0.13116098237138768,0.05303739369042637,0.6822225952660735,0.15443643979499694,0.43455344070278185,0.736283391258195,2.583214124444767,0.11452543397569634,0.05510067407268679,0.5079738123216384,0.08933114523447257,0.34348462664714496,0.7415114944971499,2.4121247975109115,436428.5,2.803367510835229e-07,5957,1,0.0012416365662594627,0.0
ml-1m,itemknn,none,500,1.0,0.6,200,134.44994163513184,0.11632485696441174,0.056176591303772616,0.5091489004532482,0.09036496475281122,0.3300146412884334,0.7440356569016728,2.380537800392676,0.13283248647885604,0.05392540577753833,0.6828940741984221,0.15577403995980998,0.42342606149341144,0.7419427868372483,2.550113501338083,0.11632485696441174,0.056176591303772616,0.5091489004532482,0.09036496475281122,0.3300146412884334,0.7440356569016728,2.380537800392676,1040198.0,6.421731622245372e-11,5957,1,0.0030410595549748556,0.0
ml-1m,itemknn,none,500,3.0,0.6,200,126.12728595733643,0.11878606547757765,0.05785689714834199,0.5143528621789492,0.09088070772537322,0.3136163982430454,0.7572829366764333,2.3171765198465555,0.13470277878118025,0.05525106182563557,0.6812153768675507,0.15575186554845574,0.40292825768667645,0.7531827662199249,2.4853510564399652,0.11878606547757765,0.05785689714834199,0.5143528621789492,0.09088070772537322,0.3136163982430454,0.7572829366764333,2.3171765198465555,1564650.0,8.065054831687115e-14,5957,1,0.005502268068140776,0.0
ml-1m,itemknn,none,500,10.0,0.6,200,126.7988350391388,0.12143610654422259,0.059821112837602046,0.511499076716468,0.08932176383713028,0.2755490483162518,0.7773908191133161,2.1941233981181134,0.1360987105333948,0.05625345607817107,0.6805438979352023,0.153171899932739,0.34758418740849195,0.766523027498816,2.3563518274064053,0.12143610654422259,0.059821112837602046,0.511499076716468,0.08932176383713028,0.2755490483162518,0.7773908191133161,2.1941233981181134,2013009.0,4.847713135307169e-15,5957,1,0.00815230913478571,0.0
ml-1m,itemknn,none,500,30.0,0.6,200,126.90890407562256,0.12346454315989513,0.06114618043170986,0.511499076716468,0.08706824661580796,0.21551976573938506,0.796681105896607,2.02552148307866,0.13648197353691077,0.056710622875678456,0.6711431928823233,0.14726026167196113,0.28257686676427524,0.7878580952786856,2.1849350535941694,0.12346454315989513,0.06114618043170986,0.511499076716468,0.08706824661580796,0.21551976573938506,0.796681105896607,2.02552148307866,2411624.5,2.489790623036213e-13,5957,1,0.010180745750458272,0.0
ml-1m,itemknn,none,500,100.0,0.6,200,202.77063846588135,0.1216899937832475,0.05983354485702164,0.5083095517878127,0.08090957752560984,0.1349926793557833,0.812788687692017,1.790722479589483,0.13248496290927894,0.054441001871422104,0.6548598287728723,0.1362897729133615,0.1868228404099561,0.8067832791221097,1.946162652356494,0.1216899937832475,0.05983354485702164,0.5083095517878127,0.08090957752560984,0.1349926793557833,0.812788687692017,1.790722479589483,2870496.5,1.1478893384437956e-07,5957,1,0.008406196373810628,0.0
ml-1m,binary,none,500,0.3,0.6,200,220.59147381782532,0.11445767958652993,0.055171594990435564,0.5052878965922444,0.08922690756549419,0.34524158125915083,0.7399759628767262,2.4170989231336586,0.13111506742411858,0.05303988894144651,0.6798724190028538,0.15421987673409954,0.43689604685212297,0.7361593430307731,2.5850680085308446,0.11445767958652993,0.055171594990435564,0.5052878965922444,0.08922690756549419,0.34524158125915083,0.7399759628767262,2.4170989231336586,724927.0,3.187856728022316e-06,5957,1,0.001173882177093063,0.0
ml-1m,binary,none,500,1.0,0.6,200,254.04399180412292,0.11592265655094534,0.055969761116167506,0.5054557663253315,0.0906622947612492,0.33850658857979504,0.7437484788620641,2.3931547999868688,0.13245046660813967,0.053831915581123095,0.6781937216719826,0.15498334014139462,0.4295754026354319,0.7407660032093215,2.557579057321439,0.11592265655094534,0.055969761116167506,0.5054557663253315,0.0906622947612492,0.33850658857979504,0.7437484788620641,2.3931547999868688,1376147.5,1.8590119455047763e-06,5957,1,0.0026388591415084798,0.0
ml-1m,binary,none,500,3.0,0.6,200,211.91827249526978,0.1181672283114881,0.0579543705037272,0.5049521571260702,0.08981415270135583,0.31976573938506586,0.7506995187119412,2.338580803033821,0.13424257070883902,0.05534080900418243,0.6763471546080242,0.15457154276364968,0.40468521229868226,0.746195381906072,2.4987784185271553,0.1181672283114881,0.0579543705037272,0.5049521571260702,0.08981415270135583,0.31976573938506586,0.7506995187119412,2.338580803033821,1742016.5,2.3341128372042132e-09,5957,1,0.004883430902051238,0.0
ml-1m,binary,none,500,10.0,0.6,200,263.20623207092285,0.12076460323038349,0.059584264039676635,0.5096525096525096,0.08846597197314418,0.27701317715959006,0.7663075863278088,2.2169962162936505,0.13514111144146204,0.05612408487765297,0.670639583683062,0.15132619003996003,0.3505124450951684,0.7595408138722948,2.370063138693709,0.12076460323038349,0.059584264039676635,0.5096525096525096,0.08846597197314418,0.27701317715959006,0.7663075863278088,2.2169962162936505,2104925.0,1.2924866811577033e-11,5957,1,0.007480805820946621,0.0
