dataset,model,source,normalise,ease_lambda,rp3_beta,topK,gamma,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,0.3,overall,5957,0.11387418289146055,0.0890270744537893,0.5054557663253315,0.13077821517515217,0.154654245080982,0.6823904649991607
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,0.3,q1,5787,0.12583602016314904,0.12359680396100213,0.5106272680145153,0.15034435916867547,0.2090171546460245,0.6870571971660618
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,0.3,q2,4520,0.00669098258135975,0.012793683040244253,0.028097345132743364,0.012051353560988428,0.030144550134617785,0.06792035398230088
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,0.3,q3,3059,0.0014107570811881414,0.003214558134466601,0.005557371690094802,0.0025828931310620837,0.0072300316007409835,0.010787839163125205
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,0.3,q4,1767,0.0,0.0,0.0,0.0002160053018868849,0.0008488964346349745,0.0011318619128466328
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,0.3,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,1.0,overall,5957,0.11422301228010484,0.08903094375795108,0.5042806781937217,0.13094972733149177,0.15426456424054966,0.6810475071344636
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,1.0,q1,5787,0.12644995532709646,0.12369060404317624,0.5106272680145153,0.15086133081899536,0.20915728427523086,0.6868843960601347
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,1.0,q2,4520,0.006131133277411942,0.011552747073081451,0.025,0.011457038080895697,0.028574303519239348,0.06393805309734513
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,1.0,q3,3059,0.0011266502944557466,0.002805927863136101,0.004249754821837201,0.0022466139200732946,0.006532635937670263,0.009807126511932003
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,1.0,q4,1767,0.0,0.0,0.0,0.0001288456415942009,0.0005659309564233164,0.0005659309564233164
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,1.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,3.0,overall,5957,0.11604331218028531,0.08987155233976893,0.5081416820547255,0.13216075797170493,0.1548411354970218,0.6778579822058083
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,3.0,q1,5787,0.12896313287124017,0.12608049555369868,0.516502505616036,0.15283234532477563,0.21084466097011767,0.684983583894937
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,3.0,q2,4520,0.005107748618163888,0.009149131708552815,0.021238938053097345,0.01031489711611305,0.026162754599006847,0.05707964601769912
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,3.0,q3,3059,0.0008103437470590809,0.001988667320475101,0.0032690421706440013,0.0015740000818520808,0.004576659038901602,0.006864988558352402
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,3.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,3.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,10.0,overall,5957,0.11807601673510405,0.08897883568777827,0.5084774215208998,0.1335632821667772,0.15326589831537338,0.6731576296793688
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,10.0,q1,5787,0.13189718932407618,0.12604032281897454,0.5192673233108692,0.1559577799494954,0.21189210380515675,0.6837739761534474
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,10.0,q2,4520,0.0034724807575075537,0.006146898552084311,0.013716814159292035,0.006998706421201432,0.017557352876760326,0.03849557522123894
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,10.0,q3,3059,0.00024185818121987793,0.0005175983436853001,0.0013076168682576005,0.0007904330082444256,0.0024245396098943007,0.003922850604772802
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,10.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,10.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,30.0,overall,5957,0.1197324498519474,0.087591719136477,0.5064629847238543,0.1333084803849124,0.14789885196966793,0.669464495551452
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,30.0,q1,5787,0.13364272717141654,0.12319876861762459,0.5192673233108692,0.15681857789751688,0.20763998627911645,0.685156385000864
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,30.0,q2,4520,0.0018115677709308808,0.0034715518011978193,0.007079646017699115,0.003416304579781858,0.008446669845903386,0.01836283185840708
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,30.0,q3,3059,0.00012188613475048839,0.0002724201808870001,0.0006538084341288003,0.00025189229319297964,0.0006810504522175002,0.0016345210853220007
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,30.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,30.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,100.0,overall,5957,0.12030558308609482,0.08296421124639361,0.5057915057915058,0.131778917744384,0.13934820429105108,0.6590565721000503
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,100.0,q1,5787,0.13355507476778072,0.11578607900347018,0.5199585277345775,0.1541913980267557,0.19427357511990984,0.6770347330222913
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,100.0,q2,4520,0.0002974704419374767,0.0005498569768481274,0.0022123893805309734,0.0008524190025734372,0.0022281123497937655,0.005309734513274336
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,100.0,q3,3059,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,100.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,rp3beta,none,500,0.6,200,100.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,0.3,overall,5957,0.1142227748519948,0.08930705349383615,0.5044485479268088,0.13077745551457237,0.15392643655664145,0.6755078059425885
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,0.3,q1,5787,0.12601329313608509,0.12371715565423094,0.5088992569552445,0.15007676135100226,0.20798441780165258,0.6799723518230517
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,0.3,q2,4520,0.006972629565414649,0.012912130010591275,0.028982300884955754,0.012572505124468804,0.03090925593111719,0.06946902654867257
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,0.3,q3,3059,0.0015411267089056307,0.003541462351531001,0.005884275907159202,0.002661826444330245,0.007338999673095783,0.010787839163125205
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,0.3,q4,1767,0.0,0.0,0.0,0.0002187433186101982,0.0008488964346349745,0.0011318619128466328
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,0.3,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,1.0,overall,5957,0.11557306579234788,0.09021779541791922,0.5057915057915058,0.1322598580223557,0.15468384264107693,0.6738291086117173
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,1.0,q1,5787,0.12778091999772623,0.12494350172564594,0.5106272680145153,0.15187322960872487,0.20893420068238353,0.6778987385519267
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,1.0,q2,4520,0.0066483567317256196,0.012446246334390447,0.026991150442477876,0.012498807171187776,0.031120946456898054,0.06792035398230088
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,1.0,q3,3059,0.0012961103055968415,0.003132832080200501,0.0049035632559660015,0.0024787369333895575,0.007066579492208783,0.010460934946060804
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,1.0,q4,1767,0.0,0.0,0.0,0.00021222653493570387,0.0008488964346349745,0.0011318619128466328
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,1.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,3.0,overall,5957,0.1170449810356899,0.08922694062943198,0.5012590229981534,0.1330014137246003,0.1531032847035503,0.6719825415477589
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,3.0,q1,5787,0.12982408350871844,0.12441865272227684,0.5073440470019008,0.15345934892267565,0.20841723756417996,0.6772075341282184
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,3.0,q2,4520,0.005511387485361532,0.009744339946984155,0.02190265486725664,0.011105548291539558,0.02785507910369372,0.05995575221238938
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,3.0,q3,3059,0.0010261628637372418,0.002479023646071701,0.004249754821837201,0.002016357814437469,0.005895172714394682,0.008826413860738803
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,3.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,3.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,10.0,overall,5957,0.1192691321312777,0.0875971473152581,0.5047842873929831,0.13358971220123714,0.14936605501356556,0.6652677522242739
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,10.0,q1,5787,0.13280094308127002,0.12336461083411428,0.5146016934508381,0.15557671289762734,0.2062210149226388,0.6754795230689477
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,10.0,q2,4520,0.003743582331693813,0.00670906296351514,0.014380530973451327,0.007415373249535277,0.01868098533726054,0.03915929203539823
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,10.0,q3,3059,0.00041697725056629147,0.0010079546692819002,0.001961425302386401,0.001029850446969745,0.003187316116377901,0.004576659038901602
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,10.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,10.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,30.0,overall,5957,0.12094040233437721,0.08543909588095942,0.5057915057915058,0.133489260362551,0.14434873713847465,0.6617424878294443
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,30.0,q1,5787,0.13485644641495123,0.12049901570222524,0.518921721099015,0.15660813602851298,0.2019595063678171,0.6768619319163642
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,30.0,q2,4520,0.0015666676863539703,0.0031641637615088944,0.006194690265486726,0.0029348904506559153,0.007343605047275011,0.015486725663716814
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,30.0,q3,3059,0.0001675597376116293,0.0003541462351531001,0.0009807126511932004,0.00026466569830948736,0.0006810504522175002,0.0016345210853220007
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,30.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,30.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,100.0,overall,5957,0.11928285035937371,0.07809967819387716,0.5032734597951989,0.1294674060682498,0.13133071121591258,0.6468020815846903
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,100.0,q1,5787,0.13177597745040717,0.10874182893570812,0.5177121133575255,0.15061245839896284,0.1826898129820136,0.6654570589251771
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,100.0,q2,4520,0.00011366255912866243,0.0002286135693215339,0.0008849557522123894,0.00031796693111833314,0.0009292035398230086,0.0022123893805309734
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,100.0,q3,3059,0.0,0.0,0.0,3.492670946773136e-05,0.00010896807235480004,0.00032690421706440013
