dataset,source,normalise,ease_lambda,gamma,rp3_beta,topK,NDCG@k,MAP@k,HitRate@k,Recall@k,train_time_s
ml-1m,rp3beta,sym,500,0.3,0.6,200,0.11378174080666079,0.054580692366850314,0.5076380728554641,0.08920095513861671,164.54364466667175
ml-1m,rp3beta,sym,500,1.0,0.6,200,0.11444280684004342,0.055028429684596494,0.5066308544569414,0.08905060548607943,162.95780682563782
ml-1m,rp3beta,sym,500,3.0,0.6,200,0.11642659878031784,0.05606230216145921,0.5125062951149908,0.09020785609133787,162.84384512901306
ml-1m,rp3beta,sym,500,10.0,0.6,200,0.11843408553821233,0.05774312881880909,0.5104918583179453,0.08938239769503824,162.83973717689514
ml-1m,rp3beta,sym,500,30.0,0.6,200,0.120714972044924,0.05899332284813652,0.5128420345811651,0.08817800986064958,167.84032106399536
ml-1m,rp3beta,sym,500,100.0,0.6,200,0.12112825157456958,0.05930337314857427,0.5079738123216384,0.08331419671695979,163.78944301605225
ml-1m,p3alpha,sym,500,0.3,0.6,200,0.11380305321331188,0.054547280886751454,0.5078059425885513,0.08921410878038395,159.64054036140442
ml-1m,p3alpha,sym,500,1.0,0.6,200,0.11440105191266618,0.05498108919859141,0.5064629847238543,0.08883813950698276,155.8220613002777
ml-1m,p3alpha,sym,500,3.0,0.6,200,0.11660173363951443,0.05609137446907337,0.514184992445862,0.09058801319334717,159.5416135787964
ml-1m,p3alpha,sym,500,10.0,0.6,200,0.11858904905994705,0.05765848045831778,0.5123384253819037,0.08950409695718942,161.4103982448578
ml-1m,p3alpha,sym,500,30.0,0.6,200,0.12108955175635282,0.05901464257387061,0.5153600805774718,0.0882734988953076,154.6106858253479
ml-1m,p3alpha,sym,500,100.0,0.6,200,0.12106645932470413,0.0593909146079362,0.5088131609870741,0.08208860549203324,162.27312445640564
ml-1m,itemknn,sym,500,0.3,0.6,200,0.11371884562356137,0.05450813792835383,0.5076380728554641,0.0891405530702999,156.88360977172852
ml-1m,itemknn,sym,500,1.0,0.6,200,0.11459827151201445,0.05507058530516827,0.5076380728554641,0.08937672050136396,183.14727401733398
ml-1m,itemknn,sym,500,3.0,0.6,200,0.11665863250156662,0.05624904928273015,0.5126741648480779,0.0903081941282016,161.71474599838257
ml-1m,itemknn,sym,500,10.0,0.6,200,0.11841247158375232,0.05768847189395844,0.5118348161826423,0.08930008968116401,159.6198525428772
ml-1m,itemknn,sym,500,30.0,0.6,200,0.12110785532982211,0.05923919382474543,0.5131777740473392,0.08856649627363106,158.1208939552307
ml-1m,itemknn,sym,500,100.0,0.6,200,0.12152140357201262,0.05978251300271414,0.5062951149907672,0.08297111519721569,158.13378834724426
ml-1m,binary,sym,500,0.3,0.6,200,0.11384712949006535,0.054569633171008505,0.5081416820547255,0.08923301268092831,157.06603527069092
ml-1m,binary,sym,500,1.0,0.6,200,0.11456439225517144,0.0550365595662845,0.5071344636562027,0.0892100420892614,157.31857204437256
ml-1m,binary,sym,500,3.0,0.6,200,0.11658974874713089,0.05607318435180015,0.5133456437804264,0.09042527107295424,156.0599594116211
ml-1m,binary,sym,500,10.0,0.6,200,0.11890063439541038,0.05772268330886343,0.5146886016451234,0.08984674877103765,158.17312598228455
ml-1m,binary,sym,500,30.0,0.6,200,0.12139267252984544,0.0592008423156752,0.5165351687090818,0.08819885885503198,161.8458173274994
ml-1m,binary,sym,500,100.0,0.6,200,0.12153015524772234,0.0597782365064604,0.5096525096525096,0.08224166213178569,157.1909990310669
