dataset,source,ease_lambda,gamma,rp3_beta,topK,NDCG@k,MAP@k,HitRate@k,Recall@k,train_time_s
ml-small,rp3beta,200,0.3,0.6,100,0.12264700521395547,0.060401572611431684,0.5025295109612141,0.08779730831497179,16.802796125411987
ml-small,rp3beta,200,1.0,0.6,100,0.12243623031123117,0.06023503160242299,0.5025295109612141,0.08762058322256373,16.864017724990845
ml-small,rp3beta,200,3.0,0.6,100,0.12092102595165312,0.059333009841873174,0.4957841483979764,0.08560664355204106,17.009814500808716
ml-small,rp3beta,200,10.0,0.6,100,0.12226638666704513,0.06077316928582687,0.4924114671163575,0.08619857017850407,16.856005430221558
ml-small,rp3beta,200,30.0,0.6,100,0.12059665990080093,0.05958747536238904,0.4856661045531197,0.08602703830252939,16.818450927734375
ml-small,rp3beta,200,100.0,0.6,100,0.11298760508215637,0.05597096192796023,0.47217537942664417,0.0767691823731833,16.787774324417114
ml-small,p3alpha,200,0.3,0.6,100,0.12084228423558138,0.0594003129013769,0.4957841483979764,0.08590074969482238,16.834628105163574
ml-small,p3alpha,200,1.0,0.6,100,0.12053028327538079,0.059710984200063134,0.4839797639123103,0.0839024878976381,17.29310178756714
ml-small,p3alpha,200,3.0,0.6,100,0.11891291208262983,0.0591536882381458,0.4772344013490725,0.08005434483006735,16.81779646873474
ml-small,p3alpha,200,10.0,0.6,100,0.11574038083470747,0.057651750210420814,0.45868465430016864,0.07435798713278374,16.771228551864624
ml-small,p3alpha,200,30.0,0.6,100,0.11346784659766879,0.056361093638004824,0.45868465430016864,0.0739459397130802,16.74382472038269
ml-small,p3alpha,200,100.0,0.6,100,0.10730365502351698,0.05269373957190146,0.44350758853288363,0.07194452501469674,16.729964017868042
ml-small,itemknn,200,0.3,0.6,100,0.12260913849152208,0.06036978642871801,0.5025295109612141,0.08773275939092165,16.179448127746582
ml-small,itemknn,200,1.0,0.6,100,0.12190305655625558,0.05994932214969554,0.5008431703204047,0.08724728015324425,16.12879180908203
ml-small,itemknn,200,3.0,0.6,100,0.1210319770318079,0.059326167978902264,0.4957841483979764,0.08656497891602977,16.002721548080444
ml-small,itemknn,200,10.0,0.6,100,0.1191407167193724,0.05872984007168541,0.48903878583473864,0.08331925280920277,16.11755895614624
ml-small,itemknn,200,30.0,0.6,100,0.11585358627643841,0.057211271789335306,0.47386172006745364,0.07974065535021788,16.039218425750732
ml-small,itemknn,200,100.0,0.6,100,0.10940305176757555,0.054594190824165535,0.4418212478920742,0.07197791013932497,16.064945936203003
ml-small,binary,200,0.3,0.6,100,0.12030436297908098,0.0591667904123738,0.4924114671163575,0.08554533513470783,16.82827401161194
ml-small,binary,200,1.0,0.6,100,0.11939790366936695,0.05925089314659097,0.4772344013490725,0.08215181278989458,16.754539489746094
ml-small,binary,200,3.0,0.6,100,0.11880930611783555,0.05950750005204756,0.47048903878583476,0.07925812487356183,16.91474223136902
ml-small,binary,200,10.0,0.6,100,0.11490485446086604,0.05696521699367399,0.45531197301854975,0.07591631345098844,16.648611545562744
ml-small,binary,200,30.0,0.6,100,0.11328709977725301,0.05679510515092303,0.4468802698145025,0.0715500480394248,16.761223793029785
ml-small,binary,200,100.0,0.6,100,0.10893461653808005,0.0540710311512026,0.4418212478920742,0.07256095509625822,16.765225887298584
