dataset,seed,model,w_source,gamma,normalise,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k
ml-1m,0,EASE,,0.0,,132.44756388664246,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,0.365349054583525,0.20414787720272656,0.9375832223701731,0.3316665455941842,0.39637002341920374,0.7487248661066388,2.5533754562781135,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389
ml-1m,0,Lap-EASE,rp3beta,1.0,sym,0.44528746604919434,0.3680365762494111,0.2338993872734649,0.8859853528628495,0.2271523194487268,0.29361826697892274,0.7624052609149912,2.352023164884505,0.3691230156677118,0.20771914879933534,0.9374167776298269,0.33374923721535316,0.38085480093676816,0.7529868834891933,2.5209230465853265,0.3680365762494111,0.2338993872734649,0.8859853528628495,0.2271523194487268,0.29361826697892274,0.7624052609149912,2.352023164884505
ml-1m,0,GS-EASE,rp3beta,1.0,sym,0.3493225574493408,0.3680161758303617,0.23387758323264454,0.8859853528628495,0.22716341576474985,0.29361826697892274,0.7623571031247136,2.3521136496375563,0.3691379937364299,0.20770680800771368,0.9375832223701731,0.33391816620555526,0.38085480093676816,0.7529328561149826,2.521015024051328,0.3680161758303617,0.23387758323264454,0.8859853528628495,0.22716341576474985,0.29361826697892274,0.7623571031247136,2.3521136496375563
ml-1m,0,Lap-EASE,rp3beta,3.0,sym,0.4719533920288086,0.36942735862780124,0.2356839493099232,0.8831557922769641,0.22664020263107287,0.272248243559719,0.7682282046876567,2.303980844096284,0.3700783452858833,0.2088773041546951,0.9357523302263648,0.3335787262332323,0.3556791569086651,0.7580716246650556,2.4716837421691307,0.36942735862780124,0.2356839493099232,0.8831557922769641,0.22664020263107287,0.272248243559719,0.7682282046876567,2.303980844096284
ml-1m,0,GS-EASE,rp3beta,3.0,sym,0.3457973003387451,0.369414156496571,0.2356814086058179,0.8829893475366178,0.22659780213798425,0.272248243559719,0.7681327047807225,2.3041897213352875,0.3701052084937828,0.2088839231925114,0.935918774966711,0.333641809856777,0.3556791569086651,0.7580187048270344,2.471808121811884,0.369414156496571,0.2356814086058179,0.8829893475366178,0.22659780213798425,0.272248243559719,0.7681327047807225,2.3041897213352875
ml-1m,0,Lap-EASE,rp3beta,10.0,sym,0.46621084213256836,0.36585268365298707,0.2336679555649996,0.878994673768309,0.2215880039791899,0.23477751756440282,0.7820284923510132,2.2077527199909914,0.3650218603274392,0.20560033073592165,0.9320905459387483,0.3258685639182625,0.3044496487119438,0.7642692755812763,2.3768459078857913,0.36585268365298707,0.2336679555649996,0.878994673768309,0.2215880039791899,0.23477751756440282,0.7820284923510132,2.2077527199909914
ml-1m,0,GS-EASE,rp3beta,10.0,sym,0.3370373249053955,0.365901251031651,0.23368322314284742,0.878994673768309,0.2216018966261894,0.23507025761124123,0.7821205184287285,2.208102057466179,0.3650856659320112,0.20561548927314957,0.9322569906790945,0.32598919401264276,0.3059133489461358,0.7651784861014661,2.3773253485317936,0.365901251031651,0.23368322314284742,0.878994673768309,0.2216018966261894,0.23507025761124123,0.7821205184287285,2.208102057466179
ml-1m,0,Lap-EASE,p3alpha,1.0,sym,0.41678357124328613,0.36774195345351063,0.23354818166355165,0.8859853528628495,0.22712881502632923,0.2898126463700234,0.7608376709841425,2.3490616282853924,0.3688110909052528,0.2073999817752198,0.9374167776298269,0.3336405635206507,0.37763466042154564,0.752325129801092,2.5181587080320442,0.36774195345351063,0.23354818166355165,0.8859853528628495,0.22712881502632923,0.2898126463700234,0.7608376709841425,2.3490616282853924
ml-1m,0,GS-EASE,p3alpha,1.0,sym,0.32686352729797363,0.3676284276751593,0.23356217149809327,0.8859853528628495,0.22687940577481389,0.29098360655737704,0.7599072464078747,2.3530277357571037,0.36889564250821755,0.2075293816831139,0.9375832223701731,0.33369072531774374,0.37763466042154564,0.7511711258373848,2.5210123013629535,0.3676284276751593,0.23356217149809327,0.8859853528628495,0.22687940577481389,0.29098360655737704,0.7599072464078747,2.3530277357571037
ml-1m,0,Lap-EASE,p3alpha,3.0,sym,0.45630335807800293,0.36950077117223756,0.2357881449911917,0.8834886817576565,0.22652096586129764,0.2652224824355972,0.7658980079540745,2.29647761947473,0.369944517911907,0.2088471493578734,0.9364181091877497,0.33333289895223206,0.35040983606557374,0.7574269395192375,2.465477393000469,0.36950077117223756,0.2357881449911917,0.8834886817576565,0.22652096586129764,0.2652224824355972,0.7658980079540745,2.29647761947473
