dataset,seed,model,w_source,gamma,normalise,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k
ml-1m,0,EASE,,0.0,,131.0963146686554,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,0.365349054583525,0.20414787720272656,0.9375832223701731,0.3316665455941842,0.39637002341920374,0.7487248661066388,2.5533754562781135,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389
ml-1m,0,Lap-EASE,rp3beta,0.3,sym,0.7544834613800049,0.36525714390969966,0.2311597027847979,0.8854860186418109,0.22601892724741093,0.30269320843091335,0.757768075834413,2.3765655553987206,0.3668309967142889,0.20566309004446837,0.9370838881491345,0.332363489339444,0.39139344262295084,0.7493121487480665,2.5446710536016495,0.36525714390969966,0.2311597027847979,0.8854860186418109,0.22601892724741093,0.30269320843091335,0.757768075834413,2.3765655553987206
ml-1m,0,GS-EASE,rp3beta,0.3,sym,0.5448660850524902,0.36526975952635704,0.23117717948253425,0.8854860186418109,0.22601985710629552,0.3024004683840749,0.7575659043830556,2.3765399657630364,0.3668329789026427,0.2056665068290794,0.9370838881491345,0.332363489339444,0.39139344262295084,0.7493163814490178,2.5446616412940237,0.36526975952635704,0.23117717948253425,0.8854860186418109,0.22601985710629552,0.3024004683840749,0.7575659043830556,2.3765399657630364
ml-1m,0,Lap-EASE,rp3beta,1.0,sym,0.7443675994873047,0.3679742078901693,0.2338709688207778,0.8861517976031957,0.2269853263953697,0.2962529274004684,0.7621739525165392,2.357157517571115,0.36936258447020165,0.20790006808878256,0.9374167776298269,0.3341154217554873,0.382903981264637,0.7522796439609574,2.525840993034283,0.3679742078901693,0.2338709688207778,0.8861517976031957,0.2269853263953697,0.2962529274004684,0.7621739525165392,2.357157517571115
ml-1m,0,GS-EASE,rp3beta,1.0,sym,0.5315680503845215,0.367967261513362,0.23386413647177073,0.8861517976031957,0.22698986579737915,0.2962529274004684,0.7621479660847459,2.3572237762140573,0.3693515420494236,0.2078966693357455,0.9374167776298269,0.3341030870113367,0.382903981264637,0.7522591437716073,2.5258803172817434,0.367967261513362,0.23386413647177073,0.8861517976031957,0.22698986579737915,0.2962529274004684,0.7621479660847459,2.3572237762140573
ml-1m,0,Lap-EASE,rp3beta,3.0,sym,0.8024566173553467,0.3697149996144647,0.23590100256641097,0.883988015978695,0.22668764728695948,0.2766393442622951,0.7666468694298256,2.3155596012830673,0.3705949366568134,0.20913604339571842,0.9377496671105193,0.3343230022631427,0.3635831381733021,0.7580045044610406,2.484526264166896,0.3697149996144647,0.23590100256641097,0.883988015978695,0.22668764728695948,0.2766393442622951,0.7666468694298256,2.3155596012830673
ml-1m,0,GS-EASE,rp3beta,3.0,sym,0.5734436511993408,0.36972675955700113,0.2358956360445248,0.883988015978695,0.2267055621800021,0.2772248243559719,0.7670575803891186,2.3157268081351905,0.37057271570926,0.2091309050321439,0.9377496671105193,0.33426336169276283,0.3632903981264637,0.7577793401438426,2.4846020796081536,0.36972675955700113,0.2358956360445248,0.883988015978695,0.2267055621800021,0.2772248243559719,0.7670575803891186,2.3157268081351905
ml-1m,0,Lap-EASE,rp3beta,10.0,sym,0.7554411888122559,0.3663895622750137,0.23400431007585754,0.8784953395472703,0.2222249651233249,0.24180327868852458,0.7760628685562108,2.2364278584245354,0.36584555596868557,0.2060769158380862,0.9330892143808256,0.32740504049739466,0.3185011709601874,0.7620181975503251,2.4071589115131014,0.3663895622750137,0.23400431007585754,0.8784953395472703,0.2222249651233249,0.24180327868852458,0.7760628685562108,2.2364278584245354
ml-1m,0,GS-EASE,rp3beta,10.0,sym,0.5495579242706299,0.366421114367407,0.23402231737124496,0.8784953395472703,0.2222621248793092,0.242096018735363,0.7761915591786526,2.2367420345637052,0.3658735074194551,0.2060984487948245,0.9330892143808256,0.32740387535093607,0.3185011709601874,0.761871349842367,2.407487143207461,0.366421114367407,0.23402231737124496,0.8784953395472703,0.2222621248793092,0.242096018735363,0.7761915591786526,2.2367420345637052
ml-1m,0,Lap-EASE,binary,0.3,sym,2.8638575077056885,0.36530166285379284,0.23121899709851884,0.8849866844207723,0.22604798153144526,0.30064402810304447,0.7573300513304559,2.374080453623244,0.36682269887159213,0.20564266881946786,0.9372503328894807,0.33224111386309896,0.3896370023419204,0.749112840780287,2.5424662810356398,0.36530166285379284,0.23121899709851884,0.8849866844207723,0.22604798153144526,0.30064402810304447,0.7573300513304559,2.374080453623244
