dataset,seed,model,w_source,gamma,normalise,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,0,EASE,,0.0,,overall,6008,0.36335613906888853,0.22513923250602305,0.8856524633821571,0.365349054583525,0.3316665455941842,0.9375832223701731
ml-1m,0,EASE,,0.0,,q1,5945,0.38252110455244315,0.2876387189881096,0.888309503784693,0.39968237328814027,0.41903344037096796,0.9384356602186712
ml-1m,0,EASE,,0.0,,q2,4408,0.012626192907159342,0.022839371364254565,0.05603448275862069,0.02414023651256659,0.05792954937917536,0.1338475499092559
ml-1m,0,EASE,,0.0,,q3,2895,0.0013700256733331871,0.0024179620034542313,0.0037996545768566492,0.003034474686236767,0.008136235286494355,0.014162348877374784
ml-1m,0,EASE,,0.0,,q4,1659,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777
ml-1m,0,EASE,,0.0,,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,Lap-EASE,rp3beta,0.3,sym,overall,6008,0.36525714390969966,0.22601892724741093,0.8854860186418109,0.3668309967142889,0.332363489339444,0.9370838881491345
ml-1m,0,Lap-EASE,rp3beta,0.3,sym,q1,5945,0.3846805064148242,0.28887443049282735,0.888309503784693,0.4017002029298114,0.42077118204009145,0.9386038687973086
ml-1m,0,Lap-EASE,rp3beta,0.3,sym,q2,4408,0.012353339301196692,0.022828928590653896,0.05535390199637023,0.02327055548276175,0.05579848026829019,0.13021778584392016
ml-1m,0,Lap-EASE,rp3beta,0.3,sym,q3,2895,0.001319608393038238,0.0023028209556706964,0.0034542314335060447,0.0027225639694371004,0.006927254284767238,0.012780656303972366
ml-1m,0,Lap-EASE,rp3beta,0.3,sym,q4,1659,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777
ml-1m,0,Lap-EASE,rp3beta,0.3,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,GS-EASE,rp3beta,0.3,sym,overall,6008,0.36526975952635704,0.22601985710629552,0.8854860186418109,0.3668329789026427,0.332363489339444,0.9370838881491345
ml-1m,0,GS-EASE,rp3beta,0.3,sym,q1,5945,0.3846934441711029,0.28887694106862793,0.888309503784693,0.40170299498077255,0.42077118204009145,0.9386038687973086
ml-1m,0,GS-EASE,rp3beta,0.3,sym,q2,4408,0.012353339301196692,0.022828928590653896,0.05535390199637023,0.02326970698146339,0.05579848026829019,0.13021778584392016
ml-1m,0,GS-EASE,rp3beta,0.3,sym,q3,2895,0.001319608393038238,0.0023028209556706964,0.0034542314335060447,0.0027225639694371004,0.006927254284767238,0.012780656303972366
ml-1m,0,GS-EASE,rp3beta,0.3,sym,q4,1659,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777
ml-1m,0,GS-EASE,rp3beta,0.3,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,Lap-EASE,rp3beta,1.0,sym,overall,6008,0.3679742078901693,0.2269853263953697,0.8861517976031957,0.36936258447020165,0.3341154217554873,0.9374167776298269
ml-1m,0,Lap-EASE,rp3beta,1.0,sym,q1,5945,0.3878201704341459,0.2907152336990377,0.8889823380992431,0.40490795151621173,0.4237706831827181,0.9396131202691337
ml-1m,0,Lap-EASE,rp3beta,1.0,sym,q2,4408,0.01164872191014551,0.02159216210268333,0.050816696914700546,0.021974548319053634,0.053044532586541425,0.12137023593466424
ml-1m,0,Lap-EASE,rp3beta,1.0,sym,q3,2895,0.0012775446149625867,0.002216465169833045,0.0031088082901554403,0.00266519303974072,0.006840898498929586,0.012435233160621761
ml-1m,0,Lap-EASE,rp3beta,1.0,sym,q4,1659,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777
ml-1m,0,Lap-EASE,rp3beta,1.0,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,GS-EASE,rp3beta,1.0,sym,overall,6008,0.367967261513362,0.22698986579737915,0.8861517976031957,0.3693515420494236,0.3341030870113367,0.9374167776298269
ml-1m,0,GS-EASE,rp3beta,1.0,sym,q1,5945,0.3878129687893965,0.2907193221019907,0.8889823380992431,0.404894284787736,0.42375179999745344,0.9396131202691337
ml-1m,0,GS-EASE,rp3beta,1.0,sym,q2,4408,0.011650258657564546,0.02159216210268333,0.050816696914700546,0.02197666856686629,0.053044532586541425,0.12137023593466424
ml-1m,0,GS-EASE,rp3beta,1.0,sym,q3,2895,0.0012775446149625867,0.002216465169833045,0.0031088082901554403,0.002666473856480895,0.006840898498929586,0.012435233160621761
ml-1m,0,GS-EASE,rp3beta,1.0,sym,q4,1659,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777
ml-1m,0,GS-EASE,rp3beta,1.0,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
