w_source,gamma,vs_EASE_stat,vs_EASE_p,vs_EASE_n_pairs,vs_EASE_sign,vs_EASE_mean_diff,vs_EASE_median_diff,vs_LapEASE_stat,vs_LapEASE_p,vs_LapEASE_n_pairs,vs_LapEASE_sign,vs_LapEASE_mean_diff,vs_LapEASE_median_diff
rp3beta,0.3,17758984.0,1.7466279871585596e-69,30037,1,0.0018457896521762512,0.0,67.0,0.9587469721447145,30037,1,1.658985088914387e-06,0.0
rp3beta,1.0,58440029.0,3.94495128774632e-101,30037,1,0.0042972699348828676,0.0,929.0,0.45775059435234533,30037,-1,-2.5493061350639842e-06,0.0
rp3beta,3.0,101199287.0,1.0079355956209843e-74,30037,1,0.006239251471785954,0.0,4385.0,0.25253928477288357,30037,1,1.6264557174428718e-05,0.0
rp3beta,10.0,141092599.0,9.665785033649651e-07,30037,1,0.0027431587894649165,0.0,18645.0,0.21338618396543085,30037,1,2.2905818567743494e-05,0.0
binary,0.3,23353960.5,0.0,30037,-1,-0.1948378151680015,-0.1706510852652674,22837878.5,0.0,30037,-1,-0.19667496810741142,-0.17319681505689122
binary,1.0,10480751.0,0.0,30037,-1,-0.2631453576341653,-0.24630238874073,9947722.0,0.0,30037,-1,-0.26735259576662546,-0.249689085777264
binary,3.0,10121679.0,0.0,30037,-1,-0.26884881400499755,-0.2529427027676571,9354665.5,0.0,30037,-1,-0.27506531448076826,-0.26025336666140114
binary,10.0,14681152.0,0.0,30037,-1,-0.24720277762366802,-0.23365080824310533,14975051.0,0.0,30037,-1,-0.2499385645541219,-0.23504554941448536
itemknn,0.3,111919479.5,3.381799242214726e-216,30037,-1,-0.015898246289467444,0.0,109416705.5,5.139788496849423e-261,30037,-1,-0.017765363457274676,0.0
itemknn,1.0,71823236.0,0.0,30037,-1,-0.08553018686953201,-0.07018692361697182,69807705.5,0.0,30037,-1,-0.08980779766684026,-0.07414861528507455
itemknn,3.0,42863800.0,0.0,30037,-1,-0.15563750302547538,-0.140080882708253,42862155.5,0.0,30037,-1,-0.16176589274633324,-0.14672784419872015
itemknn,10.0,41233547.0,0.0,30037,-1,-0.1657975928322215,-0.15036887698075307,46096079.5,0.0,30037,-1,-0.16807213576919264,-0.1514166159982
