dataset,seed,model,w_source,gamma,normalise,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,0,EASE,,0.0,,overall,6008,0.36335613906888853,0.22513923250602305,0.8856524633821571,0.365349054583525,0.3316665455941842,0.9375832223701731
ml-1m,0,EASE,,0.0,,q1,5945,0.38252110455244315,0.2876387189881096,0.888309503784693,0.39968237328814027,0.41903344037096796,0.9384356602186712
ml-1m,0,EASE,,0.0,,q2,4408,0.012626192907159342,0.022839371364254565,0.05603448275862069,0.02414023651256659,0.05792954937917536,0.1338475499092559
ml-1m,0,EASE,,0.0,,q3,2895,0.0013700256733331871,0.0024179620034542313,0.0037996545768566492,0.003034474686236767,0.008136235286494355,0.014162348877374784
ml-1m,0,EASE,,0.0,,q4,1659,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777,0.0005394803352284801,0.0009041591320072332,0.0012055455093429777
ml-1m,0,EASE,,0.0,,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,Lap-EASE,rp3beta,1.0,sym,overall,6008,0.3680365762494111,0.2271523194487268,0.8859853528628495,0.3691230156677118,0.33374923721535316,0.9374167776298269
ml-1m,0,Lap-EASE,rp3beta,1.0,sym,q1,5945,0.3880485476401606,0.2910188742683389,0.8888141295206056,0.4049345268730694,0.4237641424037648,0.9399495374264087
ml-1m,0,Lap-EASE,rp3beta,1.0,sym,q2,4408,0.011331893563731155,0.021090090570666242,0.049682395644283124,0.021565782569692556,0.05248347081870405,0.11819419237749547
ml-1m,0,Lap-EASE,rp3beta,1.0,sym,q3,2895,0.001263295306715801,0.002216465169833045,0.0031088082901554403,0.002413760991682789,0.005948555378607192,0.011053540587219343
ml-1m,0,Lap-EASE,rp3beta,1.0,sym,q4,1659,0.0005232835842921964,0.0009041591320072332,0.0012055455093429777,0.0005232835842921964,0.0009041591320072332,0.0012055455093429777
ml-1m,0,Lap-EASE,rp3beta,1.0,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,GS-EASE,rp3beta,1.0,sym,overall,6008,0.3680161758303617,0.22716341576474985,0.8859853528628495,0.3691379937364299,0.33391816620555526,0.9375832223701731
ml-1m,0,GS-EASE,rp3beta,1.0,sym,q1,5945,0.38802458034619586,0.29103289164989204,0.8888141295206056,0.40494665713061756,0.4239363559485603,0.9401177460050463
ml-1m,0,GS-EASE,rp3beta,1.0,sym,q2,4408,0.011331893563731155,0.021090090570666242,0.049682395644283124,0.021565888205207655,0.05248347081870405,0.11819419237749547
ml-1m,0,GS-EASE,rp3beta,1.0,sym,q3,2895,0.001263295306715801,0.002216465169833045,0.0031088082901554403,0.002413760991682789,0.005948555378607192,0.011053540587219343
ml-1m,0,GS-EASE,rp3beta,1.0,sym,q4,1659,0.0005232835842921964,0.0009041591320072332,0.0012055455093429777,0.0005232835842921964,0.0009041591320072332,0.0012055455093429777
ml-1m,0,GS-EASE,rp3beta,1.0,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,Lap-EASE,rp3beta,3.0,sym,overall,6008,0.36942735862780124,0.22664020263107287,0.8831557922769641,0.3700783452858833,0.3335787262332323,0.9357523302263648
ml-1m,0,Lap-EASE,rp3beta,3.0,sym,q1,5945,0.38998416433912203,0.2908112556292809,0.8866274179983179,0.40705878667232326,0.4251003179401777,0.9392767031118587
ml-1m,0,Lap-EASE,rp3beta,3.0,sym,q2,4408,0.009447831862045952,0.017504693430221176,0.04128856624319419,0.01845612491136609,0.0458465283332625,0.10004537205081669
ml-1m,0,Lap-EASE,rp3beta,3.0,sym,q3,2895,0.00112729665543247,0.0021301093839953943,0.002763385146804836,0.0019592997889879703,0.004794528058776763,0.008981001727115717
ml-1m,0,Lap-EASE,rp3beta,3.0,sym,q4,1659,0.00038279623608310985,0.0009041591320072332,0.0012055455093429777,0.00038279623608310985,0.0009041591320072332,0.0012055455093429777
ml-1m,0,Lap-EASE,rp3beta,3.0,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,GS-EASE,rp3beta,3.0,sym,overall,6008,0.369414156496571,0.22659780213798425,0.8829893475366178,0.3701052084937828,0.333641809856777,0.935918774966711
ml-1m,0,GS-EASE,rp3beta,3.0,sym,q1,5945,0.3899717881452875,0.2907655333604073,0.8864592094196804,0.4070607558412554,0.42509146485709154,0.9392767031118587
ml-1m,0,GS-EASE,rp3beta,3.0,sym,q2,4408,0.009447831862045952,0.017504693430221176,0.04128856624319419,0.01852956036048272,0.046111198629693234,0.10049909255898366
ml-1m,0,GS-EASE,rp3beta,3.0,sym,q3,2895,0.00112729665543247,0.0021301093839953943,0.002763385146804836,0.0019598054930771405,0.004794528058776763,0.008981001727115717
ml-1m,0,GS-EASE,rp3beta,3.0,sym,q4,1659,0.00038279623608310985,0.0009041591320072332,0.0012055455093429777,0.00038279623608310985,0.0009041591320072332,0.0012055455093429777
ml-1m,0,GS-EASE,rp3beta,3.0,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
