dataset,model,w_source,gamma,normalise,NDCG@10_mean,NDCG@10_std,NDCG@10_count,MAP@10_mean,MAP@10_std,MAP@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,Coverage@10_mean,Coverage@10_std,Coverage@10_count,Gini@10_mean,Gini@10_std,Gini@10_count,Novelty@10_mean,Novelty@10_std,Novelty@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,MAP@20_mean,MAP@20_std,MAP@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,Coverage@20_mean,Coverage@20_std,Coverage@20_count,Gini@20_mean,Gini@20_std,Gini@20_count,Novelty@20_mean,Novelty@20_std,Novelty@20_count
ml-1m,EASE,,0.0,,0.3603703925299798,0.0025525765180416013,5,0.22665307731728462,0.0020495652277835842,5,0.8776849569462767,0.005220623753779892,5,0.22233609029995124,0.0022356066082815547,5,0.3100702576112412,0.0018790171587682928,5,0.7587277347955784,0.0016148456014131228,5,2.385208158669514,0.0016143006190546159,5,0.36221140741312974,0.0027321023063977146,5,0.20180867291377852,0.0019402606325770399,5,0.9332843525834955,0.005798369801854602,5,0.3277578853329016,0.0030004655386439115,5,0.3997072599531616,0.0022447645799392024,5,0.7512481236122811,0.001710510656808872,5,2.5519102378522995,0.002321282090163353,5
ml-1m,GS-EASE,binary,1.0,sym,0.10391468812692098,0.0016448995672036187,5,0.05208763346765075,0.0009458874533977722,5,0.44625205512870564,0.005818951468614755,5,0.05239053297577778,0.0013237699269094314,5,0.32049180327868854,0.001832842604508027,5,0.5928086719926443,0.0025384470628019742,5,3.020133079372804,0.0015285822477306735,5,0.10696163070857219,0.001546293631174076,5,0.04427027808334705,0.0007440208551177216,5,0.582318733807542,0.008333958966062018,5,0.0891344164462122,0.0018451456486359543,5,0.38307962529274003,0.003875904752380247,5,0.6238850258285851,0.0033875440675413425,5,3.0411460240641657,0.0018873802084387388,5
ml-1m,GS-EASE,binary,3.0,sym,0.10183690537160783,0.0016190046453499456,5,0.051531000447389855,0.0008011269809849119,5,0.4302055366083321,0.006489349791055704,5,0.04785160494038289,0.0013423642235781766,5,0.313231850117096,0.0032068065427703065,5,0.5922227630372888,0.003895700164983889,5,3.0504403288010566,0.0015103291675449165,5,0.10195691351827355,0.0013781518778589158,5,0.042652844127907,0.0005483216688041025,5,0.5496578399534661,0.005819247662319352,5,0.07926245237482882,0.001822559341535332,5,0.37453161592505857,0.0015573110161909247,5,0.6196569171133948,0.0014378861512342176,5,3.078911800698767,0.0021670468479588556,5
ml-1m,GS-EASE,binary,10.0,sym,0.12628664441484147,0.0019297989285214374,5,0.06517031197040532,0.0009765672211087815,5,0.5015170657006813,0.005093674514814114,5,0.061141242956026944,0.0013206067256467465,5,0.3061475409836065,0.00151264762093253,5,0.5930365634587176,0.0026285949844192954,5,3.1073172064257415,0.0016582889438264594,5,0.12444630520844242,0.0018388537790525188,5,0.05364898802102055,0.0008317560302455238,5,0.6130464741817393,0.007289539871240379,5,0.09680587157516156,0.0018829500702236348,5,0.3779274004683841,0.0032134804449795358,5,0.6203375836704292,0.003128011982737475,5,3.1397299235794938,0.001655491557724552,5
ml-1m,GS-EASE,itemknn,1.0,sym,0.2772393181198476,0.0021012395379424276,5,0.15903620241681665,0.0018182019889267384,5,0.8143981113886344,0.0056799708289926336,5,0.17220552691311755,0.001756802637447871,5,0.5155737704918033,0.002011190168304165,5,0.6885564425754026,0.0017305497099302225,5,2.9013248240471268,0.0037969055065379493,5,0.28393543568617635,0.0018368492997325315,5,0.1413920264569457,0.0016594924319837917,5,0.8975945406653569,0.00413105715006835,5,0.26557379209349913,0.0019212463848715762,5,0.6036299765807962,0.003206806542770288,5,0.6989616263212277,0.002174163144559325,5,2.989646370872782,0.0037370938967471986,5
ml-1m,GS-EASE,itemknn,3.0,sym,0.21571251531665014,0.0013607289198283633,5,0.11626146799072481,0.0009247124197557653,5,0.7265723620301766,0.005609107670080778,5,0.12862285521673375,0.0006615337007271331,5,0.5509953161592506,0.004625848542184584,5,0.6402956209337791,0.003738744575406329,5,3.1527563420785913,0.004177702762861914,5,0.2228825025684728,0.0012616010792751054,5,0.10197512075280177,0.0010283586845952091,5,0.8357702150435863,0.0035011930223903063,5,0.20733833853720887,0.0009542232507922224,5,0.6387587822014051,0.002100805048947217,5,0.6595260464374173,0.0019997330427359568,5,3.20450910605365,0.003899293978797597,5
ml-1m,GS-EASE,itemknn,10.0,sym,0.20993284974101334,0.001424367468128911,5,0.1128504521925914,0.0008014629278720531,5,0.7152866079699909,0.005259304655433542,5,0.12363209771689591,0.001025960613949294,5,0.5171545667447306,0.0047139329006098294,5,0.6286127058683368,0.0035928222920112453,5,3.1936629076160137,0.0027702080041460166,5,0.21673821527730905,0.0014181940992286516,5,0.09864694094496898,0.0008971201832267083,5,0.8261156861437502,0.0031946903411723365,5,0.2003425515514794,0.0006233744016071844,5,0.6043325526932084,0.0017878725391806195,5,0.6487503009362247,0.0019658667384438635,5,3.238608208223442,0.004203836213290807,5
ml-1m,GS-EASE,p3alpha,1.0,sym,0.3645807636712618,0.0025437328263142292,5,0.23098566031672757,0.0018102943976949677,5,0.8786177236011149,0.005573220074137816,5,0.22366177055590092,0.0026456954178804702,5,0.2920374707259953,0.0013824026877186976,5,0.7609717507222676,0.0008760646036245944,5,2.351331090096917,0.002869935476148526,5,0.36594480588743156,0.0026995828464990747,5,0.20528899397277062,0.001835252209541307,5,0.9336172531991723,0.005464019983947337,5,0.3299949380780528,0.0031046112069720096,5,0.37956674473067914,0.002186750514869226,5,0.7530914438181419,0.001324153258356643,5,2.519151833614983,0.0020337903248292444,5
ml-1m,GS-EASE,p3alpha,3.0,sym,0.36691375297477513,0.002713297942868683,5,0.23370635411782298,0.0017500126335626203,5,0.8773530478255648,0.005745005416128587,5,0.22358844011970908,0.0027009198557672635,5,0.26692037470726,0.0006989072825710351,5,0.7634222951819221,0.0012657219600389037,5,2.304243171736365,0.0031944142188054868,5,0.36745217064789737,0.00280924158875403,5,0.2071133196634352,0.0018764101307377826,5,0.9334172313647224,0.0049154509916407565,5,0.3298563325666642,0.0032932708889701384,5,0.3497658079625293,0.003209477769008351,5,0.7537965777984758,0.0019269908907660269,5,2.473773301690513,0.0014157944417050924,5
ml-1m,GS-EASE,p3alpha,10.0,sym,0.36458762345811174,0.003095810041916004,5,0.23310823752819188,0.0018094967280748557,5,0.8727586843272468,0.005771462192106717,5,0.2195974963562189,0.0031748953042444873,5,0.22775175644028103,0.0007463436056195535,5,0.7703641070990304,0.001228707369560218,5,2.2200352485061425,0.0027862860780298016,5,0.3634121896855964,0.0031100321311040373,5,0.2049914877856734,0.002006058447733203,5,0.9298212652983227,0.00402565911979022,5,0.3233169676237295,0.003277375259172383,5,0.2933255269320843,0.0028154836155842296,5,0.7517554634610095,0.002078866559995848,5,2.3886107711706117,0.001296847688697012,5
