w_source,gamma,vs_EASE_stat,vs_EASE_p,vs_EASE_n_pairs,vs_EASE_sign,vs_EASE_mean_diff,vs_EASE_median_diff,vs_LapEASE_stat,vs_LapEASE_p,vs_LapEASE_n_pairs,vs_LapEASE_sign,vs_LapEASE_mean_diff,vs_LapEASE_median_diff
rp3beta,1.0,59005816.0,1.119407664490595e-96,30037,1,0.00419042697576036,0.0,1037.0,0.9839915348341735,30037,1,4.450446456524305e-06,0.0
rp3beta,3.0,102358847.5,1.6465320650337354e-70,30037,1,0.006139943820820139,0.0,5186.5,0.3717253170931476,30037,1,1.1057955207898731e-05,0.0
rp3beta,10.0,142838063.0,0.00011366962627982966,30037,1,0.002250398950138485,0.0,21971.5,0.031340185570195224,30037,1,6.290828450480563e-05,0.0
p3alpha,1.0,57373393.0,9.253108018400337e-98,30037,1,0.004210203222850452,0.0,2914449.5,0.676179064710597,30037,1,1.5837307833441315e-05,0.0
p3alpha,3.0,99066745.5,7.908289921809272e-82,30037,1,0.006543064260352534,0.0,11506610.5,0.007657898247399743,30037,1,0.0002865160338526263,0.0
p3alpha,10.0,137009235.5,1.1664451325980236e-14,30037,1,0.004216634968453343,0.0,33893600.0,1.8133329627154672e-25,30037,1,0.0016071746292021056,0.0
itemknn,1.0,75063473.5,0.0,30037,-1,-0.0831309423901581,-0.06865513507826698,72773213.5,0.0,30037,-1,-0.08738047378042073,-0.07203883062568586
itemknn,3.0,48214914.0,0.0,30037,-1,-0.14465760379771792,-0.12995305939224755,47894132.0,0.0,30037,-1,-0.15067907201904648,-0.1356854453911663
itemknn,10.0,47649737.0,0.0,30037,-1,-0.150437584626085,-0.13565197343244778,52566193.0,0.0,30037,-1,-0.1523522214204831,-0.13886244387355454
binary,1.0,11623228.5,0.0,30037,-1,-0.256455799327896,-0.24113933363707923,11218281.0,0.0,30037,-1,-0.2606711265918358,-0.24630238874073
binary,3.0,11808181.0,0.0,30037,-1,-0.2585335735059016,-0.2449945318054993,11116737.5,0.0,30037,-1,-0.2647864297836869,-0.24938160889343644
binary,10.0,17526497.5,0.0,30037,-1,-0.23408407692070315,-0.22009176629808017,18285004.5,0.0,30037,-1,-0.23644438559876338,-0.22009176629808017
