dataset,graph_source,normalise,bucket_by,gamma,bucket,n_users,metric,EASE,Laplacian,abs_gain,rel_gain,wilcoxon_stat,wilcoxon_p,wilcoxon_n_pairs,wilcoxon_sign,wilcoxon_median_diff
ml-1m,itemknn,sym,item_popularity,0.0,overall,5957,ndcg,0.11328379740943686,0.11328379740943686,0.0,0.0,0.0,1.0,5957,0,0.0
ml-1m,itemknn,sym,item_popularity,0.0,q1,5787,ndcg,0.12504748984501393,0.12504748984501393,0.0,0.0,0.0,1.0,5787,0,0.0
ml-1m,itemknn,sym,item_popularity,0.0,q2,4520,ndcg,0.006831619305343441,0.006831619305343441,0.0,0.0,0.0,1.0,4520,0,0.0
ml-1m,itemknn,sym,item_popularity,0.0,q3,3059,ndcg,0.0015441454207016118,0.0015441454207016118,0.0,0.0,0.0,1.0,3059,0,0.0
ml-1m,itemknn,sym,item_popularity,0.0,q4,1767,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,1767,0,0.0
ml-1m,itemknn,sym,item_popularity,0.0,q5,775,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,775,0,0.0
ml-1m,itemknn,sym,item_popularity,3.0,overall,5957,ndcg,0.11328379740943686,0.11665863250156662,0.003374835092129755,0.02979097778592494,1268355.5,3.4378304440319937e-10,5957,0,0.0
ml-1m,itemknn,sym,item_popularity,3.0,q1,5787,ndcg,0.12504748984501393,0.12970969244669073,0.004662202601676796,0.03728345612898917,1147225.0,1.1784237241179344e-15,5787,0,0.0
ml-1m,itemknn,sym,item_popularity,3.0,q2,4520,ndcg,0.006831619305343441,0.004916130657807028,-0.0019154886475364133,-0.2803857419335689,322.0,9.0926354509802e-15,4520,0,0.0
ml-1m,itemknn,sym,item_popularity,3.0,q3,3059,ndcg,0.0015441454207016118,0.0009280707739404266,-0.0006160746467611852,-0.3989744997470899,11.0,0.005339206741147471,3059,0,0.0
ml-1m,itemknn,sym,item_popularity,3.0,q4,1767,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,1767,0,0.0
ml-1m,itemknn,sym,item_popularity,3.0,q5,775,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,775,0,0.0
ml-1m,itemknn,sym,item_popularity,10.0,overall,5957,ndcg,0.11328379740943686,0.11841247158375232,0.005128674174315451,0.04527279532993672,1822648.0,7.085502044704643e-10,5957,0,0.0
ml-1m,itemknn,sym,item_popularity,10.0,q1,5787,ndcg,0.12504748984501393,0.13201764752322995,0.006970157678216016,0.055740084721852094,1663204.0,8.859808886325841e-16,5787,0,0.0
ml-1m,itemknn,sym,item_popularity,10.0,q2,4520,ndcg,0.006831619305343441,0.0034359792792950086,-0.0033956400260484326,-0.4970476067646931,459.0,4.14476332441117e-18,4520,0,0.0
ml-1m,itemknn,sym,item_popularity,10.0,q3,3059,ndcg,0.0015441454207016118,0.0004058443400135528,-0.001138301080688059,-0.7371722024541253,10.5,0.0006626054367887253,3059,0,0.0
ml-1m,itemknn,sym,item_popularity,10.0,q4,1767,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,1767,0,0.0
ml-1m,itemknn,sym,item_popularity,10.0,q5,775,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,775,0,0.0
ml-1m,itemknn,sym,item_popularity,30.0,overall,5957,ndcg,0.11328379740943686,0.12110785532982211,0.00782405792038525,0.06906599266007199,2226795.0,6.754918057402425e-13,5957,0,0.0
ml-1m,itemknn,sym,item_popularity,30.0,q1,5787,ndcg,0.12504748984501393,0.1350436288767139,0.009996139031699963,0.07993874202584438,2072512.0,3.0996044691067685e-18,5787,0,0.0
