dataset,graph_source,normalise,bucket_by,gamma,bucket,n_users,metric,EASE,Laplacian,abs_gain,rel_gain,wilcoxon_stat,wilcoxon_p,wilcoxon_n_pairs,wilcoxon_sign,wilcoxon_median_diff
ml-1m,rp3beta,sym,item_popularity,0.0,overall,5957,ndcg,0.11328379740943686,0.11328379740943686,0.0,0.0,0.0,1.0,5957,0,0.0
ml-1m,rp3beta,sym,item_popularity,0.0,q1,5787,ndcg,0.12504748984501393,0.12504748984501393,0.0,0.0,0.0,1.0,5787,0,0.0
ml-1m,rp3beta,sym,item_popularity,0.0,q2,4520,ndcg,0.006831619305343441,0.006831619305343441,0.0,0.0,0.0,1.0,4520,0,0.0
ml-1m,rp3beta,sym,item_popularity,0.0,q3,3059,ndcg,0.0015441454207016118,0.0015441454207016118,0.0,0.0,0.0,1.0,3059,0,0.0
ml-1m,rp3beta,sym,item_popularity,0.0,q4,1767,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,1767,0,0.0
ml-1m,rp3beta,sym,item_popularity,0.0,q5,775,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,775,0,0.0
ml-1m,rp3beta,sym,item_popularity,3.0,overall,5957,ndcg,0.11328379740943686,0.11650521173005894,0.0032214143206220763,0.02843667315440578,1242501.0,6.329338232994927e-10,5957,0,0.0
ml-1m,rp3beta,sym,item_popularity,3.0,q1,5787,ndcg,0.12504748984501393,0.1295356565682116,0.004488166723197656,0.03589169785623342,1120576.5,1.8115659846904876e-15,5787,0,0.0
ml-1m,rp3beta,sym,item_popularity,3.0,q2,4520,ndcg,0.006831619305343441,0.0049411362243069875,-0.0018904830810364537,-0.2767254726207866,406.5,1.2009679698099711e-14,4520,0,0.0
ml-1m,rp3beta,sym,item_popularity,3.0,q3,3059,ndcg,0.0015441454207016118,0.0009256724705747777,-0.0006184729501268341,-0.4005276587523856,9.5,0.00404553163704777,3059,0,0.0
ml-1m,rp3beta,sym,item_popularity,3.0,q4,1767,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,1767,0,0.0
ml-1m,rp3beta,sym,item_popularity,3.0,q5,775,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,775,0,0.0
ml-1m,rp3beta,sym,item_popularity,10.0,overall,5957,ndcg,0.11328379740943686,0.11856521536932627,0.005281417959889401,0.046621123944150585,1810821.0,1.575676940599967e-10,5957,0,0.0
ml-1m,rp3beta,sym,item_popularity,10.0,q1,5787,ndcg,0.12504748984501393,0.13236115314549465,0.007313663300480722,0.05848708606262633,1642392.0,2.058956661816371e-17,5787,0,0.0
ml-1m,rp3beta,sym,item_popularity,10.0,q2,4520,ndcg,0.006831619305343441,0.003176615795062957,-0.003655003510280484,-0.535012761531029,267.0,3.529251701733086e-19,4520,0,0.0
ml-1m,rp3beta,sym,item_popularity,10.0,q3,3059,ndcg,0.0015441454207016118,0.0004058443400135528,-0.001138301080688059,-0.7371722024541253,10.5,0.0006626054367887253,3059,0,0.0
ml-1m,rp3beta,sym,item_popularity,10.0,q4,1767,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,1767,0,0.0
ml-1m,rp3beta,sym,item_popularity,10.0,q5,775,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,775,0,0.0
