dataset,graph_source,normalise,bucket_by,gamma,bucket,n_users,metric,EASE,Laplacian,abs_gain,rel_gain,wilcoxon_stat,wilcoxon_p,wilcoxon_n_pairs,wilcoxon_sign,wilcoxon_median_diff
ml-1m,rp3beta,none,user_activity,0.0,overall,5957,ndcg,0.11328379740943686,0.11328379740943686,0.0,0.0,0.0,1.0,5957,0,0.0
ml-1m,rp3beta,none,user_activity,0.0,q1,1207,ndcg,0.1695162250639054,0.1695162250639054,0.0,0.0,0.0,1.0,1207,0,0.0
ml-1m,rp3beta,none,user_activity,0.0,q2,1203,ndcg,0.09458007912779615,0.09458007912779615,0.0,0.0,0.0,1.0,1203,0,0.0
ml-1m,rp3beta,none,user_activity,0.0,q3,1196,ndcg,0.08416716769261604,0.08416716769261604,0.0,0.0,0.0,1.0,1196,0,0.0
ml-1m,rp3beta,none,user_activity,0.0,q4,1187,ndcg,0.09025358440363589,0.09025358440363589,0.0,0.0,0.0,1.0,1187,0,0.0
ml-1m,rp3beta,none,user_activity,0.0,q5,1164,ndcg,0.12770680848596072,0.12770680848596072,0.0,0.0,0.0,1.0,1164,0,0.0
ml-1m,rp3beta,none,user_activity,3.0,overall,5957,ndcg,0.11328379740943686,0.11711215968807095,0.00382836227863409,0.03379443809424397,1663516.5,3.2492890586738126e-07,5957,0,0.0
ml-1m,rp3beta,none,user_activity,3.0,q1,1207,ndcg,0.1695162250639054,0.18063700668525523,0.011120781621349829,0.06560305137255999,114385.0,8.475999585386503e-08,1207,0,0.0
ml-1m,rp3beta,none,user_activity,3.0,q2,1203,ndcg,0.09458007912779615,0.09883173238410216,0.004251653256306012,0.04495294670414897,66885.5,0.014362250182060771,1203,0,0.0
ml-1m,rp3beta,none,user_activity,3.0,q3,1196,ndcg,0.08416716769261604,0.08627737408221492,0.0021102063895988843,0.02507160983847639,55373.5,0.05922517744257446,1196,0,0.0
ml-1m,rp3beta,none,user_activity,3.0,q4,1187,ndcg,0.09025358440363589,0.09239703254308913,0.0021434481394532467,0.023749174657343552,56600.0,0.4066388692681896,1187,0,0.0
ml-1m,rp3beta,none,user_activity,3.0,q5,1164,ndcg,0.12770680848596072,0.1270194820478394,-0.0006873264381213329,-0.005382065735335428,47893.0,0.8813479558071575,1164,0,0.0
ml-1m,rp3beta,none,user_activity,10.0,overall,5957,ndcg,0.11328379740943686,0.11930834949084915,0.006024552081412282,0.053181056948841475,2087886.5,8.217701532124626e-09,5957,0,0.0
ml-1m,rp3beta,none,user_activity,10.0,q1,1207,ndcg,0.1695162250639054,0.18763005379577052,0.018113828731865123,0.10685601761740769,130832.0,2.708652655666854e-10,1207,0,0.0
ml-1m,rp3beta,none,user_activity,10.0,q2,1203,ndcg,0.09458007912779615,0.10396740778024914,0.009387328652452995,0.09925270457607549,79016.5,8.721145128408295e-05,1203,0,0.0
ml-1m,rp3beta,none,user_activity,10.0,q3,1196,ndcg,0.08416716769261604,0.08892627940257959,0.004759111709963557,0.05654356491291405,71662.0,0.027703786274651986,1196,0,0.0
ml-1m,rp3beta,none,user_activity,10.0,q4,1187,ndcg,0.09025358440363589,0.09189334706350762,0.0016397626598717296,0.018168393761939846,70527.5,0.29331831394452135,1187,0,0.0
ml-1m,rp3beta,none,user_activity,10.0,q5,1164,ndcg,0.12770680848596072,0.12349169956699732,-0.0042151089189634006,-0.03300614093278185,61728.0,0.23991930563988606,1164,0,0.0
ml-1m,rp3beta,none,user_activity,30.0,overall,5957,ndcg,0.11328379740943686,0.1202739433367663,0.006990145927329439,0.06170472818866804,2491574.0,1.0257824128589738e-07,5957,0,0.0
ml-1m,rp3beta,none,user_activity,30.0,q1,1207,ndcg,0.1695162250639054,0.19658127431094258,0.027065049247037176,0.15966052356837232,144088.0,4.355154949729609e-13,1207,0,0.0
ml-1m,rp3beta,none,user_activity,30.0,q2,1203,ndcg,0.09458007912779615,0.10815432705025992,0.01357424792246377,0.14352121554183003,91057.0,8.058826098038523e-07,1203,0,0.0
ml-1m,rp3beta,none,user_activity,30.0,q3,1196,ndcg,0.08416716769261604,0.09262041839166409,0.008453250699048051,0.10043406390862375,81924.5,0.003044731630820383,1196,0,0.0
ml-1m,rp3beta,none,user_activity,30.0,q4,1187,ndcg,0.09025358440363589,0.09176692972944962,0.0015133453258137364,0.016767703308554368,86634.5,0.44794189905350446,1187,0,0.0
ml-1m,rp3beta,none,user_activity,30.0,q5,1164,ndcg,0.12770680848596072,0.11115744066757696,-0.01654936781838376,-0.12958876675868924,59998.5,4.080857726916673e-05,1164,0,0.0
ml-1m,rp3beta,none,user_activity,50.0,overall,5957,ndcg,0.11328379740943686,0.12079196579237561,0.007508168382938746,0.06627751324227144,2596974.0,6.393188828824278e-08,5957,0,0.0
ml-1m,rp3beta,none,user_activity,50.0,q1,1207,ndcg,0.1695162250639054,0.20183319267213662,0.03231696760823122,0.19064232698697806,146811.0,8.829702154898325e-15,1207,0,0.0
ml-1m,rp3beta,none,user_activity,50.0,q2,1203,ndcg,0.09458007912779615,0.10943680144213823,0.014856722314342083,0.15708088269061132,95116.0,4.64841158119227e-07,1203,0,0.0
ml-1m,rp3beta,none,user_activity,50.0,q3,1196,ndcg,0.08416716769261604,0.09545163883711623,0.011284471144500194,0.13407212638676183,82710.5,0.00016436321283557062,1196,0,0.0
ml-1m,rp3beta,none,user_activity,50.0,q4,1187,ndcg,0.09025358440363589,0.09120181449252873,0.0009482300888928458,0.010506287314331264,91900.5,0.6660551209995269,1187,0,0.0
ml-1m,rp3beta,none,user_activity,50.0,q5,1164,ndcg,0.12770680848596072,0.10470437343917334,-0.02300243504678738,-0.18011909716870048,58621.5,9.531676651112688e-07,1164,0,0.0
ml-1m,rp3beta,none,user_activity,75.0,overall,5957,ndcg,0.11328379740943686,0.12012590876561874,0.006842111356181874,0.060397969635964076,2752245.5,1.613485746506517e-06,5957,0,0.0
ml-1m,rp3beta,none,user_activity,75.0,q1,1207,ndcg,0.1695162250639054,0.2047453018210885,0.03522907675718309,0.2078212675152611,151503.5,6.446512388303945e-15,1207,0,0.0
ml-1m,rp3beta,none,user_activity,75.0,q2,1203,ndcg,0.09458007912779615,0.11010508447500006,0.015525005347203913,0.16414667327806526,101260.0,9.984101256661362e-07,1203,0,0.0
ml-1m,rp3beta,none,user_activity,75.0,q3,1196,ndcg,0.08416716769261604,0.09597169087791194,0.011804523185295901,0.1402509257339725,90383.5,0.00027744557450092955,1196,0,0.0
ml-1m,rp3beta,none,user_activity,75.0,q4,1187,ndcg,0.09025358440363589,0.08946728865522807,-0.0007862957484078142,-0.008712072252901439,94669.5,0.992669413718523,1187,0,0.0
ml-1m,rp3beta,none,user_activity,75.0,q5,1164,ndcg,0.12770680848596072,0.0988197840821079,-0.028887024403852823,-0.22619799794799883,59145.0,1.6100036639116084e-08,1164,0,0.0
