dataset,graph_source,normalise,bucket_by,gamma,bucket,n_users,metric,EASE,Laplacian,abs_gain,rel_gain,wilcoxon_stat,wilcoxon_p,wilcoxon_n_pairs,wilcoxon_sign,wilcoxon_mean_diff,wilcoxon_median_diff
ml-1m,rp3beta,sym,user_activity,0.0,overall,6008,ndcg,0.36335613906888853,0.36335613906888853,0.0,0.0,0.0,1.0,6008,0,0.0,0.0
ml-1m,rp3beta,sym,user_activity,0.0,q1,1208,ndcg,0.5597408692767788,0.5597408692767788,0.0,0.0,0.0,1.0,1208,0,0.0,0.0
ml-1m,rp3beta,sym,user_activity,0.0,q2,1208,ndcg,0.4078045616445832,0.4078045616445832,0.0,0.0,0.0,1.0,1208,0,0.0,0.0
ml-1m,rp3beta,sym,user_activity,0.0,q3,1208,ndcg,0.31117356760789006,0.31117356760789006,0.0,0.0,0.0,1.0,1208,0,0.0,0.0
ml-1m,rp3beta,sym,user_activity,0.0,q4,1205,ndcg,0.27417974332406,0.27417974332406,0.0,0.0,0.0,1.0,1205,0,0.0,0.0
ml-1m,rp3beta,sym,user_activity,0.0,q5,1179,ndcg,0.2612082634410975,0.2612082634410975,0.0,0.0,0.0,1.0,1179,0,0.0,0.0
ml-1m,rp3beta,sym,user_activity,1.0,overall,6008,ndcg,0.36335613906888853,0.3678858137897412,0.004529674720852694,0.012466212164352383,2455535.0,9.545426919415523e-23,6008,1,0.004529674720852588,0.0
ml-1m,rp3beta,sym,user_activity,1.0,q1,1208,ndcg,0.5597408692767788,0.5715941289892371,0.01185325971245832,0.021176334198668562,166781.0,9.394328931250202e-20,1208,1,0.011853259712458214,0.0031769984823882824
ml-1m,rp3beta,sym,user_activity,1.0,q2,1208,ndcg,0.4078045616445832,0.4136181454236609,0.005813583779077702,0.014255808605065229,144995.5,3.679652344427515e-09,1208,1,0.0058135837790777,0.0
ml-1m,rp3beta,sym,user_activity,1.0,q3,1208,ndcg,0.31117356760789006,0.3121321701040677,0.0009586024961776296,0.003080603868595822,121150.5,0.05605844944958304,1208,1,0.0009586024961776505,0.0
ml-1m,rp3beta,sym,user_activity,1.0,q4,1205,ndcg,0.27417974332406,0.27688134692145777,0.0027016035973977948,0.00985340333550718,63785.0,0.007266799164402358,1205,1,0.002701603597397779,0.0
ml-1m,rp3beta,sym,user_activity,1.0,q5,1179,ndcg,0.2612082634410975,0.26244601970476167,0.0012377562636641803,0.004738580040915492,30197.5,0.716626586141923,1179,1,0.0012377562636641528,0.0
ml-1m,rp3beta,sym,user_activity,3.0,overall,6008,ndcg,0.36335613906888853,0.36954177023992063,0.006185631171032102,0.0170236044088397,4130681.0,5.163926155352116e-15,6008,1,0.0061856311710319625,0.0
ml-1m,rp3beta,sym,user_activity,3.0,q1,1208,ndcg,0.5597408692767788,0.5804754830412119,0.020734613764433085,0.037043237152262154,212807.0,2.2803252305414983e-21,1208,1,0.020734613764433002,0.011779195542260923
ml-1m,rp3beta,sym,user_activity,3.0,q2,1208,ndcg,0.4078045616445832,0.41566465253876805,0.007860090894184879,0.019274161285707345,228504.0,3.9094766231918235e-05,1208,1,0.007860090894184867,0.0
ml-1m,rp3beta,sym,user_activity,3.0,q3,1208,ndcg,0.31117356760789006,0.3136516327268848,0.0024780651189947323,0.00796361059213533,213592.5,0.08569979141251685,1208,1,0.0024780651189947574,0.0
ml-1m,rp3beta,sym,user_activity,3.0,q4,1205,ndcg,0.27417974332406,0.2755111155820819,0.0013313722580219345,0.004855837422126229,135725.5,0.4263241839803553,1205,1,0.0013313722580219566,0.0
ml-1m,rp3beta,sym,user_activity,3.0,q5,1179,ndcg,0.2612082634410975,0.2595314717644966,-0.0016767916766008972,-0.006419366885684358,62732.0,0.42294136194036835,1179,-1,-0.0016767916766009146,0.0
ml-1m,rp3beta,sym,user_activity,10.0,overall,6008,ndcg,0.36335613906888853,0.36612685364328,0.0027707145743914863,0.007625341301488751,5689482.5,0.017150295021872868,6008,1,0.0027707145743913844,0.0
ml-1m,rp3beta,sym,user_activity,10.0,q1,1208,ndcg,0.5597408692767788,0.584616118855017,0.024875249578238168,0.04444065270841951,251462.5,8.855903131654513e-15,1208,1,0.024875249578238095,0.01800188068182418
ml-1m,rp3beta,sym,user_activity,10.0,q2,1208,ndcg,0.4078045616445832,0.4108073950166406,0.003002833372057423,0.007363412905308558,302682.0,0.19882512646764294,1208,1,0.003002833372057459,0.0
ml-1m,rp3beta,sym,user_activity,10.0,q3,1208,ndcg,0.31117356760789006,0.3098136657961514,-0.001359901811738673,-0.00437023562827896,274457.5,0.3248904918321247,1208,-1,-0.001359901811738624,0.0
ml-1m,rp3beta,sym,user_activity,10.0,q4,1205,ndcg,0.27417974332406,0.26910470588286767,-0.005075037441192309,-0.018509892013408132,181251.0,0.04015318287649677,1205,-1,-0.005075037441192324,0.0
ml-1m,rp3beta,sym,user_activity,10.0,q5,1179,ndcg,0.2612082634410975,0.25334389572625726,-0.007864367714840226,-0.030107652840828454,85617.0,0.012028109343348286,1179,-1,-0.007864367714840191,0.0
