dataset,graph_source,normalise,bucket_by,bucket,n_users,metric,EASE,Laplacian,abs_gain,rel_gain,wilcoxon_stat,wilcoxon_p,wilcoxon_n_pairs,wilcoxon_sign,wilcoxon_mean_diff,wilcoxon_median_diff
ml-1m,rp3beta,none,item_popularity,overall,5957,ndcg,0.10692106992139593,0.12011419207329471,0.013193122151898787,0.12339122832943815,2785099.0,1.423908969165045e-14,5957.0,1.0,0.013193122151898792,0.0
ml-1m,rp3beta,none,item_popularity,overall,5957,recall,0.08641180715099708,0.08106429887302012,-0.005347508277976962,-0.06188400004912128,,,,,,
ml-1m,rp3beta,none,item_popularity,overall,5957,hit,0.5019305019305019,0.504616417659896,0.0026859157293940283,0.005351170568561949,,,,,,
ml-1m,rp3beta,none,item_popularity,q1,5787,ndcg,0.11612663786366764,0.13328844905837475,0.01716181119470711,0.1477853101616102,2563001.0,3.874964137472929e-21,5787.0,1.0,0.017161811194707107,0.0
ml-1m,rp3beta,none,item_popularity,q1,5787,recall,0.11618284296277995,0.11324966670874091,-0.0029331762540390355,-0.025246208297542698,,,,,,
ml-1m,rp3beta,none,item_popularity,q1,5787,hit,0.5009504060825989,0.5187489199930879,0.017798513910489033,0.035529492928596085,,,,,,
ml-1m,rp3beta,none,item_popularity,q2,4520,ndcg,0.009755115005013802,0.00029239820349309073,-0.00946271680152071,-0.9700261654175467,166.5,1.2497735447117203e-31,4520.0,-1.0,-0.00946271680152071,0.0
ml-1m,rp3beta,none,item_popularity,q2,4520,recall,0.018229681208522506,0.0005621480289621883,-0.017667533179560317,-0.9691630356816453,,,,,,
ml-1m,rp3beta,none,item_popularity,q2,4520,hit,0.0413716814159292,0.001991150442477876,-0.03938053097345132,-0.9518716577540106,,,,,,
ml-1m,rp3beta,none,item_popularity,q3,3059,ndcg,0.002633425252488418,0.0,-0.002633425252488418,-1.0,0.0,1.2212534653800161e-05,3059.0,-1.0,-0.002633425252488418,0.0
ml-1m,rp3beta,none,item_popularity,q3,3059,recall,0.005339435545385201,0.0,-0.005339435545385201,-1.0,,,,,,
ml-1m,rp3beta,none,item_popularity,q3,3059,hit,0.008172605426610004,0.0,-0.008172605426610004,-1.0,,,,,,
ml-1m,rp3beta,none,item_popularity,q4,1767,ndcg,0.00016359073362642211,0.0,-0.00016359073362642211,-1.0,0.0,0.31731050786291415,1767.0,-1.0,-0.00016359073362642211,0.0
ml-1m,rp3beta,none,item_popularity,q4,1767,recall,0.0005659309564233164,0.0,-0.0005659309564233164,-1.0,,,,,,
ml-1m,rp3beta,none,item_popularity,q4,1767,hit,0.0005659309564233164,0.0,-0.0005659309564233164,-1.0,,,,,,
ml-1m,rp3beta,none,item_popularity,q5,775,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,775.0,0.0,0.0,0.0
ml-1m,rp3beta,none,item_popularity,q5,775,recall,0.0,0.0,0.0,0.0,,,,,,
ml-1m,rp3beta,none,item_popularity,q5,775,hit,0.0,0.0,0.0,0.0,,,,,,
