dataset,graph_source,normalise,bucket_by,bucket,n_users,metric,EASE,Laplacian,abs_gain,rel_gain,wilcoxon_stat,wilcoxon_p,wilcoxon_n_pairs
ml-1m,itemknn,sym,item_popularity,overall,5957,ndcg,0.10692106992139593,0.12091395730087763,0.013992887379481705,0.13087118740739045,2414668.5,4.78721494419207e-22,5957.0
ml-1m,itemknn,sym,item_popularity,overall,5957,recall,0.08641180715099708,0.08873483181777359,0.002323024666776502,0.026883185797945637,,,
ml-1m,itemknn,sym,item_popularity,overall,5957,hit,0.5019305019305019,0.5131777740473392,0.011247272116837292,0.02240802675585276,,,
ml-1m,itemknn,sym,item_popularity,q1,5787,ndcg,0.11612663786366764,0.13491279201062037,0.018786154146952727,0.16177299620960026,2178101.0,7.330930836164025e-33,5787.0
ml-1m,itemknn,sym,item_popularity,q1,5787,recall,0.11618284296277995,0.12506835866728475,0.008885515704504798,0.07647872506744684,,,
ml-1m,itemknn,sym,item_popularity,q1,5787,hit,0.5009504060825989,0.5260065664420253,0.02505616035942637,0.050017247326664516,,,
ml-1m,itemknn,sym,item_popularity,q2,4520,ndcg,0.009755115005013802,0.00171318111449358,-0.008041933890520221,-0.8243812488511859,352.0,9.84835501739532e-31,4520.0
ml-1m,itemknn,sym,item_popularity,q2,4520,recall,0.018229681208522506,0.003304042319529045,-0.01492563888899346,-0.8187547943523893,,,
ml-1m,itemknn,sym,item_popularity,q2,4520,hit,0.0413716814159292,0.007079646017699115,-0.034292035398230086,-0.8288770053475936,,,
ml-1m,itemknn,sym,item_popularity,q3,3059,ndcg,0.002633425252488418,0.00016442509628389817,-0.00246900015620452,-0.9375622694707104,3.0,1.764195700344765e-05,3059.0
ml-1m,itemknn,sym,item_popularity,q3,3059,recall,0.005339435545385201,0.0003541462351531001,-0.004985289310232102,-0.9336734693877552,,,
ml-1m,itemknn,sym,item_popularity,q3,3059,hit,0.008172605426610004,0.0009807126511932004,-0.007191892775416804,-0.88,,,
ml-1m,itemknn,sym,item_popularity,q4,1767,ndcg,0.00016359073362642211,0.0,-0.00016359073362642211,-1.0,0.0,0.31731050786291415,1767.0
ml-1m,itemknn,sym,item_popularity,q4,1767,recall,0.0005659309564233164,0.0,-0.0005659309564233164,-1.0,,,
ml-1m,itemknn,sym,item_popularity,q4,1767,hit,0.0005659309564233164,0.0,-0.0005659309564233164,-1.0,,,
ml-1m,itemknn,sym,item_popularity,q5,775,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,775.0
ml-1m,itemknn,sym,item_popularity,q5,775,recall,0.0,0.0,0.0,0.0,,,
ml-1m,itemknn,sym,item_popularity,q5,775,hit,0.0,0.0,0.0,0.0,,,
