dataset,graph_source,normalise,bucket,n_users,metric,EASE,Laplacian,abs_gain,rel_gain
ml-1m,rp3beta,sym,overall,5957,ndcg,0.11328379740943686,0.12126617371923075,0.007982376309793884,0.07046353046361535
ml-1m,rp3beta,sym,overall,5957,recall,0.08900295108885321,0.08653979055754445,-0.0024631605313087668,-0.02767504336850303
ml-1m,rp3beta,sym,overall,5957,hit,0.5066308544569414,0.5123384253819037,0.005707570924962213,0.011265738899933698
ml-1m,rp3beta,sym,q1,5787,ndcg,0.12504748984501393,0.13506232577334795,0.01001483592833402,0.08008826039408376
ml-1m,rp3beta,sym,q1,5787,recall,0.12342798033846346,0.12125450731452873,-0.0021734730239347244,-0.017609240773239908
ml-1m,rp3beta,sym,q1,5787,hit,0.5114912735441507,0.5261793675479524,0.014688094003801666,0.028716216216216298
ml-1m,rp3beta,sym,q2,4520,ndcg,0.006831619305343441,0.0008325667603829511,-0.00599905254496049,-0.878130392931622
ml-1m,rp3beta,sym,q2,4520,recall,0.012777773380240713,0.0017666711361401626,-0.01101110224410055,-0.8617387330665837
ml-1m,rp3beta,sym,q2,4520,hit,0.028982300884955754,0.003982300884955752,-0.025,-0.8625954198473282
ml-1m,rp3beta,sym,q3,3059,ndcg,0.0015441454207016118,0.0,-0.0015441454207016118,-1.0
ml-1m,rp3beta,sym,q3,3059,recall,0.003623188405797101,0.0,-0.003623188405797101,-1.0
ml-1m,rp3beta,sym,q3,3059,hit,0.005884275907159202,0.0,-0.005884275907159202,-1.0
ml-1m,rp3beta,sym,q4,1767,ndcg,0.0,0.0,0.0,0.0
ml-1m,rp3beta,sym,q4,1767,recall,0.0,0.0,0.0,0.0
ml-1m,rp3beta,sym,q4,1767,hit,0.0,0.0,0.0,0.0
ml-1m,rp3beta,sym,q5,775,ndcg,0.0,0.0,0.0,0.0
ml-1m,rp3beta,sym,q5,775,recall,0.0,0.0,0.0,0.0
ml-1m,rp3beta,sym,q5,775,hit,0.0,0.0,0.0,0.0
