dataset,seed,graph_source,normalise,gamma,bucket_by,bucket,n_users,EASE_ndcg,Lap_ndcg,abs_gain,within_seed_wil_stat,within_seed_wil_p,within_seed_wil_n_pairs,within_seed_wil_sign,within_seed_wil_mean_diff,within_seed_wil_median_diff
ml-1m,0,rp3beta,sym,3.0,user_activity,overall,6008,0.36335613906888853,0.36942735862780124,0.0060712195589127105,4157262.5,5.687193907716398e-15,6008,1,0.006071219558912697,0.0
ml-1m,0,rp3beta,sym,3.0,user_activity,q1,1208,0.5597408692767788,0.5800734340502621,0.02033256477348333,215260.0,2.0864933601327906e-21,1208,1,0.020332564773483282,0.012067689759895417
ml-1m,0,rp3beta,sym,3.0,user_activity,q2,1208,0.4078045616445832,0.41519467959396256,0.007390117949379382,234246.0,9.509566337523487e-05,1208,1,0.007390117949379365,0.0
ml-1m,0,rp3beta,sym,3.0,user_activity,q3,1208,0.31117356760789006,0.3132322750762363,0.0020587074683462436,213958.0,0.12978349485165405,1208,1,0.0020587074683462987,0.0
ml-1m,0,rp3beta,sym,3.0,user_activity,q4,1205,0.27417974332406,0.2756840712932635,0.0015043279692035227,134496.0,0.34633304670759935,1205,1,0.001504327969203539,0.0
ml-1m,0,rp3beta,sym,3.0,user_activity,q5,1179,0.2612082634410975,0.26009482201283357,-0.0011134414282639171,64505.0,0.6195723382212197,1179,-1,-0.0011134414282639403,0.0
ml-1m,1,rp3beta,sym,3.0,user_activity,overall,6006,0.3623488874914095,0.36726806181276583,0.004919174321356357,4176448.5,3.261262507001787e-12,6006,1,0.004919174321356371,0.0
ml-1m,1,rp3beta,sym,3.0,user_activity,q1,1208,0.5531538405679228,0.571932105679186,0.018778265111263126,222645.0,2.1747422638356302e-18,1208,1,0.018778265111263046,0.009645246727929768
ml-1m,1,rp3beta,sym,3.0,user_activity,q2,1208,0.40861674482235366,0.4166112455993983,0.007994500777044666,235654.5,2.0220484423912365e-06,1208,1,0.007994500777044677,0.0
ml-1m,1,rp3beta,sym,3.0,user_activity,q3,1208,0.3170035255458154,0.31741016891587387,0.0004066433700584682,216639.5,0.44638624740441113,1208,1,0.00040664337005843343,0.0
