dataset,seed,filter,kw,with_lap,gamma,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff,filter_s
ml-1m,0,identity,-,False,0.0,138.175048828125,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,0.365349054583525,0.20414787720272656,0.9375832223701731,0.3316665455941842,0.39637002341920374,0.7487248661066388,2.5533754562781135,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,,,0,0,,,
ml-1m,0,turbo_cf,"alpha=0.7,K=2",False,0.0,490.5072705745697,0.36566462949564155,0.23328682738229434,0.8778295605858855,0.2216375894319944,0.21662763466042154,0.7973065192356137,2.129661279046729,0.36386519003887857,0.20475346990156368,0.931757656458056,0.32471714301321986,0.2854215456674473,0.7844281300146811,2.2902533350257204,0.36566462949564155,0.23328682738229434,0.8778295605858855,0.2216375894319944,0.21662763466042154,0.7973065192356137,2.129661279046729,5720640.0,0.10865904658791109,6008,1,0.002308490426752914,0.0,254.56139135360718
ml-1m,0,chebyshev,K=4,False,0.0,473.8124315738678,0.32079260873405696,0.19722633050113075,0.8325565912117177,0.187212480222839,0.11358313817330211,0.8294693844633272,1.8228726383846912,0.3142533433917891,0.16860751510957683,0.9011318242343542,0.2704076573353113,0.15749414519906324,0.8227555328954208,1.9572828195608742,0.32079260873405696,0.19722633050113075,0.8325565912117177,0.187212480222839,0.11358313817330211,0.8294693844633272,1.8228726383846912,4487948.5,3.172701541465319e-98,6008,-1,-0.042563530334831616,-0.01838992411107926,508.03938269615173
ml-1m,1,identity,-,False,0.0,141.60367894172668,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,0.36349761852879936,0.20270640009375476,0.9347319347319347,0.3275426777323132,0.40105386416861827,0.7512512548278971,2.5551994360475203,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,,,0,0,,,
ml-1m,1,turbo_cf,"alpha=0.7,K=2",False,0.0,490.4872589111328,0.36241854392533557,0.2312251785388123,0.8684648684648685,0.21739447063493172,0.21750585480093676,0.7987185985840091,2.127550632482746,0.3602330110878687,0.20266530106787728,0.9277389277389277,0.31852611984211343,0.29098360655737704,0.788219979215955,2.290049938873605,0.36241854392533557,0.2312251785388123,0.8684648684648685,0.21739447063493172,0.21750585480093676,0.7987185985840091,2.127550632482746,5796024.5,0.6995099750747495,6006,1,6.965643392612764e-05,0.0,256.72335863113403
ml-1m,1,chebyshev,K=4,False,0.0,478.7149770259857,0.3156596849152488,0.1941757696668411,0.8243423243423244,0.1823098876317523,0.11563231850117096,0.8346775587281916,1.8149900078843269,0.30961382227823486,0.1656342813735906,0.8949383949383949,0.2663243997003269,0.16100702576112413,0.8284947476765661,1.951040022880625,0.3156596849152488,0.1941757696668411,0.8243423243423244,0.1823098876317523,0.11563231850117096,0.8346775587281916,1.8149900078843269,4284561.5,1.820798585141752e-109,6006,-1,-0.04668920257616067,-0.019595652281187245,506.49110221862793
ml-1m,2,identity,-,False,0.0,141.14226365089417,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414,0.3618476700911453,0.2003476739707504,0.9390406395736176,0.32899075921234416,0.40105386416861827,0.7530828109727334,2.5498226663708405,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414,,,0,0,,,
ml-1m,2,turbo_cf,"alpha=0.7,K=2",False,0.0,492.40765714645386,0.3640782074221265,0.2320887739302546,0.8717521652231845,0.21891241358850178,0.21399297423887587,0.7960803149017845,2.127439038977492,0.3613726193956732,0.20216709875173627,0.9332111925383078,0.3219244667486481,0.28366510538641687,0.7834625213737798,2.2891852578398746,0.3640782074221265,0.2320887739302546,0.8717521652231845,0.21891241358850178,0.21399297423887587,0.7960803149017845,2.127439038977492,5613446.5,9.864799617475544e-05,6004,1,0.005213502270397306,0.0,258.1681156158447
ml-1m,2,chebyshev,K=4,False,0.0,485.61305236816406,0.31826372506737965,0.19538300477308398,0.8276149233844103,0.18347940649479885,0.11651053864168619,0.8335218731900675,1.8195215399317632,0.31046544674172205,0.165679816730045,0.894070619586942,0.26663199275362637,0.16042154566744732,0.8261534281282064,1.9540860112214617,0.31826372506737965,0.19538300477308398,0.8276149233844103,0.18347940649479885,0.11651053864168619,0.8335218731900675,1.8195215399317632,4649326.5,1.7748175072549207e-86,6004,-1,-0.04060098008434947,-0.016390095390875464,515.2073135375977
ml-1m,3,identity,-,False,0.0,140.42800641059875,0.35706225986659396,0.22511819628899288,0.8726093464160984,0.21893095713123753,0.3100117096018735,0.7587483335995178,2.3860019783333133,0.35794709456288604,0.19932866889775816,0.9248295360053218,0.3234195007622611,0.4016393442622951,0.7525223895359858,2.551157214359107,0.35706225986659396,0.22511819628899288,0.8726093464160984,0.21893095713123753,0.3100117096018735,0.7587483335995178,2.3860019783333133,,,0,0,,,
