dataset,seed,method,config,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,0,EASE,-,128.85069513320923,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,0.365349054583525,0.20414787720272656,0.9375832223701731,0.3316665455941842,0.39637002341920374,0.7487248661066388,2.5533754562781135,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,,,0,0,,
ml-1m,0,PPR,alpha=0.3,132.8908655643463,0.36596637477637795,0.2318996982145919,0.8858189081225033,0.22637669138624103,0.2927400468384075,0.7652659454061252,2.3396799993287503,0.3670245464622295,0.20605831226142926,0.936750998668442,0.33157966000405614,0.38231850117096017,0.7596440198163552,2.5028337003780146,0.36596637477637795,0.2318996982145919,0.8858189081225033,0.22637669138624103,0.2927400468384075,0.7652659454061252,2.3396799993287503,1217454.5,7.51632545195539e-11,6008,1,0.002610235707489278,0.0
ml-1m,0,PPR,alpha=0.5,134.08522295951843,0.366767617992473,0.23277581754918025,0.8848202396804261,0.2261914484646059,0.2813231850117096,0.7788580193456938,2.285148776147024,0.3673275144185053,0.2065242869234326,0.9365845539280959,0.3310655962193208,0.3659250585480094,0.7716757123834888,2.4449616046919105,0.366767617992473,0.23277581754918025,0.8848202396804261,0.2261914484646059,0.2813231850117096,0.7788580193456938,2.285148776147024,2504074.5,2.5631999786610664e-07,6008,1,0.0034114789235843526,0.0
ml-1m,0,PPR,alpha=0.7,132.218998670578,0.3646267611796274,0.2306972844681099,0.8826564580559254,0.22463022864498353,0.2614168618266979,0.8028461864210914,2.186941434694329,0.36407164671027137,0.20382279032556244,0.9339214380825566,0.3277088783021795,0.33752927400468385,0.7939529456532661,2.3389600018996846,0.3646267611796274,0.2306972844681099,0.8826564580559254,0.22463022864498353,0.2614168618266979,0.8028461864210914,2.186941434694329,4239410.0,0.4603617285055872,6008,1,0.0012706221107388475,0.0
ml-1m,0,DPP-MAP,top_pool=100,127.21649122238159,0.20959316733400887,0.11652931791058634,0.6889147802929427,0.1583917894975441,0.4136416861826698,0.80546131932606,3.780690573147291,0.18984944215854294,0.09932156785733735,0.7200399467376831,0.17049006016653395,0.4713114754098361,0.8592075989777606,4.489436713046309,0.20959316733400887,0.11652931791058634,0.6889147802929427,0.1583917894975441,0.4136416861826698,0.80546131932606,3.780690573147291,10273.5,0.0,6008,-1,-0.1537629717348797,-0.06625422345438903
ml-1m,0,DPP-MAP,top_pool=200,129.32941389083862,0.20959316733400887,0.11652931791058634,0.6889147802929427,0.1583917894975441,0.4136416861826698,0.80546131932606,3.780690573147291,0.18984944215854294,0.09932156785733735,0.7200399467376831,0.17049006016653395,0.4713114754098361,0.8592075989777606,4.489436713046309,0.20959316733400887,0.11652931791058634,0.6889147802929427,0.1583917894975441,0.4136416861826698,0.80546131932606,3.780690573147291,10273.5,0.0,6008,-1,-0.1537629717348797,-0.06625422345438903
ml-1m,0,GF-CF,"k=256,alpha=0.3",22.12597131729126,0.3231072831880096,0.19652609238848917,0.8520306258322237,0.19986499345665595,0.2300936768149883,0.8419948126840209,2.1028396652219583,0.3193837737357394,0.17121606163778336,0.9121171770972037,0.284756722741391,0.28805620608899296,0.8465602266084247,2.1845259670541357,0.3231072831880096,0.19652609238848917,0.8520306258322237,0.19986499345665595,0.2300936768149883,0.8419948126840209,2.1028396652219583,,,0,0,,
ml-1m,0,Cascade,top_n=200,125.38381028175354,0.3623787574327161,0.2283305558994323,0.8859853528628495,0.2249606475922193,0.297423887587822,0.7588817272508046,2.3621440360741173,0.36240578530991,0.20166665840453893,0.9372503328894807,0.32938045369008945,0.3744145199063232,0.7576221930831866,2.496094652987741,0.3623787574327161,0.2283305558994323,0.8859853528628495,0.2249606475922193,0.297423887587822,0.7588817272508046,2.3621440360741173,156451.5,0.031969654554559426,6008,-1,-0.000977381636172467,0.0
ml-1m,0,Cascade,top_n=500,122.01140570640564,0.36327464040574986,0.2290639851701888,0.8858189081225033,0.22514332662493436,0.30562060889929743,0.755765014463474,2.384942162406096,0.36517682223023007,0.2040223350516377,0.9375832223701731,0.331496693578799,0.3951990632318501,0.7497613429008236,2.5484055319702748,0.36327464040574986,0.2290639851701888,0.8858189081225033,0.22514332662493436,0.30562060889929743,0.755765014463474,2.384942162406096,1075.0,0.5491752982419295,6008,-1,-8.149866313874162e-05,0.0
ml-1m,1,EASE,-,122.89607214927673,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,0.36349761852879936,0.20270640009375476,0.9347319347319347,0.3275426777323132,0.40105386416861827,0.7512512548278971,2.5551994360475203,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,,,0,0,,
ml-1m,1,PPR,alpha=0.3,128.11975526809692,0.3648398650534678,0.23079114400968143,0.8791208791208791,0.22364310798944292,0.297423887587822,0.7691213969757278,2.3379299400531957,0.36560189346573113,0.20479575631205676,0.9352314352314353,0.3286971653435647,0.3855386416861827,0.7615679056453544,2.504273430028896,0.3648398650534678,0.23079114400968143,0.8791208791208791,0.22364310798944292,0.297423887587822,0.7691213969757278,2.3379299400531957,1284031.0,4.547431722599233e-10,6006,1,0.0024909775620583167,0.0
ml-1m,1,PPR,alpha=0.5,128.27138376235962,0.36581700419940016,0.23202062073518992,0.8776223776223776,0.2236594688396832,0.2822014051522248,0.7804714303676958,2.2824774213142325,0.36568357974149734,0.20534222436576488,0.9347319347319347,0.3275932097235774,0.3711943793911007,0.774798308946574,2.4462460882844805,0.36581700419940016,0.23202062073518992,0.8776223776223776,0.2236594688396832,0.2822014051522248,0.7804714303676958,2.2824774213142325,2611095.0,2.042057683648469e-06,6006,1,0.0034681167079907422,0.0
ml-1m,1,PPR,alpha=0.7,128.4267475605011,0.3630623400101435,0.22959717198166743,0.8761238761238761,0.22205970086383242,0.2549765807962529,0.7985528057858711,2.1849341359490513,0.3612667503781717,0.2020833199781677,0.9317349317349317,0.32308146246462555,0.34133489461358313,0.7953238442518029,2.341342331118675,0.3630623400101435,0.22959717198166743,0.8761238761238761,0.22205970086383242,0.2549765807962529,0.7985528057858711,2.1849341359490513,4259290.0,0.7902351073330839,6006,1,0.0007134525187340793,0.0
ml-1m,1,DPP-MAP,top_pool=100,122.42889952659607,0.20911723714953143,0.1165353370122361,0.6866466866466866,0.15576910061592367,0.4057377049180328,0.8023708614617706,3.781118846083853,0.18871379273265054,0.09892932134615061,0.7161172161172161,0.16691531192863004,0.4637002341920375,0.8580322245094971,4.4850415871402385,0.20911723714953143,0.1165353370122361,0.6866466866466866,0.15576910061592367,0.4057377049180328,0.8023708614617706,3.781118846083853,9850.5,0.0,6006,-1,-0.15323165034187808,-0.06794340091829074
ml-1m,1,DPP-MAP,top_pool=200,124.51396942138672,0.20911723714953143,0.1165353370122361,0.6866466866466866,0.15576910061592367,0.4057377049180328,0.8023708614617706,3.781118846083853,0.18871379273265054,0.09892932134615061,0.7161172161172161,0.16691531192863004,0.4637002341920375,0.8580322245094971,4.4850415871402385,0.20911723714953143,0.1165353370122361,0.6866466866466866,0.15576910061592367,0.4057377049180328,0.8023708614617706,3.781118846083853,9850.5,0.0,6006,-1,-0.15323165034187808,-0.06794340091829074
ml-1m,1,GF-CF,"k=256,alpha=0.3",15.758726596832275,0.31909618738115747,0.19293599155631466,0.8476523476523476,0.19682325501737039,0.2344847775175644,0.8446146446146445,2.1029725280748504,0.31420967213052425,0.16757558008554918,0.9077589077589078,0.27811542726080507,0.29098360655737704,0.8487178147137906,2.183997334948327,0.31909618738115747,0.19293599155631466,0.8476523476523476,0.19682325501737039,0.2344847775175644,0.8446146446146445,2.1029725280748504,,,0,0,,
ml-1m,1,Cascade,top_n=200,119.44625735282898,0.3612474194401256,0.22719111054499377,0.8771228771228772,0.2226708431797181,0.3015222482435597,0.7621661510011024,2.360985350265486,0.3611235639048075,0.2009653597587611,0.9345654345654346,0.32532194806577397,0.38085480093676816,0.7610291578777357,2.4985391941470727,0.3612474194401256,0.22719111054499377,0.8771228771228772,0.2226708431797181,0.3015222482435597,0.7621661510011024,2.360985350265486,181654.5,0.02658907506650415,6006,-1,-0.0011014680512838756,0.0
ml-1m,1,Cascade,top_n=500,120.11201095581055,0.36220922614235124,0.22811119981471456,0.8771228771228772,0.22289738344285712,0.3123536299765808,0.7613949624258902,2.3837366483567446,0.3632948450942956,0.20246005965340289,0.9348984348984349,0.3274415062999854,0.3981264637002342,0.7512884297075473,2.54988724992475,0.36220922614235124,0.22811119981471456,0.8771228771228772,0.22289738344285712,0.3123536299765808,0.7613949624258902,2.3837366483567446,823.5,0.20640473104558932,6006,-1,-0.00013966134905818708,0.0
ml-1m,2,EASE,-,122.32086181640625,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414,0.3618476700911453,0.2003476739707504,0.9390406395736176,0.32899075921234416,0.40105386416861827,0.7530828109727334,2.5498226663708405,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414,,,0,0,,
ml-1m,2,PPR,alpha=0.3,128.83179426193237,0.36172832681984457,0.22744722189804928,0.8799133910726182,0.22259974682023678,0.2953747072599532,0.7673720327842226,2.3378563470323237,0.3640023574048496,0.20254683653389174,0.9395403064623584,0.3299098413933267,0.38378220140515223,0.7622923009374374,2.4992433518003954,0.36172832681984457,0.22744722189804928,0.8799133910726182,0.22259974682023678,0.2953747072599532,0.7673720327842226,2.3378563470323237,1160373.0,1.450829434453595e-15,6004,1,0.0028636216681154746,0.0
ml-1m,2,PPR,alpha=0.5,127.73373913764954,0.3631162662923404,0.22900936942558994,0.8800799467021986,0.22266435792554412,0.2813231850117096,0.7791086206143529,2.2830025277877186,0.36446714355485765,0.20312739736430555,0.9390406395736176,0.32975386325472794,0.36826697892271665,0.7738538112906181,2.4437061906779607,0.3631162662923404,0.22900936942558994,0.8800799467021986,0.22266435792554412,0.2813231850117096,0.7791086206143529,2.2830025277877186,2532964.0,2.1324162222727897e-08,6004,1,0.004251561140611238,0.0
ml-1m,2,PPR,alpha=0.7,127.52976059913635,0.361882925908694,0.228058218232021,0.8784143904063957,0.2213450213100263,0.2581967213114754,0.8023275488298807,2.1825929305995624,0.36046462019792674,0.20023134170898102,0.9375416389073951,0.32515738157926644,0.3366510538641686,0.7944188077513541,2.3374618077410516,0.361882925908694,0.228058218232021,0.8784143904063957,0.2213450213100263,0.2581967213114754,0.8023275488298807,2.1825929305995624,4118240.0,0.01689435579713883,6004,1,0.003018220756964809,0.0
ml-1m,2,DPP-MAP,top_pool=100,124.26240015029907,0.2060725399519029,0.11387247404266812,0.6843770819453697,0.15572110628011188,0.406615925058548,0.8019560513773156,3.7829924097982315,0.18624642115105247,0.09635321173442088,0.7191872085276483,0.16839975460039855,0.4677985948477752,0.8584437346316474,4.48153835620864,0.2060725399519029,0.11387247404266812,0.6843770819453697,0.15572110628011188,0.406615925058548,0.8019560513773156,3.7829924097982315,13110.0,0.0,6004,-1,-0.15279216519982627,-0.06625422345438904
ml-1m,2,DPP-MAP,top_pool=200,124.40736508369446,0.2060725399519029,0.11387247404266812,0.6843770819453697,0.15572110628011188,0.406615925058548,0.8019560513773156,3.7829924097982315,0.18624642115105247,0.09635321173442088,0.7191872085276483,0.16839975460039855,0.4677985948477752,0.8584437346316474,4.48153835620864,0.2060725399519029,0.11387247404266812,0.6843770819453697,0.15572110628011188,0.406615925058548,0.8019560513773156,3.7829924097982315,13110.0,0.0,6004,-1,-0.15279216519982627,-0.06625422345438904
ml-1m,2,GF-CF,"k=256,alpha=0.3",15.793681621551514,0.3187985580561614,0.1924902163255067,0.8482678214523651,0.1951801769473643,0.2300936768149883,0.8448218999038808,2.0933765906521806,0.3139856127613181,0.16625567141572076,0.9143904063957362,0.2792949361156701,0.2930327868852459,0.8495233946599703,2.1822209335037455,0.3187985580561614,0.1924902163255067,0.8482678214523651,0.1951801769473643,0.2300936768149883,0.8448218999038808,2.0933765906521806,,,0,0,,
ml-1m,2,Cascade,top_n=200,119.14478874206543,0.35853329751826596,0.2238676910498821,0.880413057961359,0.2220693709631146,0.2997658079625293,0.7605479159726849,2.361451578705424,0.3596991885731294,0.19845280309296826,0.9380413057961359,0.3269944302649654,0.3790983606557377,0.7608422698895716,2.495742112099458,0.35853329751826596,0.2238676910498821,0.880413057961359,0.2220693709631146,0.2997658079625293,0.7605479159726849,2.361451578705424,156352.5,0.7287175077964784,6004,-1,-0.00033140763346320386,0.0
ml-1m,2,Cascade,top_n=500,121.04342937469482,0.35870963834475517,0.22419483073474658,0.8794137241838774,0.22199080730548318,0.30766978922716626,0.7576962012638575,2.383537631656268,0.36157390406635503,0.2001063364519203,0.9388740839440373,0.32879637539356615,0.400175644028103,0.7539866740875505,2.5452824521528523,0.35870963834475517,0.22419483073474658,0.8794137241838774,0.22199080730548318,0.30766978922716626,0.7576962012638575,2.383537631656268,1010.0,0.12451917101016348,6004,-1,-0.00015506680697397317,0.0
ml-1m,3,EASE,-,125.79353642463684,0.35706225986659396,0.22511819628899288,0.8726093464160984,0.21893095713123753,0.3100117096018735,0.7587483335995178,2.3860019783333133,0.35794709456288604,0.19932866889775816,0.9248295360053218,0.3234195007622611,0.4016393442622951,0.7525223895359858,2.551157214359107,0.35706225986659396,0.22511819628899288,0.8726093464160984,0.21893095713123753,0.3100117096018735,0.7587483335995178,2.3860019783333133,,,0,0,,
ml-1m,3,PPR,alpha=0.3,130.62299728393555,0.35913004784224767,0.2275248336810933,0.8726093464160984,0.21883715809387666,0.29508196721311475,0.7678880283195932,2.3374827414818036,0.35956120884139287,0.20117394399196098,0.9243306169965075,0.32361560205698137,0.3840749414519906,0.7615215559377446,2.500341912399716,0.35913004784224767,0.2275248336810933,0.8726093464160984,0.21883715809387666,0.29508196721311475,0.7678880283195932,2.3374827414818036,1236323.5,2.2205233788282005e-06,6013,1,0.002067787975653695,0.0
