family,alpha,n_iter,train_time_s_mean,train_time_s_std,NDCG@10_mean,NDCG@10_std,MAP@10_mean,MAP@10_std,HitRate@10_mean,HitRate@10_std,Recall@10_mean,Recall@10_std,Coverage@10_mean,Coverage@10_std,Gini@10_mean,Gini@10_std,Novelty@10_mean,Novelty@10_std,NDCG@20_mean,NDCG@20_std,MAP@20_mean,MAP@20_std,HitRate@20_mean,HitRate@20_std,Recall@20_mean,Recall@20_std,Coverage@20_mean,Coverage@20_std,Gini@20_mean,Gini@20_std,Novelty@20_mean,Novelty@20_std,NDCG@k_mean,NDCG@k_std,MAP@k_mean,MAP@k_std,HitRate@k_mean,HitRate@k_std,Recall@k_mean,Recall@k_std,Coverage@k_mean,Coverage@k_std,Gini@k_mean,Gini@k_std,Novelty@k_mean,Novelty@k_std,wilcoxon_vs_EASE_stat_mean,wilcoxon_vs_EASE_stat_std,wilcoxon_vs_EASE_p_mean,wilcoxon_vs_EASE_p_std,wilcoxon_vs_EASE_n_pairs_mean,wilcoxon_vs_EASE_n_pairs_std,wilcoxon_vs_EASE_sign_mean,wilcoxon_vs_EASE_sign_std,wilcoxon_vs_EASE_mean_diff_mean,wilcoxon_vs_EASE_mean_diff_std,wilcoxon_vs_EASE_median_diff_mean,wilcoxon_vs_EASE_median_diff_std
EASE,0.0,0,132.7038516998291,0.5391750710827468,0.3603703925299798,0.0025525765180416013,0.22665307731728462,0.0020495652277835842,0.8776849569462767,0.005220623753779892,0.22233609029995124,0.0022356066082815547,0.3100702576112412,0.0018790171587682928,0.7587277347955784,0.0016148456014131228,2.385208158669514,0.0016143006190546159,0.36221140741312974,0.0027321023063977146,0.20180867291377852,0.0019402606325770399,0.9332843525834955,0.005798369801854602,0.3277578853329016,0.0030004655386439115,0.3997072599531616,0.0022447645799392024,0.7512481236122811,0.001710510656808872,2.5519102378522995,0.002321282090163353,0.3603703925299798,0.0025525765180416013,0.22665307731728462,0.0020495652277835842,0.8776849569462767,0.005220623753779892,0.22233609029995124,0.0022356066082815547,0.3100702576112412,0.0018790171587682928,0.7587277347955784,0.0016148456014131228,2.385208158669514,0.0016143006190546159,,,,,0.0,0.0,0.0,0.0,,,,
Retrofit,5.0,3,129.29500422477722,0.45701776017396323,0.27007215510645144,0.0035173270469533264,0.1518532671310408,0.002596737729934124,0.8173264863557715,0.007169093487140987,0.17064547306452688,0.0030749244733106152,0.36498829039812647,0.004167820556256307,0.7504428661095476,0.0026747757848698496,2.8305525010895067,0.004041455409615384,0.26555398567190497,0.003657568982926738,0.13001596299472404,0.002573465178679632,0.8912361328081339,0.005891035431242537,0.2434952573629054,0.0035247168600519795,0.48530444964871194,0.007798651989016421,0.7423390134830288,0.0036288281453603667,3.135548437741941,0.0041715056948661575,0.27007215510645144,0.0035173270469533264,0.1518532671310408,0.002596737729934124,0.8173264863557715,0.007169093487140987,0.17064547306452688,0.0030749244733106152,0.36498829039812647,0.004167820556256307,0.7504428661095476,0.0026747757848698496,2.8305525010895067,0.004041455409615384,2494163.3,89057.5702288975,0.0,0.0,6007.4,3.4351128074635104,-1.0,0.0,-0.09029823742352847,0.0020347650604796625,-0.06301849955701004,0.0026509101452809993
Retrofit,5.0,5,130.6924554347992,0.5817603645445354,0.27250597359070705,0.0033552063724409755,0.15374827384621378,0.002583603875803256,0.8193570961529149,0.0068316313591657175,0.1723291982013792,0.002767171355552777,0.36498829039812647,0.003321019391309529,0.7496944138252608,0.001810647080314284,2.8211666187418687,0.0046320306668057335,0.267915575489973,0.00353392356370327,0.1317215747552536,0.0025649696720597506,0.892634485125655,0.00618727855271671,0.24582763218989562,0.003308995392965808,0.48389929742388754,0.006767932097012248,0.7404800843789284,0.0033098408126022954,3.125070617292478,0.004122324226518675,0.27250597359070705,0.0033552063724409755,0.15374827384621378,0.002583603875803256,0.8193570961529149,0.0068316313591657175,0.1723291982013792,0.002767171355552777,0.36498829039812647,0.003321019391309529,0.7496944138252608,0.001810647080314284,2.8211666187418687,0.0046320306668057335,2540919.2,87683.81310538454,7.342066474373001e-301,0.0,6007.4,3.4351128074635104,-1.0,0.0,-0.08786441893927287,0.0019052428198686009,-0.058232925959052585,0.0040235431736006366
Retrofit,5.0,10,133.3358250617981,1.0124541160472884,0.2737171764943686,0.003403408786045283,0.15468386711161392,0.0025864487102939117,0.820588870633468,0.007067362832781856,0.17339228098084655,0.003112978028798694,0.3642271662763466,0.003189389039804407,0.749404312915598,0.0020008058884258923,2.815670370637745,0.004998054858072353,0.26897409724897303,0.0035451532818166873,0.1325272666466879,0.0025528528383327613,0.8935334089137171,0.0060404570950266965,0.24683157138936948,0.003452761000243212,0.48348946135831383,0.006719005879599418,0.7398729080463449,0.00334209205815512,3.1200162805252054,0.0037836403803698,0.2737171764943686,0.003403408786045283,0.15468386711161392,0.0025864487102939117,0.820588870633468,0.007067362832781856,0.17339228098084655,0.003112978028798694,0.3642271662763466,0.003189389039804407,0.749404312915598,0.0020008058884258923,2.815670370637745,0.004998054858072353,2569120.1,104058.31412386037,5.270933554342944e-294,0.0,6007.4,3.4351128074635104,-1.0,0.0,-0.08665321603561124,0.0019248775587848944,-0.056538418529963885,0.004015012011585485
Retrofit,20.0,3,134.95987091064453,11.891800108219337,0.3437305770721616,0.002903484411094049,0.21096083492354972,0.0021790646218215895,0.8711272646136894,0.006538248810136514,0.21373940490376206,0.003125968296777937,0.3248829039812646,0.0023180132195350154,0.7532766528160739,0.0021479839621389787,2.471892214175159,0.0020619066613623257,0.34511320544426655,0.002921143841611711,0.1866405569790666,0.0021753175994410367,0.9297887573568243,0.006503631559255451,0.31476914805545475,0.0036079558847543053,0.42845433255269316,0.002291988188649138,0.7470642837873803,0.0016312370083360842,2.6550668105727153,0.001372631372785756,0.3437305770721616,0.002903484411094049,0.21096083492354972,0.0021790646218215895,0.8711272646136894,0.006538248810136514,0.21373940490376206,0.003125968296777937,0.3248829039812646,0.0023180132195350154,0.7532766528160739,0.0021479839621389787,2.471892214175159,0.0020619066613623257,4076536.3,93335.73487188597,5.270349881533674e-43,8.70058344036372e-43,6007.4,3.4351128074635104,-1.0,0.0,-0.016639815457818324,0.0010366284605247856,0.0,0.0
Retrofit,20.0,5,146.84290552139282,36.89231918667347,0.3437696183187797,0.0028460177819332635,0.2110043861019315,0.002182977743928047,0.8710273035551264,0.0064131716471385524,0.21373786781054588,0.0030559251340520626,0.32482435597189696,0.002436961989258464,0.7531115069253271,0.0021869281718963165,2.471933798819444,0.001972931241944397,0.3452043132528758,0.0029052862383009406,0.1867222071066673,0.0021823789992769208,0.9297887351789773,0.006482533721889929,0.31485910327596567,0.0036130191306982286,0.4282201405152225,0.0022140129275397317,0.7469051189736285,0.0016047673300920017,2.654812660730395,0.001403375252287372,0.3437696183187797,0.0028460177819332635,0.2110043861019315,0.002182977743928047,0.8710273035551264,0.0064131716471385524,0.21373786781054588,0.0030559251340520626,0.32482435597189696,0.002436961989258464,0.7531115069253271,0.0021869281718963165,2.471933798819444,0.001972931241944397,4062105.4,92098.71706856186,3.280391255924732e-43,4.600024803444942e-43,6007.4,3.4351128074635104,-1.0,0.0,-0.016600774211200188,0.001046444672498934,0.0,0.0
Retrofit,20.0,10,152.70126733779907,44.23158052203264,0.343804408636612,0.002876023927587001,0.21103488049695612,0.0022016168634768473,0.8710273035551264,0.0064131716471385524,0.2137780848222885,0.003083616322065389,0.3249414519906323,0.002585410089674426,0.7531636786553724,0.002286565217038373,2.4719640050359972,0.001982363480453385,0.3452071567365417,0.0029163372212694717,0.1867302562995327,0.0021900052344351042,0.9297887351789773,0.006482533721889929,0.3148580282144124,0.003619623902745796,0.4282201405152225,0.0022140129275397317,0.7469224833489891,0.001590508717749389,2.6546909383052557,0.00134796806286851,0.343804408636612,0.002876023927587001,0.21103488049695612,0.0022016168634768473,0.8710273035551264,0.0064131716471385524,0.2137780848222885,0.003083616322065389,0.3249414519906323,0.002585410089674426,0.7531636786553724,0.002286565217038373,2.4719640050359972,0.001982363480453385,4062178.0,93836.85272388982,5.304307502085549e-43,7.327428284931401e-43,6007.4,3.4351128074635104,-1.0,0.0,-0.01656598389336785,0.0010569400344043799,0.0,0.0
Retrofit,50.0,3,139.9095497608185,24.37724699874485,0.35674652373384186,0.0029493619910295654,0.2231537499299426,0.0023279468666970848,0.8763869257684114,0.00479789135485778,0.22030191904431837,0.0028177504471795563,0.3154566744730679,0.00231060740757273,0.7557752691542646,0.0018582118003972721,2.4128680382275025,0.0018730743301507726,0.3586165415238905,0.002994101649160812,0.1983545951674202,0.002202125122479544,0.932918201684345,0.006260750435370864,0.32522666356486996,0.002930883219111412,0.40989461358313817,0.000979695581421636,0.7484497626987751,0.0009196691100946585,2.585019689999657,0.0016272502812801314,0.35674652373384186,0.0029493619910295654,0.2231537499299426,0.0023279468666970848,0.8763869257684114,0.00479789135485778,0.22030191904431837,0.0028177504471795563,0.3154566744730679,0.00231060740757273,0.7557752691542646,0.0018582118003972721,2.4128680382275025,0.0018730743301507726,3626560.5,73411.00386948131,6.193103221722632e-06,8.361517159571084e-06,6007.4,3.4351128074635104,-1.0,0.0,-0.003623868796138014,0.0006870195251935091,0.0,0.0
Retrofit,50.0,5,130.37430534362792,1.2872234021293347,0.35675025458678794,0.002952524959088934,0.2231624298272247,0.002322260208025909,0.8763869257684114,0.00479789135485778,0.22030426167499,0.0028190673714460998,0.3154566744730679,0.0024631948440237287,0.755784059425457,0.0019592424732540626,2.4128329349058926,0.001874909103627062,0.3586153608321833,0.002997380841042778,0.19835657490070477,0.0022040911110122042,0.932918201684345,0.006260750435370864,0.3252266207762976,0.002918672226318368,0.4097775175644028,0.0010224970255604871,0.7483853575598902,0.0009561600018625631,2.5849825710222767,0.0015997415921401156,0.35675025458678794,0.002952524959088934,0.2231624298272247,0.002322260208025909,0.8763869257684114,0.00479789135485778,0.22030426167499,0.0028190673714460998,0.3154566744730679,0.0024631948440237287,0.755784059425457,0.0019592424732540626,2.4128329349058926,0.001874909103627062,3624623.3,73195.94891334492,5.358424324560737e-06,7.100960928865929e-06,6007.4,3.4351128074635104,-1.0,0.0,-0.0036201379431919237,0.0006810327359244921,0.0,0.0
Retrofit,50.0,10,138.12967791557313,11.332186623755117,0.3567501235841176,0.0029526335543792995,0.22316208085352462,0.0023227898678848183,0.8763869257684114,0.00479789135485778,0.22030426167499,0.0028190673714460998,0.3154566744730679,0.0024631948440237287,0.755783808220054,0.0019588892910166094,2.412834423017935,0.001874364939800547,0.3586156958425889,0.002997529008148878,0.19835579793633223,0.0022039125732765414,0.932918201684345,0.006260750435370864,0.3252289543013584,0.0029189124543245095,0.4097775175644028,0.0010224970255604871,0.7483871885570421,0.0009551419066061521,2.58497907162685,0.0015916804397730993,0.3567501235841176,0.0029526335543792995,0.22316208085352462,0.0023227898678848183,0.8763869257684114,0.00479789135485778,0.22030426167499,0.0028190673714460998,0.3154566744730679,0.0024631948440237287,0.755783808220054,0.0019588892910166094,2.412834423017935,0.001874364939800547,3624549.6,73144.93889138875,5.358123984418682e-06,7.101241373995538e-06,6007.4,3.4351128074635104,-1.0,0.0,-0.003620268945862229,0.0006811414956792672,0.0,0.0
