dataset,seed,method,fusion,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,0,EASE,-,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,0.365349054583525,0.20414787720272656,0.9375832223701731,0.3316665455941842,0.39637002341920374,0.7487248661066388,2.5533754562781135,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,,,0,0,,
ml-1m,0,RP3beta,-,0.30775841121769276,0.18518304075187056,0.8320572569906791,0.18519580745497763,0.20813817330210774,0.8886897170392594,1.8852401724964658,0.30709641960999084,0.16180632798608446,0.9067909454061251,0.27242834648226194,0.29830210772833726,0.8857413863621812,2.0306723541844565,0.30775841121769276,0.18518304075187056,0.8320572569906791,0.18519580745497763,0.20813817330210774,0.8886897170392594,1.8852401724964658,,,0,0,,
ml-1m,0,EDLAE,-,0.3715230757141289,0.23780132117452196,0.8856524633821571,0.2281588309551492,0.2701990632318501,0.7777180083471227,2.2756832801416293,0.37147555991432196,0.21042520085038535,0.9369174434087882,0.3340838846165259,0.3521662763466042,0.7672432876973125,2.440216790606677,0.3715230757141289,0.23780132117452196,0.8856524633821571,0.2281588309551492,0.2701990632318501,0.7777180083471227,2.2756832801416293,,,0,0,,
ml-1m,0,Fusion,linear-uniform,0.3673671744440198,0.2332021572961926,0.8836551264980027,0.2263193479689015,0.2631733021077283,0.8122362619214425,2.1741703555056766,0.366230620827817,0.2055143775658843,0.9365845539280959,0.3299464117991494,0.35304449648711944,0.8054224411674429,2.3381936118240505,0.3673671744440198,0.2332021572961926,0.8836551264980027,0.2263193479689015,0.2631733021077283,0.8122362619214425,2.1741703555056766,4969734.5,0.0031206889388335837,6008,1,0.004011035375131217,0.0
ml-1m,0,Fusion,rrf_k=60,0.36591906172895516,0.23291477793927406,0.8793275632490013,0.22326859925782516,0.2543911007025761,0.8163360628483083,2.150204484772372,0.36424905703801885,0.20439836833041117,0.9352529960053262,0.3267083150283503,0.34104215456674475,0.8107921769543327,2.3042398384212492,0.36591906172895516,0.23291477793927406,0.8793275632490013,0.22326859925782516,0.2543911007025761,0.8163360628483083,2.150204484772372,5716969.5,0.056217996928322245,6008,1,0.0025629226600665227,0.0
ml-1m,0,Fusion,combmnz-z,0.36629583439364155,0.23258548296673556,0.8824900133155792,0.22520331778244412,0.26024590163934425,0.8172135690095996,2.156463473087745,0.3647853418692907,0.20484699355277994,0.935918774966711,0.32724479450944405,0.3457259953161593,0.8089652549070898,2.317253168411717,0.36629583439364155,0.23258548296673556,0.8824900133155792,0.22520331778244412,0.26024590163934425,0.8172135690095996,2.156463473087745,5342816.5,0.05493001900172696,6008,1,0.002939695324752913,0.0
ml-1m,0,Fusion,inv_var_p=0.5,0.37203623554856413,0.2383314073089412,0.8854860186418109,0.22821890713907073,0.2696135831381733,0.7791887327934812,2.271009371696816,0.3718739552707539,0.21082803642369488,0.9369174434087882,0.33420413268718957,0.351288056206089,0.7680867870616956,2.436413778162945,0.37203623554856413,0.2383314073089412,0.8854860186418109,0.22821890713907073,0.2696135831381733,0.7791887327934812,2.271009371696816,4445629.0,5.1249716693596665e-20,6008,1,0.008680096479675598,0.0
ml-1m,1,EASE,-,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,0.36349761852879936,0.20270640009375476,0.9347319347319347,0.3275426777323132,0.40105386416861827,0.7512512548278971,2.5551994360475203,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,,,0,0,,
ml-1m,1,RP3beta,-,0.30491944272467986,0.18420063798110847,0.8235098235098235,0.18097184834620614,0.21194379391100704,0.8908480561795478,1.8793785152262827,0.3037204709214425,0.15987602244381835,0.8992673992673993,0.26847916172923736,0.2980093676814988,0.8857538826595801,2.0270625800630357,0.30491944272467986,0.18420063798110847,0.8235098235098235,0.18097184834620614,0.21194379391100704,0.8908480561795478,1.8793785152262827,,,0,0,,
ml-1m,1,EDLAE,-,0.36788618803895395,0.23463459519085936,0.8754578754578755,0.22337210818837339,0.2687353629976581,0.7771099996590192,2.273442009849779,0.3681395005182426,0.20792144500601403,0.9337329337329338,0.3289189463487728,0.3553864168618267,0.7694135628237768,2.440573345615151,0.36788618803895395,0.23463459519085936,0.8754578754578755,0.22337210818837339,0.2687353629976581,0.7771099996590192,2.273442009849779,,,0,0,,
